0.03	 A0:40	 A1:279	 A2:105	 T:22.20
0.29	 B0:57	 B1:101	 B2:31	 T:22.20
0.27	 C0:6	 C1:49	 C2:41	 T:22.20
0.28	 D0:22	 D1:293	 D2:100	 T:nan

0.06	 A0:40	 A1:279	 A2:105	 T:22.20
0.36	 B0:57	 B1:100	 B2:31	 T:22.20
0.34	 C0:7	 C1:49	 C2:41	 T:22.20
0.35	 D0:22	 D1:293	 D2:100	 T:nan

0.14	 A0:40	 A1:279	 A2:105	 T:22.20
0.44	 B0:57	 B1:100	 B2:31	 T:22.20
0.41	 C0:7	 C1:49	 C2:41	 T:22.20
0.43	 D0:22	 D1:293	 D2:100	 T:nan

0.22	 A0:40	 A1:279	 A2:105	 T:22.20
0.52	 B0:57	 B1:101	 B2:31	 T:22.20
0.49	 C0:7	 C1:49	 C2:41	 T:22.20
0.50	 D0:22	 D1:293	 D2:100	 T:nan

0.30	 A0:40	 A1:279	 A2:105	 T:22.20
0.59	 B0:57	 B1:100	 B2:31	 T:22.20
0.56	 C0:7	 C1:49	 C2:42	 T:22.20
0.58	 D0:22	 D1:293	 D2:100	 T:nan

0.37	 A0:40	 A1:279	 A2:105	 T:22.20
0.67	 B0:57	 B1:101	 B2:31	 T:22.20
0.63	 C0:7	 C1:49	 C2:41	 T:22.20
0.65	 D0:22	 D1:293	 D2:100	 T:nan

0.45	 A0:40	 A1:279	 A2:105	 T:22.20
0.75	 B0:57	 B1:101	 B2:31	 T:22.20
0.70	 C0:7	 C1:49	 C2:42	 T:22.20
0.73	 D0:22	 D1:293	 D2:100	 T:nan

0.53	 A0:40	 A1:279	 A2:105	 T:22.20
0.83	 B0:57	 B1:100	 B2:31	 T:22.20
0.78	 C0:7	 C1:49	 C2:42	 T:22.20
0.80	 D0:22	 D1:293	 D2:100	 T:nan

0.61	 A0:40	 A1:279	 A2:105	 T:22.20
0.90	 B0:57	 B1:101	 B2:31	 T:22.20
0.85	 C0:7	 C1:49	 C2:42	 T:22.20
0.88	 D0:22	 D1:293	 D2:100	 T:nan

0.69	 A0:40	 A1:279	 A2:105	 T:22.20
0.98	 B0:57	 B1:101	 B2:31	 T:22.20
0.92	 C0:7	 C1:49	 C2:41	 T:22.20
0.95	 D0:22	 D1:293	 D2:100	 T:nan

0.77	 A0:40	 A1:279	 A2:105	 T:22.20
1.06	 B0:57	 B1:101	 B2:31	 T:22.20
1.00	 C0:7	 C1:49	 C2:42	 T:22.20
1.03	 D0:22	 D1:293	 D2:100	 T:nan

0.85	 A0:40	 A1:279	 A2:105	 T:22.20
1.13	 B0:57	 B1:101	 B2:31	 T:22.20
1.07	 C0:7	 C1:49	 C2:42	 T:22.20
1.10	 D0:22	 D1:293	 D2:100	 T:nan

0.93	 A0:40	 A1:279	 A2:105	 T:22.20
1.21	 B0:57	 B1:101	 B2:31	 T:22.20
1.14	 C0:7	 C1:49	 C2:42	 T:22.20
1.18	 D0:22	 D1:293	 D2:100	 T:nan

1.01	 A0:40	 A1:279	 A2:105	 T:22.20
1.29	 B0:57	 B1:101	 B2:31	 T:22.20
1.21	 C0:7	 C1:49	 C2:41	 T:22.20
1.25	 D0:22	 D1:293	 D2:100	 T:nan

1.09	 A0:40	 A1:279	 A2:105	 T:22.20
1.36	 B0:57	 B1:100	 B2:31	 T:22.20
1.29	 C0:7	 C1:49	 C2:42	 T:22.20
1.33	 D0:22	 D1:293	 D2:100	 T:nan

1.17	 A0:40	 A1:279	 A2:105	 T:22.20
1.44	 B0:57	 B1:101	 B2:31	 T:22.20
1.36	 C0:7	 C1:49	 C2:42	 T:22.20
1.40	 D0:22	 D1:293	 D2:100	 T:nan

1.25	 A0:40	 A1:279	 A2:105	 T:22.20
1.52	 B0:57	 B1:100	 B2:31	 T:22.20
1.43	 C0:7	 C1:49	 C2:42	 T:22.20
1.48	 D0:22	 D1:293	 D2:100	 T:nan

1.32	 A0:40	 A1:279	 A2:105	 T:22.20
1.60	 B0:57	 B1:101	 B2:31	 T:22.20
1.51	 C0:7	 C1:49	 C2:41	 T:22.20
1.55	 D0:22	 D1:292	 D2:100	 T:nan

1.40	 A0:40	 A1:279	 A2:104	 T:22.20
1.67	 B0:57	 B1:100	 B2:31	 T:22.20
1.58	 C0:7	 C1:49	 C2:42	 T:22.20
1.63	 D0:22	 D1:293	 D2:100	 T:nan

1.48	 A0:40	 A1:279	 A2:105	 T:22.20
1.75	 B0:57	 B1:100	 B2:31	 T:22.20
