0.05	 A0:45	 A1:289	 A2:109	 T:22.20
0.05	 B0:65	 B1:105	 B2:32	 T:22.20
0.27	 C0:7	 C1:51	 C2:39	 T:22.20
0.03	 D0:19	 D1:305	 D2:99	 T:nan

0.10	 A0:45	 A1:289	 A2:109	 T:22.20
0.10	 B0:65	 B1:104	 B2:32	 T:22.20
0.34	 C0:7	 C1:51	 C2:39	 T:22.20
0.05	 D0:20	 D1:305	 D2:99	 T:nan

0.18	 A0:45	 A1:289	 A2:109	 T:22.20
0.17	 B0:65	 B1:105	 B2:32	 T:22.20
0.41	 C0:7	 C1:51	 C2:39	 T:22.20
0.12	 D0:20	 D1:305	 D2:99	 T:nan

0.26	 A0:45	 A1:289	 A2:109	 T:22.20
0.25	 B0:65	 B1:105	 B2:32	 T:22.20
0.49	 C0:7	 C1:51	 C2:39	 T:22.20
0.19	 D0:20	 D1:305	 D2:99	 T:nan

0.34	 A0:45	 A1:289	 A2:109	 T:22.20
0.32	 B0:65	 B1:104	 B2:32	 T:22.20
0.56	 C0:7	 C1:51	 C2:39	 T:22.20
0.27	 D0:20	 D1:305	 D2:99	 T:nan

0.41	 A0:45	 A1:289	 A2:109	 T:22.20
0.40	 B0:65	 B1:104	 B2:32	 T:22.20
0.63	 C0:7	 C1:51	 C2:39	 T:22.20
0.34	 D0:20	 D1:305	 D2:99	 T:nan

0.49	 A0:45	 A1:289	 A2:109	 T:22.20
0.48	 B0:65	 B1:104	 B2:32	 T:22.20
0.70	 C0:7	 C1:51	 C2:39	 T:22.20
0.41	 D0:20	 D1:305	 D2:99	 T:nan

0.57	 A0:45	 A1:289	 A2:109	 T:22.20
0.56	 B0:65	 B1:104	 B2:32	 T:22.20
0.78	 C0:7	 C1:51	 C2:39	 T:22.20
0.49	 D0:20	 D1:305	 D2:99	 T:nan

0.65	 A0:45	 A1:289	 A2:109	 T:22.20
0.63	 B0:65	 B1:105	 B2:32	 T:22.20
0.85	 C0:7	 C1:51	 C2:39	 T:22.20
0.56	 D0:19	 D1:305	 D2:99	 T:nan

0.73	 A0:45	 A1:289	 A2:109	 T:22.20
0.71	 B0:65	 B1:104	 B2:32	 T:22.20
0.92	 C0:7	 C1:51	 C2:39	 T:22.20
0.63	 D0:19	 D1:305	 D2:99	 T:nan

0.81	 A0:45	 A1:289	 A2:109	 T:22.20
0.79	 B0:65	 B1:105	 B2:32	 T:22.20
1.00	 C0:7	 C1:51	 C2:39	 T:22.20
0.70	 D0:19	 D1:305	 D2:99	 T:nan

0.89	 A0:45	 A1:289	 A2:109	 T:22.20
0.86	 B0:65	 B1:105	 B2:32	 T:22.20
1.07	 C0:7	 C1:51	 C2:39	 T:22.20
0.78	 D0:20	 D1:304	 D2:99	 T:nan

0.97	 A0:45	 A1:289	 A2:109	 T:22.20
0.94	 B0:65	 B1:105	 B2:32	 T:22.20
1.14	 C0:7	 C1:51	 C2:40	 T:22.20
0.85	 D0:20	 D1:305	 D2:99	 T:nan

