0.03	 A0:56	 A1:461	 A2:117	 T:21.00
0.21	 B0:78	 B1:167	 B2:31	 T:21.00
0.19	 C0:6	 C1:88	 C2:45	 T:21.00
0.20	 D0:27	 D1:458	 D2:123	 T:nan

0.06	 A0:56	 A1:461	 A2:117	 T:21.00
0.29	 B0:77	 B1:167	 B2:31	 T:21.00
0.27	 C0:6	 C1:88	 C2:44	 T:21.00
0.28	 D0:27	 D1:457	 D2:123	 T:nan

0.14	 A0:56	 A1:461	 A2:117	 T:21.00
0.36	 B0:77	 B1:167	 B2:30	 T:21.00
0.34	 C0:6	 C1:88	 C2:44	 T:21.00
0.35	 D0:27	 D1:458	 D2:123	 T:nan

0.22	 A0:56	 A1:461	 A2:117	 T:21.00
0.44	 B0:77	 B1:167	 B2:31	 T:21.00
0.41	 C0:6	 C1:88	 C2:44	 T:21.00
0.43	 D0:27	 D1:457	 D2:123	 T:nan

0.30	 A0:56	 A1:461	 A2:117	 T:21.00
0.52	 B0:77	 B1:167	 B2:30	 T:21.00
0.49	 C0:6	 C1:88	 C2:45	 T:21.00
0.50	 D0:27	 D1:458	 D2:123	 T:nan

0.37	 A0:56	 A1:461	 A2:117	 T:21.00
0.59	 B0:77	 B1:167	 B2:31	 T:21.00
0.56	 C0:6	 C1:88	 C2:44	 T:21.00
0.58	 D0:27	 D1:457	 D2:123	 T:nan

0.45	 A0:56	 A1:461	 A2:117	 T:21.00
0.67	 B0:77	 B1:167	 B2:31	 T:21.00
0.63	 C0:6	 C1:88	 C2:44	 T:21.00
0.65	 D0:27	 D1:458	 D2:123	 T:nan

0.53	 A0:56	 A1:461	 A2:117	 T:21.00
0.75	 B0:77	 B1:167	 B2:30	 T:21.00
0.70	 C0:5	 C1:88	 C2:44	 T:21.00
0.73	 D0:27	 D1:457	 D2:123	 T:nan

0.61	 A0:56	 A1:461	 A2:117	 T:21.00
0.83	 B0:77	 B1:167	 B2:30	 T:21.00
0.78	 C0:6	 C1:88	 C2:44	 T:21.00
0.80	 D0:27	 D1:458	 D2:122	 T:nan

