2.07	 A0:63	 A1:439	 A2:121	 T:23.40
2.13	 B0:85	 B1:149	 B2:36	 T:23.40
0.03	 C0:7	 C1:77	 C2:47	 T:23.40
0.03	 D0:27	 D1:441	 D2:120	 T:nan

2.05	 A0:63	 A1:439	 A2:121	 T:23.40
2.21	 	 T:23.40
0.06	 C0:6	 C1:77	 C2:47	 T:23.40
0.05	 D0:27	 D1:441	 D2:120	 T:nan

2.11	 A0:63	 A10.00	 A0:63	 A1:439	 A2:122	 T:23.40
2.13	 B0:85	 B1:149	 B2:36	 T:23.40
0.12	 C0:6	 C1:78	 C2:47	 T:23.40
0.13	 D0:27	 D1:441	 D2:120	 T:nan

0.05	 A0:63	 A1:439	 A2:121	 T:23.40
2.21	 0.00	 B0:84	 B1:149	 B2:36	 T:23.40
0.19	 C0:6	 C1:78	 C2:47	 T:23.40
0.20	 D0:27	 D1:441	 D2:120	 T:nan

0.10	 A0:63	 A1:439	 A2:122	 T:23.40
0.05	 B0:85	 B1:149	 B2:36	 T:23.40
0.27	 C0:6	 C1:78	 C2:47	 T:23.40
0.28	 D0:27	 D1:441	 D2:120	 T:nan

0.18	 A0:63	 A1:439	 A2:122	 T:23.40
0.10	 B0:84	 B1:149	 B2:36	 T:23.40
0.34	 C0:6	 C1:78	 C2:47	 T:23.40
0.35	 D0:27	 D1:441	 D2:120	 T:nan

0.26	 A0:63	 A1:439	 A2:121	 T:23.40
0.17	 B0:85	 B1:149	 B2:36	 T:23.40
0.41	 C0:6	 C1:78	 C2:46	 T:23.40
0.43	 D0:27	 D1:441	 D2:120	 T:nan

0.34	 A0:63	 A1:439	 A2:121	 T:23.40
0.25	 B0:85	 B1:149	 B2:36	 T:23.40
0.49	 C0:6	 C1:78	 C2:46	 T:23.40
0.50	 D0:27	 D1:441	 D2:120	 T:nan

0.41	 A0:63	 A1:439	 A2:121	 T:23.40
0.32	 B0:85	 B1:149	 B2:36	 T:23.40
0.56	 C0:6	 C1:77	 C2:47	 T:23.40
0.58	 D0:27	 D1:440	 D2:120	 T:nan

0.49	 A0:63	 A1:439	 A2:121	 T:23.40
0.40	 B0:85	 B1:149	 B2:36	 T:23.40
0.63	 C0:7	 C1:78	 C2:47	 T:23.40
0.65	 D0:27	 D1:441	 D2:120	 T:nan

0.57	 A0:63	 A1:439	 A2:121	 T:23.40
0.48	 B0:84	 B1:149	 B2:36	 T:23.40
0.70	 C0:6	 C1:78	 C2:47	 T:23.40
0.73	 D0:27	 D1:441	 D2:120	 T:nan

0.65	 A0:63	 A1:439	 A2:122	 T:23.40
