0.03	 A0:104	 A1:492	 A2:140	 T:23.80
0.22	 B0:121	 B1:294	 B2:57	 T:23.80
0.20	 C0:8	 C1:166	 C2:70	 T:23.80
0.20	 D0:45	 D1:511	 D2:149	 T:nan

0.06	 A0:104	 A1:492	 A2:140	 T:23.80
0.30	 B0:121	 B1:294	 B2:57	 T:23.80
0.28	 C0:8	 C1:167	 C2:70	 T:23.80
0.28	 D0:45	 D1:511	 D2:149	 T:nan

0.14	 A0:104	 A1:492	 A2:140	 T:23.80
0.37	 B0:121	 B1:294	 B2:57	 T:23.80
0.35	 C0:8	 C1:166	 C2:70	 T:23.80
0.35	 D0:45	 D1:511	 D2:149	 T:nan

0.22	 A0:104	 A1:492	 A2:140	 T:23.80
0.45	 B0:121	 B1:294	 B2:57	 T:23.80
0.43	 C0:8	 C1:166	 C2:70	 T:23.80
0.43	 D0:45	 D1:511	 D2:149	 T:nan

0.31	 A0:104	 A1:492	 A2:140	 T:23.80
0.53	 B0:121	 B1:294	 B2:57	 T:23.80
0.50	 C0:8	 C1:167	 C2:70	 T:23.80
0.50	 D0:45	 D1:511	 D2:149	 T:nan

0.39	 A0:104	 A1:492	 A2:140	 T:23.80
0.61	 B0:121	 B1:294	 B2:57	 T:23.80
0.58	 C0:8	 C1:166	 C2:70	 T:23.80
0.58	 D0:45	 D1:511	 D2:149	 T:nan

0.47	 A0:104	 A1:492	 A2:140	 T:23.80
0.69	 B0:121	 B1:293	 B2:57	 T:23.80
0.65	 C0:8	 C1:166	 C2:70	 T:23.80
0.65	 D0:45	 D1:511	 D2:149	 T:nan

0.55	 A0:104	 A1:492	 A2:140	 T:23.80
0.77	 B0:121	 B1:294	 B2:57	 T:23.80
0.73	 C0:8	 C1:166	 C2:70	 T:23.80
0.73	 D0:45	 D1:511	 D2:149	 T:nan

0.63	 A0:104	 A1:492	 A2:139	 T:23.80
0.85	 B0:121	 B1:293	 B2:57	 T:23.80
0.80	 C0:8	 C1:166	 C2:69	 T:23.80
0.80	 D0:45	 D1:511	 D2:149	 T:nan

0.71	 A0:104	 A1:492	 A2:140	 T:23.80
0.93	 B0:121	 B1:293	 B2:57	 T:23.80
0.88	 C0:8	 C1:166	 C2:70	 T:23.80
0.88	 D0:45	 D1:511	 D2:150	 T:nan

0.79	 A0:104	 A1:492	 A2:140	 T:23.80
1.01	 B0:121	 B1:294	 B2:57	 T:23.80
0.95	 C0:8	 C1:166	 C2:70	 T:23.80
0.95	 D0:45	 D1:511	 D2:149	 T:nan

0.87	 A0:104	 A1:492	 A2:140	 T:23.80
1.09	 B0:121	 B1:294	 B2:57	 T:23.80
1.03	 C0:8	 C1:166	 C2:70	 T:23.80
1.03	 D0:45	 D1:511	 D2:149	 T:nan

0.95	 A0:105	 A1:492	 A2:140	 T:23.80
1.17	 B0:121	 B1:294	 B2:57	 T:23.80
1.10	 C0:9	 C1:166	 C2:70	 T:23.80
1.10	 D0:45	 D1:511	 D2:149	 T:nan

