0.05	 A0:38	 A1:312	 A2:103	 T:21.50
0.03	 B0:54	 B1:106	 B2:29	 T:21.80
0.12	 C0:6	 C1:50	 C2:38	 T:21.80
0.04	 D0:20	 D1:330	 D2:98	 T:nan

0.10	 A0:38	 A1:312	 A2:103	 T:21.50
0.06	 B0:54	 B1:106	 B2:28	 T:21.80
0.19	 C0:6	 C1:50	 C2:39	 T:21.80
0.09	 D0:20	 D1:330	 D2:99	 T:nan

0.18	 A0:38	 A1:312	 A2:103	 T:21.50
0.13	 B0:54	 B1:106	 B2:29	 T:21.80
0.27	 C0:6	 C1:50	 C2:38	 T:21.80
0.16	 D0:20	 D1:330	 D2:98	 T:nan

0.26	 A0:38	 A1:312	 A2:103	 T:21.50
0.21	 B0:54	 B1:106	 B2:28	 T:21.80
0.34	 C0:6	 C1:50	 C2:38	 T:21.80
0.23	 D0:20	 D1:330	 D2:98	 T:nan

0.34	 A0:38	 A1:312	 A2:103	 T:21.50
0.29	 B0:54	 B1:106	 B2:29	 T:21.80
0.41	 C0:6	 C1:50	 C2:38	 T:21.80
0.30	 D0:20	 D1:330	 D2:98	 T:nan

0.41	 A0:39	 A1:312	 A2:103	 T:21.50
0.36	 B0:54	 B1:106	 B2:29	 T:21.80
0.49	 C0:7	 C1:50	 C2:38	 T:21.80
0.38	 D0:20	 D1:330	 D2:98	 T:nan

0.49	 A0:38	 A1:312	 A2:103	 T:21.50
0.44	 B0:54	 B1:106	 B2:29	 T:21.80
0.56	 C0:6	 C1:50	 C2:38	 T:21.80
0.45	 D0:20	 D1:331	 D2:98	 T:nan

0.57	 A0:38	 A1:312	 A2:103	 T:21.50
0.52	 B0:54	 B1:106	 B2:28	 T:21.80
0.63	 C0:6	 C1:50	 C2:38	 T:21.80
0.52	 D0:20	 D1:330	 D2:98	 T:nan

0.65	 A0:38	 A1:312	 A2:103	 T:21.50
0.59	 B0:54	 B1:106	 B2:28	 T:21.80
0.70	 C0:6	 C1:50	 C2:38	 T:21.80
0.60	 D0:20	 D1:330	 D2:98	 T:nan

0.73	 A0:38	 A1:312	 A2:103	 T:21.50
0.67	 B0:54	 B1:106	 B2:28	 T:21.80
0.78	 C0:6	 C1:50	 C2:38	 T:21.80
0.67	 D0:20	 D1:330	 D2:98	 T:nan

0.81	 A0:39	 A1:312	 A2:103	 T:21.50
0.75	 B0:54	 B1:106	 B2:28	 T:21.80
0.85	 C0:7	 C1:50	 C2:38	 T:21.80
0.74	 D0:20	 D1:330	 D2:98	 T:nan

0.89	 A0:38	 A1:312	 A2:103	 T:21.50
0.83	 B0:54	 B1:106	 B2:29	 T:21.80
0.92	 C0:6	 C1:50	 C2:38	 T:21.80
0.81	 D0:20	 D1:330	 D2:98	 T:nan

0.97	 A0:38	 A1:311	 A2:103	 T:21.50
0.90	 B0:54	 B1:106	 B2:28	 T:21.80
1.00	 C0:6	 C1:50	 C2:38	 T:21.80
0.89	 D0:20	 D1:330	 D2:98	 T:nan

1.05	 A0:38	 A1:312	 A2:102	 T:21.50
0.98	 B0:54	 B1:106	 B2:29	 T:21.80
1.07	 C0:7	 C1:50	 C2:38	 T:21.80
0.96	 D0:20	 D1:330	 D2:98	 T:nan

1.13	 A0:38	 A1:312	 A2:103	 T:21.50
1.06	 B0:54	 B1:106	 B2:28	 T:21.80
1.14	 C0:6	 C1:50	 C2:38	 T:21.80
1.03	 D0:20	 D1:330	 D2:98	 T:nan

1.21	 A0:38	 A1:312	 A2:103	 T:21.50
1.13	 B0:54	 B1:106	 B2:29	 T:21.80
1.22	 C0:6	 C1:50	 C2:38	 T:21.80
1.11	 D0:20	 D1:330	 D2:98	 T:nan

1.28	 A0:38	 A1:312	 A2:102	 T:21.50
1.21	 B0:54	 B1:106	 B2:28	 T:21.80
1.29	 C0:6	 C1:50	 C2:38	 T:21.80
1.18	 D0:20	 D1:330	 D2:98	 T:nan

1.36	 A0:38	 A1:311	 A2:103	 T:21.50
1.29	 B0:54	 B1:106	 B2:28	 T:21.80
1.36	 C0:6	 C1:50	 C2:38	 T:21.80
1.25	 D0:20	 D1:330	 D2:98	 T:nan

1.44	 A0:39	 A1:312	 A2:103	 T:21.50
1.36	 B0:54	 B1:106	 B2:28	 T:21.80
1.43	 C0:6	 C1:50	 C2:38	 T:21.80
1.32	 D0:20	 D1:330	 D2:98	 T:nan

1.52	 A0:38	 A1:312	 A2:103	 T:21.50
1.44	 B0:54	 B1:106	 B2:29	 T:21.80
1.51	 C0:6	 C1:50	 C2:38	 T:21.80
1.40	 D0:20	 D1:330	 D2:98	 T:nan

1.60	 A0:38	 A1:312	 A2:103	 T:21.50
1.52	 B0:54	 B1:106	 B2:29	 T:21.80
1.58	 C0:6	 C1:50	 C2:38	 T:21.80
1.47	 D0:20	 D1:330	 D2:98	 T:nan

1.68	 A0:38	 A1:312	 A2:102	 T:21.50
1.60	 B0:54	 B1:106	 B2:29	 T:21.80
1.65	 C0:6	 C1:51	 C2:38	 T:21.80
1.54	 D0:20	 D1:330	 D2:98	 T:nan

1.76	 A0:38	 A1:312	 A2:103	 T:21.50
1.67	 B0:54	 B1:105	 B2:28	 T:21.80
1.72	 C0:6	 C1:50	 C2:38	 T:21.80
1.61	 D0:20	 D1:330	 D2:98	 T:nan

1.84	 A0:38	 A1:312	 A2:103	 T:21.50
1.75	 B0:54	 B1:106	 B2:29	 T:21.80
1.80	 C0:6	 C1:50	 C2:38	 T:21.80
1.69	 D0:20	 D1:330	 D2:98	 T:nan

1.92	 A0:38	 A1:311	 A2:103	 T:21.50
