0.05	 A0:40	 A1:286	 A2:101	 T:23.00
0.20	 B0:51	 B1:89	 B2:31	 T:23.00
0.19	 C0:6	 C1:41	 C2:42	 T:23.00
0.22	 D0:20	 D1:302	 D2:306	 T:23.00

0.10	 A0:40	 A1:286	 A2:101	 T:23.00
0.28	 B0:51	 B1:89	 B2:31	 T:23.00
0.27	 C0:6	 C1:40	 C2:42	 T:23.00
0.30	 D0:20	 D1:302	 D2:286	 T:23.00

0.18	 A0:40	 A1:286	 A2:101	 T:23.00
0.35	 B0:51	 B1:89	 B2:31	 T:23.00
0.34	 C0:6	 C1:40	 C2:42	 T:23.00
0.37	 D0:19	 D1:302	 D2:298	 T:23.00

0.26	 A0:40	 A1:286	 A2:101	 T:23.00
0.43	 B0:51	 B1:89	 B2:31	 T:23.00
0.41	 C0:6	 C1:40	 C2:42	 T:23.00
0.45	 D0:19	 D1:302	 D2:312	 T:23.00

0.34	 A0:40	 A1:286	 A2:100	 T:23.00
0.50	 B0:51	 B1:89	 B2:31	 T:23.00
0.49	 C0:6	 C1:40	 C2:42	 T:23.00
0.53	 D0:19	 D1:301	 D2:306	 T:23.00

0.41	 A0:40	 A1:286	 A2:101	 T:23.00
0.58	 B0:51	 B1:89	 B2:32	 T:23.00
0.56	 C0:6	 C1:40	 C2:42	 T:23.00
0.61	 D0:19	 D1:302	 D2:284	 T:23.00

0.49	 A0:40	 A1:286	 A2:101	 T:23.00
0.65	 B0:51	 B1:89	 B2:31	 T:23.00
0.63	 C0:6	 C1:40	 C2:42	 T:23.00
0.69	 D0:19	 D1:302	 D2:299	 T:23.00

0.57	 A0:40	 A1:286	 A2:101	 T:23.00
0.73	 B0:51	 B1:89	 B2:31	 T:23.00
0.70	 C0:6	 C1:41	 C2:42	 T:23.00
0.77	 D0:19	 D1:301	 D2:311	 T:23.00

0.65	 A0:40	 A1:286	 A2:101	 T:23.00
0.80	 B0:51	 B1:89	 B2:32	 T:23.00
0.78	 C0:6	 C1:40	 C2:42	 T:23.00
0.85	 D0:19	 D1:301	 D2:305	 T:23.00

0.73	 A0:40	 A1:286	 A2:101	 T:23.00
0.88	 B0:51	 B1:89	 B2:31	 T:23.00
0.85	 C0:6	 C1:40	 C2:42	 T:23.00
0.93	 D0:19	 D1:302	 D2:282	 T:23.00

0.81	 A0:40	 A1:286	 A2:101	 T:23.00
0.95	 B0:51	 B1:89	 B2:31	 T:23.00
0.92	 C0:6	 C1:41	 C2:42	 T:23.00
1.01	 D0:19	 D1:302	 D2:301	 T:23.00

0.89	 A0:40	 A1:286	 A2:101	 T:23.00
1.03	 B0:51	 B1:89	 B2:31	 T:23.00
1.00	 C0:6	 C1:40	 C2:42	 T:23.00
1.09	 D0:19	 D1:301	 D2:310	 T:23.00

0.97	 A0:40	 A1:286	 A2:101	 T:23.00
1.10	 B0:51	 B1:89	 B2:31	 T:23.00
1.07	 C0:6	 C1:40	 C2:42	 T:23.00
1.17	 D0:19	 D1:302	 D2:306	 T:23.00

1.05	 A0:40	 A1:286	 A2:101	 T:23.00
1.18	 B0:51	 B1:89	 B2:31	 T:23.00
1.14	 C0:6	 C1:40	 C2:42	 T:23.00
1.25	 D0:20	 D1:302	 D2:282	 T:23.00

