0.03	 A0:37	 A1:298	 A2:99	 T:23.40
0.03	 B0:53	 B1:92	 B2:31	 T:23.40
0.00	 C0:6	 C1:41	 C2:42	 T:23.40
0.03	 D0:18	 D1:313	 D2:321	 T:23.00

0.06	 A0:38	 A1:298	 A2:99	 T:23.40
0.06	 B0:53	 B1:92	 B2:31	 T:23.40
0.05	 C0:6	 C1:42	 C2:42	 T:23.40
0.06	 D0:18	 D1:313	 D2:327	 T:23.00

0.13	 A0:38	 A1:298	 A2:99	 T:23.40
0.13	 B0:53	 B1:92	 B2:31	 T:23.40
0.09	 C0:7	 C1:42	 C2:42	 T:23.40
0.14	 D0:18	 D1:313	 D2:318	 T:23.00

0.21	 A0:38	 A1:298	 A2:99	 T:23.40
0.20	 B0:53	 B1:92	 B2:31	 T:23.40
0.16	 C0:6	 C1:42	 C2:42	 T:23.40
0.22	 D0:18	 D1:314	 D2:298	 T:23.00

0.29	 A0:38	 A1:299	 A2:99	 T:23.40
0.28	 B0:53	 B1:92	 B2:31	 T:23.40
0.23	 C0:6	 C1:42	 C2:42	 T:23.40
0.30	 D0:18	 D1:314	 D2:310	 T:23.00

0.36	 A0:38	 A1:299	 A2:99	 T:23.40
0.35	 B0:53	 B1:92	 B2:31	 T:23.40
0.30	 C0:6	 C1:42	 C2:42	 T:23.40
0.37	 D0:18	 D1:313	 D2:321	 T:23.00

0.44	 A0:38	 A1:298	 A2:99	 T:23.40
0.43	 B0:53	 B1:92	 B2:31	 T:23.40
0.38	 C0:6	 C1:42	 C2:42	 T:23.40
0.45	 D0:18	 D1:313	 D2:318	 T:23.00

0.52	 A0:38	 A1:299	 A2:99	 T:23.40
0.50	 B0:52	 B1:92	 B2:31	 T:23.40
0.45	 C0:6	 C1:41	 C2:42	 T:23.40
0.53	 D0:18	 D1:313	 D2:292	 T:23.00

0.59	 A0:38	 A1:299	 A2:99	 T:23.40
0.58	 B0:53	 B1:92	 B2:31	 T:23.40
0.52	 C0:6	 C1:41	 C2:42	 T:23.40
0.61	 D0:18	 D1:313	 D2:315	 T:23.00

0.67	 A0:38	 A1:299	 A2:99	 T:23.40
0.65	 B0:53	 B1:92	 B2:31	 T:23.40
0.60	 C0:6	 C1:41	 C2:42	 T:23.40
0.69	 D0:18	 D1:313	 D2:318	 T:23.00

0.75	 A0:38	 A1:298	 A2:99	 T:23.40
0.73	 B0:53	 B1:92	 B2:31	 T:23.40
0.67	 C0:7	 C1:41	 C2:42	 T:23.40
0.77	 D0:18	 D1:313	 D2:317	 T:23.00

0.83	 A0:38	 A1:299	 A2:99	 T:23.40
0.80	 B0:53	 B1:92	 B2:31	 T:23.40
0.74	 C0:6	 C1:41	 C2:42	 T:23.40
0.85	 D0:18	 D1:313	 D2:288	 T:23.00

0.90	 A0:37	 A1:298	 A2:99	 T:23.40
0.88	 B0:52	 B1:92	 B2:31	 T:23.40
0.81	 C0:6	 C1:42	 C2:42	 T:23.40
0.93	 D0:18	 D1:313	 D2:318	 T:23.00

0.98	 A0:38	 A1:299	 A2:99	 T:23.40
0.95	 B0:53	 B1:92	 B2:31	 T:23.40
0.89	 C0:6	 C1:42	 C2:42	 T:23.40
1.01	 D0:18	 D1:312	 D2:314	 T:23.00

1.06	 A0:38	 A1:299	 A2:99	 T:23.40
1.03	 B0:53	 B1:92	 B2:31	 T:23.40
0.96	 C0:6	 C1:41	 C2:42	 T:23.40
1.09	 D0:18	 D1:313	 D2:319	 T:23.00

1.13	 A0:38	 A1:298	 A2:99	 T:23.40
1.10	 B0:53	 B1:92	 B2:31	 T:23.40
1.03	 C0:6	 C1:42	 C2:42	 T:23.40
1.17	 D0:18	 D1:313	 D2:285	 T:23.00

1.21	 A0:37	 A1:299	 A2:99	 T:23.40
1.18	 B0:52	 B1:92	 B2:31	 T:23.40
1.11	 C0:6	 C1:41	 C2:42	 T:23.40
1.25	 D0:18	 D1:313	 D2:323	 T:23.00

1.29	 A0:38	 A1:299	 A2:99	 T:23.40
1.25	 B0:52	 B1:92	 B2:31	 T:23.40
1.18	 C0:6	 C1:42	 C2:42	 T:23.40
1.32	 D0:18	 D1:313	 D2:312	 T:23.00

1.36	 A0:38	 A1:298	 A2:99	 T:23.40
1.33	 B0:52	 B1:92	 B2:31	 T:23.40
1.25	 C0:6	 C1:42	 C2:42	 T:23.40
1.40	 D0:18	 D1:313	 D2:317	 T:23.00

1.44	 A0:38	 A1:299	 A2:99	 T:23.40
1.40	 B0:53	 B1:92	 B2:31	 T:23.40
1.32	 C0:6	 C1:42	 C2:42	 T:23.40
1.48	 D0:18	 D1:313	 D2:282	 T:23.00

1.52	 A0:38	 A1:299	 A2:99	 T:23.40
1.48	 B0:52	 B1:92	 B2:31	 T:23.40
1.40	 C0:6	 C1:42	 C2:42	 T:23.40
1.56	 D0:18	 D1:313	 D2:326	 T:23.00

1.60	 A0:38	 A1:299	 A2:99	 T:23.40
1.55	 B0:52	 B1:92	 B2:31	 T:23.40
1.47	 C0:6	 C1:42	 C2:42	 T:23.40
1.64	 D0:18	 D1:312	 D2:308	 T:23.00

1.67	 A0:38	 A1:299	 A2:99	 T:23.40
1.63	 B0:52	 B1:92	 B2:31	 T:23.40
1.54	 C0:6	 C1:41	 C2:42	 T:23.40
1.72	 D0:18	 D1:313	 D2:315	 T:23.00

