0.03	 A0:42	 A1:320	 A2:107	 T:23.40
0.03	 B0:55	 B1:101	 B2:36	 T:23.40
0.03	 C0:6	 C1:48	 C2:36	 T:23.40
0.03	 D0:20	 D1:341	 D2:332	 T:23.00

0.06	 A0:42	 A1:320	 A2:107	 T:23.40
0.06	 B0:55	 B1:101	 B2:36	 T:23.40
0.06	 C0:6	 C1:48	 C2:36	 T:23.40
0.06	 D0:20	 D1:340	 D2:338	 T:23.00

0.14	 A0:42	 A1:320	 A2:107	 T:23.40
0.13	 B0:54	 B1:101	 B2:35	 T:23.40
0.12	 C0:6	 C1:48	 C2:36	 T:23.40
0.14	 D0:19	 D1:341	 D2:337	 T:23.00

0.22	 A0:42	 A1:320	 A2:107	 T:23.40
0.21	 B0:55	 B1:101	 B2:36	 T:23.40
0.19	 C0:6	 C1:48	 C2:36	 T:23.40
0.22	 D0:20	 D1:341	 D2:320	 T:23.00

0.30	 A0:42	 A1:320	 A2:107	 T:23.40
0.29	 B0:55	 B1:101	 B2:35	 T:23.40
0.27	 C0:5	 C1:48	 C2:37	 T:23.40
0.30	 D0:20	 D1:341	 D2:355	 T:23.00

0.37	 A0:42	 A1:320	 A2:107	 T:23.40
0.36	 B0:55	 B1:101	 B2:35	 T:23.40
0.34	 C0:5	 C1:48	 C2:36	 T:23.40
0.37	 D0:20	 D1:341	 D2:339	 T:23.00

0.45	 A0:42	 A1:320	 A2:107	 T:23.40
0.44	 B0:54	 B1:101	 B2:36	 T:23.40
0.41	 C0:6	 C1:48	 C2:36	 T:23.40
0.45	 D0:20	 D1:342	 D2:332	 T:23.00

0.53	 A0:42	 A1:320	 A2:107	 T:23.40
0.52	 B0:54	 B1:101	 B2:36	 T:23.40
0.49	 C0:6	 C1:48	 C2:36	 T:23.40
0.53	 D0:20	 D1:341	 D2:330	 T:23.00

0.61	 A0:42	 A1:320	 A2:107	 T:23.40
0.59	 B0:54	 B1:101	 B2:36	 T:23.40
0.56	 C0:6	 C1:48	 C2:36	 T:23.40
0.61	 D0:20	 D1:340	 D2:351	 T:23.00

0.69	 A0:42	 A1:320	 A2:107	 T:23.40
0.67	 B0:54	 B1:101	 B2:36	 T:23.40
0.63	 C0:6	 C1:48	 C2:36	 T:23.40
0.69	 D0:20	 D1:340	 D2:341	 T:23.00

0.77	 A0:42	 A1:320	 A2:107	 T:23.40
0.75	 B0:54	 B1:101	 B2:35	 T:23.40
