0.03	 A0:37	 A1:256	 A2:96	 T:21.40
0.03	 B0:48	 B1:82	 B2:29	 T:21.80
0.03	 C0:6	 C1:39	 C2:39	 T:21.80
0.03	 D0:20	 D1:270	 D2:273	 T:21.40

0.06	 A0:37	 A1:256	 A2:96	 T:21.40
0.06	 B0:48	 B1:82	 B2:29	 T:21.80
0.06	 C0:6	 C1:39	 C2:39	 T:21.80
0.06	 D0:20	 D1:269	 D2:267	 T:21.40

0.13	 A0:37	 A1:256	 A2:96	 T:21.40
0.13	 B0:48	 B1:82	 B2:29	 T:21.80
0.12	 C0:6	 C1:39	 C2:39	 T:21.80
0.14	 D0:20	 D1:270	 D2:274	 T:21.40

0.21	 A0:37	 A1:256	 A2:96	 T:21.40
0.20	 B0:48	 B1:82	 B2:29	 T:21.80
0.19	 C0:6	 C1:39	 C2:39	 T:21.80
0.22	 D0:20	 D1:270	 D2:240	 T:21.40

0.29	 A0:37	 A1:257	 A2:96	 T:21.40
0.28	 B0:48	 B1:82	 B2:29	 T:21.80
0.27	 C0:6	 C1:39	 C2:39	 T:21.80
0.30	 D0:20	 D1:270	 D2:283	 T:21.40

0.36	 A0:37	 A1:256	 A2:96	 T:21.40
0.35	 B0:48	 B1:82	 B2:29	 T:21.80
0.34	 C0:6	 C1:39	 C2:39	 T:21.80
0.37	 D0:20	 D1:270	 D2:267	 T:21.40

0.44	 A0:37	 A1:256	 A2:96	 T:21.40
0.43	 B0:48	 B1:82	 B2:29	 T:21.80
0.41	 C0:7	 C1:39	 C2:39	 T:21.80
0.45	 D0:20	 D1:270	 D2:275	 T:21.40

0.52	 A0:37	 A1:256	 A2:96	 T:21.40
0.50	 B0:48	 B1:82	 B2:29	 T:21.80
0.49	 C0:6	 C1:39	 C2:39	 T:21.80
0.53	 D0:20	 D1:269	 D2:239	 T:21.40

0.59	 A0:37	 A1:257	 A2:96	 T:21.40
0.58	 B0:48	 B1:82	 B2:29	 T:21.80
0.56	 C0:7	 C1:39	 C2:39	 T:21.80
0.61	 D0:20	 D1:269	 D2:282	 T:21.40

0.67	 A0:37	 A1:256	 A2:96	 T:21.40
0.65	 B0:48	 B1:82	 B2:29	 T:21.80
0.63	 C0:6	 C1:39	 C2:39	 T:21.80
0.69	 D0:20	 D1:269	 D2:268	 T:21.40

0.75	 A0:37	 A1:257	 A2:96	 T:21.40
0.73	 B0:49	 B1:82	 B2:29	 T:21.80
0.70	 C0:7	 C1:38	 C2:39	 T:21.80
0.77	 D0:20	 D1:269	 D2:275	 T:21.40

0.83	 A0:37	 A1:256	 A2:96	 T:21.40
0.80	 B0:48	 B1:82	 B2:29	 T:21.80
0.78	 C0:6	 C1:39	 C2:39	 T:21.80
0.85	 D0:20	 D1:269	 D2:239	 T:21.40

0.90	 A0:37	 A1:256	 A2:96	 T:21.40
0.88	 B0:48	 B1:82	 B2:29	 T:21.80
0.85	 C0:7	 C1:39	 C2:39	 T:21.80
0.93	 D0:20	 D1:269	 D2:279	 T:21.40

0.98	 A0:37	 A1:257	 A2:96	 T:21.40
0.95	 B0:48	 B1:82	 B2:29	 T:21.80
0.92	 C0:6	 C1:39	 C2:39	 T:21.80
1.01	 D0:20	 D1:269	 D2:270	 T:21.40

1.06	 A0:37	 A1:256	 A2:96	 T:21.40
1.03	 B0:48	 B1:82	 B2:29	 T:21.80
1.00	 C0:6	 C1:39	 C2:40	 T:21.80
1.09	 D0:20	 D1:269	 D2:276	 T:21.40

1.13	 A0:37	 A1:257	 A2:96	 T:21.40
1.10	 B0:48	 B1:82	 B2:29	 T:21.80
1.07	 C0:6	 C1:39	 C2:39	 T:21.80
1.17	 D0:20	 D1:269	 D2:240	 T:21.40

1.21	 A0:37	 A1:257	 A2:96	 T:21.40
1.18	 B0:48	 B1:82	 B2:29	 T:21.80
1.14	 C0:6	 C1:39	 C2:39	 T:21.80
1.25	 D0:19	 D1:269	 D2:278	 T:21.40

1.29	 A0:37	 A1:257	 A2:96	 T:21.40
1.25	 B0:48	 B1:82	 B2:29	 T:21.80
1.22	 C0:6	 C1:39	 C2:39	 T:21.80
1.32	 D0:20	 D1:269	 D2:271	 T:21.40

1.36	 A0:37	 A1:256	 A2:96	 T:21.40
1.33	 B0:48	 B1:82	 B2:29	 T:21.80
1.29	 C0:6	 C1:39	 C2:39	 T:21.80
1.40	 D0:20	 D1:269	 D2:275	 T:21.40

1.44	 A0:37	 A1:257	 A2:96	 T:21.40
1.40	 B0:48	 B1:82	 B2:29	 T:21.80
1.36	 C0:6	 C1:39	 C2:39	 T:21.80
1.48	 D0:20	 D1:269	 D2:242	 T:21.40

1.52	 A0:37	 A1:256	 A2:96	 T:21.40
1.48	 B0:49	 B1:82	 B2:29	 T:21.80
1.43	 C0:6	 C1:39	 C2:39	 T:21.80
1.56	 D0:20	 D1:269	 D2:275	 T:21.40

1.60	 A0:37	 A1:256	 A2:96	 T:21.40
1.55	 B0:48	 B1:82	 B2:29	 T:21.80
1.51	 C0:6	 C1:39	 C2:39	 T:21.80
1.64	 D0:20	 D1:269	 D2:272	 T:21.40

1.67	 A0:37	 A1:256	 A2:96	 T:21.40
1.63	 B0:48	 B1:82	 B2:29	 T:21.80
1.58	 C0:6	 C1:39	 C2:39	 T:21.80
1.72	 D0:20	 D1:269	 D2:275	 T:21.40

1.75	 A0:37	 A1:256	 A2:96	 T:21.40
1.70	 B0:48	 B1:82	 B2:29	 T:21.80
1.65	 C0:6	 C1:39	 C2:39	 T:21.80
1.80	 D0:20	 D1:269	 D2:245	 T:21.40

1.83	 A0:37	 A1:256	 A2:96	 T:21.40
1.77	 B0:48	 B1:82	 B2:29	 T:21.80
1.72	 C0:6	 C1:39	 C2:39	 T:21.80
1.88	 D0:20	 D1:269	 D2:275	 T:21.40

1.90	 A0:37	 A1:257	 A2:96	 T:21.40
1.85	 B0:48	 B1:82	 B2:29	 T:21.80
1.80	 C0:6	 C1:39	 C2:39	 T:21.80
1.96	 D0:20	 D1:269	 D2:272	 T:21.40

1.98	 A0:37	 A1:257	 A2:96	 T:21.40
1.92	 B0:48	 B1:82	 B2:29	 T:21.80
1.87	 C0:6	 C1:39	 C2:39	 T:21.80
2.05	 D0:20	 D1:270	 D2:278	 T:21.40

2.06	 A0:37	 A1:256	 A2:96	 T:21.40
2.00	 B0:48	 B1:82	 B2:29	 T:21.80
1.94	 C0:6	 C1:39	 C2:39	 T:21.80
2.11	 D0:20	 D1:270	 D2:266	 T:21.40

2.13	 A0:37	 A1:256	 A2:96	 T:21.40
2.07	 B0:48	 B1:82	 B2:29	 T:21.80
2.02	 C0:6	 C1:39	 C2:39	 T:21.80
2.19	 D0:20	 D1:270	 D2:251	 T:21.40

2.21	 A0:37	 A1:257	 A2:96	 T:21.40
2.15	 B0:48	 B1:82	 B2:29	 T:21.80
2.09	 C0:6	 C1:39	 C2:40	 T:21.80
2.27	 D0:20	 D1:270	 D2:285	 T:21.40

2.29	 A0:37	 A1:257	 A2:96	 T:21.40
2.23	 B0:48	 B1:82	 B2:29	 T:21.80
2.16	 C0:6	 C1:39	 C2:39	 T:21.80
2.35	 D0:20	 D1:270	 D2:268	 T:21.40

2.36	 A0:37	 A1:256	 A2:96	 T:21.40
2.30	 B0:48	 B1:82	 B2:29	 T:21.80
2.23	 C0:6	 C1:39	 C2:39	 T:21.80
2.43	 D0:20	 D1:270	 D2:268	 T:21.40

2.44	 A0:36	 A1:256	 A2:96	 T:21.40
2.37	 B0:48	 B1:82	 B2:29	 T:21.80
2.31	 C0:7	 C1:39	 C2:39	 T:21.80
2.51	 D0:20	 D1:270	 D2:247	 T:21.40

2.52	 A0:37	 A1:256	 A2:96	 T:21.40
2.45	 B0:48	 B1:82	 B2:29	 T:21.80
2.38	 C0:6	 C1:39	 C2:39	 T:21.80
2.59	 D0:20	 D1:269	 D2:283	 T:21.40

2.59	 A0:37	 A1:257	 A2:96	 T:21.40
2.52	 B0:48	 B1:82	 B2:30	 T:21.80
2.45	 C0:6	 C1:39	 C2:40	 T:21.80
2.67	 D0:20	 D1:269	 D2:267	 T:21.40

2.67	 A0:37	 A1:256	 A2:96	 T:21.40
2.60	 B0:48	 B1:82	 B2:29	 T:21.80
2.52	 C0:7	 C1:39	 C2:39	 T:21.80
2.75	 D0:20	 D1:270	 D2:268	 T:21.40

2.75	 A0:37	 A1:256	 A2:96	 T:21.40
2.67	 B0:48	 B1:82	 B2:29	 T:21.80
2.60	 C0:6	 C1:39	 C2:39	 T:21.80
2.83	 D0:20	 D1:269	 D2:245	 T:21.40

2.83	 A0:37	 A1:257	 A2:96	 T:21.40
2.75	 B0:48	 B1:82	 B2:29	 T:21.80
2.67	 C0:6	 C1:39	 C2:39	 T:21.80
2.91	 D0:20	 D1:269	 D2:284	 T:21.40

2.90	 A0:37	 A1:256	 A2:96	 T:21.40
2.82	 B0:48	 B1:82	 B2:29	 T:21.80
2.74	 C0:6	 C1:38	 C2:39	 T:21.80
2.98	 D0:20	 D1:269	 D2:267	 T:21.40

2.98	 A0:37	 A1:256	 A2:96	 T:21.40
2.90	 B0:48	 B1:82	 B2:29	 T:21.80
2.82	 C0:6	 C1:39	 C2:39	 T:21.80
3.06	 D0:20	 D1:270	 D2:269	 T:21.40

3.06	 A0:37	 A1:256	 A2:96	 T:21.40
2.97	 B0:48	 B1:82	 B2:29	 T:21.80
2.89	 C0:6	 C1:38	 C2:39	 T:21.80
3.14	 D0:20	 D1:269	 D2:243	 T:21.40

3.13	 A0:36	 A1:256	 A2:96	 T:21.40
3.05	 B0:48	 B1:82	 B2:29	 T:21.80
2.96	 C0:6	 C1:39	 C2:39	 T:21.80
3.22	 D0:19	 D1:270	 D2:283	 T:21.40

3.21	 A0:36	 A1:257	 A2:96	 T:21.40
3.12	 B0:48	 B1:82	 B2:29	 T:21.80
3.03	 C0:6	 C1:39	 C2:39	 T:21.80
3.30	 D0:20	 D1:269	 D2:266	 T:21.40

3.29	 A0:36	 A1:256	 A2:96	 T:21.40
3.20	 B0:48	 B1:82	 B2:29	 T:21.80
3.11	 C0:6	 C1:39	 C2:39	 T:21.80
3.38	 D0:19	 D1:270	 D2:271	 T:21.40

3.36	 A0:37	 A1:256	 A2:96	 T:21.40
3.27	 B0:48	 B1:82	 B2:29	 T:21.80
3.18	 C0:6	 C1:39	 C2:39	 T:21.80
3.46	 D0:20	 D1:269	 D2:242	 T:21.40

3.44	 A0:36	 A1:256	 A2:96	 T:21.40
3.35	 B0:48	 B1:82	 B2:29	 T:21.80
3.25	 C0:6	 C1:39	 C2:39	 T:21.80
3.54	 D0:20	 D1:269	 D2:282	 T:21.40

3.52	 A0:36	 A1:256	 A2:96	 T:21.40
3.42	 B0:48	 B1:82	 B2:29	 T:21.80
3.32	 C0:6	 C1:39	 C2:39	 T:21.80
3.62	 D0:20	 D1:269	 D2:265	 T:21.40

3.60	 A0:37	 A1:257	 A2:96	 T:21.40
3.50	 B0:48	 B1:82	 B2:29	 T:21.80
3.40	 C0:6	 C1:39	 C2:39	 T:21.80
3.70	 D0:20	 D1:270	 D2:271	 T:21.40

3.67	 A0:37	 A1:257	 A2:96	 T:21.40
3.57	 B0:48	 B1:82	 B2:29	 T:21.80
3.47	 C0:6	 C1:39	 C2:39	 T:21.80
3.77	 D0:20	 D1:270	 D2:243	 T:21.40

3.75	 A0:37	 A1:256	 A2:96	 T:21.40
3.65	 B0:48	 B1:82	 B2:29	 T:21.80
3.54	 C0:6	 C1:39	 C2:39	 T:21.80
3.85	 D0:20	 D1:269	 D2:283	 T:21.40

3.83	 A0:36	 A1:256	 A2:96	 T:21.40
3.72	 B0:48	 B1:82	 B2:29	 T:21.80
3.62	 C0:6	 C1:39	 C2:39	 T:21.80
3.93	 D0:20	 D1:269	 D2:265	 T:21.40

3.90	 A0:37	 A1:257	 A2:96	 T:21.40
3.80	 B0:48	 B1:82	 B2:29	 T:21.80
3.69	 C0:7	 C1:39	 C2:39	 T:21.80
4.01	 D0:20	 D1:269	 D2:272	 T:21.40

3.98	 A0:37	 A1:257	 A2:96	 T:21.40
3.87	 B0:48	 B1:82	 B2:29	 T:21.80
3.76	 C0:7	 C1:39	 C2:39	 T:21.80
4.09	 D0:20	 D1:270	 D2:254	 T:21.40

4.06	 A0:36	 A1:256	 A2:96	 T:21.40
3.95	 B0:48	 B1:82	 B2:29	 T:21.80
3.83	 C0:6	 C1:39	 C2:39	 T:21.80
4.17	 D0:20	 D1:270	 D2:265	 T:21.40

4.13	 A0:36	 A1:257	 A2:96	 T:21.40
4.02	 B0:48	 B1:82	 B2:29	 T:21.80
3.91	 C0:6	 C1:39	 C2:39	 T:21.80
4.25	 D0:20	 D1:270	 D2:280	 T:21.40

4.21	 A0:36	 A1:256	 A2:96	 T:21.40
4.10	 B0:48	 B1:82	 B2:29	 T:21.80
3.98	 C0:6	 C1:39	 C2:39	 T:21.80
4.33	 D0:20	 D1:270	 D2:273	 T:21.40

4.29	 A0:36	 A1:256	 A2:96	 T:21.40
4.17	 B0:48	 B1:82	 B2:29	 T:21.80
4.07	 C0:6	 C1:38	 C2:39	 T:21.80
4.41	 D0:20	 D1:270	 D2:257	 T:21.40

4.36	 A0:36	 A1:256	 A2:96	 T:21.40
4.25	 B0:48	 B1:82	 B2:29	 T:21.80
4.12	 C0:6	 C1:39	 C2:39	 T:21.80
4.49	 D0:20	 D1:270	 D2:263	 T:21.40

4.44	 A0:36	 A1:256	 A2:96	 T:21.40
4.32	 B0:48	 B1:82	 B2:29	 T:21.80
4.20	 C0:6	 C1:39	 C2:39	 T:21.80
4.56	 D0:20	 D1:269	 D2:280	 T:21.40

4.52	 A0:36	 A1:256	 A2:96	 T:21.40
4.40	 B0:48	 B1:82	 B2:29	 T:21.80
4.27	 C0:6	 C1:39	 C2:39	 T:21.80
4.64	 D0:20	 D1:269	 D2:272	 T:21.40

4.59	 A0:36	 A1:256	 A2:96	 T:21.40
4.47	 B0:48	 B1:82	 B2:29	 T:21.80
4.34	 C0:6	 C1:39	 C2:39	 T:21.80
4.72	 D0:20	 D1:270	 D2:258	 T:21.40

4.67	 A0:36	 A1:256	 A2:96	 T:21.40
4.54	 B0:48	 B1:82	 B2:29	 T:21.80
4.42	 C0:6	 C1:39	 C2:39	 T:21.80
4.80	 D0:20	 D1:269	 D2:263	 T:21.40

4.75	 A0:36	 A1:256	 A2:96	 T:21.40
4.62	 B0:48	 B1:82	 B2:29	 T:21.80
4.49	 C0:6	 C1:39	 C2:39	 T:21.80
4.88	 D0:20	 D1:269	 D2:280	 T:21.40

4.83	 A0:36	 A1:257	 A2:96	 T:21.40
4.70	 B0:48	 B1:82	 B2:29	 T:21.80
