0.03	 A0:38	 A1:272	 A2:98	 T:22.20
0.05	 B0:52	 B1:86	 B2:30	 T:22.60
0.19	 C0:7	 C1:39	 C2:41	 T:22.60
0.22	 D0:18	 D1:288	 D2:273	 T:22.20

0.06	 A0:38	 A1:272	 A2:98	 T:22.20
0.09	 B0:51	 B1:86	 B2:31	 T:22.60
0.27	 C0:7	 C1:40	 C2:41	 T:22.60
0.30	 D0:18	 D1:288	 D2:284	 T:22.20

0.13	 A0:38	 A1:272	 A2:98	 T:22.20
0.17	 B0:51	 B1:86	 B2:30	 T:22.60
0.34	 C0:6	 C1:40	 C2:41	 T:22.60
0.37	 D0:18	 D1:288	 D2:298	 T:22.20

0.21	 A0:38	 A1:272	 A2:98	 T:22.20
0.24	 B0:52	 B1:86	 B2:30	 T:22.60
0.41	 C0:6	 C1:39	 C2:42	 T:22.60
0.45	 D0:18	 D1:288	 D2:292	 T:22.20

0.29	 A0:38	 A1:272	 A2:98	 T:22.20
0.31	 B0:51	 B1:86	 B2:30	 T:22.60
0.49	 C0:7	 C1:40	 C2:41	 T:22.60
0.53	 D0:18	 D1:288	 D2:269	 T:22.20

0.36	 A0:38	 A1:272	 A2:98	 T:22.20
0.39	 B0:51	 B1:86	 B2:31	 T:22.60
0.56	 C0:6	 C1:40	 C2:41	 T:22.60
0.61	 D0:18	 D1:288	 D2:287	 T:22.20

0.44	 A0:38	 A1:272	 A2:98	 T:22.20
0.46	 B0:51	 B1:86	 B2:30	 T:22.60
0.63	 C0:7	 C1:39	 C2:41	 T:22.60
0.69	 D0:18	 D1:288	 D2:296	 T:22.20

0.52	 A0:38	 A1:272	 A2:98	 T:22.20
0.54	 B0:52	 B1:86	 B2:31	 T:22.60
0.70	 C0:6	 C1:40	 C2:41	 T:22.60
0.77	 D0:18	 D1:288	 D2:292	 T:22.20

0.59	 A0:38	 A1:272	 A2:98	 T:22.20
0.61	 B0:51	 B1:86	 B2:31	 T:22.60
0.78	 C0:6	 C1:39	 C2:41	 T:22.60
0.85	 D0:18	 D1:288	 D2:267	 T:22.20

0.67	 A0:38	 A1:272	 A2:98	 T:22.20
0.69	 B0:52	 B1:86	 B2:30	 T:22.60
0.85	 C0:6	 C1:40	 C2:41	 T:22.60
0.93	 D0:18	 D1:288	 D2:290	 T:22.20

0.75	 A0:38	 A1:272	 A2:98	 T:22.20
0.76	 B0:51	 B1:86	 B2:30	 T:22.60
0.92	 C0:6	 C1:40	 C2:41	 T:22.60
1.01	 D0:18	 D1:288	 D2:293	 T:22.20

0.83	 A0:38	 A1:273	 A2:98	 T:22.20
0.84	 B0:51	 B1:86	 B2:30	 T:22.60
1.00	 C0:6	 C1:39	 C2:41	 T:22.60
1.09	 D0:18	 D1:288	 D2:292	 T:22.20

0.90	 A0:38	 A1:272	 A2:98	 T:22.20
0.91	 B0:52	 B1:86	 B2:30	 T:22.60
1.07	 C0:7	 C1:39	 C2:41	 T:22.60
1.17	 D0:18	 D1:288	 D2:265	 T:22.20

0.98	 A0:38	 A1:272	 A2:98	 T:22.20
0.99	 B0:51	 B1:86	 B2:31	 T:22.60
1.14	 C0:7	 C1:39	 C2:41	 T:22.60
