0.03	 A0:45	 A1:309	 A2:111	 T:23.10
0.03	 B0:61	 B1:100	 B2:42	 T:23.40
0.03	 C0:6	 C1:50	 C2:40	 T:23.00
0.81	 D0:23	 

0.06	 A0:45	 A1:308	 A2:111	 T:23.10
0.06	 B0:61	 B1:100	 B2:42	 T:23.40
0.06	 C0:6	 C1:51	 C2:40	 T:23.00
0.73	 D0:23	 D1:328	 D2:337	 T:23.00

0.22	 A0:45	 A1:308	 A2:111	 T:23.10
0.21	 B0:61	 B1:100	 B2:42	 T:23.40
0.19	 C0:7	 C1:50	 C2:40	 T:23.00
0.05	 D0:23	 D1:328	 D2:337	 T:23.00

0.30	 A0:45	 A1:308	 A2:111	 T:23.10
0.29	 B0:61	 B1:100	 B2:42	 T:23.40
0.27	 C0:7	 C1:50	 C2:40	 T:23.00
0.10	 D0:23	 D1:328	 D2:330	 T:23.00

0.37	 A0:46	 A1:308	 A2:111	 T:23.10
0.36	 B0:61	 B1:100	 B2:42	 T:23.40
0.34	 C0:7	 C1:50	 C2:40	 T:23.00
0.18	 D0:23	 D1:328	 D2:332	 T:23.00

0.45	 A0:45	 A1:309	 A2:111	 T:23.10
0.44	 B0:61	 B1:100	 B2:42	 T:23.40
0.41	 C0:7	 C1:50	 C2:40	 T:23.00
0.26	 D0:23	 D1:328	 D2:331	 T:23.00

0.53	 A0:45	 A1:308	 A2:111	 T:23.10
0.52	 B0:61	 B1:100	 B2:42	 T:23.40
0.49	 C0:7	 C1:50	 C2:40	 T:23.00
0.34	 D0:23	 D1:328	 D2:306	 T:23.00

0.61	 A0:45	 A1:309	 A2:111	 T:23.10
0.59	 B0:61	 B1:100	 B2:42	 T:23.40
0.56	 C0:7	 C1:50	 C2:40	 T:23.00
0.41	 D0:23	 D1:328	 D2:332	 T:23.00

0.69	 A0:45	 A1:308	 A2:111	 T:23.10
0.67	 B0:61	 B1:100	 B2:42	 T:23.40
0.63	 C0:7	 C1:50	 C2:40	 T:23.00
0.49	 D0:23	 D1:327	 D2:329	 T:23.00

0.77	 A0:45	 A1:308	 A2:111	 T:23.10
0.75	 B0:61	 B1:100	 B2:42	 T:23.40
0.70	 C0:7	 C1:50	 C2:40	 T:23.00
0.57	 D0:23	 D1:327	 D2:332	 T:23.00

0.85	 A0:45	 A1:309	 A2:111	 T:23.10
0.83	 B0:61	 B1:100	 B2:42	 T:23.40
0.78	 C0:7	 C1:50	 C2:40	 T:23.00
0.65	 D0:23	 D1:327	 D2:304	 T:23.00

0.93	 A0:45	 A1:308	 A2:111	 T:23.10
0.90	 B0:61	 B1:100	 B2:42	 T:23.40
0.85	 C0:7	 C1:50	 C2:40	 T:23.00
0.73	 D0:23	 D1:327	 D2:333	 T:23.00

1.01	 A0:45	 A1:309	 A2:111	 T:23.10
