0.03	 A0:44	 A1:335	 A2:113	 T:21.80
0.67	 B0:64	 B1:117	 B2:43	 T:21.80
0.03	 C0:6	 C1:62	 C2:38	 T:21.80
0.03	 D0:22	 D1:356	 D2:347	 T:21.40

0.14	 A0:44	 A1:335	 A2:113	 T:21.80
0.71	 B0:64	 B1:117	 B2:43	 T:21.80
0.12	 C0:7	 C1:62	 C2:38	 T:21.80
0.14	 D0:22	 D1:357	 D2:334	 T:21.40

0.22	 A0:44	 A1:335	 A2:113	 T:21.80
0.03	 B0:63	 B1:118	 B2:43	 T:21.80
0.19	 C0:6	 C1:62	 C2:38	 T:21.80
0.22	 D0:23	 D1:356	 D2:359	 T:21.40

0.30	 A0:44	 A1:335	 A2:113	 T:21.80
0.06	 B0:64	 B1:118	 B2:43	 T:21.80
0.27	 C0:7	 C1:62	 C2:38	 T:21.80
0.30	 D0:22	 D1:356	 D2:359	 T:21.40

0.37	 A0:44	 A1:335	 A2:113	 T:21.80
0.13	 B0:63	 B1:117	 B2:42	 T:21.80
0.34	 C0:6	 C1:62	 C2:38	 T:21.80
0.37	 D0:23	 D1:356	 D2:361	 T:21.40

0.45	 A0:44	 A1:335	 A2:113	 T:21.80
0.21	 B0:63	 B1:117	 B2:42	 T:21.80
0.41	 C0:6	 C1:62	 C2:38	 T:21.80
0.45	 D0:23	 D1:357	 D2:324	 T:21.40

0.53	 A0:44	 A1:335	 A2:113	 T:21.80
0.29	 B0:64	 B1:118	 B2:42	 T:21.80
0.49	 C0:6	 C1:62	 C2:38	 T:21.80
0.53	 D0:22	 D1:356	 D2:370	 T:21.40

0.61	 A0:44	 A1:335	 A2:113	 T:21.80
0.36	 B0:64	 B1:118	 B2:43	 T:21.80
0.56	 C0:6	 C1:62	 C2:38	 T:21.80
0.61	 D0:22	 D1:356	 D2:351	 T:21.40

0.69	 A0:44	 A1:335	 A2:113	 T:21.80
0.44	 B0:64	 B1:117	 B2:42	 T:21.80
0.63	 C0:6	 C1:62	 C2:38	 T:21.80
0.69	 D0:23	 D1:356	 D2:353	 T:21.40

0.77	 A0:43	 A1:335	 A2:113	 T:21.80
0.52	 B0:64	 B1:118	 B2:42	 T:21.80
0.70	 C0:6	 C1:62	 C2:38	 T:21.80
0.77	 D0:23	 D1:356	 D2:336	 T:21.40

0.85	 A0:43	 A1:335	 A2:113	 T:21.80
0.59	 B0:63	 B1:118	 B2:42	 T:21.80
0.78	 C0:7	 C1:62	 C2:38	 T:21.80
0.85	 D0:22	 D1:356	 D2:371	 T:21.40

0.93	 A0:43	 A1:335	 A2:113	 T:21.80
0.67	 B0:64	 B1:117	 B2:42	 T:21.80
0.85	 C0:7	 C1:62	 C2:38	 T:21.80
0.93	 D0:22	 D1:355	 D2:354	 T:21.40

1.01	 A0:43	 A1:335	 A2:113	 T:21.80
0.75	 B0:63	 B1:117	 B2:42	 T:21.80
0.92	 C0:6	 C1:62	 C2:38	 T:21.80
1.01	 D0:23	 D1:356	 D2:342	 T:21.40

1.09	 A0:43	 A1:335	 A2:113	 T:21.80
0.83	 B0:63	 B1:117	 B2:42	 T:21.80
1.00	 C0:6	 C1:62	 C2:38	 T:21.80
1.09	 D0:23	 D1:356	 D2:353	 T:21.40

1.17	 A0:44	 A1:335	 A2:113	 T:21.80
0.90	 B0:64	 B1:117	 B2:42	 T:21.80
1.07	 C0:6	 C1:62	 C2:38	 T:21.80
1.17	 D0:23	 D1:355	 D2:365	 T:21.40

1.25	 A0:44	 A1:335	 A2:113	 T:21.80
