0.10	 A0:47	 A1:339	 A2:113	 T:22.20
0.10	 B0:64	 B1:122	 B2:45	 T:22.20
0.27	 C0:6	 C1:66	 C2:38	 T:22.20
0.05	 D0:24	 D1:360	 D2:357	 T:21.80

0.18	 A0:47	 A1:339	 A2:113	 T:22.20
0.17	 B0:64	 B1:122	 B2:45	 T:22.20
0.34	 C0:6	 C1:65	 C2:38	 T:22.20
0.10	 D0:24	 D1:360	 D2:355	 T:21.80

0.26	 A0:47	 A1:340	 A2:113	 T:22.20
0.25	 B0:64	 B1:122	 B2:45	 T:22.20
0.41	 C0:7	 C1:65	 C2:38	 T:22.20
0.18	 D0:24	 D1:360	 D2:349	 T:21.80

0.34	 A0:47	 A1:339	 A2:113	 T:22.20
0.32	 B0:64	 B1:122	 B2:45	 T:22.20
0.49	 C0:7	 C1:65	 C2:39	 T:22.20
0.26	 D0:24	 D1:360	 D2:354	 T:21.80

0.41	 A0:47	 A1:340	 A2:114	 T:22.20
0.40	 B0:64	 B1:122	 B2:45	 T:22.20
0.56	 C0:6	 C1:65	 C2:39	 T:22.20
0.34	 D0:24	 D1:360	 D2:370	 T:21.80

0.49	 A0:47	 A1:339	 A2:113	 T:22.20
0.48	 B0:63	 B1:122	 B2:45	 T:22.20
0.63	 C0:7	 C1:65	 C2:39	 T:22.20
0.41	 D0:24	 D1:360	 D2:362	 T:21.80

0.57	 A0:47	 A1:339	 A2:114	 T:22.20
0.56	 B0:63	 B1:122	 B2:45	 T:22.20
0.70	 C0:6	 C1:66	 C2:38	 T:22.20
0.49	 D0:24	 D1:360	 D2:337	 T:21.80

0.65	 A0:47	 A1:340	 A2:113	 T:22.20
0.63	 B0:63	 B1:122	 B2:45	 T:22.20
0.78	 C0:7	 C1:65	 C2:39	 T:22.20
0.57	 D0:24	 D1:359	 D2:363	 T:21.80

0.73	 A0:47	 A1:339	 A2:113	 T:22.20
0.71	 B0:64	 B1:122	 B2:45	 T:22.20
0.85	 C0:6	 C1:65	 C2:39	 T:22.20
0.65	 D0:24	 D1:359	 D2:359	 T:21.80

0.81	 A0:47	 A1:340	 A2:113	 T:22.20
0.79	 B0:64	 B1:123	 B2:45	 T:22.20
0.92	 C0:6	 C1:66	 C2:38	 T:22.20
0.73	 D0:24	 D1:359	 D2:364	 T:21.80

0.89	 A0:47	 A1:339	 A2:113	 T:22.20
0.86	 B0:64	 B1:122	 B2:45	 T:22.20
1.00	 C0:7	 C1:65	 C2:39	 T:22.20
0.81	 D0:24	 D1:359	 D2:328	 T:21.80

0.97	 A0:47	 A1:339	 A2:113	 T:22.20
0.94	 B0:64	 B1:122	 B2:45	 T:22.20
1.07	 C0:6	 C1:65	 C2:39	 T:22.20
0.89	 D0:24	 D1:359	 D2:373	 T:21.80

1.05	 A0:47	 A1:340	 A2:113	 T:22.20
1.02	 B0:64	 B1:122	 B2:45	 T:22.20
1.14	 C0:6	 C1:66	 C2:38	 T:22.20
0.97	 D0:24	 D1:359	 D2:355	 T:21.80

1.13	 A0:47	 A1:340	 A2:113	 T:22.20
1.10	 B0:64	 B1:122	 B2:45	 T:22.20
1.22	 C0:6	 C1:66	 C2:39	 T:22.20
1.05	 D0:24	 D1:359	 D2:354	 T:21.80

1.21	 A0:47	 A1:340	 A2:113	 T:22.20
1.17	 B0:64	 B1:122	 B2:45	 T:22.20
1.29	 C0:6	 C1:66	 C2:39	 T:22.20
1.13	 D0:24	 D1:359	 D2:340	 T:21.80

1.28	 A0:47	 A1:339	 A2:113	 T:22.20
1.25	 B0:63	 B1:122	 B2:45	 T:22.20
1.36	 C0:6	 C1:66	 C2:39	 T:22.20
1.21	 D0:24	 D1:359	 D2:373	 T:21.80

1.36	 A0:47	 A1:340	 A2:113	 T:22.20
1.33	 B0:64	 B1:122	 B2:45	 T:22.20
1.43	 C0:6	 C1:66	 C2:39	 T:22.20
1.28	 D0:24	 D1:359	 D2:358	 T:21.80

1.44	 A0:47	 A1:339	 A2:113	 T:22.20
1.40	 B0:64	 B1:122	 B2:45	 T:22.20
1.51	 C0:6	 C1:66	 C2:39	 T:22.20
1.36	 D0:24	 D1:359	 D2:344	 T:21.80

1.52	 A0:47	 A1:339	 A2:113	 T:22.20
1.48	 B0:64	 B1:122	 B2:45	 T:22.20
1.58	 C0:6	 C1:66	 C2:39	 T:22.20
1.44	 D0:24	 D1:359	 D2:357	 T:21.80

1.60	 A0:47	 A1:339	 A2:113	 T:22.20
1.56	 B0:64	 B1:122	 B2:45	 T:22.20
1.65	 C0:6	 C1:65	 C2:38	 T:22.20
1.52	 D0:24	 D1:359	 D2:367	 T:21.80

1.68	 A0:47	 A1:339	 A2:113	 T:22.20
1.63	 B0:64	 B1:122	 B2:45	 T:22.20
1.72	 C0:6	 C1:66	 C2:39	 T:22.20
1.60	 D0:24	 D1:359	 D2:363	 T:21.80

1.76	 A0:47	 A1:339	 A2:113	 T:22.20
1.71	 B0:64	 B1:122	 B2:45	 T:22.20
1.80	 C0:6	 C1:66	 C2:39	 T:22.20
1.68	 D0:24	 D1:359	 D2:334	 T:21.80

1.84	 A0:47	 A1:339	 A2:113	 T:22.20
1.79	 B0:64	 B1:123	 B2:45	 T:22.20
1.87	 C0:6	 C1:66	 C2:39	 T:22.20
1.76	 D0:24	 D1:359	 D2:368	 T:21.80

1.92	 A0:47	 A1:339	 A2:113	 T:22.20
1.86	 B0:64	 B1:122	 B2:45	 T:22.20
1.94	 C0:7	 C1:65	 C2:39	 T:22.20
1.84	 D0:24	 D1:359	 D2:357	 T:21.80

2.00	 A0:47	 A1:339	 A2:113	 T:22.20
1.94	 B0:64	 B1:122	 B2:45	 T:22.20
2.02	 C0:6	 C1:65	 C2:39	 T:22.20
1.92	 D0:24	 D1:359	 D2:362	 T:21.80

2.07	 A0:47	 A1:339	 A2:113	 T:22.20
2.03	 B0:64	 B1:122	 B2:45	 T:22.20
2.09	 C0:7	 C1:66	 C2:39	 T:22.20
2.00	 D0:24	 D1:360	 D2:331	 T:21.80

2.15	 A0:47	 A1:339	 A2:113	 T:22.20
