1.88	 A0:45	 A1:296	 A2:109	 T:22.60
1.96	 B0:60	 B1:95	 B2:39	 T:nan
0.03	 C0:7	 C1:47	 C2:39	 T:22.60
1.96	 D0:23	 D1:315	 D2:321	 T:22.20

0.10	 A0:44	 A1:296	 A2:109	 T:22.60
0.05	 B0:60	 B1:95	 B2:40	 T:nan
0.27	 C0:7	 C1:47	 C2:39	 T:22.60
0.05	 D0:23	 D1:314	 D2:308	 T:22.20

0.18	 A0:44	 A1:296	 A2:109	 T:22.60
0.12	 B0:60	 B1:95	 B2:40	 T:nan
0.34	 C0:6	 C1:48	 C2:39	 T:22.60
0.10	 D0:23	 D1:315	 D2:313	 T:22.20

0.26	 A0:44	 A1:296	 A2:109	 T:22.60
0.19	 B0:60	 B1:95	 B2:39	 T:nan
0.41	 C0:7	 C1:48	 C2:39	 T:22.60
0.18	 D0:23	 D1:315	 D2:295	 T:22.20

0.34	 A0:44	 A1:297	 A2:109	 T:22.60
0.26	 B0:60	 B1:95	 B2:39	 T:nan
0.49	 C0:7	 C1:48	 C2:39	 T:22.60
0.26	 D0:23	 D1:315	 D2:329	 T:22.20

0.41	 A0:44	 A1:296	 A2:109	 T:22.60
0.33	 B0:60	 B1:95	 B2:39	 T:nan
0.56	 C0:7	 C1:47	 C2:39	 T:22.60
0.34	 D0:23	 D1:314	 D2:313	 T:22.20

0.49	 A0:44	 A1:296	 A2:109	 T:22.60
0.40	 B0:60	 B1:95	 B2:39	 T:nan
0.63	 C0:6	 C1:47	 C2:39	 T:22.60
0.41	 D0:23	 D1:315	 D2:308	 T:22.20

0.57	 A0:44	 A1:296	 A2:109	 T:22.60
0.47	 B0:60	 B1:95	 B2:39	 T:nan
0.70	 C0:6	 C1:47	 C2:39	 T:22.60
0.49	 D0:23	 D1:314	 D2:297	 T:22.20

0.65	 A0:44	 A1:296	 A2:108	 T:22.60
0.54	 B0:60	 B1:95	 B2:39	 T:nan
0.78	 C0:6	 C1:47	 C2:39	 T:22.60
0.57	 D0:23	 D1:314	 D2:327	 T:22.20

0.73	 A0:44	 A1:296	 A2:109	 T:22.60
0.61	 B0:60	 B1:95	 B2:39	 T:nan
0.85	 C0:7	 C1:48	 C2:39	 T:22.60
0.65	 D0:23	 D1:314	 D2:313	 T:22.20

0.81	 A0:44	 A1:296	 A2:109	 T:22.60
0.68	 B0:60	 B1:95	 B2:39	 T:nan
0.92	 C0:7	 C1:48	 C2:39	 T:22.60
0.73	 D0:23	 D1:314	 D2:306	 T:22.20

0.89	 A0:44	 A1:296	 A2:109	 T:22.60
0.75	 B0:60	 B1:95	 B2:39	 T:nan
1.00	 C0:6	 C1:48	 C2:39	 T:22.60
0.81	 D0:23	 D1:314	 D2:302	 T:22.20

0.97	 A0:44	 A1:296	 A2:109	 T:22.60
0.82	 B0:60	 B1:95	 B2:39	 T:nan
1.07	 C0:6	 C1:47	 C2:39	 T:22.60
0.89	 D0:23	 D1:314	 D2:326	 T:22.20

1.05	 A0:44	 A1:296	 A2:109	 T:22.60
0.90	 B0:59	 B1:95	 B2:39	 T:nan
1.14	 C0:7	 C1:47	 C2:39	 T:22.60
0.97	 D0:23	 D1:314	 D2:314	 T:22.20

1.13	 A0:44	 A1:297	 A2:109	 T:22.60
0.97	 B0:60	 B1:95	 B2:39	 T:nan
1.21	 C0:7	 C1:48	 C2:39	 T:22.60
1.05	 D0:23	 D1:314	 D2:304	 T:22.20

1.21	 A0:44	 A1:296	 A2:109	 T:22.60
1.04	 B0:60	 B1:95	 B2:39	 T:nan
1.29	 C0:7	 C1:47	 C2:39	 T:22.60
1.13	 D0:23	 D1:314	 D2:305	 T:22.20

1.28	 A0:44	 A1:296	 A2:109	 T:22.60
1.11	 B0:60	 B1:95	 B2:39	 T:nan
1.36	 C0:7	 C1:48	 C2:39	 T:22.60
1.21	 D0:23	 D1:314	 D2:324	 T:22.20

1.36	 A0:44	 A1:296	 A2:109	 T:22.60
1.18	 B0:60	 B1:95	 B2:39	 T:nan
1.43	 C0:7	 C1:47	 C2:39	 T:22.60
1.28	 D0:23	 D1:314	 D2:315	 T:22.20

1.44	 A0:44	 A1:296	 A2:109	 T:22.60
1.25	 B0:60	 B1:95	 B2:39	 T:nan
1.51	 C0:7	 C1:48	 C2:39	 T:22.60
1.36	 D0:23	 D1:314	 D2:302	 T:22.20

1.52	 A0:44	 A1:296	 A2:109	 T:22.60
1.32	 B0:60	 B1:95	 B2:39	 T:nan
1.58	 C0:6	 C1:47	 C2:39	 T:22.60
1.44	 D0:23	 D1:314	 D2:307	 T:22.20

1.60	 A0:44	 A1:296	 A2:109	 T:22.60
1.39	 B0:60	 B1:95	 B2:39	 T:nan
1.65	 C0:6	 C1:48	 C2:39	 T:22.60
1.52	 D0:23	 D1:314	 D2:322	 T:22.20

1.68	 A0:44	 A1:296	 A2:108	 T:22.60
1.46	 B0:60	 B1:95	 B2:39	 T:nan
1.72	 C0:6	 C1:47	 C2:39	 T:22.60
1.60	 D0:23	 D1:314	 D2:317	 T:22.20

1.76	 A0:44	 A1:296	 A2:109	 T:22.60
1.53	 B0:60	 B1:95	 B2:39	 T:nan
1.80	 C0:7	 C1:47	 C2:39	 T:22.60
1.68	 D0:23	 D1:314	 D2:299	 T:22.20

1.84	 A0:44	 A1:296	 A2:109	 T:22.60
1.60	 B0:59	 B1:95	 B2:39	 T:nan
1.87	 C0:7	 C1:47	 C2:39	 T:22.60
1.76	 D0:23	 D1:314	 D2:310	 T:22.20

1.92	 A0:44	 A1:296	 A2:108	 T:22.60
1.67	 B0:60	 B1:95	 B2:39	 T:nan
1.94	 C0:7	 C1:47	 C2:39	 T:22.60
1.84	 D0:23	 D1:314	 D2:323	 T:22.20

2.00	 A0:44	 A1:296	 A2:109	 T:22.60
1.74	 B0:60	 B1:95	 B2:39	 T:nan
2.02	 C0:7	 C1:48	 C2:39	 T:22.60
1.92	 D0:23	 D1:314	 D2:318	 T:22.20

2.07	 A0:44	 A1:296	 A2:109	 T:22.60
1.81	 B0:60	 B1:95	 B2:39	 T:nan
2.09	 C0:7	 C1:47	 C2:39	 T:22.60
2.00	 D0:23	 D1:314	 D2:296	 T:22.20

2.15	 A0:44	 A1:296	 A2:109	 T:22.60
1.88	 B0:60	 B1:95	 B2:39	 T:nan
2.16	 C0:6	 C1:47	 C2:39	 T:22.60
2.08	 D0:23	 D1:314	 D2:287	 T:22.20

2.23	 A0:44	 A1:296	 A2:108	 T:22.60
1.96	 B0:60	 B1:95	 B2:39	 T:nan
2.23	 C0:6	 C1:47	 C2:39	 T:22.60
2.15	 D0:23	 D1:314	 D2:327	 T:22.20

2.31	 A0:44	 A1:296	 A2:109	 T:22.60
2.04	 B0:60	 B1:95	 B2:39	 T:nan
2.31	 C0:6	 C1:47	 C2:39	 T:22.60
2.23	 D0:23	 D1:314	 D2:312	 T:22.20

2.39	 A0:44	 A1:296	 A2:108	 T:22.60
2.10	 B0:60	 B1:95	 B2:39	 T:nan
2.38	 C0:6	 C1:48	 C2:39	 T:22.60
2.31	 D0:23	 D1:315	 D2:313	 T:22.20

2.47	 A0:44	 A1:296	 A2:109	 T:22.60
2.17	 B0:60	 B1:95	 B2:39	 T:nan
2.45	 C0:7	 C1:47	 C2:39	 T:22.60
2.39	 D0:23	 D1:314	 D2:291	 T:22.20

2.55	 A0:44	 A1:296	 A2:109	 T:22.60
2.24	 B0:60	 B1:95	 B2:39	 T:nan
2.53	 C0:7	 C1:47	 C2:39	 T:22.60
2.47	 D0:23	 D1:315	 D2:328	 T:22.20

2.63	 A0:44	 A1:296	 A2:109	 T:22.60
2.31	 B0:60	 B1:95	 B2:39	 T:nan
2.60	 C0:7	 C1:47	 C2:39	 T:22.60
2.55	 D0:23	 D1:314	 D2:313	 T:22.20

2.71	 A0:44	 A1:296	 A2:108	 T:22.60
2.38	 B0:59	 B1:95	 B2:39	 T:nan
