0.03	 A0:39	 A1:280	 A2:107	 T:22.20
0.03	 B0:53	 B1:87	 B2:35	 T:nan
0.03	 C0:4	 C1:42	 C2:36	 T:22.20
0.03	 D0:20	 D1:293	 D2:299	 T:21.80

0.06	 A0:39	 A1:280	 A2:107	 T:22.20
0.05	 B0:53	 B1:87	 B2:35	 T:nan
0.06	 C0:4	 C1:42	 C2:36	 T:22.20
0.06	 D0:20	 D1:293	 D2:298	 T:21.80

0.14	 A0:39	 A1:280	 A2:107	 T:22.20
0.12	 B0:53	 B1:87	 B2:35	 T:nan
0.12	 C0:4	 C1:42	 C2:36	 T:22.20
0.14	 D0:20	 D1:294	 D2:301	 T:21.80

0.22	 A0:39	 A1:280	 A2:107	 T:22.20
0.19	 B0:53	 B1:87	 B2:35	 T:nan
0.19	 C0:5	 C1:42	 C2:36	 T:22.20
0.22	 D0:20	 D1:294	 D2:264	 T:21.80

0.30	 A0:39	 A1:280	 A2:107	 T:22.20
0.26	 B0:54	 B1:87	 B2:35	 T:nan
0.27	 C0:5	 C1:42	 C2:36	 T:22.20
0.30	 D0:20	 D1:294	 D2:305	 T:21.80

0.37	 A0:39	 A1:280	 A2:107	 T:22.20
0.33	 B0:53	 B1:87	 B2:34	 T:nan
0.34	 C0:4	 C1:42	 C2:36	 T:22.20
0.37	 D0:20	 D1:294	 D2:293	 T:21.80

0.45	 A0:39	 A1:280	 A2:107	 T:22.20
0.40	 B0:53	 B1:87	 B2:35	 T:nan
0.41	 C0:4	 C1:42	 C2:36	 T:22.20
0.45	 D0:20	 D1:294	 D2:299	 T:21.80

0.53	 A0:39	 A1:280	 A2:107	 T:22.20
0.47	 B0:53	 B1:87	 B2:35	 T:nan
0.49	 C0:5	 C1:42	 C2:36	 T:22.20
0.53	 D0:20	 D1:294	 D2:262	 T:21.80

0.61	 A0:40	 A1:280	 A2:107	 T:22.20
0.54	 B0:53	 B1:87	 B2:35	 T:nan
0.56	 C0:4	 C1:42	 C2:36	 T:22.20
0.61	 D0:20	 D1:294	 D2:305	 T:21.80

0.69	 A0:39	 A1:280	 A2:107	 T:22.20
0.61	 B0:53	 B1:87	 B2:35	 T:nan
0.63	 C0:4	 C1:42	 C2:36	 T:22.20
0.69	 D0:20	 D1:293	 D2:291	 T:21.80

0.77	 A0:39	 A1:280	 A2:107	 T:22.20
0.68	 B0:54	 B1:87	 B2:35	 T:nan
0.70	 C0:4	 C1:42	 C2:36	 T:22.20
0.77	 D0:20	 D1:293	 D2:298	 T:21.80

0.85	 A0:39	 A1:280	 A2:106	 T:22.20
0.75	 B0:53	 B1:87	 B2:34	 T:nan
0.78	 C0:4	 C1:42	 C2:36	 T:22.20
0.85	 D0:20	 D1:294	 D2:263	 T:21.80

0.93	 A0:39	 A1:280	 A2:107	 T:22.20
0.82	 B0:53	 B1:87	 B2:35	 T:nan
0.85	 C0:4	 C1:42	 C2:36	 T:22.20
0.93	 D0:20	 D1:293	 D2:306	 T:21.80

1.01	 A0:40	 A1:280	 A2:107	 T:22.20
0.90	 B0:54	 B1:87	 B2:35	 T:nan
0.92	 C0:4	 C1:42	 C2:36	 T:22.20
1.01	 D0:20	 D1:293	 D2:290	 T:21.80

1.09	 A0:39	 A1:280	 A2:106	 T:22.20
0.97	 B0:54	 B1:87	 B2:35	 T:nan
1.00	 C0:4	 C1:42	 C2:36	 T:22.20
1.09	 D0:20	 D1:293	 D2:297	 T:21.80

1.17	 A0:39	 A1:280	 A2:107	 T:22.20
1.04	 B0:53	 B1:87	 B2:35	 T:nan
1.07	 C0:4	 C1:42	 C2:36	 T:22.20
1.17	 D0:20	 D1:293	 D2:264	 T:21.80

1.25	 A0:39	 A1:280	 A2:107	 T:22.20
1.11	 B0:53	 B1:87	 B2:35	 T:nan
1.14	 C0:4	 C1:42	 C2:36	 T:22.20
1.25	 D0:20	 D1:294	 D2:307	 T:21.80

1.32	 A0:39	 A1:280	 A2:106	 T:22.20
1.18	 B0:53	 B1:87	 B2:35	 T:nan
1.21	 C0:5	 C1:42	 C2:36	 T:22.20
1.32	 D0:20	 D1:294	 D2:288	 T:21.80

1.40	 A0:39	 A1:280	 A2:107	 T:22.20
1.25	 B0:53	 B1:87	 B2:35	 T:nan
1.29	 C0:4	 C1:42	 C2:36	 T:22.20
1.40	 D0:20	 D1:294	 D2:296	 T:21.80

1.48	 A0:39	 A1:280	 A2:107	 T:22.20
1.32	 B0:53	 B1:87	 B2:34	 T:nan
1.36	 C0:4	 C1:42	 C2:36	 T:22.20
1.48	 D0:20	 D1:294	 D2:265	 T:21.80

1.56	 A0:39	 A1:280	 A2:107	 T:22.20
1.39	 B0:53	 B1:88	 B2:34	 T:nan
1.43	 C0:5	 C1:42	 C2:36	 T:22.20
1.56	 D0:20	 D1:294	 D2:307	 T:21.80

1.64	 A0:39	 A1:280	 A2:107	 T:22.20
1.46	 B0:53	 B1:87	 B2:35	 T:nan
1.51	 C0:4	 C1:42	 C2:36	 T:22.20
1.64	 D0:20	 D1:293	 D2:289	 T:21.80

1.72	 A0:39	 A1:280	 A2:107	 T:22.20
1.53	 B0:53	 B1:87	 B2:34	 T:nan
1.58	 C0:4	 C1:42	 C2:36	 T:22.20
1.72	 D0:20	 D1:294	 D2:295	 T:21.80

1.80	 A0:39	 A1:280	 A2:107	 T:22.20
1.60	 B0:53	 B1:87	 B2:35	 T:nan
1.65	 C0:5	 C1:42	 C2:36	 T:22.20
1.80	 D0:20	 D1:293	 D2:266	 T:21.80

1.88	 A0:39	 A1:280	 A2:106	 T:22.20
1.67	 B0:53	 B1:87	 B2:35	 T:nan
1.72	 C0:4	 C1:42	 C2:36	 T:22.20
1.88	 D0:20	 D1:294	 D2:307	 T:21.80

1.96	 A0:39	 A1:280	 A2:107	 T:22.20
1.74	 B0:53	 B1:87	 B2:35	 T:nan
1.80	 C0:4	 C1:42	 C2:36	 T:22.20
1.96	 D0:20	 D1:294	 D2:290	 T:21.80

2.05	 A0:39	 A1:280	 A2:107	 T:22.20
1.81	 B0:53	 B1:87	 B2:34	 T:nan
1.87	 C0:5	 C1:42	 C2:36	 T:22.20
2.05	 D0:20	 D1:294	 D2:301	 T:21.80

2.11	 A0:39	 A1:280	 A2:106	 T:22.20
1.88	 B0:53	 B1:87	 B2:34	 T:nan
1.94	 C0:5	 C1:42	 C2:36	 T:22.20
2.11	 D0:20	 D1:294	 D2:275	 T:21.80

2.19	 A0:39	 A1:280	 A2:107	 T:22.20
1.96	 B0:53	 B1:87	 B2:35	 T:nan
2.02	 C0:4	 C1:42	 C2:36	 T:22.20
2.19	 D0:21	 D1:294	 D2:295	 T:21.80

2.27	 A0:39	 A1:280	 A2:107	 T:22.20
2.04	 B0:53	 B1:87	 B2:35	 T:nan
2.09	 C0:5	 C1:42	 C2:36	 T:22.20
2.27	 D0:20	 D1:294	 D2:303	 T:21.80

2.35	 A0:39	 A1:280	 A2:107	 T:22.20
2.10	 B0:53	 B1:87	 B2:34	 T:nan
2.16	 C0:5	 C1:42	 C2:36	 T:22.20
2.35	 D0:20	 D1:294	 D2:297	 T:21.80

2.43	 A0:39	 A1:280	 A2:107	 T:22.20
2.17	 B0:53	 B1:87	 B2:34	 T:nan
