0.73	 A0:43	 A1:273	 A2:107	 T:23.40
0.82	 B0:55	 B1:88	 B2:37	 T:nan
0.06	 C0:4	 C1:43	 C2:36	 T:23.00
0.85	 D0:22	 D1:288	 D2:304	 T:23.00

0.05	 A0:42	 A1:273	 A2:107	 T:23.40
0.05	 B0:55	 B1:88	 B2:37	 T:nan
0.19	 C0:4	 C1:43	 C2:37	 T:23.00
0.06	 D0:22	 D1:287	 D2:312	 T:23.00

0.10	 A0:42	 A1:273	 A2:107	 T:23.40
0.12	 B0:55	 B1:88	 B2:37	 T:nan
0.27	 C0:4	 C1:43	 C2:37	 T:23.00
0.14	 D0:22	 D1:288	 D2:286	 T:23.00

0.18	 A0:42	 A1:273	 A2:107	 T:23.40
0.19	 B0:55	 B1:88	 B2:37	 T:nan
0.34	 C0:4	 C1:43	 C2:37	 T:23.00
0.22	 D0:22	 D1:288	 D2:291	 T:23.00

0.26	 A0:42	 A1:273	 A2:107	 T:23.40
0.26	 B0:55	 B1:88	 B2:37	 T:nan
0.41	 C0:4	 C1:42	 C2:37	 T:23.00
0.30	 D0:22	 D1:288	 D2:258	 T:23.00

0.34	 A0:42	 A1:273	 A2:107	 T:23.40
0.33	 B0:55	 B1:88	 B2:37	 T:nan
0.49	 C0:4	 C1:43	 C2:36	 T:23.00
0.37	 D0:22	 D1:288	 D2:302	 T:23.00

0.41	 A0:42	 A1:273	 A2:107	 T:23.40
0.40	 B0:55	 B1:88	 B2:37	 T:nan
0.56	 C0:4	 C1:43	 C2:37	 T:23.00
0.45	 D0:22	 D1:287	 D2:283	 T:23.00

0.49	 A0:42	 A1:273	 A2:107	 T:23.40
0.47	 B0:55	 B1:88	 B2:37	 T:nan
0.63	 C0:4	 C1:42	 C2:37	 T:23.00
0.53	 D0:22	 D1:287	 D2:290	 T:23.00

0.57	 A0:42	 A1:273	 A2:107	 T:23.40
0.54	 B0:55	 B1:88	 B2:37	 T:nan
0.70	 C0:4	 C1:43	 C2:36	 T:23.00
0.61	 D0:22	 D1:287	 D2:257	 T:23.00

0.65	 A0:42	 A1:273	 A2:107	 T:23.40
0.61	 B0:55	 B1:88	 B2:37	 T:nan
0.78	 C0:4	 C1:43	 C2:37	 T:23.00
0.69	 D0:22	 D1:287	 D2:302	 T:23.00

0.73	 A0:42	 A1:273	 A2:107	 T:23.40
0.68	 B0:55	 B1:88	 B2:38	 T:nan
0.85	 C0:4	 C1:43	 C2:37	 T:23.00
0.77	 D0:22	 D1:287	 D2:284	 T:23.00

0.81	 A0:42	 A1:273	 A2:107	 T:23.40
0.75	 B0:55	 B1:88	 B2:37	 T:nan
0.92	 C0:4	 C1:43	 C2:37	 T:23.00
0.85	 D0:22	 D1:287	 D2:288	 T:23.00

0.89	 A0:42	 A1:273	 A2:107	 T:23.40
0.82	 B0:55	 B1:88	 B2:37	 T:nan
1.00	 C0:4	 C1:43	 C2:37	 T:23.00
0.93	 D0:22	 D1:287	 D2:258	 T:23.00

0.97	 A0:42	 A1:273	 A2:107	 T:23.40
0.90	 B0:55	 B1:88	 B2:37	 T:nan
1.07	 C0:4	 C1:43	 C2:37	 T:23.00
1.01	 D0:22	 D1:287	 D2:302	 T:23.00

1.05	 A0:42	 A1:273	 A2:107	 T:23.40
0.97	 B0:55	 B1:88	 B2:37	 T:nan
1.14	 C0:4	 C1:43	 C2:37	 T:23.00
1.09	 D0:22	 D1:287	 D2:284	 T:23.00

1.13	 A0:42	 A1:273	 A2:107	 T:23.40
1.04	 B0:55	 B1:88	 B2:37	 T:nan
1.21	 C0:5	 C1:43	 C2:37	 T:23.00
1.17	 D0:22	 D1:287	 D2:287	 T:23.00

