0.03	 A0:26	 A1:183	 A2:66	 T:23.40
0.03	 B0:86	 B1:133	 B2:71	 T:23.00
0.03	 C0:15	 C1:70	 C2:16	 T:23.40
0.03	 D0:15	 D1:195	 D2:78	 T:23.00

0.06	 A0:26	 A1:183	 A2:66	 T:23.40
0.06	 B0:87	 B1:133	 B2:72	 T:23.00
0.06	 C0:15	 C1:70	 C2:17	 T:23.40
0.06	 D0:15	 D1:195	 D2:78	 T:23.00

0.13	 A0:26	 A1:183	 A2:66	 T:23.40
0.13	 B0:87	 B1:133	 B2:72	 T:23.00
0.13	 C0:15	 C1:70	 C2:17	 T:23.40
0.13	 D0:15	 D1:195	 D2:78	 T:23.00

0.21	 A0:26	 A1:183	 A2:66	 T:23.40
0.21	 B0:87	 B1:133	 B2:71	 T:23.00
0.20	 C0:15	 C1:70	 C2:17	 T:23.40
0.21	 D0:15	 D1:195	 D2:78	 T:23.00

0.29	 A0:26	 A1:183	 A2:66	 T:23.40
0.29	 B0:87	 B1:133	 B2:72	 T:23.00
0.28	 C0:14	 C1:70	 C2:17	 T:23.40
0.29	 D0:15	 D1:195	 D2:78	 T:23.00

0.36	 A0:26	 A1:183	 A2:66	 T:23.40
0.36	 B0:87	 B1:133	 B2:72	 T:23.00
0.35	 C0:15	 C1:70	 C2:17	 T:23.40
0.36	 D0:15	 D1:195	 D2:78	 T:23.00

0.44	 A0:26	 A1:183	 A2:66	 T:23.40
0.44	 B0:86	 B1:133	 B2:71	 T:23.00
0.43	 C0:15	 C1:70	 C2:17	 T:23.40
0.44	 D0:15	 D1:195	 D2:78	 T:23.00

0.52	 A0:26	 A1:183	 A2:66	 T:23.40
0.52	 B0:87	 B1:133	 B2:71	 T:23.00
0.50	 C0:15	 C1:70	 C2:17	 T:23.40
0.52	 D0:15	 D1:194	 D2:78	 T:23.00

0.59	 A0:26	 A1:183	 A2:66	 T:23.40
0.59	 B0:87	 B1:133	 B2:71	 T:23.00
0.58	 C0:15	 C1:70	 C2:17	 T:23.40
0.59	 D0:15	 D1:195	 D2:78	 T:23.00

0.67	 A0:26	 A1:183	 A2:66	 T:23.40
0.67	 B0:87	 B1:133	 B2:72	 T:23.00
0.65	 C0:14	 C1:70	 C2:17	 T:23.40
0.67	 D0:15	 D1:195	 D2:78	 T:23.00

0.75	 A0:26	 A1:183	 A2:66	 T:23.40
0.75	 B0:86	 B1:133	 B2:72	 T:23.00
0.73	 C0:15	 C1:70	 C2:17	 T:23.40
0.75	 D0:15	 D1:195	 D2:78	 T:23.00

0.83	 A0:26	 A1:183	 A2:66	 T:23.40
0.83	 B0:86	 B1:133	 B2:72	 T:23.00
0.80	 C0:15	 C1:70	 C2:17	 T:23.40
0.83	 D0:15	 D1:195	 D2:78	 T:23.00

0.90	 A0:26	 A1:183	 A2:66	 T:23.40
0.90	 B0:86	 B1:133	 B2:72	 T:23.00
0.88	 C0:15	 C1:70	 C2:17	 T:23.40
0.90	 D0:15	 D1:195	 D2:78	 T:23.00

0.98	 A0:26	 A1:183	 A2:66	 T:23.40
0.98	 B0:87	 B1:133	 B2:72	 T:23.00
0.95	 C0:15	 C1:70	 C2:17	 T:23.40
0.98	 D0:15	 D1:195	 D2:78	 T:23.00

1.06	 A0:25	 A1:183	 A2:66	 T:23.40
1.06	 B0:86	 B1:133	 B2:72	 T:23.00
1.03	 C0:15	 C1:70	 C2:17	 T:23.40
1.06	 D0:15	 D1:195	 D2:78	 T:23.00

1.13	 A0:26	 A1:183	 A2:66	 T:23.40
1.13	 B0:87	 B1:133	 B2:72	 T:23.00
1.10	 C0:15	 C1:70	 C2:17	 T:23.40
1.13	 D0:15	 D1:195	 D2:78	 T:23.00

1.21	 A0:26	 A1:183	 A2:66	 T:23.40
1.21	 B0:86	 B1:133	 B2:72	 T:23.00
1.18	 C0:15	 C1:70	 C2:17	 T:23.40
1.21	 D0:15	 D1:195	 D2:78	 T:23.00

1.29	 A0:25	 A1:183	 A2:66	 T:23.40
1.29	 B0:87	 B1:133	 B2:72	 T:23.00
1.25	 C0:15	 C1:70	 C2:17	 T:23.40
1.29	 D0:15	 D1:195	 D2:78	 T:23.00

1.36	 A0:26	 A1:183	 A2:66	 T:23.40
1.36	 B0:87	 B1:133	 B2:72	 T:23.00
