0.06	 A0:28	 A1:174	 A2:65	 T:22.20
0.04	 B0:87	 B1:124	 B2:94	 T:nan
0.13	 C0:18	 C1:75	 C2:22	 T:22.60
0.13	 D0:17	 D1:185	 D2:85	 T:22.20

0.13	 A0:28	 A1:174	 A2:64	 T:22.20
0.09	 B0:87	 B1:124	 B2:94	 T:nan
0.20	 C0:18	 C1:75	 C2:21	 T:22.60
0.21	 D0:17	 D1:185	 D2:85	 T:22.20

0.21	 A0:28	 A1:174	 A2:65	 T:22.20
0.16	 B0:87	 B1:124	 B2:94	 T:nan
0.28	 C0:18	 C1:75	 C2:22	 T:22.60
0.29	 D0:17	 D1:185	 D2:85	 T:22.20

0.29	 A0:28	 A1:174	 A2:65	 T:22.20
0.23	 B0:87	 B1:124	 B2:94	 T:nan
0.35	 C0:18	 C1:75	 C2:21	 T:22.60
0.36	 D0:17	 D1:185	 D2:85	 T:22.20

0.36	 A0:28	 A1:174	 A2:65	 T:22.20
0.30	 B0:87	 B1:124	 B2:94	 T:nan
0.43	 C0:18	 C1:75	 C2:21	 T:22.60
0.44	 D0:17	 D1:185	 D2:85	 T:22.20

0.44	 A0:28	 A1:174	 A2:65	 T:22.20
0.38	 B0:87	 B1:124	 B2:94	 T:nan
0.50	 C0:18	 C1:75	 C2:21	 T:22.60
0.52	 D0:17	 D1:185	 D2:85	 T:22.20

0.52	 A0:28	 A1:174	 A2:65	 T:22.20
0.45	 B0:87	 B1:124	 B2:94	 T:nan
0.58	 C0:18	 C1:75	 C2:21	 T:22.60
0.59	 D0:17	 D1:185	 D2:85	 T:22.20

0.59	 A0:28	 A1:174	 A2:65	 T:22.20
0.52	 B0:87	 B1:124	 B2:94	 T:nan
0.65	 C0:18	 C1:75	 C2:21	 T:22.60
0.67	 D0:17	 D1:185	 D2:85	 T:22.20

0.67	 A0:28	 A1:174	 A2:65	 T:22.20
0.60	 B0:87	 B1:124	 B2:95	 T:nan
0.73	 C0:18	 C1:75	 C2:21	 T:22.60
0.75	 D0:17	 D1:185	 D2:85	 T:22.20

0.75	 A0:28	 A1:174	 A2:65	 T:22.20
0.67	 B0:87	 B1:124	 B2:94	 T:nan
0.80	 C0:18	 C1:75	 C2:21	 T:22.60
0.83	 D0:17	 D1:185	 D2:85	 T:22.20

0.83	 A0:28	 A1:174	 A2:65	 T:22.20
0.74	 B0:87	 B1:124	 B2:94	 T:nan
0.88	 C0:18	 C1:75	 C2:21	 T:22.60
0.90	 D0:17	 D1:185	 D2:85	 T:22.20

0.90	 A0:28	 A1:174	 A2:65	 T:22.20
0.81	 B0:87	 B1:124	 B2:94	 T:nan
0.95	 C0:18	 C1:75	 C2:21	 T:22.60
0.98	 D0:17	 D1:185	 D2:85	 T:22.20

0.98	 A0:28	 A1:173	 A2:65	 T:22.20
0.89	 B0:87	 B1:124	 B2:94	 T:nan
1.03	 C0:18	 C1:75	 C2:21	 T:22.60
1.06	 D0:17	 D1:185	 D2:85	 T:22.20

1.06	 A0:28	 A1:174	 A2:65	 T:22.20
0.96	 B0:87	 B1:124	 B2:94	 T:nan
1.10	 C0:18	 C1:75	 C2:21	 T:22.60
1.13	 D0:17	 D1:185	 D2:85	 T:22.20

1.13	 A0:28	 A1:174	 A2:65	 T:22.20
1.03	 B0:87	 B1:124	 B2:94	 T:nan
1.18	 C0:18	 C1:75	 C2:21	 T:22.60
1.21	 D0:17	 D1:185	 D2:85	 T:22.20

1.21	 A0:28	 A1:174	 A2:65	 T:22.20
1.11	 B0:87	 B1:124	 B2:94	 T:nan
1.25	 C0:18	 C1:75	 C2:21	 T:22.60
1.29	 D0:17	 D1:185	 D2:85	 T:22.20

1.29	 A0:28	 A1:174	 A2:65	 T:22.20
1.18	 B0:87	 B1:124	 B2:94	 T:nan
1.33	 C0:18	 C1:75	 C2:21	 T:22.60
1.36	 D0:17	 D1:185	 D2:85	 T:22.20

1.36	 A0:28	 A1:174	 A2:65	 T:22.20
1.25	 B0:87	 B1:124	 B2:94	 T:nan
1.40	 C0:19	 C1:75	 C2:21	 T:22.60
1.44	 D0:17	 D1:185	 D2:85	 T:22.20

1.44	 A0:28	 A1:174	 A2:65	 T:22.20
1.32	 B0:87	 B1:124	 B2:94	 T:nan
1.48	 C0:18	 C1:75	 C2:21	 T:22.60
1.52	 D0:17	 D1:185	 D2:85	 T:22.20

1.52	 A0:28	 A1:174	 A2:64	 T:22.20
1.40	 B0:87	 B1:124	 B2:94	 T:nan
1.55	 C0:18	 C1:75	 C2:21	 T:22.60
1.60	 D0:17	 D1:185	 D2:85	 T:22.20

1.60	 A0:28	 A1:174	 A2:65	 T:22.20
1.47	 B0:87	 B1:124	 B2:94	 T:nan
1.63	 C0:18	 C1:75	 C2:21	 T:22.60
1.67	 D0:17	 D1:185	 D2:85	 T:22.20

1.67	 A0:28	 A1:174	 A2:65	 T:22.20
1.54	 B0:87	 B1:124	 B2:94	 T:nan
1.70	 C0:18	 C1:75	 C2:22	 T:22.60
1.75	 D0:17	 D1:185	 D2:85	 T:22.20

1.75	 A0:28	 A1:174	 A2:64	 T:22.20
1.61	 B0:87	 B1:124	 B2:94	 T:nan
1.77	 C0:18	 C1:75	 C2:21	 T:22.60
1.83	 D0:17	 D1:185	 D2:85	 T:22.20

1.83	 A0:28	 A1:174	 A2:65	 T:22.20
1.69	 B0:87	 B1:124	 B2:94	 T:nan
1.85	 C0:18	 C1:75	 C2:22	 T:22.60
1.90	 D0:17	 D1:185	 D2:85	 T:22.20

1.90	 A0:28	 A1:174	 A2:65	 T:22.20
1.76	 B0:87	 B1:124	 B2:94	 T:nan
1.92	 C0:18	 C1:75	 C2:21	 T:22.60
1.98	 D0:17	 D1:185	 D2:85	 T:22.20

1.98	 A0:28	 A1:174	 A2:64	 T:22.20
1.83	 B0:87	 B1:124	 B2:94	 T:nan
2.00	 C0:18	 C1:75	 C2:21	 T:22.60
2.06	 D0:17	 D1:185	 D2:85	 T:22.20

2.06	 A0:28	 A1:174	 A2:65	 T:22.20
1.91	 B0:87	 B1:124	 B2:94	 T:nan
2.07	 C0:18	 C1:75	 C2:21	 T:22.60
2.14	 D0:18	 D1:185	 D2:85	 T:22.20

2.13	 A0:28	 A1:174	 A2:64	 T:22.20
1.98	 B0:87	 B1:124	 B2:94	 T:nan
2.15	 C0:18	 C1:75	 C2:21	 T:22.60
2.21	 D0:17	 D1:185	 D2:85	 T:22.20

2.21	 A0:28	 A1:174	 A2:64	 T:22.20
2.07	 B0:87	 B1:124	 B2:94	 T:nan
2.23	 C0:18	 C1:75	 C2:21	 T:22.60
2.29	 D0:17	 D1:185	 D2:85	 T:22.20

2.29	 A0:28	 A1:174	 A2:65	 T:22.20
2.12	 B0:87	 B1:124	 B2:94	 T:nan
2.30	 C0:18	 C1:75	 C2:21	 T:22.60
2.37	 D0:17	 D1:185	 D2:85	 T:22.20

2.36	 A0:28	 A1:174	 A2:65	 T:22.20
2.20	 B0:87	 B1:124	 B2:94	 T:nan
2.37	 C0:18	 C1:75	 C2:21	 T:22.60
2.44	 D0:17	 D1:185	 D2:85	 T:22.20

2.44	 A0:28	 A1:174	 A2:65	 T:22.20
2.27	 B0:87	 B1:124	 B2:94	 T:nan
2.45	 C0:18	 C1:75	 C2:21	 T:22.60
2.52	 D0:17	 D1:185	 D2:85	 T:22.20

2.52	 A0:28	 A1:174	 A2:65	 T:22.20
2.34	 B0:87	 B1:124	 B2:94	 T:nan
2.52	 C0:18	 C1:75	 C2:21	 T:22.60
2.60	 D0:17	 D1:185	 D2:85	 T:22.20

2.59	 A0:28	 A1:174	 A2:64	 T:22.20
2.42	 B0:87	 B1:124	 B2:94	 T:nan
2.60	 C0:18	 C1:75	 C2:21	 T:22.60
2.67	 D0:17	 D1:185	 D2:85	 T:22.20

2.67	 A0:28	 A1:174	 A2:65	 T:22.20
2.49	 B0:87	 B1:124	 B2:94	 T:nan
2.67	 C0:18	 C1:75	 C2:21	 T:22.60
2.75	 D0:17	 D1:185	 D2:85	 T:22.20

2.75	 A0:28	 A1:174	 A2:65	 T:22.20
2.56	 B0:87	 B1:124	 B2:94	 T:nan
2.75	 C0:18	 C1:75	 C2:21	 T:22.60
2.83	 D0:17	 D1:185	 D2:85	 T:22.20

2.83	 A0:28	 A1:174	 A2:64	 T:22.20
2.63	 B0:87	 B1:124	 B2:95	 T:nan
2.82	 C0:18	 C1:75	 C2:22	 T:22.60
2.90	 D0:17	 D1:185	 D2:85	 T:22.20

2.90	 A0:28	 A1:174	 A2:65	 T:22.20
2.71	 B0:87	 B1:124	 B2:94	 T:nan
2.90	 C0:18	 C1:75	 C2:21	 T:22.60
2.98	 D0:17	 D1:185	 D2:85	 T:22.20

2.98	 A0:28	 A1:174	 A2:64	 T:22.20
2.78	 B0:87	 B1:124	 B2:94	 T:nan
2.97	 C0:19	 C1:75	 C2:21	 T:22.60
3.06	 D0:17	 D1:185	 D2:85	 T:22.20

3.06	 A0:28	 A1:174	 A2:64	 T:22.20
2.85	 B0:87	 B1:124	 B2:94	 T:nan
3.05	 C0:18	 C1:75	 C2:21	 T:22.60
3.14	 D0:17	 D1:185	 D2:85	 T:22.20

3.13	 A0:28	 A1:174	 A2:64	 T:22.20
2.93	 B0:87	 B1:125	 B2:94	 T:nan
