1.02	 A0:29	 A1:177	 A2:69	 T:23.00

0.05	 B0:86	 B1:127	 B2:81	 T:nan

0.06	 C0:18	 C1:77	 C2:21	 T:23.00

0.06	 D0:16	 D1:188	 D2:81	 T:23.00


0.05	 A0:29	 A1:177	 A2:69	 T:23.00

0.19	 B0:86	 B1:128	 B2:81	 T:nan

0.20	 C0:18	 C1:76	 C2:21	 T:23.00

0.21	 D0:16	 D1:188	 D2:81	 T:23.00


0.10	 A0:29	 A1:177	 A2:69	 T:23.00

0.27	 B0:86	 B1:127	 B2:81	 T:nan

0.28	 C0:18	 C1:76	 C2:21	 T:23.00

0.29	 D0:16	 D1:188	 D2:81	 T:23.00


0.17	 A0:29	 A1:177	 A2:69	 T:23.00

0.34	 B0:86	 B1:127	 B2:81	 T:nan

0.35	 C0:18	 C1:76	 C2:21	 T:23.00

0.36	 D0:16	 D1:188	 D2:81	 T:23.00


0.25	 A0:29	 A1:177	 A2:69	 T:23.00

0.41	 B0:86	 B1:127	 B2:81	 T:nan

0.43	 C0:18	 C1:76	 C2:21	 T:23.00

0.44	 D0:16	 D1:188	 D2:81	 T:23.00


0.32	 A0:29	 A1:177	 A2:69	 T:23.00

0.49	 B0:86	 B1:127	 B2:81	 T:nan

0.50	 C0:18	 C1:76	 C2:21	 T:23.00

0.52	 D0:16	 D1:188	 D2:81	 T:23.00


0.40	 A0:29	 A1:177	 A2:69	 T:23.00

0.56	 B0:86	 B1:127	 B2:81	 T:nan

0.58	 C0:19	 C1:76	 C2:21	 T:23.00

0.59	 D0:16	 D1:188	 D2:81	 T:23.00


0.48	 A0:29	 A1:177	 A2:69	 T:23.00

0.63	 B0:86	 B1:127	 B2:81	 T:nan

0.65	 C0:18	 C1:76	 C2:21	 T:23.00

0.67	 D0:16	 D1:188	 D2:81	 T:23.00


0.56	 A0:29	 A1:177	 A2:69	 T:23.00

0.70	 B0:86	 B1:127	 B2:81	 T:nan

0.73	 C0:19	 C1:76	 C2:21	 T:23.00

0.75	 D0:16	 D1:188	 D2:81	 T:23.00


0.63	 A0:29	 A1:177	 A2:69	 T:23.00

0.78	 B0:86	 B1:128	 B2:81	 T:nan

0.80	 C0:19	 C1:76	 C2:21	 T:23.00

0.83	 D0:16	 D1:188	 D2:81	 T:23.00


0.71	 A0:29	 A1:177	 A2:69	 T:23.00

0.85	 B0:86	 B1:127	 B2:81	 T:nan

0.88	 C0:18	 C1:77	 C2:21	 T:23.00

0.90	 D0:16	 D1:188	 D2:81	 T:23.00


0.79	 A0:29	 A1:177	 A2:69	 T:23.00

0.92	 B0:86	 B1:127	 B2:81	 T:nan

0.95	 C0:19	 C1:76	 C2:21	 T:23.00

0.98	 D0:16	 D1:188	 D2:81	 T:23.00


0.86	 A0:29	 A1:177	 A2:69	 T:23.00

1.00	 B0:86	 B1:127	 B2:81	 T:nan

1.03	 C0:19	 C1:76	 C2:21	 T:23.00

1.06	 D0:16	 D1:187	 D2:81	 T:23.00


0.94	 A0:29	 A1:177	 A2:69	 T:23.00

1.07	 B0:86	 B1:127	 B2:81	 T:nan

1.10	 C0:18	 C1:76	 C2:21	 T:23.00

1.13	 D0:16	 D1:188	 D2:81	 T:23.00


1.02	 A0:29	 A1:177	 A2:69	 T:23.00

1.14	 B0:86	 B1:127	 B2:81	 T:nan

1.18	 C0:18	 C1:76	 C2:21	 T:23.00

1.21	 D0:16	 D1:188	 D2:81	 T:23.00


1.10	 A0:29	 A1:177	 A2:69	 T:23.00

1.21	 B0:86	 B1:128	 B2:81	 T:nan

1.25	 C0:18	 C1:76	 C2:21	 T:23.00

1.29	 D0:16	 D1:188	 D2:81	 T:23.00


1.17	 A0:29	 A1:177	 A2:69	 T:23.00

1.29	 B0:86	 B1:127	 B2:81	 T:nan

1.33	 C0:18	 C1:76	 C2:21	 T:23.00

1.36	 D0:16	 D1:188	 D2:81	 T:23.00


1.25	 A0:29	 A1:177	 A2:69	 T:23.00

1.36	 B0:86	 B1:127	 B2:81	 T:nan

1.40	 C0:19	 C1:77	 C2:21	 T:23.00

1.44	 D0:16	 D1:187	 D2:81	 T:23.00


1.33	 A0:29	 A1:177	 A2:69	 T:23.00

1.43	 B0:86	 B1:127	 B2:81	 T:nan

1.48	 C0:19	 C1:77	 C2:21	 T:23.00

1.52	 D0:16	 D1:188	 D2:81	 T:23.00


1.40	 A0:29	 A1:177	 A2:69	 T:23.00

1.51	 B0:86	 B1:127	 B2:81	 T:nan

1.55	 C0:19	 C1:76	 C2:21	 T:23.00

1.60	 D0:16	 D1:188	 D2:81	 T:23.00


1.48	 A0:29	 A1:177	 A2:69	 T:23.00

1.58	 B0:86	 B1:127	 B2:81	 T:nan

1.63	 C0:18	 C1:77	 C2:21	 T:23.00

1.67	 D0:16	 D1:188	 D2:81	 T:23.00


1.56	 A0:29	 A1:177	 A2:69	 T:23.00

1.65	 B0:86	 B1:127	 B2:81	 T:nan

1.70	 C0:19	 C1:76	 C2:21	 T:23.00

1.75	 D0:16	 D1:188	 D2:81	 T:23.00


1.63	 A0:29	 A1:177	 A2:69	 T:23.00

1.72	 B0:86	 B1:127	 B2:81	 T:nan

1.77	 C0:19	 C1:76	 C2:21	 T:23.00

1.83	 D0:16	 D1:188	 D2:81	 T:23.00


1.71	 A0:29	 A1:177	 A2:69	 T:23.00

1.80	 B0:86	 B1:127	 B2:81	 T:nan

1.85	 C0:19	 C1:76	 C2:21	 T:23.00

1.90	 D0:16	 D1:188	 D2:81	 T:23.00


1.79	 A0:29	 A1:177	 A2:69	 T:23.00

1.87	 B0:86	 B1:127	 B2:81	 T:nan

1.92	 C0:18	 C1:76	 C2:21	 T:23.00

1.98	 D0:16	 D1:187	 D2:81	 T:23.00


1.86	 A0:29	 A1:177	 A2:69	 T:23.00

1.94	 B0:86	 B1:127	 B2:81	 T:nan

2.00	 C0:18	 C1:77	 C2:21	 T:23.00

2.06	 D0:16	 D1:188	 D2:81	 T:23.00


1.94	 A0:29	 A1:177	 A2:69	 T:23.00

2.02	 B0:86	 B1:127	 B2:81	 T:nan

2.07	 C0:19	 C1:76	 C2:21	 T:23.00

2.13	 D0:16	 D1:188	 D2:81	 T:23.00


2.03	 A0:29	 A1:177	 A2:69	 T:23.00

2.09	 B0:86	 B1:127	 B2:81	 T:nan

2.15	 C0:18	 C1:76	 C2:21	 T:23.00

2.21	 D0:16	 D1:188	 D2:81	 T:23.00


2.10	 A0:28	 A1:177	 A2:69	 T:23.00

2.16	 B0:86	 B1:127	 B2:81	 T:nan

2.23	 C0:19	 C1:76	 C2:21	 T:23.00

2.29	 D0:16	 D1:188	 D2:81	 T:23.00


2.17	 A0:29	 A1:177	 A2:69	 T:23.00

2.23	 B0:86	 B1:128	 B2:81	 T:nan

2.30	 C0:19	 C1:76	 C2:21	 T:23.00

2.36	 D0:16	 D1:187	 D2:81	 T:23.00


2.25	 A0:29	 A1:177	 A2:69	 T:23.00

2.31	 B0:86	 B1:127	 B2:81	 T:nan

2.37	 C0:18	 C1:76	 C2:21	 T:23.00

2.44	 D0:16	 D1:187	 D2:81	 T:23.00


2.33	 A0:29	 A1:177	 A2:69	 T:23.00

2.38	 B0:86	 B1:127	 B2:81	 T:nan

2.45	 C0:19	 C1:76	 C2:21	 T:23.00

2.52	 D0:16	 D1:187	 D2:81	 T:23.00


2.40	 A0:29	 A1:177	 A2:69	 T:23.00

2.45	 B0:86	 B1:128	 B2:81	 T:nan

2.52	 C0:18	 C1:76	 C2:21	 T:23.00

2.59	 D0:16	 D1:188	 D2:81	 T:23.00


2.48	 A0:29	 A1:177	 A2:69	 T:23.00

2.53	 B0:86	 B1:127	 B2:81	 T:nan

2.60	 C0:18	 C1:76	 C2:21	 T:23.00

2.67	 D0:16	 D1:188	 D2:81	 T:23.00


2.56	 A0:29	 A1:177	 A2:69	 T:23.00

2.60	 B0:86	 B1:127	 B2:81	 T:nan

2.67	 C0:19	 C1:76	 C2:21	 T:23.00

2.75	 D0:16	 D1:188	 D2:81	 T:23.00


2.63	 A0:29	 A1:177	 A2:69	 T:23.00

2.67	 B0:86	 B1:127	 B2:81	 T:nan

2.75	 C0:18	 C1:77	 C2:21	 T:23.00

2.83	 D0:16	 D1:187	 D2:81	 T:23.00


2.71	 A0:29	 A1:177	 A2:69	 T:23.00

2.74	 B0:86	 B1:127	 B2:81	 T:nan

