0.03	 A0:21	 A1:146	 A2:60	 T:22.20
0.20	 B0:67	 B1:115	 B2:98	 T:nan
0.20	 C0:12	 C1:54	 C2:14	 T:22.60
0.19	 D0:13	 D1:160	 D2:72	 T:nan

0.06	 A0:21	 A1:147	 A2:60	 T:22.20
0.27	 B0:68	 B1:114	 B2:101	 T:nan
0.28	 C0:12	 C1:55	 C2:14	 T:22.60
0.27	 D0:13	 D1:160	 D2:72	 T:nan

0.13	 A0:21	 A1:146	 A2:60	 T:22.20
0.34	 B0:68	 B1:114	 B2:84	 T:nan
0.35	 C0:12	 C1:55	 C2:14	 T:22.60
0.34	 D0:13	 D1:160	 D2:72	 T:nan

0.21	 A0:21	 A1:146	 A2:60	 T:22.20
0.42	 B0:67	 B1:115	 B2:98	 T:nan
0.43	 C0:12	 C1:55	 C2:14	 T:22.60
0.41	 D0:12	 D1:160	 D2:72	 T:nan

0.29	 A0:20	 A1:146	 A2:60	 T:22.20
0.49	 B0:67	 B1:115	 B2:94	 T:nan
0.50	 C0:12	 C1:55	 C2:14	 T:22.60
0.49	 D0:13	 D1:160	 D2:72	 T:nan

0.36	 A0:20	 A1:146	 A2:60	 T:22.20
0.56	 B0:68	 B1:115	 B2:94	 T:nan
0.58	 C0:12	 C1:55	 C2:14	 T:22.60
0.56	 D0:13	 D1:160	 D2:72	 T:nan

0.44	 A0:20	 A1:146	 A2:60	 T:22.20
0.64	 B0:68	 B1:114	 B2:98	 T:nan
0.65	 C0:12	 C1:55	 C2:14	 T:22.60
0.63	 D0:13	 D1:160	 D2:72	 T:nan

0.52	 A0:21	 A1:147	 A2:60	 T:22.20
0.71	 B0:67	 B1:115	 B2:84	 T:nan
0.73	 C0:12	 C1:55	 C2:14	 T:22.60
0.70	 D0:13	 D1:160	 D2:72	 T:nan

0.59	 A0:21	 A1:146	 A2:60	 T:22.20
0.78	 B0:67	 B1:115	 B2:99	 T:nan
0.80	 C0:12	 C1:55	 C2:14	 T:22.60
0.78	 D0:13	 D1:160	 D2:73	 T:nan

0.67	 A0:20	 A1:146	 A2:60	 T:22.20
0.86	 B0:67	 B1:115	 B2:102	 T:nan
0.88	 C0:12	 C1:55	 C2:14	 T:22.60
0.85	 D0:13	 D1:160	 D2:72	 T:nan

0.75	 A0:21	 A1:146	 A2:60	 T:22.20
0.93	 B0:67	 B1:115	 B2:84	 T:nan
0.95	 C0:12	 C1:55	 C2:14	 T:22.60
0.92	 D0:13	 D1:160	 D2:72	 T:nan

0.83	 A0:21	 A1:146	 A2:60	 T:22.20
1.00	 B0:67	 B1:115	 B2:99	 T:nan
1.03	 C0:12	 C1:55	 C2:14	 T:22.60
1.00	 D0:13	 D1:160	 D2:72	 T:nan

0.90	 A0:21	 A1:146	 A2:60	 T:22.20
1.08	 B0:67	 B1:115	 B2:95	 T:nan
1.10	 C0:12	 C1:55	 C2:14	 T:22.60
1.07	 D0:13	 D1:160	 D2:73	 T:nan

0.98	 A0:21	 A1:146	 A2:60	 T:22.20
1.15	 B0:67	 B1:115	 B2:94	 T:nan
1.18	 C0:12	 C1:55	 C2:14	 T:22.60
1.14	 D0:13	 D1:160	 D2:72	 T:nan

1.06	 A0:21	 A1:146	 A2:60	 T:22.20
1.22	 B0:67	 B1:115	 B2:101	 T:nan
1.25	 C0:12	 C1:55	 C2:14	 T:22.60
1.21	 D0:13	 D1:160	 D2:72	 T:nan

1.13	 A0:20	 A1:146	 A2:60	 T:22.20
1.30	 B0:67	 B1:114	 B2:83	 T:nan
1.33	 C0:12	 C1:55	 C2:14	 T:22.60
1.29	 D0:13	 D1:160	 D2:72	 T:nan

1.21	 A0:21	 A1:146	 A2:60	 T:22.20
1.37	 B0:67	 B1:115	 B2:100	 T:nan
1.40	 C0:12	 C1:54	 C2:14	 T:22.60
1.36	 D0:13	 D1:160	 D2:73	 T:nan

1.29	 A0:21	 A1:146	 A2:60	 T:22.20
1.44	 B0:67	 B1:114	 B2:96	 T:nan
1.48	 C0:12	 C1:55	 C2:14	 T:22.60
1.43	 D0:13	 D1:160	 D2:72	 T:nan

1.36	 A0:21	 A1:146	 A2:60	 T:22.20
1.52	 B0:68	 B1:114	 B2:93	 T:nan
1.55	 C0:12	 C1:55	 C2:14	 T:22.60
1.51	 D0:13	 D1:160	 D2:73	 T:nan

1.44	 A0:21	 A1:146	 A2:60	 T:22.20
1.59	 B0:67	 B1:115	 B2:101	 T:nan
1.63	 C0:12	 C1:55	 C2:14	 T:22.60
1.58	 D0:13	 D1:160	 D2:73	 T:nan

1.52	 A0:21	 A1:146	 A2:60	 T:22.20
1.66	 B0:67	 B1:114	 B2:83	 T:nan
1.70	 C0:12	 C1:55	 C2:14	 T:22.60
1.65	 D0:13	 D1:160	 D2:72	 T:nan

1.60	 A0:21	 A1:146	 A2:60	 T:22.20
1.74	 B0:67	 B1:114	 B2:100	 T:nan
1.77	 C0:12	 C1:55	 C2:14	 T:22.60
1.72	 D0:13	 D1:160	 D2:72	 T:nan

1.67	 A0:21	 A1:146	 A2:60	 T:22.20
1.81	 B0:67	 B1:115	 B2:96	 T:nan
1.85	 C0:12	 C1:54	 C2:14	 T:22.60
1.80	 D0:13	 D1:159	 D2:72	 T:nan

1.75	 A0:21	 A1:146	 A2:60	 T:22.20
1.88	 B0:67	 B1:114	 B2:94	 T:nan
1.92	 C0:12	 C1:55	 C2:14	 T:22.60
