0.98	 A0:27	 A1:169	 A2:70	 T:23.40
0.03	 B0:79	 B1:121	 B2:95	 T:nan
0.03	 C0:14	 C1:78	 C2:16	 T:23.80
0.03	 D0:15	 D1:183	 D2:82	 T:nan

1.06	 A0:27	 A1:169	 A2:70	 T:23.40
0.05	 B0:79	 B1:121	 B2:95	 T:nan
0.06	 C0:14	 C1:78	 C2:16	 T:23.80
0.05	 D0:15	 D1:183	 D2:82	 T:nan

0.98	 A0:27	 A1:169	 A2:70	 T:23.40
0.12	 B0:79	 B1:121	 B2:91	 T:nan
0.13	 C0:14	 C1:78	 C2:16	 T:23.80
0.12	 D0:15	 D1:183	 D2:82	 T:nan

1.06	 A0:27	 A1:169	 A2:70	 T:23.40
0.19	 B0:79	 B1:121	 B2:87	 T:nan
0.20	 C0:14	 C1:78	 C2:16	 T:23.80
0.19	 D0:15	 D1:183	 D2:82	 T:nan

0.03	 A0:27	 A1:169	 A2:70	 T:23.40
0.27	 B0:79	 B1:120	 B2:95	 T:nan
0.28	 C0:14	 C1:78	 C2:16	 T:23.80
0.27	 D0:15	 D1:183	 D2:82	 T:nan

0.06	 A0:27	 A1:169	 A2:70	 T:23.40
0.34	 B0:79	 B1:121	 B2:92	 T:nan
0.35	 C0:14	 C1:78	 C2:16	 T:23.80
0.34	 D0:15	 D1:183	 D2:82	 T:nan

0.13	 A0:27	 A1:169	 A2:70	 T:23.40
0.41	 B0:79	 B1:121	 B2:87	 T:nan
0.43	 C0:14	 C1:78	 C2:15	 T:23.80
0.41	 D0:15	 D1:183	 D2:82	 T:nan

0.21	 A0:26	 A1:169	 A2:70	 T:23.40
0.49	 B0:79	 B1:121	 B2:95	 T:nan
0.50	 C0:14	 C1:78	 C2:16	 T:23.80
0.49	 D0:15	 D1:183	 D2:82	 T:nan

0.29	 A0:27	 A1:169	 A2:70	 T:23.40
0.56	 B0:79	 B1:121	 B2:91	 T:nan
0.58	 C0:14	 C1:78	 C2:16	 T:23.80
0.56	 D0:15	 D1:183	 D2:83	 T:nan

0.36	 A0:26	 A1:169	 A2:70	 T:23.40
0.63	 B0:79	 B1:121	 B2:89	 T:nan
0.65	 C0:14	 C1:78	 C2:16	 T:23.80
0.63	 D0:15	 D1:183	 D2:82	 T:nan

0.44	 A0:27	 A1:169	 A2:70	 T:23.40
0.70	 B0:79	 B1:121	 B2:92	 T:nan
0.73	 C0:14	 C1:78	 C2:15	 T:23.80
0.70	 D0:15	 D1:183	 D2:82	 T:nan

0.52	 A0:27	 A1:169	 A2:70	 T:23.40
0.78	 B0:79	 B1:121	 B2:90	 T:nan
0.80	 C0:14	 C1:78	 C2:16	 T:23.80
0.78	 D0:15	 D1:183	 D2:82	 T:nan

0.59	 A0:27	 A1:169	 A2:70	 T:23.40
0.85	 B0:79	 B1:121	 B2:94	 T:nan
0.88	 C0:14	 C1:78	 C2:15	 T:23.80
0.85	 D0:15	 D1:183	 D2:82	 T:nan

0.67	 A0:27	 A1:169	 A2:70	 T:23.40
0.92	 B0:79	 B1:121	 B2:91	 T:nan
0.95	 C0:14	 C1:78	 C2:16	 T:23.80
0.92	 D0:15	 D1:183	 D2:82	 T:nan

0.75	 A0:27	 A1:169	 A2:70	 T:23.40
1.00	 B0:79	 B1:120	 B2:87	 T:nan
1.03	 C0:14	 C1:78	 C2:15	 T:23.80
1.00	 D0:15	 D1:183	 D2:82	 T:nan

0.83	 A0:27	 A1:169	 A2:70	 T:23.40
1.07	 B0:79	 B1:121	 B2:95	 T:nan
1.10	 C0:14	 C1:78	 C2:15	 T:23.80
1.07	 D0:15	 D1:183	 D2:82	 T:nan

0.90	 A0:27	 A1:169	 A2:70	 T:23.40
1.14	 B0:79	 B1:121	 B2:91	 T:nan
1.18	 C0:14	 C1:78	 C2:16	 T:23.80
1.14	 D0:15	 D1:183	 D2:82	 T:nan

0.98	 A0:27	 A1:169	 A2:70	 T:23.40
1.21	 B0:79	 B1:120	 B2:86	 T:nan
1.25	 C0:14	 C1:78	 C2:16	 T:23.80
1.21	 D0:15	 D1:183	 D2:82	 T:nan

1.06	 A0:27	 A1:169	 A2:70	 T:23.40
1.29	 B0:79	 B1:121	 B2:95	 T:nan
1.33	 C0:14	 C1:78	 C2:16	 T:23.80
1.29	 D0:15	 D1:183	 D2:82	 T:nan

1.13	 A0:27	 A1:169	 A2:70	 T:23.40
1.36	 B0:79	 B1:121	 B2:93	 T:nan
1.40	 C0:14	 C1:78	 C2:15	 T:23.80
1.36	 D0:15	 D1:183	 D2:82	 T:nan

1.21	 A0:27	 A1:169	 A2:70	 T:23.40
1.43	 B0:79	 B1:121	 B2:88	 T:nan
1.48	 C0:14	 C1:78	 C2:16	 T:23.80
1.43	 D0:15	 D1:183	 D2:82	 T:nan

1.29	 A0:27	 A1:169	 A2:70	 T:23.40
1.51	 B0:78	 B1:121	 B2:93	 T:nan
1.55	 C0:14	 C1:78	 C2:16	 T:23.80
1.51	 D0:15	 D1:183	 D2:82	 T:nan

1.36	 A0:27	 A1:169	 A2:70	 T:23.40
1.58	 B0:78	 B1:121	 B2:91	 T:nan
1.63	 C0:14	 C1:78	 C2:16	 T:23.80
1.58	 D0:15	 D1:183	 D2:82	 T:nan

1.44	 A0:26	 A1:169	 A2:70	 T:23.40
1.65	 B0:78	 B1:121	 B2:92	 T:nan
1.70	 C0:14	 C1:78	 C2:15	 T:23.80
1.65	 D0:15	 D1:183	 D2:82	 T:nan

1.52	 A0:26	 A1:169	 A2:70	 T:23.40
1.72	 B0:79	 B1:120	 B2:91	 T:nan
1.77	 C0:14	 C1:78	 C2:16	 T:23.80
1.72	 D0:15	 D1:183	 D2:82	 T:nan

1.60	 A0:27	 A1:169	 A2:70	 T:23.40
1.80	 B0:78	 B1:121	 B2:89	 T:nan
1.85	 C0:14	 C1:77	 C2:15	 T:23.80
1.80	 D0:15	 D1:183	 D2:82	 T:nan

1.67	 A0:27	 A1:169	 A2:70	 T:23.40
1.87	 B0:79	 B1:121	 B2:95	 T:nan
1.92	 C0:14	 C1:78	 C2:15	 T:23.80
1.87	 D0:15	 D1:183	 D2:82	 T:nan

1.75	 A0:27	 A1:169	 A2:70	 T:23.40
1.94	 B0:79	 B1:121	 B2:90	 T:nan
2.00	 C0:14	 C1:78	 C2:15	 T:23.80
1.94	 D0:15	 D1:183	 D2:82	 T:nan

1.83	 A0:27	 A1:169	 A2:70	 T:23.40
2.02	 B0:79	 B1:121	 B2:87	 T:nan
2.07	 C0:14	 C1:78	 C2:15	 T:23.80
2.02	 D0:15	 D1:183	 D2:82	 T:nan

1.90	 A0:26	 A1:168	 A2:70	 T:23.40
2.09	 B0:79	 B1:121	 B2:91	 T:nan
2.15	 C0:14	 C1:78	 C2:16	 T:23.80
2.09	 D0:15	 D1:183	 D2:82	 T:nan

1.98	 A0:27	 A1:168	 A2:70	 T:23.40
2.16	 B0:79	 B1:121	 B2:86	 T:nan
2.23	 C0:14	 C1:77	 C2:16	 T:23.80
2.16	 D0:15	 D1:183	 D2:82	 T:nan

2.06	 A0:27	 A1:169	 A2:70	 T:23.40
2.23	 B0:79	 B1:121	 B2:95	 T:nan
2.30	 C0:14	 C1:78	 C2:15	 T:23.80
2.23	 D0:15	 D1:183	 D2:82	 T:nan

2.13	 A0:26	 A1:169	 A2:70	 T:23.40
2.31	 B0:78	 B1:120	 B2:93	 T:nan
2.37	 C0:14	 C1:78	 C2:16	 T:23.80
2.31	 D0:15	 D1:183	 D2:83	 T:nan

2.21	 A0:27	 A1:169	 A2:70	 T:23.40
2.38	 B0:79	 B1:121	 B2:87	 T:nan
2.45	 C0:14	 C1:78	 C2:16	 T:23.80
2.38	 D0:15	 D1:183	 D2:82	 T:nan

2.29	 A0:27	 A1:169	 A2:70	 T:23.40
2.45	 B0:79	 B1:120	 B2:93	 T:nan
2.52	 C0:14	 C1:78	 C2:16	 T:23.80
2.45	 D0:15	 D1:183	 D2:82	 T:nan

2.36	 A0:27	 A1:169	 A2:70	 T:23.40
2.53	 B0:79	 B1:121	 B2:92	 T:nan
2.60	 C0:14	 C1:78	 C2:15	 T:23.80
2.53	 D0:15	 D1:183	 D2:83	 T:nan

2.44	 A0:26	 A1:169	 A2:70	 T:23.40
2.60	 B0:79	 B1:120	 B2:89	 T:nan
2.67	 C0:14	 C1:78	 C2:15	 T:23.80
2.60	 D0:15	 D1:183	 D2:82	 T:nan

2.52	 A0:27	 A1:168	 A2:70	 T:23.40
2.67	 B0:79	 B1:121	 B2:92	 T:nan
2.75	 C0:14	 C1:78	 C2:16	 T:23.80
2.67	 D0:15	 D1:183	 D2:82	 T:nan

2.59	 A0:27	 A1:168	 A2:70	 T:23.40
