0.05	 A0:25	 A1:134	 A2:67	 T:21.80
0.05	 B0:81	 B1:109	 B2:48	 T:21.80
0.20	 C0:7	 C1:169	 C2:32	 T:21.40
0.06	 D0:9	 D1:108	 D2:135	 T:21.80

0.10	 A0:25	 A1:134	 A2:67	 T:21.80
0.10	 B0:81	 B1:109	 B2:48	 T:21.80
0.28	 C0:6	 C1:169	 C2:32	 T:21.40
0.13	 D0:10	 D1:107	 D2:135	 T:21.80

0.17	 A0:25	 A1:134	 A2:66	 T:21.80
0.17	 B0:81	 B1:109	 B2:48	 T:21.80
0.35	 C0:6	 C1:169	 C2:32	 T:21.40
0.21	 D0:10	 D1:107	 D2:135	 T:21.80

0.25	 A0:25	 A1:134	 A2:67	 T:21.80
0.25	 B0:81	 B1:110	 B2:49	 T:21.80
0.43	 C0:6	 C1:169	 C2:32	 T:21.40
0.29	 D0:10	 D1:107	 D2:135	 T:21.80

0.32	 A0:25	 A1:134	 A2:67	 T:21.80
0.32	 B0:81	 B1:109	 B2:49	 T:21.80
0.50	 C0:6	 C1:169	 C2:31	 T:21.40
0.37	 D0:10	 D1:107	 D2:135	 T:21.80

0.40	 A0:25	 A1:134	 A2:66	 T:21.80
0.40	 B0:81	 B1:109	 B2:49	 T:21.80
0.58	 C0:6	 C1:169	 C2:32	 T:21.40
0.45	 D0:9	 D1:107	 D2:135	 T:21.80

0.48	 A0:25	 A1:134	 A2:67	 T:21.80
0.48	 B0:81	 B1:109	 B2:49	 T:21.80
0.65	 C0:6	 C1:169	 C2:32	 T:21.40
0.52	 D0:10	 D1:108	 D2:135	 T:21.80

0.56	 A0:25	 A1:133	 A2:67	 T:21.80
0.56	 B0:81	 B1:109	 B2:48	 T:21.80
0.73	 C0:7	 C1:169	 C2:32	 T:21.40
0.60	 D0:9	 D1:108	 D2:135	 T:21.80

0.63	 A0:25	 A1:134	 A2:66	 T:21.80
0.63	 B0:81	 B1:109	 B2:49	 T:21.80
0.80	 C0:6	 C1:169	 C2:32	 T:21.40
0.68	 D0:9	 D1:108	 D2:135	 T:21.80

0.71	 A0:25	 A1:134	 A2:66	 T:21.80
0.71	 B0:81	 B1:109	 B2:49	 T:21.80
0.88	 C0:7	 C1:169	 C2:32	 T:21.40
0.76	 D0:10	 D1:107	 D2:135	 T:21.80

0.79	 A0:25	 A1:134	 A2:66	 T:21.80
0.79	 B0:81	 B1:109	 B2:48	 T:21.80
0.95	 C0:7	 C1:169	 C2:32	 T:21.40
0.84	 D0:10	 D1:108	 D2:135	 T:21.80

0.86	 A0:24	 A1:134	 A2:66	 T:21.80
0.86	 B0:81	 B1:109	 B2:49	 T:21.80
1.03	 C0:6	 C1:169	 C2:32	 T:21.40
0.91	 D0:9	 D1:107	 D2:135	 T:21.80

0.94	 A0:25	 A1:134	 A2:66	 T:21.80
0.94	 B0:81	 B1:109	 B2:49	 T:21.80
1.10	 C0:6	 C1:169	 C2:32	 T:21.40
0.99	 D0:10	 D1:108	 D2:134	 T:21.80

1.02	 A0:24	 A1:134	 A2:66	 T:21.80
1.02	 B0:81	 B1:109	 B2:49	 T:21.80
1.18	 C0:6	 C1:169	 C2:32	 T:21.40
1.07	 D0:9	 D1:107	 D2:135	 T:21.80

1.10	 A0:25	 A1:134	 A2:66	 T:21.80
1.10	 B0:81	 B1:109	 B2:49	 T:21.80
1.25	 C0:6	 C1:169	 C2:32	 T:21.40
1.15	 D0:9	 D1:107	 D2:135	 T:21.80

1.17	 A0:25	 A1:134	 A2:66	 T:21.80
1.17	 B0:81	 B1:109	 B2:49	 T:21.80
1.33	 C0:7	 C1:169	 C2:32	 T:21.40
1.23	 D0:10	 D1:107	 D2:135	 T:21.80

1.25	 A0:25	 A1:133	 A2:66	 T:21.80
1.25	 B0:81	 B1:109	 B2:49	 T:21.80
1.40	 C0:7	 C1:169	 C2:32	 T:21.40
1.30	 D0:9	 D1:108	 D2:135	 T:21.80

1.33	 A0:25	 A1:134	 A2:66	 T:21.80
1.33	 B0:81	 B1:109	 B2:49	 T:21.80
1.48	 C0:7	 C1:169	 C2:32	 T:21.40
1.38	 D0:9	 D1:108	 D2:135	 T:21.80

1.40	 A0:25	 A1:133	 A2:66	 T:21.80
1.40	 B0:81	 B1:109	 B2:49	 T:21.80
1.55	 C0:6	 C1:169	 C2:32	 T:21.40
1.46	 D0:10	 D1:107	 D2:135	 T:21.80

1.48	 A0:25	 A1:134	 A2:66	 T:21.80
1.48	 B0:81	 B1:109	 B2:48	 T:21.80
1.63	 C0:7	 C1:169	 C2:32	 T:21.40
1.54	 D0:10	 D1:107	 D2:135	 T:21.80

1.56	 A0:25	 A1:134	 A2:66	 T:21.80
1.56	 B0:81	 B1:109	 B2:49	 T:21.80
1.70	 C0:6	 C1:169	 C2:32	 T:21.40
1.62	 D0:9	 D1:107	 D2:135	 T:21.80

1.63	 A0:25	 A1:134	 A2:66	 T:21.80
1.63	 B0:81	 B1:109	 B2:49	 T:21.80
1.77	 C0:7	 C1:169	 C2:32	 T:21.40
1.69	 D0:10	 D1:108	 D2:135	 T:21.80

1.71	 A0:25	 A1:133	 A2:66	 T:21.80
1.71	 B0:81	 B1:109	 B2:49	 T:21.80
1.85	 C0:7	 C1:169	 C2:32	 T:21.40
1.77	 D0:9	 D1:108	 D2:135	 T:21.80

1.79	 A0:24	 A1:134	 A2:66	 T:21.80
1.79	 B0:81	 B1:109	 B2:49	 T:21.80
1.92	 C0:6	 C1:169	 C2:32	 T:21.40
1.85	 D0:9	 D1:107	 D2:134	 T:21.80

1.86	 A0:24	 A1:134	 A2:66	 T:21.80
1.86	 B0:81	 B1:109	 B2:49	 T:21.80
2.00	 C0:6	 C1:169	 C2:32	 T:21.40
1.93	 D0:9	 D1:107	 D2:135	 T:21.80

1.94	 A0:25	 A1:134	 A2:66	 T:21.80
1.94	 B0:81	 B1:109	 B2:49	 T:21.80
2.07	 C0:6	 C1:169	 C2:32	 T:21.40
2.01	 D0:10	 D1:108	 D2:134	 T:21.80

2.03	 A0:25	 A1:134	 A2:66	 T:21.80
2.03	 B0:81	 B1:109	 B2:49	 T:21.80
2.15	 C0:7	 C1:169	 C2:32	 T:21.40
2.08	 D0:9	 D1:107	 D2:135	 T:21.80

2.10	 A0:25	 A1:133	 A2:66	 T:21.80
2.10	 B0:81	 B1:109	 B2:49	 T:21.80
2.23	 C0:6	 C1:169	 C2:32	 T:21.40
2.16	 D0:9	 D1:107	 D2:135	 T:21.80

2.17	 A0:25	 A1:133	 A2:66	 T:21.80
2.17	 B0:81	 B1:109	 B2:49	 T:21.80
2.30	 C0:6	 C1:169	 C2:32	 T:21.40
2.24	 D0:10	 D1:107	 D2:135	 T:21.80

2.25	 A0:25	 A1:134	 A2:66	 T:21.80
2.25	 B0:81	 B1:109	 B2:49	 T:21.80
2.37	 C0:6	 C1:169	 C2:32	 T:21.40
2.32	 D0:9	 D1:108	 D2:135	 T:21.80

2.33	 A0:25	 A1:134	 A2:66	 T:21.80
2.33	 B0:81	 B1:109	 B2:49	 T:21.80
2.45	 C0:7	 C1:169	 C2:32	 T:21.40
2.39	 D0:9	 D1:107	 D2:135	 T:21.80

2.40	 A0:25	 A1:134	 A2:66	 T:21.80
2.40	 B0:81	 B1:109	 B2:49	 T:21.80
2.52	 C0:7	 C1:169	 C2:32	 T:21.40
2.47	 D0:9	 D1:107	 D2:134	 T:21.80

2.48	 A0:24	 A1:134	 A2:66	 T:21.80
2.48	 B0:81	 B1:109	 B2:49	 T:21.80
2.60	 C0:6	 C1:169	 C2:32	 T:21.40
2.55	 D0:9	 D1:107	 D2:135	 T:21.80

2.56	 A0:25	 A1:134	 A2:66	 T:21.80
2.56	 B0:81	 B1:109	 B2:49	 T:21.80
2.67	 C0:6	 C1:169	 C2:32	 T:21.40
2.63	 D0:9	 D1:107	 D2:135	 T:21.80

2.63	 A0:25	 A1:133	 A2:66	 T:21.80
2.63	 B0:81	 B1:109	 B2:49	 T:21.80
2.75	 C0:7	 C1:169	 C2:32	 T:21.40
2.70	 D0:9	 D1:107	 D2:134	 T:21.80

2.71	 A0:25	 A1:133	 A2:66	 T:21.80
2.71	 B0:81	 B1:109	 B2:49	 T:21.80
2.82	 C0:7	 C1:169	 C2:32	 T:21.40
2.78	 D0:9	 D1:108	 D2:135	 T:21.80

2.79	 A0:25	 A1:133	 A2:67	 T:21.80
