0.05	 A0:24	 A1:135	 A2:61	 T:22.20
0.05	 B0:75	 B1:113	 B2:48	 T:21.80
0.20	 C0:7	 C1:200	 C2:39	 T:21.40
0.05	 D0:10	 D1:117	 D2:129	 T:21.80

0.10	 A0:24	 A1:136	 A2:61	 T:22.20
0.10	 B0:75	 B1:112	 B2:48	 T:21.80
0.28	 C0:7	 C1:200	 C2:40	 T:21.40
0.10	 D0:10	 D1:117	 D2:129	 T:21.80

0.17	 A0:24	 A1:136	 A2:61	 T:22.20
0.17	 B0:75	 B1:112	 B2:48	 T:21.80
0.35	 C0:7	 C1:200	 C2:40	 T:21.40
0.18	 D0:10	 D1:117	 D2:129	 T:21.80

0.25	 A0:24	 A1:136	 A2:61	 T:22.20
0.25	 B0:75	 B1:113	 B2:48	 T:21.80
0.43	 C0:7	 C1:200	 C2:40	 T:21.40
0.26	 D0:10	 D1:117	 D2:129	 T:21.80

0.32	 A0:24	 A1:136	 A2:61	 T:22.20
0.32	 B0:75	 B1:112	 B2:48	 T:21.80
0.50	 C0:7	 C1:200	 C2:40	 T:21.40
0.34	 D0:10	 D1:117	 D2:129	 T:21.80

0.40	 A0:25	 A1:136	 A2:61	 T:22.20
0.40	 B0:75	 B1:113	 B2:48	 T:21.80
0.58	 C0:7	 C1:200	 C2:40	 T:21.40
0.41	 D0:9	 D1:117	 D2:129	 T:21.80

0.48	 A0:24	 A1:136	 A2:61	 T:22.20
0.48	 B0:75	 B1:112	 B2:48	 T:21.80
0.65	 C0:7	 C1:200	 C2:40	 T:21.40
0.49	 D0:10	 D1:117	 D2:129	 T:21.80

0.56	 A0:24	 A1:135	 A2:61	 T:22.20
0.56	 B0:75	 B1:113	 B2:48	 T:21.80
0.73	 C0:7	 C1:200	 C2:39	 T:21.40
0.57	 D0:10	 D1:117	 D2:129	 T:21.80

0.63	 A0:24	 A1:136	 A2:61	 T:22.20
0.63	 B0:75	 B1:113	 B2:48	 T:21.80
0.80	 C0:7	 C1:200	 C2:39	 T:21.40
0.65	 D0:10	 D1:117	 D2:129	 T:21.80

0.71	 A0:24	 A1:136	 A2:61	 T:22.20
0.71	 B0:75	 B1:113	 B2:48	 T:21.80
