1.29	 A0:23	 A1:130	 A2:63	 T:22.20

0.03	 B0:69	 B1:112	 B2:79	 T:nan

0.03	 C0:17	 C1:37	 C2:142	 T:22.20

0.03	 D0:9	 D1:153	 D2:71	 T:nan


1.33	 A0:23	 A1:130	 A2:63	 T:22.20

0.12	 B0:69	 B1:112	 B2:79	 T:nan

0.13	 C0:17	 C1:25	 C2:143	 T:22.20

0.12	 D0:10	 D1:153	 D2:71	 T:nan


0.03	 A0:23	 A1:130	 A2:63	 T:22.20

0.19	 B0:69	 B1:112	 B2:79	 T:nan

0.21	 C0:16	 C1:22	 C2:142	 T:22.20

0.19	 D0:10	 D1:153	 D2:71	 T:nan


0.06	 A0:22	 A1:130	 A2:63	 T:22.20

0.27	 B0:69	 B1:112	 B2:79	 T:nan

0.29	 C0:17	 C1:24	 C2:142	 T:22.20

0.26	 D0:10	 D1:153	 D2:71	 T:nan


0.13	 A0:23	 A1:130	 A2:63	 T:22.20

0.34	 B0:69	 B1:112	 B2:79	 T:nan

0.36	 C0:16	 C1:23	 C2:143	 T:22.20

0.34	 D0:10	 D1:153	 D2:71	 T:nan


0.21	 A0:22	 A1:130	 A2:63	 T:22.20

0.41	 B0:69	 B1:112	 B2:78	 T:nan

0.44	 C0:16	 C1:17	 C2:143	 T:22.20

0.41	 D0:10	 D1:153	 D2:71	 T:nan


0.29	 A0:23	 A1:130	 A2:63	 T:22.20

0.49	 B0:69	 B1:112	 B2:78	 T:nan

0.52	 C0:16	 C1:27	 C2:142	 T:22.20

0.48	 D0:10	 D1:153	 D2:71	 T:nan


0.36	 A0:23	 A1:130	 A2:63	 T:22.20

0.56	 B0:69	 B1:112	 B2:78	 T:nan

0.59	 C0:17	 C1:24	 C2:143	 T:22.20

0.55	 D0:9	 D1:153	 D2:71	 T:nan


0.44	 A0:23	 A1:130	 A2:63	 T:22.20

0.63	 B0:69	 B1:112	 B2:78	 T:nan

0.67	 C0:17	 C1:18	 C2:143	 T:22.20

0.63	 D0:10	 D1:153	 D2:70	 T:nan


0.52	 A0:23	 A1:130	 A2:63	 T:22.20

0.70	 B0:69	 B1:112	 B2:78	 T:nan

0.75	 C0:16	 C1:24	 C2:143	 T:22.20

0.70	 D0:10	 D1:153	 D2:71	 T:nan


0.59	 A0:23	 A1:131	 A2:63	 T:22.20

0.78	 B0:69	 B1:112	 B2:78	 T:nan

0.83	 C0:17	 C1:21	 C2:143	 T:22.20

0.77	 D0:10	 D1:153	 D2:71	 T:nan


0.67	 A0:23	 A1:130	 A2:63	 T:22.20

0.85	 B0:69	 B1:112	 B2:78	 T:nan

0.90	 C0:17	 C1:24	 C2:143	 T:22.20

0.84	 D0:10	 D1:153	 D2:71	 T:nan


0.75	 A0:23	 A1:130	 A2:63	 T:22.20

0.92	 B0:69	 B1:112	 B2:78	 T:nan

0.98	 C0:16	 C1:23	 C2:143	 T:22.20

0.91	 D0:10	 D1:153	 D2:71	 T:nan


0.83	 A0:23	 A1:130	 A2:63	 T:22.20

1.00	 B0:69	 B1:112	 B2:78	 T:nan

1.06	 C0:16	 C1:17	 C2:143	 T:22.20

0.99	 D0:9	 D1:153	 D2:71	 T:nan


0.90	 A0:23	 A1:130	 A2:64	 T:22.20

1.07	 B0:69	 B1:112	 B2:78	 T:nan

1.13	 C0:17	 C1:26	 C2:143	 T:22.20

1.06	 D0:9	 D1:153	 D2:70	 T:nan


0.98	 A0:23	 A1:130	 A2:63	 T:22.20

1.14	 B0:69	 B1:112	 B2:78	 T:nan

1.21	 C0:16	 C1:25	 C2:143	 T:22.20

1.13	 D0:10	 D1:153	 D2:71	 T:nan


1.06	 A0:23	 A1:130	 A2:63	 T:22.20

1.21	 B0:69	 B1:112	 B2:78	 T:nan

1.29	 C0:17	 C1:19	 C2:143	 T:22.20

1.20	 D0:10	 D1:153	 D2:71	 T:nan


1.13	 A0:23	 A1:130	 A2:63	 T:22.20

1.29	 B0:69	 B1:112	 B2:77	 T:nan

1.36	 C0:16	 C1:24	 C2:143	 T:22.20

1.27	 D0:10	 D1:153	 D2:70	 T:nan


1.21	 A0:23	 A1:130	 A2:63	 T:22.20

1.36	 B0:69	 B1:112	 B2:77	 T:nan

1.44	 C0:17	 C1:21	 C2:143	 T:22.20

1.34	 D0:10	 D1:153	 D2:71	 T:nan


1.29	 A0:23	 A1:130	 A2:63	 T:22.20

1.43	 B0:69	 B1:112	 B2:77	 T:nan

1.52	 C0:17	 C1:25	 C2:143	 T:22.20

1.42	 D0:9	 D1:153	 D2:70	 T:nan


1.36	 A0:23	 A1:130	 A2:63	 T:22.20

1.51	 B0:69	 B1:112	 B2:77	 T:nan

1.60	 C0:17	 C1:23	 C2:143	 T:22.20

1.49	 D0:9	 D1:153	 D2:70	 T:nan


1.44	 A0:23	 A1:130	 A2:64	 T:22.20

1.58	 B0:70	 B1:112	 B2:77	 T:nan

1.67	 C0:17	 C1:16	 C2:143	 T:22.20

1.56	 D0:10	 D1:153	 D2:71	 T:nan


1.52	 A0:23	 A1:130	 A2:63	 T:22.20

1.65	 B0:69	 B1:112	 B2:77	 T:nan

1.75	 C0:16	 C1:26	 C2:143	 T:22.20

1.63	 D0:10	 D1:153	 D2:71	 T:nan


1.60	 A0:23	 A1:130	 A2:63	 T:22.20

1.72	 B0:69	 B1:112	 B2:77	 T:nan

1.83	 C0:16	 C1:25	 C2:142	 T:22.20

1.71	 D0:10	 D1:153	 D2:70	 T:nan


1.67	 A0:23	 A1:130	 A2:63	 T:22.20

1.80	 B0:70	 B1:112	 B2:77	 T:nan

1.90	 C0:16	 C1:20	 C2:143	 T:22.20

1.78	 D0:10	 D1:153	 D2:70	 T:nan


1.75	 A0:23	 A1:130	 A2:63	 T:22.20

1.87	 B0:69	 B1:112	 B2:77	 T:nan

1.98	 C0:17	 C1:23	 C2:142	 T:22.20

1.85	 D0:9	 D1:153	 D2:70	 T:nan


1.83	 A0:23	 A1:130	 A2:63	 T:22.20

1.94	 B0:69	 B1:112	 B2:77	 T:nan

2.06	 C0:17	 C1:23	 C2:142	 T:22.20

1.92	 D0:9	 D1:153	 D2:70	 T:nan


1.90	 A0:23	 A1:130	 A2:63	 T:22.20

2.02	 B0:69	 B1:112	 B2:77	 T:nan

2.13	 C0:17	 C1:20	 C2:142	 T:22.20

1.99	 D0:9	 D1:153	 D2:70	 T:nan


1.98	 A0:23	 A1:130	 A2:64	 T:22.20

2.09	 B0:70	 B1:112	 B2:77	 T:nan

2.21	 C0:17	 C1:23	 C2:143	 T:22.20

2.06	 D0:9	 D1:153	 D2:70	 T:nan


2.06	 A0:23	 A1:130	 A2:64	 T:22.20

2.16	 B0:70	 B1:112	 B2:77	 T:nan

2.29	 C0:17	 C1:20	 C2:143	 T:22.20

2.14	 D0:10	 D1:153	 D2:70	 T:nan


2.13	 A0:23	 A1:130	 A2:63	 T:22.20

2.23	 B0:70	 B1:112	 B2:77	 T:nan

2.36	 C0:17	 C1:26	 C2:143	 T:22.20

2.21	 D0:10	 D1:153	 D2:71	 T:nan


2.21	 A0:23	 A1:130	 A2:64	 T:22.20

2.31	 B0:70	 B1:112	 B2:77	 T:nan

2.44	 C0:16	 C1:24	 C2:142	 T:22.20

2.28	 D0:9	 D1:153	 D2:70	 T:nan


2.29	 A0:23	 A1:130	 A2:64	 T:22.20

2.38	 B0:69	 B1:112	 B2:77	 T:nan

2.52	 C0:17	 C1:15	 C2:142	 T:22.20

2.35	 D0:9	 D1:153	 D2:70	 T:nan


2.36	 A0:23	 A1:130	 A2:63	 T:22.20

2.45	 B0:70	 B1:112	 B2:77	 T:nan

2.59	 C0:17	 C1:26	 C2:142	 T:22.20

2.42	 D0:9	 D1:153	 D2:70	 T:nan


2.44	 A0:23	 A1:130	 A2:63	 T:22.20

2.53	 B0:70	 B1:112	 B2:77	 T:nan

2.67	 C0:17	 C1:24	 C2:142	 T:22.20

2.49	 D0:9	 D1:152	 D2:70	 T:nan


2.52	 A0:23	 A1:130	 A2:64	 T:22.20

2.60	 B0:70	 B1:112	 B2:77	 T:nan

2.75	 C0:17	 C1:21	 C2:143	 T:22.20

2.56	 D0:9	 D1:153	 D2:70	 T:nan


2.59	 A0:23	 A1:130	 A2:63	 T:22.20

2.67	 B0:70	 B1:112	 B2:76	 T:nan

2.83	 C0:17	 C1:22	 C2:142	 T:22.20

2.63	 D0:10	 D1:153	 D2:70	 T:nan


2.67	 A0:23	 A1:131	 A2:63	 T:22.20

2.74	 B0:70	 B1:112	 B2:77	 T:nan

2.90	 C0:16	 C1:19	 C2:143	 T:22.20

2.71	 D0:9	 D1:153	 D2:70	 T:nan


2.75	 A0:23	 A1:130	 A2:64	 T:22.20

2.82	 B0:69	 B1:112	 B2:76	 T:nan

2.98	 C0:16	 C1:26	 C2:143	 T:22.20

2.78	 D0:9	 D1:152	 D2:70	 T:nan


2.83	 A0:23	 A1:130	 A2:63	 T:22.20

2.89	 B0:69	 B1:112	 B2:76	 T:nan

3.06	 C0:17	 C1:24	 C2:143	 T:22.20

2.85	 D0:10	 D1:153	 D2:70	 T:nan


2.90	 A0:23	 A1:131	 A2:64	 T:22.20

2.96	 B0:69	 B1:112	 B2:76	 T:nan

3.13	 C0:16	 C1:16	 C2:142	 T:22.20

2.92	 D0:10	 D1:153	 D2:70	 T:nan


2.98	 A0:23	 A1:130	 A2:64	 T:22.20

3.03	 B0:70	 B1:112	 B2:76	 T:nan

3.21	 C0:16	 C1:26	 C2:142	 T:22.20

2.99	 D0:9	 D1:153	 D2:70	 T:nan


3.06	 A0:23	 A1:130	 A2:63	 T:22.20

3.11	 B0:70	 B1:112	 B2:76	 T:nan

3.29	 C0:16	 C1:23	 C2:143	 T:22.20

3.06	 D0:9	 D1:153	 D2:70	 T:nan


3.13	 A0:23	 A1:131	 A2:64	 T:22.20

3.18	 B0:69	 B1:112	 B2:76	 T:nan

3.36	 C0:16	 C1:23	 C2:143	 T:22.20

3.13	 D0:10	 D1:153	 D2:70	 T:nan


3.21	 A0:23	 A1:131	 A2:64	 T:22.20
