0.03	 A0:22	 A1:129	 A2:62	 T:22.20
0.03	 B0:67	 B1:110	 B2:81	 T:nan
0.03	 C0:11	 C1:26	 C2:100	 T:22.20
3.02	 D0:9	 D1:152	 D2:73	 T:nan

0.06	 A0:22	 A1:129	 A2:61	 T:22.20
0.05	 B0:66	 B1:110	 B2:81	 T:nan
0.06	 C0:11	 C1:17	 C2:100	 T:22.20
3.09	 D0:9	 D1:152	 D2:73	 T:nan

0.13	 A0:22	 A1:129	 A2:61	 T:22.20
0.12	 B0:66	 B1:110	 B2:81	 T:nan
0.13	 C0:11	 C1:13	 C2:100	 T:22.20
0.03	 D0:9	 D1:152	 D2:73	 T:nan

0.21	 A0:22	 A1:129	 A2:62	 T:22.20
0.19	 B0:66	 B1:110	 B2:81	 T:nan
0.21	 C0:11	 C1:22	 C2:100	 T:22.20
0.05	 D0:9	 D1:152	 D2:72	 T:nan

0.29	 A0:22	 A1:129	 A2:61	 T:22.20
0.27	 B0:66	 B1:110	 B2:81	 T:nan
0.28	 C0:11	 C1:19	 C2:100	 T:22.20
0.12	 D0:9	 D1:152	 D2:72	 T:nan

0.36	 A0:22	 A1:129	 A2:62	 T:22.20
0.34	 B0:67	 B1:110	 B2:80	 T:nan
0.36	 C0:11	 C1:14	 C2:100	 T:22.20
0.19	 D0:9	 D1:152	 D2:72	 T:nan

0.44	 A0:22	 A1:129	 A2:61	 T:22.20
0.41	 B0:67	 B1:110	 B2:80	 T:nan
0.44	 C0:11	 C1:19	 C2:100	 T:22.20
0.26	 D0:9	 D1:152	 D2:72	 T:nan

0.52	 A0:22	 A1:129	 A2:62	 T:22.20
0.49	 B0:67	 B1:110	 B2:80	 T:nan
0.52	 C0:11	 C1:16	 C2:99	 T:22.20
0.33	 D0:9	 D1:152	 D2:72	 T:nan

0.59	 A0:22	 A1:129	 A2:62	 T:22.20
0.56	 B0:67	 B1:110	 B2:80	 T:nan
0.59	 C0:11	 C1:21	 C2:100	 T:22.20
0.40	 D0:9	 D1:152	 D2:72	 T:nan

0.67	 A0:22	 A1:129	 A2:62	 T:22.20
0.63	 B0:67	 B1:110	 B2:80	 T:nan
0.67	 C0:11	 C1:19	 C2:99	 T:22.20
0.47	 D0:9	 D1:152	 D2:72	 T:nan

0.75	 A0:22	 A1:129	 A2:62	 T:22.20
0.70	 B0:67	 B1:110	 B2:80	 T:nan
0.74	 C0:11	 C1:16	 C2:100	 T:22.20
0.54	 D0:9	 D1:152	 D2:72	 T:nan

0.83	 A0:22	 A1:129	 A2:61	 T:22.20
0.78	 B0:67	 B1:110	 B2:80	 T:nan
0.82	 C0:11	 C1:18	 C2:99	 T:22.20
0.61	 D0:9	 D1:152	 D2:72	 T:nan

0.90	 A0:22	 A1:129	 A2:62	 T:22.20
0.85	 B0:67	 B1:110	 B2:81	 T:nan
0.90	 C0:11	 C1:13	 C2:100	 T:22.20
0.68	 D0:9	 D1:152	 D2:72	 T:nan

0.98	 A0:22	 A1:129	 A2:62	 T:22.20
0.92	 B0:67	 B1:110	 B2:80	 T:nan
0.97	 C0:11	 C1:22	 C2:100	 T:22.20
0.75	 D0:9	 D1:152	 D2:72	 T:nan

1.06	 A0:22	 A1:129	 A2:62	 T:22.20
1.00	 B0:67	 B1:110	 B2:80	 T:nan
1.05	 C0:11	 C1:19	 C2:100	 T:22.20
0.82	 D0:9	 D1:152	 D2:72	 T:nan

1.13	 A0:23	 A1:129	 A2:62	 T:22.20
1.07	 B0:67	 B1:110	 B2:80	 T:nan
1.13	 C0:11	 C1:13	 C2:100	 T:22.20
0.90	 D0:9	 D1:152	 D2:72	 T:nan

1.21	 A0:22	 A1:129	 A2:62	 T:22.20
1.14	 B0:67	 B1:110	 B2:80	 T:nan
1.21	 C0:11	 C1:18	 C2:99	 T:22.20
0.97	 D0:9	 D1:152	 D2:72	 T:nan

1.29	 A0:22	 A1:129	 A2:62	 T:22.20
1.21	 B0:67	 B1:110	 B2:80	 T:nan
1.28	 C0:12	 C1:14	 C2:100	 T:22.20
1.04	 D0:9	 D1:152	 D2:72	 T:nan

1.36	 A0:22	 A1:129	 A2:62	 T:22.20
1.29	 B0:66	 B1:110	 B2:80	 T:nan
1.36	 C0:11	 C1:21	 C2:100	 T:22.20
1.11	 D0:9	 D1:152	 D2:72	 T:nan

1.44	 A0:22	 A1:129	 A2:62	 T:22.20
1.36	 B0:66	 B1:110	 B2:80	 T:nan
1.43	 C0:11	 C1:18	 C2:100	 T:22.20
1.18	 D0:9	 D1:152	 D2:72	 T:nan

1.52	 A0:23	 A1:129	 A2:61	 T:22.20
1.43	 B0:67	 B1:110	 B2:80	 T:nan
1.51	 C0:11	 C1:12	 C2:100	 T:22.20
1.25	 D0:9	 D1:152	 D2:72	 T:nan

1.60	 A0:22	 A1:129	 A2:62	 T:22.20
1.51	 B0:67	 B1:110	 B2:80	 T:nan
1.59	 C0:11	 C1:20	 C2:99	 T:22.20
1.32	 D0:9	 D1:152	 D2:72	 T:nan

1.67	 A0:22	 A1:129	 A2:61	 T:22.20
1.58	 B0:67	 B1:110	 B2:80	 T:nan
1.66	 C0:11	 C1:12	 C2:100	 T:22.20
1.39	 D0:9	 D1:152	 D2:72	 T:nan

1.75	 A0:22	 A1:129	 A2:62	 T:22.20
1.65	 B0:67	 B1:110	 B2:80	 T:nan
1.74	 C0:11	 C1:21	 C2:100	 T:22.20
1.46	 D0:9	 D1:152	 D2:72	 T:nan

1.83	 A0:23	 A1:129	 A2:62	 T:22.20
1.72	 B0:67	 B1:110	 B2:80	 T:nan
1.82	 C0:11	 C1:19	 C2:100	 T:22.20
1.53	 D0:9	 D1:152	 D2:72	 T:nan

1.90	 A0:22	 A1:129	 A2:61	 T:22.20
1.80	 B0:66	 B1:110	 B2:80	 T:nan
1.90	 C0:11	 C1:14	 C2:99	 T:22.20
1.60	 D0:9	 D1:152	 D2:72	 T:nan

1.98	 A0:22	 A1:129	 A2:62	 T:22.20
1.87	 B0:67	 B1:110	 B2:80	 T:nan
1.97	 C0:11	 C1:17	 C2:99	 T:22.20
1.67	 D0:9	 D1:152	 D2:72	 T:nan

2.06	 A0:23	 A1:129	 A2:61	 T:22.20
1.94	 B0:67	 B1:110	 B2:80	 T:nan
2.06	 C0:11	 C1:25	 C2:99	 T:22.20
1.74	 D0:9	 D1:152	 D2:72	 T:nan

2.13	 A0:22	 A1:129	 A2:61	 T:22.20
2.02	 B0:67	 B1:110	 B2:80	 T:nan
2.12	 C0:11	 C1:19	 C2:99	 T:22.20
1.81	 D0:9	 D1:152	 D2:72	 T:nan

2.21	 A0:22	 A1:129	 A2:62	 T:22.20
2.09	 B0:67	 B1:110	 B2:80	 T:nan
2.20	 C0:11	 C1:12	 C2:99	 T:22.20
1.88	 D0:9	 D1:152	 D2:72	 T:nan

2.29	 A0:22	 A1:129	 A2:62	 T:22.20
2.16	 B0:67	 B1:110	 B2:80	 T:nan
2.27	 C0:11	 C1:20	 C2:100	 T:22.20
1.96	 D0:9	 D1:152	 D2:72	 T:nan

2.36	 A0:22	 A1:129	 A2:62	 T:22.20
2.23	 B0:67	 B1:110	 B2:80	 T:nan
2.35	 C0:11	 C1:14	 C2:99	 T:22.20
2.04	 D0:9	 D1:152	 D2:72	 T:nan

2.44	 A0:22	 A1:129	 A2:62	 T:22.20
2.31	 B0:67	 B1:110	 B2:80	 T:nan
2.42	 C0:11	 C1:21	 C2:100	 T:22.20
2.10	 D0:9	 D1:152	 D2:72	 T:nan

2.52	 A0:22	 A1:129	 A2:62	 T:22.20
2.38	 B0:67	 B1:110	 B2:80	 T:nan
2.50	 C0:11	 C1:18	 C2:99	 T:22.20
2.17	 D0:9	 D1:152	 D2:72	 T:nan

2.59	 A0:22	 A1:129	 A2:61	 T:22.20
2.45	 B0:67	 B1:110	 B2:80	 T:nan
2.57	 C0:11	 C1:19	 C2:99	 T:22.20
2.24	 D0:9	 D1:152	 D2:72	 T:nan

2.67	 A0:22	 A1:129	 A2:61	 T:22.20
2.53	 B0:67	 B1:110	 B2:80	 T:nan
2.65	 C0:11	 C1:19	 C2:99	 T:22.20
2.31	 D0:9	 D1:152	 D2:72	 T:nan

2.75	 A0:22	 A1:129	 A2:62	 T:22.20
2.60	 B0:67	 B1:110	 B2:79	 T:nan
2.72	 C0:11	 C1:21	 C2:99	 T:22.20
2.38	 D0:9	 D1:152	 D2:72	 T:nan

2.83	 A0:22	 A1:129	 A2:62	 T:22.20
2.67	 B0:67	 B1:110	 B2:79	 T:nan
2.80	 C0:11	 C1:19	 C2:100	 T:22.20
2.45	 D0:9	 D1:152	 D2:72	 T:nan

2.90	 A0:22	 A1:129	 A2:62	 T:22.20
2.74	 B0:68	 B1:110	 B2:79	 T:nan
2.88	 C0:11	 C1:14	 C2:99	 T:22.20
2.52	 D0:9	 D1:153	 D2:72	 T:nan

2.98	 A0:22	 A1:129	 A2:62	 T:22.20
2.82	 B0:67	 B1:110	 B2:79	 T:nan
2.95	 C0:11	 C1:17	 C2:99	 T:22.20
2.59	 D0:9	 D1:152	 D2:72	 T:nan

3.06	 A0:22	 A1:129	 A2:62	 T:22.20
2.89	 B0:67	 B1:110	 B2:80	 T:nan
3.03	 C0:11	 C1:16	 C2:99	 T:22.20
2.66	 D0:9	 D1:152	 D2:72	 T:nan

3.13	 A0:22	 A1:129	 A2:62	 T:22.20
2.96	 B0:67	 B1:110	 B2:79	 T:nan
3.10	 C0:11	 C1:17	 C2:100	 T:22.20
2.73	 D0:9	 D1:152	 D2:72	 T:nan

3.21	 A0:22	 A1:129	 A2:61	 T:22.20
3.03	 B0:67	 B1:110	 B2:80	 T:nan
3.18	 C0:11	 C1:10	 C2:99	 T:22.20
2.80	 D0:9	 D1:152	 D2:72	 T:nan

3.29	 A0:22	 A1:129	 A2:62	 T:22.20
3.11	 B0:67	 B1:110	 B2:79	 T:nan
