0.03	 A0:25	 A1:130	 A2:63	 T:21.80
0.03	 B0:70	 B1:111	 B2:70	 T:nan
0.03	 C0:12	 C1:33	 C2:106	 T:21.80
0.00	 D0:9	 D1:152	 D2:67	 T:nan

0.06	 A0:24	 A1:130	 A2:64	 T:21.80
0.05	 B0:70	 B1:111	 B2:70	 T:nan
0.06	 C0:12	 C1:15	 C2:106	 T:21.80
0.04	 D0:9	 D1:152	 D2:67	 T:nan

0.13	 A0:24	 A1:130	 A2:64	 T:21.80
0.12	 B0:70	 B1:111	 B2:70	 T:nan
0.13	 C0:12	 C1:20	 C2:106	 T:21.80
0.08	 D0:9	 D1:152	 D2:67	 T:nan

0.21	 A0:25	 A1:130	 A2:63	 T:21.80
0.19	 B0:70	 B1:111	 B2:70	 T:nan
0.21	 C0:12	 C1:18	 C2:106	 T:21.80
0.15	 D0:9	 D1:152	 D2:67	 T:nan

0.29	 A0:25	 A1:130	 A2:63	 T:21.80
0.27	 B0:70	 B1:111	 B2:70	 T:nan
0.29	 C0:13	 C1:21	 C2:106	 T:21.80
0.22	 D0:9	 D1:152	 D2:67	 T:nan

0.36	 A0:25	 A1:130	 A2:64	 T:21.80
0.34	 B0:70	 B1:111	 B2:69	 T:nan
0.36	 C0:12	 C1:19	 C2:106	 T:21.80
0.29	 D0:9	 D1:152	 D2:67	 T:nan

0.44	 A0:24	 A1:130	 A2:63	 T:21.80
0.41	 B0:70	 B1:111	 B2:69	 T:nan
0.44	 C0:12	 C1:12	 C2:106	 T:21.80
0.37	 D0:9	 D1:152	 D2:67	 T:nan

0.52	 A0:24	 A1:130	 A2:63	 T:21.80
0.49	 B0:70	 B1:111	 B2:70	 T:nan
0.52	 C0:12	 C1:22	 C2:106	 T:21.80
0.44	 D0:9	 D1:152	 D2:67	 T:nan

0.59	 A0:25	 A1:130	 A2:64	 T:21.80
0.56	 B0:70	 B1:111	 B2:70	 T:nan
0.59	 C0:12	 C1:20	 C2:106	 T:21.80
0.51	 D0:9	 D1:152	 D2:67	 T:nan

0.67	 A0:24	 A1:130	 A2:64	 T:21.80
0.63	 B0:70	 B1:111	 B2:69	 T:nan
0.67	 C0:12	 C1:17	 C2:106	 T:21.80
0.58	 D0:9	 D1:152	 D2:67	 T:nan

0.75	 A0:25	 A1:130	 A2:64	 T:21.80
0.70	 B0:70	 B1:111	 B2:69	 T:nan
0.75	 C0:12	 C1:19	 C2:106	 T:21.80
0.65	 D0:9	 D1:152	 D2:67	 T:nan

0.83	 A0:25	 A1:130	 A2:64	 T:21.80
0.78	 B0:70	 B1:111	 B2:69	 T:nan
0.83	 C0:12	 C1:16	 C2:106	 T:21.80
0.72	 D0:9	 D1:152	 D2:67	 T:nan

0.90	 A0:25	 A1:130	 A2:64	 T:21.80
0.85	 B0:70	 B1:111	 B2:69	 T:nan
0.90	 C0:12	 C1:22	 C2:106	 T:21.80
0.79	 D0:9	 D1:152	 D2:67	 T:nan

0.98	 A0:25	 A1:130	 A2:64	 T:21.80
0.92	 B0:70	 B1:111	 B2:69	 T:nan
0.98	 C0:12	 C1:20	 C2:106	 T:21.80
0.86	 D0:9	 D1:152	 D2:67	 T:nan

1.06	 A0:25	 A1:130	 A2:64	 T:21.80
1.00	 B0:70	 B1:111	 B2:69	 T:nan
1.06	 C0:12	 C1:12	 C2:106	 T:21.80
0.93	 D0:9	 D1:152	 D2:67	 T:nan

1.13	 A0:25	 A1:130	 A2:64	 T:21.80
1.07	 B0:70	 B1:111	 B2:69	 T:nan
1.13	 C0:12	 C1:22	 C2:107	 T:21.80
1.00	 D0:9	 D1:152	 D2:66	 T:nan

1.21	 A0:25	 A1:130	 A2:64	 T:21.80
1.14	 B0:70	 B1:111	 B2:69	 T:nan
1.21	 C0:12	 C1:19	 C2:106	 T:21.80
1.07	 D0:9	 D1:152	 D2:67	 T:nan

1.29	 A0:25	 A1:130	 A2:64	 T:21.80
1.21	 B0:70	 B1:111	 B2:69	 T:nan
1.29	 C0:12	 C1:18	 C2:106	 T:21.80
1.14	 D0:9	 D1:152	 D2:67	 T:nan

1.36	 A0:25	 A1:130	 A2:64	 T:21.80
1.29	 B0:70	 B1:111	 B2:69	 T:nan
1.36	 C0:12	 C1:18	 C2:106	 T:21.80
1.21	 D0:9	 D1:152	 D2:67	 T:nan

1.44	 A0:24	 A1:130	 A2:64	 T:21.80
1.36	 B0:70	 B1:111	 B2:69	 T:nan
1.44	 C0:12	 C1:15	 C2:106	 T:21.80
1.28	 D0:8	 D1:152	 D2:67	 T:nan

1.52	 A0:25	 A1:130	 A2:64	 T:21.80
1.43	 B0:71	 B1:111	 B2:69	 T:nan
1.52	 C0:12	 C1:22	 C2:107	 T:21.80
1.35	 D0:8	 D1:152	 D2:67	 T:nan

1.60	 A0:25	 A1:130	 A2:64	 T:21.80
1.51	 B0:71	 B1:111	 B2:69	 T:nan
1.60	 C0:13	 C1:20	 C2:106	 T:21.80
1.42	 D0:9	 D1:152	 D2:66	 T:nan

1.67	 A0:25	 A1:130	 A2:64	 T:21.80
1.58	 B0:71	 B1:111	 B2:69	 T:nan
1.67	 C0:12	 C1:12	 C2:106	 T:21.80
1.50	 D0:9	 D1:152	 D2:67	 T:nan

1.75	 A0:25	 A1:130	 A2:64	 T:21.80
1.65	 B0:70	 B1:111	 B2:69	 T:nan
1.75	 C0:12	 C1:21	 C2:106	 T:21.80
1.57	 D0:9	 D1:151	 D2:66	 T:nan

1.83	 A0:25	 A1:130	 A2:64	 T:21.80
1.72	 B0:71	 B1:111	 B2:69	 T:nan
1.83	 C0:13	 C1:19	 C2:106	 T:21.80
1.64	 D0:9	 D1:152	 D2:66	 T:nan

1.90	 A0:25	 A1:130	 A2:64	 T:21.80
1.80	 B0:71	 B1:111	 B2:69	 T:nan
1.90	 C0:12	 C1:19	 C2:106	 T:21.80
1.71	 D0:9	 D1:152	 D2:66	 T:nan

1.98	 A0:25	 A1:130	 A2:64	 T:21.80
1.87	 B0:71	 B1:111	 B2:69	 T:nan
1.98	 C0:12	 C1:19	 C2:107	 T:21.80
1.78	 D0:9	 D1:152	 D2:67	 T:nan

2.06	 A0:25	 A1:130	 A2:64	 T:21.80
1.94	 B0:71	 B1:111	 B2:69	 T:nan
2.06	 C0:12	 C1:17	 C2:106	 T:21.80
1.85	 D0:9	 D1:152	 D2:66	 T:nan

2.13	 A0:25	 A1:130	 A2:64	 T:21.80
2.02	 B0:71	 B1:111	 B2:69	 T:nan
2.13	 C0:12	 C1:19	 C2:106	 T:21.80
1.92	 D0:9	 D1:152	 D2:66	 T:nan

2.21	 A0:25	 A1:130	 A2:64	 T:21.80
2.09	 B0:71	 B1:111	 B2:69	 T:nan
2.21	 C0:12	 C1:19	 C2:107	 T:21.80
1.99	 D0:9	 D1:152	 D2:66	 T:nan

2.29	 A0:25	 A1:130	 A2:64	 T:21.80
2.16	 B0:71	 B1:111	 B2:69	 T:nan
2.29	 C0:12	 C1:13	 C2:106	 T:21.80
2.06	 D0:9	 D1:152	 D2:66	 T:nan

2.36	 A0:25	 A1:130	 A2:64	 T:21.80
2.23	 B0:71	 B1:111	 B2:68	 T:nan
2.36	 C0:12	 C1:23	 C2:106	 T:21.80
2.13	 D0:9	 D1:152	 D2:66	 T:nan

2.44	 A0:25	 A1:130	 A2:64	 T:21.80
2.31	 B0:71	 B1:111	 B2:68	 T:nan
2.44	 C0:12	 C1:20	 C2:106	 T:21.80
2.20	 D0:9	 D1:152	 D2:67	 T:nan

2.52	 A0:25	 A1:130	 A2:64	 T:21.80
2.38	 B0:71	 B1:111	 B2:68	 T:nan
2.52	 C0:12	 C1:14	 C2:106	 T:21.80
2.27	 D0:9	 D1:152	 D2:66	 T:nan

2.59	 A0:25	 A1:130	 A2:64	 T:21.80
2.45	 B0:71	 B1:111	 B2:68	 T:nan
2.59	 C0:12	 C1:20	 C2:106	 T:21.80
2.34	 D0:9	 D1:152	 D2:66	 T:nan

2.67	 A0:25	 A1:130	 A2:64	 T:21.80
2.53	 B0:71	 B1:111	 B2:68	 T:nan
2.67	 C0:12	 C1:17	 C2:106	 T:21.80
2.41	 D0:9	 D1:152	 D2:66	 T:nan

2.75	 A0:25	 A1:130	 A2:64	 T:21.80
2.60	 B0:71	 B1:111	 B2:68	 T:nan
2.75	 C0:12	 C1:20	 C2:106	 T:21.80
2.49	 D0:9	 D1:152	 D2:66	 T:nan

2.83	 A0:25	 A1:130	 A2:64	 T:21.80
2.67	 B0:71	 B1:111	 B2:68	 T:nan
2.83	 C0:12	 C1:19	 C2:106	 T:21.80
2.56	 D0:9	 D1:152	 D2:66	 T:nan

2.90	 A0:25	 A1:130	 A2:64	 T:21.80
2.74	 B0:72	 B1:111	 B2:69	 T:nan
2.90	 C0:12	 C1:12	 C2:106	 T:21.80
2.63	 D0:9	 D1:152	 D2:66	 T:nan

2.98	 A0:25	 A1:130	 A2:64	 T:21.80
2.82	 B0:72	 B1:111	 B2:68	 T:nan
2.98	 C0:12	 C1:22	 C2:107	 T:21.80
2.70	 D0:8	 D1:152	 D2:66	 T:nan

3.06	 A0:25	 A1:130	 A2:64	 T:21.80
2.89	 B0:72	 B1:111	 B2:68	 T:nan
3.06	 C0:12	 C1:20	 C2:106	 T:21.80
2.77	 D0:9	 D1:152	 D2:66	 T:nan

3.13	 A0:25	 A1:130	 A2:64	 T:21.80
2.96	 B0:71	 B1:111	 B2:68	 T:nan
3.13	 C0:12	 C1:16	 C2:106	 T:21.80
2.84	 D0:9	 D1:152	 D2:66	 T:nan

