0.98	 A0:25	 A1:133	 A2:67	 T:22.20

1.03	 B0:77	 B1:113	 B2:51	 T:nan

0.03	 C0:15	 C1:29	 C2:132	 T:22.20

0.03	 D0:9	 D1:155	 D2:62	 T:nan


0.98	 A0:25	 A1:133	 A2:67	 T:22.20

1.07	 B0:77	 B1:113	 B2:51	 T:nan

0.13	 C0:15	 C1:20	 C2:132	 T:22.20

0.12	 D0:9	 D1:155	 D2:62	 T:nan


0.05	 A0:24	 A1:133	 A2:67	 T:22.20

0.05	 B0:77	 B1:113	 B2:51	 T:nan

0.29	 C0:15	 C1:21	 C2:132	 T:22.20

0.26	 D0:9	 D1:155	 D2:62	 T:nan


0.10	 A0:25	 A1:133	 A2:67	 T:22.20

0.12	 B0:76	 B1:113	 B2:51	 T:nan

0.36	 C0:15	 C1:16	 C2:132	 T:22.20

0.33	 D0:9	 D1:155	 D2:62	 T:nan


0.17	 A0:25	 A1:133	 A2:66	 T:22.20

0.19	 B0:77	 B1:113	 B2:52	 T:nan

0.44	 C0:15	 C1:25	 C2:132	 T:22.20

0.40	 D0:9	 D1:155	 D2:62	 T:nan


0.25	 A0:25	 A1:133	 A2:67	 T:22.20

0.27	 B0:76	 B1:113	 B2:51	 T:nan

0.52	 C0:15	 C1:23	 C2:132	 T:22.20

0.47	 D0:9	 D1:155	 D2:62	 T:nan


0.32	 A0:25	 A1:133	 A2:67	 T:22.20

0.34	 B0:76	 B1:113	 B2:52	 T:nan

0.59	 C0:16	 C1:16	 C2:131	 T:22.20

0.54	 D0:9	 D1:155	 D2:62	 T:nan


0.40	 A0:25	 A1:133	 A2:67	 T:22.20

0.41	 B0:77	 B1:113	 B2:52	 T:nan

0.67	 C0:15	 C1:23	 C2:132	 T:22.20

0.61	 D0:9	 D1:155	 D2:62	 T:nan


0.48	 A0:24	 A1:133	 A2:67	 T:22.20

0.49	 B0:77	 B1:113	 B2:52	 T:nan

0.75	 C0:15	 C1:21	 C2:132	 T:22.20

0.68	 D0:9	 D1:155	 D2:62	 T:nan


0.56	 A0:24	 A1:133	 A2:67	 T:22.20

0.56	 B0:76	 B1:113	 B2:52	 T:nan

0.83	 C0:15	 C1:22	 C2:132	 T:22.20

0.75	 D0:9	 D1:155	 D2:62	 T:nan


0.63	 A0:25	 A1:133	 A2:67	 T:22.20

0.63	 B0:77	 B1:113	 B2:51	 T:nan

0.90	 C0:15	 C1:21	 C2:132	 T:22.20

0.82	 D0:9	 D1:155	 D2:62	 T:nan


0.71	 A0:25	 A1:133	 A2:66	 T:22.20

0.70	 B0:77	 B1:113	 B2:52	 T:nan

0.98	 C0:16	 C1:16	 C2:131	 T:22.20

0.90	 D0:9	 D1:155	 D2:62	 T:nan


0.79	 A0:25	 A1:133	 A2:67	 T:22.20

0.78	 B0:77	 B1:113	 B2:52	 T:nan

1.06	 C0:16	 C1:25	 C2:131	 T:22.20

0.97	 D0:9	 D1:155	 D2:62	 T:nan


0.86	 A0:25	 A1:133	 A2:67	 T:22.20

0.85	 B0:77	 B1:113	 B2:52	 T:nan

1.13	 C0:15	 C1:23	 C2:132	 T:22.20

1.04	 D0:9	 D1:155	 D2:62	 T:nan


0.94	 A0:24	 A1:133	 A2:67	 T:22.20

0.92	 B0:76	 B1:113	 B2:51	 T:nan

1.21	 C0:15	 C1:14	 C2:132	 T:22.20

1.11	 D0:9	 D1:155	 D2:62	 T:nan


1.02	 A0:25	 A1:133	 A2:67	 T:22.20

1.00	 B0:76	 B1:114	 B2:51	 T:nan

1.29	 C0:15	 C1:24	 C2:132	 T:22.20

1.18	 D0:9	 D1:155	 D2:62	 T:nan


1.10	 A0:24	 A1:133	 A2:67	 T:22.20

1.07	 B0:76	 B1:113	 B2:52	 T:nan

1.36	 C0:15	 C1:22	 C2:132	 T:22.20

1.25	 D0:9	 D1:155	 D2:62	 T:nan


1.17	 A0:25	 A1:133	 A2:67	 T:22.20

1.14	 B0:76	 B1:113	 B2:51	 T:nan

