0.03	 A0:21	 A1:131	 A2:61	 T:22.20
0.03	 B0:69	 B1:111	 B2:51	 T:nan
0.03	 C0:20	 C1:36	 C2:154	 T:21.80
0.03	 D0:9	 D1:152	 D2:59	 T:nan

0.06	 A0:21	 A1:131	 A2:61	 T:22.20
0.05	 B0:69	 B1:112	 B2:51	 T:nan
0.06	 C0:19	 C1:26	 C2:154	 T:21.80
0.05	 D0:8	 D1:152	 D2:59	 T:nan

0.13	 A0:21	 A1:131	 A2:61	 T:22.20
0.12	 B0:69	 B1:112	 B2:51	 T:nan
0.13	 C0:19	 C1:24	 C2:154	 T:21.80
0.12	 D0:9	 D1:152	 D2:59	 T:nan

0.21	 A0:21	 A1:131	 A2:61	 T:22.20
0.19	 B0:69	 B1:112	 B2:51	 T:nan
0.21	 C0:19	 C1:27	 C2:154	 T:21.80
0.19	 D0:9	 D1:152	 D2:59	 T:nan

0.29	 A0:21	 A1:131	 A2:61	 T:22.20
0.27	 B0:69	 B1:112	 B2:51	 T:nan
0.29	 C0:19	 C1:26	 C2:154	 T:21.80
0.26	 D0:8	 D1:152	 D2:59	 T:nan

0.36	 A0:21	 A1:131	 A2:61	 T:22.20
0.34	 B0:69	 B1:112	 B2:51	 T:nan
0.36	 C0:19	 C1:18	 C2:154	 T:21.80
0.33	 D0:9	 D1:152	 D2:59	 T:nan

0.44	 A0:21	 A1:131	 A2:61	 T:22.20
0.41	 B0:69	 B1:112	 B2:51	 T:nan
0.44	 C0:19	 C1:29	 C2:154	 T:21.80
0.40	 D0:9	 D1:152	 D2:59	 T:nan

0.52	 A0:21	 A1:131	 A2:61	 T:22.20
0.49	 B0:69	 B1:112	 B2:51	 T:nan
0.52	 C0:19	 C1:27	 C2:154	 T:21.80
0.47	 D0:8	 D1:152	 D2:59	 T:nan

0.59	 A0:21	 A1:131	 A2:61	 T:22.20
0.56	 B0:69	 B1:112	 B2:51	 T:nan
0.59	 C0:20	 C1:23	 C2:154	 T:21.80
0.54	 D0:8	 D1:152	 D2:59	 T:nan

0.67	 A0:21	 A1:130	 A2:61	 T:22.20
