2.13	 A0:26	 A1:132	 A2:66	 T:21.80
2.23	 B0:79	 B1:112	 B2:54	 T:nan
0.03	 C0:12	 C1:22	 C2:108	 T:21.80
2.20	 D0:9	 D1:152	 D2:61	 T:nan

2.21	 A0:26	 A1:131	0	 A0:26	 A1:132	 A2:67	 T:21.80
2.16	 B0:79	 B1:112	 B2:54	 T:nan
0.06	 C0:12	 C1:20	 C2:108	 T:21.80
2.27	 D0:9	 D2:61	 T:nan

2.17	 A0:26	 A1:132	 A2:66	 T:21.80
2.23	 B0:79	 B1:112	 B2:54	 T:nan
0.13	 C0:12	 C1:20	 C2:108	 T:21.80
2.20	 D0:9	 D1:152	 D2:61	 T:nan

0.03	 A0:26	 A1:132	 A2:66	 T:21.80
0.03	 B0:78	 B1:112	 B2:54	 T:nan
0.21	 C0:12	 C1:15	 C2:108	 T:21.80
2.27	 D0:9	0.00	 D0:9	 D1:153	 D2:61	 T:nan

0.06	 A0:26	 A1:132	 A2:67	 T:21.80
0.05	 B0:78	 B1:112	 B2:54	 T:nan
0.29	 C0:12	 C1:19	 C2:108	 T:21.80
0.04	 D0:9	 D1:153	 D2:61	 T:nan

0.13	 A0:26	 A1:132	 A2:66	 T:21.80
0.12	 B0:79	 B1:112	 B2:54	 T:nan
0.36	 C0:12	 C1:17	 C2:108	 T:21.80
0.08	 D0:9	 D1:152	 D2:61	 T:nan

0.21	 A0:26	 A1:132	 A2:66	 T:21.80
0.19	 B0:78	 B1:112	 B2:54	 T:nan
0.44	 C0:12	 C1:21	 C2:108	 T:21.80
0.15	 D0:9	 D1:153	 D2:61	 T:nan

0.29	 A0:26	 A1:132	 A2:66	 T:21.80
0.27	 B0:79	 B1:112	 B2:54	 T:nan
0.52	 C0:12	 C1:19	 C2:108	 T:21.80
0.22	 D0:9	 D1:153	 D2:61	 T:nan

0.36	 A0:26	 A1:132	 A2:66	 T:21.80
0.34	 B0:79	 B1:112	 B2:54	 T:nan
0.59	 C0:12	 C1:11	 C2:108	 T:21.80
0.29	 D0:9	 D1:153	 D2:61	 T:nan

0.44	 A0:26	 A1:132	 A2:66	 T:21.80
0.41	 B0:79	 B1:112	 B2:54	 T:nan
0.67	 C0:12	 C1:21	 C2:108	 T:21.80
0.37	 D0:9	 D1:153	 D2:61	 T:nan

0.52	 A0:26	 A1:132	 A2:66	 T:21.80
0.49	 B0:78	 B1:112	 B2:54	 T:nan
0.75	 C0:12	 C1:19	 C2:108	 T:21.80
0.44	 D0:9	 D1:152	 D2:61	 T:nan

0.59	 A0:26	 A1:132	 A2:66	 T:21.80
0.56	 B0:78	 B1:112	 B2:54	 T:nan
0.83	 C0:12	 C1:17	 C2:108	 T:21.80
0.51	 D0:9	 D1:152	 D2:61	 T:nan

0.67	 A0:26	 A1:132	 A2:66	 T:21.80
0.63	 B0:78	 B1:112	 B2:54	 T:nan
0.90	 C0:12	 C1:18	 C2:108	 T:21.80
0.58	 D0:9	 D1:153	 D2:61	 T:nan

0.75	 A0:26	 A1:132	 A2:66	 T:21.80
0.70	 B0:79	 B1:112	 B2:54	 T:nan
0.98	 C0:12	 C1:15	 C2:109	 T:21.80
0.65	 D0:9	 D1:153	 D2:61	 T:nan

0.83	 A0:26	 A1:132	 A2:66	 T:21.80
0.78	 B0:78	 B1:112	 B2:54	 T:nan
1.06	 C0:12	 C1:22	 C2:108	 T:21.80
0.72	 D0:9	 D1:153	 D2:61	 T:nan

0.90	 A0:26	 A1:132	 A2:66	 T:21.80
0.85	 B0:78	 B1:112	 B2:53	 T:nan
1.13	 C0:12	 C1:20	 C2:108	 T:21.80
0.79	 D0:9	 D1:152	 D2:61	 T:nan

0.98	 A0:26	 A1:132	 A2:66	 T:21.80
0.92	 B0:79	 B1:112	 B2:54	 T:nan
1.21	 C0:12	 C1:13	 C2:108	 T:21.80
0.86	 D0:9	 D1:153	 D2:61	 T:nan

1.06	 A0:26	 A1:132	 A2:66	 T:21.80
1.00	 B0:78	 B1:112	 B2:54	 T:nan
1.29	 C0:12	 C1:21	 C2:108	 T:21.80
