1.48	 A0:24	 A1:129	 A2:65	 T:21.80
0.03	 B0:80	 B1:111	 B2:50	 T:nan
0.00	 C0:12	 C1:48	 C2:114	 T:21.80
0.03	 D0:8	 D1:151	 D2:61	 T:nan

0.03	 A0:24	 A1:130	 A2:65	 T:21.80
0.05	 B0:80	 B1:111	 B2:50	 T:nan
0.05	 C0:13	 C1:15	 C2:114	 T:21.80
0.05	 D0:8	 D1:151	 D2:61	 T:nan

0.06	 A0:24	 A1:130	 A2:65	 T:21.80
0.12	 B0:80	 B1:111	 B2:50	 T:nan
0.10	 C0:13	 C1:22	 C2:114	 T:21.80
0.12	 D0:9	 D1:150	 D2:61	 T:nan

0.13	 A0:24	 A1:130	 A2:65	 T:21.80
0.19	 B0:80	 B1:111	 B2:50	 T:nan
0.17	 C0:13	 C1:16	 C2:114	 T:21.80
0.19	 D0:9	 D1:151	 D2:61	 T:nan

0.21	 A0:24	 A1:130	 A2:65	 T:21.80
0.27	 B0:80	 B1:111	 B2:50	 T:nan
0.25	 C0:13	 C1:20	 C2:114	 T:21.80
0.26	 D0:9	 D1:151	 D2:61	 T:nan

0.29	 A0:24	 A1:130	 A2:65	 T:21.80
0.34	 B0:80	 B1:111	 B2:50	 T:nan
0.32	 C0:12	 C1:18	 C2:114	 T:21.80
0.33	 D0:9	 D1:151	 D2:61	 T:nan

0.36	 A0:23	 A1:130	 A2:65	 T:21.80
0.41	 B0:80	 B1:111	 B2:50	 T:nan
0.40	 C0:12	 C1:22	 C2:114	 T:21.80
0.40	 D0:9	 D1:150	 D2:61	 T:nan

0.44	 A0:24	 A1:130	 A2:65	 T:21.80
0.49	 B0:80	 B1:111	 B2:50	 T:nan
0.48	 C0:13	 C1:20	 C2:114	 T:21.80
0.47	 D0:8	 D1:151	 D2:61	 T:nan

0.52	 A0:24	 A1:130	 A2:65	 T:21.80
0.56	 B0:80	 B1:111	 B2:50	 T:nan
0.56	 C0:13	 C1:12	 C2:114	 T:21.80
0.54	 D0:9	 D1:150	 D2:61	 T:nan

0.59	 A0:24	 A1:130	 A2:65	 T:21.80
0.63	 B0:80	 B1:111	 B2:50	 T:nan
0.63	 C0:13	 C1:22	 C2:114	 T:21.80
