0.96	 A0:27	 A1:178	 A2:68	 T:nan
0.03	 B0:86	 B1:128	 B2:95	 T:nan
0.00	 C0:17	 C1:74	 C2:19	 T:23.00
0.03	 D0:15	 D1:192	 D2:79	 T:23.00

1.03	 A0:27	 A1:178	 A2:68	 T:nan
0.05	 B0:86	 B1:128	 B2:95	 T:nan
0.05	 C0:17	 C1:73	 C2:18	 T:23.00
0.06	 D0:15	 D1:191	 D2:79	 T:23.00

0.96	 A0:27	 A1:178	 A2:68	 T:nan
0.12	 B0:86	 B1:128	 B2:93	 T:nan
0.09	 C0:17	 C1:74	 C2:19	 T:23.00
0.13	 D0:15	 D1:191	 D2:79	 T:23.00

1.03	 A0:27	 A1:178	 A2:68	 T:nan
0.19	 B0:86	 B1:128	 B2:94	 T:nan
0.17	 C0:17	 C1:74	 C2:19	 T:23.00
0.21	 D0:15	 D1:191	 D2:79	 T:23.00

0.03	 A0:27	 A1:179	 A2:67	 T:nan
0.27	 B0:86	 B1:128	 B2:94	 T:nan
0.24	 C0:17	 C1:74	 C2:19	 T:23.00
0.29	 D0:15	 D1:191	 D2:79	 T:23.00

0.05	 A0:27	 A1:178	 A2:68	 T:nan
0.34	 B0:86	 B1:128	 B2:95	 T:nan
0.31	 C0:17	 C1:74	 C2:19	 T:23.00
0.36	 D0:15	 D1:192	 D2:79	 T:23.00

0.12	 A0:27	 A1:179	 A2:67	 T:nan
0.41	 B0:86	 B1:129	 B2:93	 T:nan
0.39	 C0:17	 C1:74	 C2:19	 T:23.00
0.44	 D0:15	 D1:191	 D2:79	 T:23.00

0.19	 A0:27	 A1:178	 A2:68	 T:nan
0.49	 B0:86	 B1:128	 B2:93	 T:nan
0.46	 C0:17	 C1:74	 C2:19	 T:23.00
0.52	 D0:15	 D1:191	 D2:79	 T:23.00

0.27	 A0:28	 A1:178	 A2:68	 T:nan
0.56	 B0:86	 B1:128	 B2:95	 T:nan
0.54	 C0:17	 C1:74	 C2:19	 T:23.00
0.59	 D0:15	 D1:192	 D2:79	 T:23.00

0.34	 A0:27	 A1:178	 A2:68	 T:nan
0.63	 B0:86	 B1:128	 B2:95	 T:nan
0.61	 C0:17	 C1:74	 C2:19	 T:23.00
0.67	 D0:15	 D1:191	 D2:79	 T:23.00

0.41	 A0:27	 A1:178	 A2:68	 T:nan
0.70	 B0:86	 B1:128	 B2:91	 T:nan
0.69	 C0:17	 C1:74	 C2:19	 T:23.00
0.75	 D0:15	 D1:191	 D2:79	 T:23.00

0.49	 A0:27	 A1:179	 A2:68	 T:nan
0.78	 B0:86	 B1:128	 B2:94	 T:nan
0.76	 C0:17	 C1:74	 C2:19	 T:23.00
0.83	 D0:15	 D1:191	 D2:79	 T:23.00

0.56	 A0:28	 A1:178	 A2:68	 T:nan
0.85	 B0:86	 B1:128	 B2:92	 T:nan
0.84	 C0:17	 C1:74	 C2:19	 T:23.00
0.90	 D0:15	 D1:191	 D2:79	 T:23.00

0.63	 A0:28	 A1:178	 A2:68	 T:nan
0.92	 B0:86	 B1:128	 B2:95	 T:nan
0.91	 C0:17	 C1:74	 C2:19	 T:23.00
0.98	 D0:15	 D1:191	 D2:79	 T:23.00

0.70	 A0:27	 A1:179	 A2:68	 T:nan
1.00	 B0:86	 B1:128	 B2:95	 T:nan
0.99	 C0:17	 C1:74	 C2:19	 T:23.00
1.06	 D0:15	 D1:191	 D2:79	 T:23.00

0.78	 A0:28	 A1:179	 A2:67	 T:nan
1.07	 B0:86	 B1:128	 B2:92	 T:nan
1.06	 C0:17	 C1:74	 C2:19	 T:23.00
1.13	 D0:15	 D1:191	 D2:79	 T:23.00

0.85	 A0:28	 A1:178	 A2:68	 T:nan
1.14	 B0:86	 B1:129	 B2:96	 T:nan
1.14	 C0:17	 C1:74	 C2:19	 T:23.00
1.21	 D0:15	 D1:191	 D2:79	 T:23.00

0.92	 A0:27	 A1:178	 A2:68	 T:nan
1.21	 B0:86	 B1:128	 B2:93	 T:nan
1.21	 C0:17	 C1:74	 C2:19	 T:23.00
1.29	 D0:15	 D1:191	 D2:79	 T:23.00

1.00	 A0:27	 A1:179	 A2:68	 T:nan
1.29	 B0:86	 B1:128	 B2:93	 T:nan
1.29	 C0:17	 C1:74	 C2:19	 T:23.00
1.36	 D0:15	 D1:192	 D2:79	 T:23.00

1.07	 A0:27	 A1:178	 A2:67	 T:nan
1.36	 B0:86	 B1:128	 B2:94	 T:nan
1.36	 C0:17	 C1:74	 C2:19	 T:23.00
1.44	 D0:15	 D1:191	 D2:79	 T:23.00

1.14	 A0:27	 A1:178	 A2:68	 T:nan
1.43	 B0:85	 B1:128	 B2:93	 T:nan
1.44	 C0:17	 C1:74	 C2:19	 T:23.00
1.52	 D0:15	 D1:191	 D2:79	 T:23.00

1.21	 A0:27	 A1:178	 A2:68	 T:nan
1.51	 B0:86	 B1:128	 B2:95	 T:nan
1.51	 C0:17	 C1:74	 C2:19	 T:23.00
1.60	 D0:15	 D1:191	 D2:79	 T:23.00

1.29	 A0:27	 A1:178	 A2:68	 T:nan
1.58	 B0:86	 B1:128	 B2:93	 T:nan
1.59	 C0:17	 C1:74	 C2:19	 T:23.00
1.67	 D0:15	 D1:192	 D2:79	 T:23.00

1.36	 A0:28	 A1:178	 A2:68	 T:nan
1.65	 B0:86	 B1:128	 B2:93	 T:nan
1.66	 C0:17	 C1:74	 C2:19	 T:23.00
1.75	 D0:15	 D1:191	 D2:79	 T:23.00

1.43	 A0:27	 A1:178	 A2:68	 T:nan
1.72	 B0:86	 B1:128	 B2:94	 T:nan
1.74	 C0:17	 C1:74	 C2:19	 T:23.00
1.83	 D0:15	 D1:191	 D2:79	 T:23.00

1.51	 A0:27	 A1:178	 A2:67	 T:nan
1.80	 B0:85	 B1:128	 B2:95	 T:nan
1.81	 C0:17	 C1:74	 C2:19	 T:23.00
1.90	 D0:15	 D1:191	 D2:79	 T:23.00

1.58	 A0:28	 A1:178	 A2:68	 T:nan
1.87	 B0:86	 B1:128	 B2:93	 T:nan
1.89	 C0:17	 C1:74	 C2:19	 T:23.00
1.98	 D0:15	 D1:191	 D2:79	 T:23.00

1.65	 A0:27	 A1:178	 A2:68	 T:nan
1.94	 B0:86	 B1:128	 B2:95	 T:nan
1.96	 C0:17	 C1:74	 C2:19	 T:23.00
2.06	 D0:15	 D1:191	 D2:79	 T:23.00

1.72	 A0:27	 A1:178	 A2:68	 T:nan
2.02	 B0:86	 B1:128	 B2:92	 T:nan
2.05	 C0:17	 C1:74	 C2:19	 T:23.00
2.13	 D0:15	 D1:191	 D2:79	 T:23.00

1.80	 A0:28	 A1:178	 A2:67	 T:nan
2.09	 B0:86	 B1:128	 B2:94	 T:nan
2.11	 C0:17	 C1:74	 C2:19	 T:23.00
2.21	 D0:15	 D1:191	 D2:79	 T:23.00

1.87	 A0:27	 A1:179	 A2:67	 T:nan
2.16	 B0:86	 B1:128	 B2:93	 T:nan
2.19	 C0:17	 C1:74	 C2:19	 T:23.00
2.29	 D0:15	 D1:191	 D2:79	 T:23.00

1.94	 A0:27	 A1:178	 A2:67	 T:nan
2.23	 B0:86	 B1:128	 B2:94	 T:nan
2.26	 C0:17	 C1:74	 C2:19	 T:23.00
2.36	 D0:15	 D1:191	 D2:79	 T:23.00

2.02	 A0:27	 A1:178	 A2:67	 T:nan
2.31	 B0:86	 B1:128	 B2:94	 T:nan
2.34	 C0:17	 C1:74	 C2:19	 T:23.00
2.44	 D0:15	 D1:191	 D2:79	 T:23.00

2.09	 A0:27	 A1:178	 A2:68	 T:nan
2.38	 B0:85	 B1:128	 B2:93	 T:nan
2.41	 C0:17	 C1:74	 C2:19	 T:23.00
2.52	 D0:15	 D1:191	 D2:79	 T:23.00

2.16	 A0:27	 A1:178	 A2:67	 T:nan
2.45	 B0:86	 B1:128	 B2:95	 T:nan
2.49	 C0:17	 C1:74	 C2:19	 T:23.00
2.59	 D0:15	 D1:191	 D2:79	 T:23.00

