0.03	 A0:31	 A1:184	 A2:74	 T:23.40
0.03	 B0:90	 B1:131	 B2:75	 T:nan
0.03	 C0:19	 C1:79	 C2:21	 T:23.80
0.03	 D0:14	 D1:197	 D2:80	 T:23.40

0.06	 A0:31	 A1:184	 A2:74	 T:23.40
0.05	 B0:89	 B1:131	 B2:75	 T:nan
0.06	 C0:19	 C1:80	 C2:21	 T:23.80
0.06	 D0:15	 D1:197	 D2:80	 T:23.40

0.13	 A0:31	 A1:184	 A2:74	 T:23.40
0.12	 B0:90	 B1:131	 B2:75	 T:nan
0.13	 C0:19	 C1:80	 C2:21	 T:23.80
0.13	 D0:15	 D1:197	 D2:80	 T:23.40

0.21	 A0:31	 A1:184	 A2:74	 T:23.40
0.19	 B0:90	 B1:131	 B2:75	 T:nan
0.20	 C0:19	 C1:79	 C2:21	 T:23.80
0.21	 D0:15	 D1:196	 D2:80	 T:23.40

0.29	 A0:31	 A1:184	 A2:74	 T:23.40
0.27	 B0:90	 B1:131	 B2:75	 T:nan
0.28	 C0:19	 C1:79	 C2:21	 T:23.80
0.29	 D0:15	 D1:197	 D2:80	 T:23.40

0.36	 A0:31	 A1:184	 A2:74	 T:23.40
0.34	 B0:90	 B1:131	 B2:75	 T:nan
0.35	 C0:19	 C1:79	 C2:21	 T:23.80
0.36	 D0:14	 D1:197	 D2:80	 T:23.40

0.44	 A0:31	 A1:184	 A2:74	 T:23.40
0.41	 B0:90	 B1:131	 B2:76	 T:nan
0.43	 C0:19	 C1:79	 C2:21	 T:23.80
0.44	 D0:14	 D1:196	 D2:80	 T:23.40

0.52	 A0:31	 A1:184	 A2:74	 T:23.40
0.49	 B0:90	 B1:131	 B2:76	 T:nan
0.50	 C0:19	 C1:79	 C2:21	 T:23.80
0.52	 D0:14	 D1:197	 D2:80	 T:23.40

0.59	 A0:31	 A1:184	 A2:74	 T:23.40
0.56	 B0:90	 B1:131	 B2:75	 T:nan
0.58	 C0:19	 C1:79	 C2:21	 T:23.80
0.59	 D0:14	 D1:197	 D2:80	 T:23.40

0.67	 A0:31	 A1:184	 A2:74	 T:23.40
0.63	 B0:90	 B1:131	 B2:75	 T:nan
0.65	 C0:19	 C1:80	 C2:21	 T:23.80
0.67	 D0:15	 D1:196	 D2:80	 T:23.40

0.75	 A0:31	 A1:184	 A2:74	 T:23.40
