1.25	 A0:31	 A1:180	 A2:71	 T:23.40
0.03	 B0:88	 B1:128	 B2:78	 T:nan
0.03	 C0:18	 C1:78	 C2:19	 T:23.40
0.03	 D0:16	 D1:192	 D2:80	 T:23.00

1.21	 A0:31	 A1:180	 A2:71	 T:23.40
0.05	 B0:88	 B1:128	 B2:78	 T:nan
0.06	 C0:18	 C1:78	 C2:20	 T:23.40
0.06	 D0:16	 D1:192	 D2:80	 T:23.00

1.29	 A0:31	 A1:180	 A2:71	 T:23.0.00	 A0:31	 A1:181	 A2:71	 T:23.40
0.12	 B0:88	 B1:128	 B2:78	 T:nan
0.13	 C0:17	 C1:78	 C2:20	 T:23.40
0.13	 D0:16	 D1:192	 D2:80	 T:23.00

0.05	 A0:30	 A1:181	 A2:71	 T:23.40
0.19	 B0:88	 B1:128	 B2:78	 T:nan
0.20	 C0:18	 C1:78	 C2:20	 T:23.40
0.21	 D0:16	 D1:192	 D2:80	 T:23.00

0.10	 A0:31	 A1:181	 A2:71	 T:23.40
0.27	 B0:88	 B1:128	 B2:78	 T:nan
0.28	 C0:17	 C1:78	 C2:20	 T:23.40
0.29	 D0:16	 D1:192	 D2:80	 T:23.00

0.17	 A0:31	 A1:181	 A2:71	 T:23.40
0.34	 B0:88	 B1:128	 B2:78	 T:nan
0.35	 C0:18	 C1:78	 C2:20	 T:23.40
0.36	 D0:16	 D1:192	 D2:79	 T:23.00

0.25	 A0:30	 A1:181	 A2:71	 T:23.40
0.41	 B0:89	 B1:128	 B2:78	 T:nan
0.43	 C0:18	 C1:78	 C2:20	 T:23.40
0.44	 D0:16	 D1:192	 D2:80	 T:23.00

0.32	 A0:30	 A1:181	 A2:71	 T:23.40
0.49	 B0:88	 B1:128	 B2:78	 T:nan
0.50	 C0:18	 C1:78	 C2:20	 T:23.40
0.52	 D0:16	 D1:192	 D2:80	 T:23.00

0.40	 A0:30	 A1:181	 A2:71	 T:23.40
0.56	 B0:88	 B1:128	 B2:78	 T:nan
0.58	 C0:18	 C1:78	 C2:20	 T:23.40
0.59	 D0:16	 D1:192	 D2:80	 T:23.00

0.48	 A0:30	 A1:181	 A2:71	 T:23.40
0.63	 B0:88	 B1:128	 B2:78	 T:nan
