1.25	 A0:25	 A1:237	 A2:65	 T:23.00
1.29	 B0:75	 B1:201	 B2:68	 T:nan
0.03	 C0:12	 C1:59	 C2:15	 T:23.40
1.29	 D0:13	 D1:281	 D2:81	 T:23.00

1.17	 A0:25	 A1:238	 A2:65	 T:23.00
1.36	 B0:74	68	 T:nan
0.06	 C0:11	 C1:60	 C2:14	 T:23.40
1.36	 D0:13	 D1:281	 D2:81	3	 D1:281	 D2:81	 T:23.00

1.25	 A0:25	 A1:237	 A2:65	 T:23.00
1.29	 B0:75	 B1:201	 B2:68	 T:nan
0.13	 C0:11	 C1:59	 C2:15	 T:23.40
1.33	 D0:13	 D1:281	 D2:81	 T:23.00

0.03	 A0:24	 A1:238	 A2:65	 T:23.00
1.36	 B0:74	0.00	 B0:75	 B1:201	 B2:68	 T:nan
0.20	 C0:12	 C1:59	 C2:15	 T:23.40
0.03	 D0:13	 D1:281	 D2:81	 T:23.00

0.06	 A0:24	 A1:238	 A2:65	 T:23.00
0.04	 B0:75	 B1:201	 B2:68	 T:nan
0.28	 C0:12	 C1:59	 C2:15	 T:23.40
0.06	 D0:13	 D1:281	 D2:81	 T:23.00

0.13	 A0:24	 A1:238	 A2:65	 T:23.00
0.09	 B0:75	 B1:201	 B2:68	 T:nan
0.35	 C0:12	 C1:59	 C2:15	 T:23.40
0.13	 D0:13	 D1:281	 D2:81	 T:23.00

0.21	 A0:24	 A1:238	 A2:65	 T:23.00
0.16	 B0:75	 B1:201	 B2:68	 T:nan
0.43	 C0:12	 C1:59	 C2:15	 T:23.40
0.21	 D0:13	 D1:281	 D2:81	 T:23.00

0.29	 A0:24	 A1:238	 A2:64	 T:23.00
0.23	 B0:75	 B1:201	 B2:68	 T:nan
0.50	 C0:11	 C1:60	 C2:15	 T:23.40
0.29	 D0:13	 D1:281	 D2:81	 T:23.00

0.36	 A0:24	 A1:238	 A2:65	 T:23.00
0.30	 B0:75	 B1:201	 B2:68	 T:nan
0.58	 C0:12	 C1:59	 C2:15	 T:23.40
0.36	 D0:13	 D1:281	 D2:81	 T:23.00

0.44	 A0:25	 A1:238	 A2:65	 T:23.00
0.38	 B0:74	 B1:201	 B2:68	 T:nan
0.65	 C0:12	 C1:59	 C2:15	 T:23.40
0.44	 D0:14	 D1:281	 D2:81	 T:23.00

0.52	 A0:24	 A1:238	 A2:65	 T:23.00
0.45	 B0:75	 B1:201	 B2:68	 T:nan
0.73	 C0:12	 C1:60	 C2:15	 T:23.40
0.52	 D0:13	 D1:281	 D2:81	 T:23.00

0.59	 A0:24	 A1:237	 A2:65	 T:23.00
0.52	 B0:74	 B1:201	 B2:68	 T:nan
0.80	 C0:12	 C1:59	 C2:15	 T:23.40
0.59	 D0:13	 D1:281	 D2:81	 T:23.00

0.67	 A0:24	 A1:238	 A2:65	 T:23.00
0.60	 B0:75	 B1:201	 B2:68	 T:nan
0.88	 C0:12	 C1:59	 C2:15	 T:23.40
0.67	 D0:14	 D1:281	 D2:81	 T:23.00

0.75	 A0:25	 A1:238	 A2:65	 T:23.00
0.67	 B0:75	 B1:201	 B2:68	 T:nan
0.95	 C0:12	 C1:59	 C2:15	 T:23.40
0.75	 D0:13	 D1:281	 D2:81	 T:23.00
