0.03	 A0:21	 A1:151	 A2:61	 T:23.00
0.03	 B0:69	 B1:119	 B2:88	 T:nan
0.03	 C0:13	 C1:57	 C2:15	 T:23.00
0.03	 D0:14	 D1:164	 D2:74	 T:nan

0.06	 A0:21	 A1:151	 A2:61	 T:23.00
0.05	 B0:69	 B1:119	 B2:103	 T:nan
0.06	 C0:12	 C1:56	 C2:15	 T:23.00
0.05	 D0:13	 D1:164	 D2:74	 T:nan

0.13	 A0:21	 A1:151	 A2:61	 T:23.00
0.12	 B0:69	 B1:119	 B2:86	 T:nan
0.13	 C0:12	 C1:56	 C2:15	 T:23.00
0.12	 D0:13	 D1:165	 D2:74	 T:nan

0.21	 A0:21	 A1:151	 A2:61	 T:23.00
0.20	 B0:69	 B1:119	 B2:97	 T:nan
0.20	 C0:12	 C1:56	 C2:15	 T:23.00
0.19	 D0:13	 D1:164	 D2:74	 T:nan

0.29	 A0:21	 A1:151	 A2:61	 T:23.00
0.27	 B0:69	 B1:119	 B2:88	 T:nan
0.28	 C0:12	 C1:56	 C2:15	 T:23.00
0.27	 D0:13	 D1:164	 D2:74	 T:nan

0.36	 A0:21	 A1:151	 A2:61	 T:23.00
0.34	 B0:69	 B1:119	 B2:96	 T:nan
0.35	 C0:12	 C1:57	 C2:15	 T:23.00
0.34	 D0:13	 D1:164	 D2:74	 T:nan

0.44	 A0:21	 A1:151	 A2:61	 T:23.00
0.41	 B0:69	 B1:119	 B2:101	 T:nan
0.43	 C0:12	 C1:56	 C2:15	 T:23.00
0.41	 D0:13	 D1:164	 D2:75	 T:nan

0.52	 A0:21	 A1:151	 A2:61	 T:23.00
0.49	 B0:69	 B1:119	 B2:81	 T:nan
0.50	 C0:12	 C1:56	 C2:15	 T:23.00
0.49	 D0:13	 D1:164	 D2:74	 T:nan

0.59	 A0:21	 A1:151	 A2:61	 T:23.00
0.56	 B0:69	 B1:119	 B2:100	 T:nan
0.58	 C0:13	 C1:57	 C2:15	 T:23.00
0.56	 D0:13	 D1:164	 D2:74	 T:nan

