0.05	 A0:32	 A1:180	 A2:74	 T:23.40
0.04	 B0:83	 B1:124	 B2:63	 T:nan
0.13	 C0:16	 C1:85	 C2:16	 T:23.40
0.12	 D0:13	 D1:200	 D2:74	 T:nan

0.10	 A0:32	 A1:180	 A2:74	 T:23.40
0.09	 B0:83	 B1:125	 B2:63	 T:nan
0.20	 C0:16	 C1:85	 C2:16	 T:23.40
0.19	 D0:13	 D1:200	 D2:74	 T:nan

0.17	 A0:32	 A1:180	 A2:74	 T:23.40
0.16	 B0:83	 B1:125	 B2:63	 T:nan
0.28	 C0:16	 C1:85	 C2:16	 T:23.40
0.27	 D0:13	 D1:200	 D2:74	 T:nan

0.25	 A0:32	 A1:180	 A2:74	 T:23.40
0.23	 B0:83	 B1:125	 B2:63	 T:nan
0.35	 C0:15	 C1:85	 C2:16	 T:23.40
0.34	 D0:13	 D1:200	 D2:74	 T:nan

0.32	 A0:32	 A1:180	 A2:74	 T:23.40
0.30	 B0:83	 B1:125	 B2:63	 T:nan
0.43	 C0:15	 C1:86	 C2:16	 T:23.40
0.41	 D0:13	 D1:200	 D2:74	 T:nan

0.40	 A0:33	 A1:180	 A2:73	 T:23.40
0.38	 B0:83	 B1:125	 B2:63	 T:nan
0.50	 C0:15	 C1:85	 C2:16	 T:23.40
0.49	 D0:13	 D1:200	 D2:74	 T:nan

0.48	 A0:32	 A1:180	 A2:74	 T:23.40
0.45	 B0:83	 B1:125	 B2:63	 T:nan
0.58	 C0:16	 C1:85	 C2:16	 T:23.40
0.56	 D0:13	 D1:200	 D2:75	 T:nan

0.56	 A0:32	 A1:180	 A2:74	 T:23.40
0.52	 B0:83	 B1:124	 B2:63	 T:nan
0.65	 C0:15	 C1:85	 C2:16	 T:23.40
0.63	 D0:13	 D1:200	 D2:74	 T:nan

0.63	 A0:33	 A1:180	 A2:74	 T:23.40
0.60	 B0:83	 B1:124	 B2:63	 T:nan
0.73	 C0:15	 C1:85	 C2:16	 T:23.40
0.70	 D0:13	 D1:200	 D2:74	 T:nan

0.71	 A0:32	 A1:180	 A2:74	 T:23.40
0.67	 B0:83	 B1:125	 B2:63	 T:nan
0.80	 C0:16	 C1:85	 C2:16	 T:23.40
0.78	 D0:13	 D1:200	 D2:74	 T:nan

0.79	 A0:32	 A1:180	 A2:74	 T:23.40
0.74	 B0:83	 B1:125	 B2:63	 T:nan
0.88	 C0:15	 C1:85	 C2:16	 T:23.40
0.85	 D0:13	 D1:200	 D2:74	 T:nan

0.86	 A0:32	 A1:180	 A2:74	 T:23.40
0.81	 B0:83	 B1:125	 B2:63	 T:nan
0.95	 C0:16	 C1:85	 C2:16	 T:23.40
0.92	 D0:13	 D1:200	 D2:74	 T:nan

0.94	 A0:32	 A1:180	 A2:74	 T:23.40
0.89	 B0:83	 B1:125	 B2:63	 T:nan
1.03	 C0:15	 C1:85	 C2:16	 T:23.40
1.00	 D0:13	 D1:200	 D2:74	 T:nan

1.02	 A0:32	 A1:180	 A2:74	 T:23.40
0.96	 B0:83	 B1:125	 B2:63	 T:nan
1.10	 C0:16	 C1:85	 C2:16	 T:23.40
1.07	 D0:13	 D1:200	 D2:75	 T:nan

1.10	 A0:32	 A1:180	 A2:73	 T:23.40
1.03	 B0:83	 B1:125	 B2:63	 T:nan
1.18	 C0:16	 C1:85	 C2:16	 T:23.40
1.14	 D0:13	 D1:200	 D2:74	 T:nan

1.17	 A0:33	 A1:180	 A2:74	 T:23.40
1.11	 B0:83	 B1:125	 B2:63	 T:nan
1.25	 C0:15	 C1:85	 C2:16	 T:23.40
1.21	 D0:13	 D1:200	 D2:74	 T:nan

1.25	 A0:32	 A1:180	 A2:73	 T:23.40
1.18	 B0:83	 B1:125	 B2:63	 T:nan
1.33	 C0:15	 C1:85	 C2:16	 T:23.40
1.29	 D0:13	 D1:200	 D2:74	 T:nan

1.33	 A0:33	 A1:180	 A2:73	 T:23.40
1.25	 B0:83	 B1:124	 B2:63	 T:nan
1.40	 C0:16	 C1:85	 C2:16	 T:23.40
1.36	 D0:13	 D1:200	 D2:75	 T:nan

1.40	 A0:32	 A1:180	 A2:73	 T:23.40
1.32	 B0:83	 B1:125	 B2:63	 T:nan
1.48	 C0:15	 C1:85	 C2:16	 T:23.40
1.43	 D0:13	 D1:200	 D2:74	 T:nan

1.48	 A0:32	 A1:180	 A2:73	 T:23.40
1.40	 B0:83	 B1:125	 B2:63	 T:nan
1.55	 C0:15	 C1:85	 C2:16	 T:23.40
1.51	 D0:13	 D1:200	 D2:75	 T:nan

1.56	 A0:32	 A1:180	 A2:74	 T:23.40
1.47	 B0:83	 B1:125	 B2:63	 T:nan
1.63	 C0:15	 C1:85	 C2:16	 T:23.40
1.58	 D0:13	 D1:200	 D2:74	 T:nan

1.63	 A0:32	 A1:180	 A2:73	 T:23.40
1.54	 B0:83	 B1:125	 B2:63	 T:nan
1.70	 C0:16	 C1:85	 C2:16	 T:23.40
1.65	 D0:13	 D1:200	 D2:74	 T:nan

1.71	 A0:32	 A1:180	 A2:74	 T:23.40
1.61	 B0:83	 B1:125	 B2:63	 T:nan
1.77	 C0:15	 C1:85	 C2:16	 T:23.40
1.72	 D0:13	 D1:200	 D2:74	 T:nan

1.79	 A0:32	 A1:180	 A2:74	 T:23.40
1.69	 B0:83	 B1:125	 B2:63	 T:nan
1.85	 C0:16	 C1:85	 C2:16	 T:23.40
1.80	 D0:13	 D1:200	 D2:74	 T:nan

1.86	 A0:32	 A1:180	 A2:74	 T:23.40
1.76	 B0:83	 B1:125	 B2:63	 T:nan
1.92	 C0:15	 C1:85	 C2:16	 T:23.40
1.87	 D0:13	 D1:200	 D2:74	 T:nan

1.94	 A0:32	 A1:180	 A2:73	 T:23.40
1.83	 B0:83	 B1:125	 B2:63	 T:nan
2.00	 C0:16	 C1:85	 C2:16	 T:23.40
1.94	 D0:13	 D1:200	 D2:74	 T:nan

2.03	 A0:32	 A1:180	 A2:73	 T:23.40
1.91	 B0:83	 B1:125	 B2:63	 T:nan
2.07	 C0:15	 C1:85	 C2:16	 T:23.40
2.02	 D0:13	 D1:200	 D2:74	 T:nan

2.10	 A0:32	 A1:180	 A2:73	 T:23.40
1.98	 B0:83	 B1:124	 B2:63	 T:nan
2.15	 C0:15	 C1:85	 C2:16	 T:23.40
2.09	 D0:13	 D1:200	 D2:74	 T:nan

2.17	 A0:32	 A1:180	 A2:73	 T:23.40
2.07	 B0:83	 B1:124	 B2:63	 T:nan
2.23	 C0:16	 C1:85	 C2:16	 T:23.40
2.16	 D0:13	 D1:200	 D2:74	 T:nan

2.25	 A0:32	 A1:180	 A2:73	 T:23.40
2.12	 B0:83	 B1:125	 B2:63	 T:nan
2.30	 C0:15	 C1:85	 C2:16	 T:23.40
2.23	 D0:13	 D1:200	 D2:74	 T:nan

2.33	 A0:32	 A1:180	 A2:73	 T:23.40
2.20	 B0:83	 B1:125	 B2:63	 T:nan
2.37	 C0:15	 C1:85	 C2:16	 T:23.40
2.31	 D0:13	 D1:200	 D2:74	 T:nan

2.40	 A0:32	 A1:180	 A2:73	 T:23.40
2.27	 B0:83	 B1:125	 B2:63	 T:nan
2.45	 C0:16	 C1:85	 C2:16	 T:23.40
2.38	 D0:13	 D1:200	 D2:74	 T:nan

2.48	 A0:32	 A1:180	 A2:73	 T:23.40
2.34	 B0:83	 B1:125	 B2:63	 T:nan
2.52	 C0:15	 C1:85	 C2:16	 T:23.40
2.45	 D0:13	 D1:200	 D2:75	 T:nan

2.56	 A0:32	 A1:180	 A2:73	 T:23.40
2.42	 B0:83	 B1:125	 B2:63	 T:nan
2.60	 C0:16	 C1:85	 C2:16	 T:23.40
2.53	 D0:13	 D1:200	 D2:74	 T:nan

2.63	 A0:32	 A1:180	 A2:73	 T:23.40
2.49	 B0:83	 B1:125	 B2:63	 T:nan
2.67	 C0:15	 C1:85	 C2:16	 T:23.40
2.60	 D0:13	 D1:200	 D2:75	 T:nan

2.71	 A0:32	 A1:180	 A2:74	 T:23.40
2.56	 B0:83	 B1:124	 B2:63	 T:nan
2.75	 C0:15	 C1:85	 C2:16	 T:23.40
2.67	 D0:13	 D1:200	 D2:74	 T:nan

2.79	 A0:32	 A1:180	 A2:73	 T:23.40
2.63	 B0:83	 B1:125	 B2:63	 T:nan
2.82	 C0:15	 C1:85	 C2:17	 T:23.40
2.74	 D0:13	 D1:200	 D2:75	 T:nan

2.86	 A0:32	 A1:180	 A2:73	 T:23.40
2.71	 B0:83	 B1:124	 B2:63	 T:nan
2.90	 C0:16	 C1:85	 C2:16	 T:23.40
2.82	 D0:13	 D1:200	 D2:75	 T:nan

2.94	 A0:32	 A1:180	 A2:73	 T:23.40
2.78	 B0:83	 B1:125	 B2:63	 T:nan
2.97	 C0:15	 C1:85	 C2:16	 T:23.40
2.89	 D0:13	 D1:200	 D2:75	 T:nan

3.02	 A0:32	 A1:180	 A2:73	 T:23.40
2.85	 B0:83	 B1:125	 B2:63	 T:nan
3.05	 C0:15	 C1:85	 C2:16	 T:23.40
2.96	 D0:13	 D1:200	 D2:75	 T:nan

3.10	 A0:32	 A1:180	 A2:73	 T:23.40
2.93	 B0:83	 B1:125	 B2:63	 T:nan
3.12	 C0:16	 C1:85	 C2:16	 T:23.40
3.03	 D0:13	 D1:200	 D2:74	 T:nan

3.17	 A0:32	 A1:180	 A2:73	 T:23.40
3.00	 B0:83	 B1:125	 B2:63	 T:nan
3.20	 C0:15	 C1:85	 C2:17	 T:23.40
3.11	 D0:13	 D1:200	 D2:75	 T:nan

3.25	 A0:32	 A1:180	 A2:73	 T:23.40
3.07	 B0:83	 B1:125	 B2:63	 T:nan
3.27	 C0:16	 C1:84	 C2:16	 T:23.40
3.18	 D0:13	 D1:200	 D2:75	 T:nan

3.33	 A0:32	 A1:180	 A2:73	 T:23.40
3.14	 B0:83	 B1:125	 B2:63	 T:nan
3.35	 C0:16	 C1:85	 C2:16	 T:23.40
3.25	 D0:13	 D1:200	 D2:75	 T:nan

3.40	 A0:32	 A1:180	 A2:73	 T:23.40
3.22	 B0:83	 B1:125	 B2:63	 T:nan
3.42	 C0:15	 C1:85	 C2:16	 T:23.40
3.33	 D0:13	 D1:200	 D2:74	 T:nan

3.48	 A0:32	 A1:180	 A2:73	 T:23.40
3.29	 B0:83	 B1:125	 B2:63	 T:nan
3.50	 C0:15	 C1:85	 C2:16	 T:23.40
3.40	 D0:13	 D1:200	 D2:75	 T:nan

3.56	 A0:32	 A1:180	 A2:73	 T:23.40
3.36	 B0:83	 B1:125	 B2:63	 T:nan
3.57	 C0:15	 C1:85	 C2:16	 T:23.40
3.47	 D0:13	 D1:200	 D2:75	 T:nan

3.63	 A0:32	 A1:180	 A2:73	 T:23.40
3.43	 B0:83	 B1:125	 B2:63	 T:nan
3.65	 C0:15	 C1:85	 C2:16	 T:23.40
3.54	 D0:13	 D1:200	 D2:75	 T:nan

3.71	 A0:32	 A1:180	 A2:73	 T:23.40
3.51	 B0:83	 B1:125	 B2:63	 T:nan
3.72	 C0:16	 C1:85	 C2:17	 T:23.40
3.62	 D0:13	 D1:200	 D2:75	 T:nan

3.79	 A0:32	 A1:180	 A2:73	 T:23.40
3.58	 B0:83	 B1:125	 B2:63	 T:nan
3.80	 C0:15	 C1:85	 C2:16	 T:23.40
3.69	 D0:13	 D1:200	 D2:75	 T:nan

3.86	 A0:32	 A1:180	 A2:73	 T:23.40
3.65	 B0:83	 B1:125	 B2:63	 T:nan
3.87	 C0:16	 C1:85	 C2:16	 T:23.40
3.76	 D0:13	 D1:200	 D2:75	 T:nan

3.94	 A0:32	 A1:180	 A2:73	 T:23.40
3.73	 B0:83	 B1:125	 B2:63	 T:nan
3.95	 C0:15	 C1:85	 C2:16	 T:23.40
3.83	 D0:13	 D1:200	 D2:75	 T:nan

4.03	 A0:32	 A1:180	 A2:73	 T:23.40
3.80	 B0:83	 B1:125	 B2:63	 T:nan
4.02	 C0:15	 C1:85	 C2:16	 T:23.40
3.91	 D0:13	 D1:200	 D2:75	 T:nan

4.09	 A0:31	 A1:180	 A2:73	 T:23.40
3.87	 B0:83	 B1:125	 B2:63	 T:nan
4.10	 C0:15	 C1:85	 C2:16	 T:23.40
3.98	 D0:13	 D1:200	 D2:74	 T:nan

4.17	 A0:32	 A1:180	 A2:73	 T:23.40
3.94	 B0:83	 B1:125	 B2:63	 T:nan
4.17	 C0:15	 C1:85	 C2:16	 T:23.40
4.07	 D0:13	 D1:200	 D2:75	 T:nan

4.25	 A0:32	 A1:180	 A2:73	 T:23.40
4.02	 B0:83	 B1:125	 B2:63	 T:nan
4.25	 C0:15	 C1:85	 C2:16	 T:23.40
4.13	 D0:13	 D1:200	 D2:75	 T:nan

4.32	 A0:32	 A1:180	 A2:73	 T:23.40
4.09	 B0:82	 B1:125	 B2:63	 T:nan
4.32	 C0:15	 C1:85	 C2:16	 T:23.40
4.20	 D0:13	 D1:200	 D2:75	 T:nan

4.40	 A0:32	 A1:180	 A2:73	 T:23.40
4.16	 B0:83	 B1:125	 B2:63	 T:nan
4.40	 C0:15	 C1:85	 C2:16	 T:23.40
4.27	 D0:13	 D1:200	 D2:74	 T:nan

4.48	 A0:32	 A1:180	 A2:73	 T:23.40
4.23	 B0:82	 B1:125	 B2:63	 T:nan
4.47	 C0:15	 C1:85	 C2:16	 T:23.40
4.34	 D0:13	 D1:200	 D2:75	 T:nan

4.56	 A0:31	 A1:180	 A2:73	 T:23.40
4.31	 B0:83	 B1:125	 B2:63	 T:nan
4.55	 C0:15	 C1:85	 C2:16	 T:23.40
4.42	 D0:13	 D1:200	 D2:75	 T:nan

4.63	 A0:31	 A1:180	 A2:73	 T:23.40
4.38	 B0:82	 B1:125	 B2:63	 T:nan
4.62	 C0:16	 C1:85	 C2:16	 T:23.40
4.49	 D0:13	 D1:200	 D2:75	 T:nan

4.71	 A0:32	 A1:180	 A2:73	 T:23.40
4.45	 B0:83	 B1:125	 B2:63	 T:nan
4.70	 C0:16	 C1:85	 C2:17	 T:23.40
4.56	 D0:13	 D1:200	 D2:75	 T:nan

4.79	 A0:32	 A1:180	 A2:73	 T:23.40
4.53	 B0:82	 B1:125	 B2:63	 T:nan
4.77	 C0:15	 C1:85	 C2:16	 T:23.40
4.64	 D0:13	 D1:200	 D2:74	 T:nan

4.86	 A0:32	 A1:180	 A2:73	 T:23.40
4.60	 B0:82	 B1:125	 B2:63	 T:nan
4.84	 C0:15	 C1:85	 C2:16	 T:23.40
