0.03	 A0:23	 A1:132	 A2:63	 T:22.20
0.03	 B0:72	 B1:111	 B2:86	 T:nan
0.03	 C0:10	 C1:126	 C2:94	 T:22.20
0.03	 D0:11	 D1:152	 D2:75	 T:nan

0.06	 A0:24	 A1:132	 A2:63	 T:22.20
0.05	 B0:72	 B1:110	 B2:86	 T:nan
0.06	 C0:10	 C1:125	 C2:93	 T:22.20
0.05	 D0:11	 D1:152	 D2:75	 T:nan

0.13	 A0:24	 A1:132	 A2:63	 T:22.20
0.12	 B0:72	 B1:110	 B2:86	 T:nan
0.13	 C0:10	 C1:125	 C2:94	 T:22.20
0.12	 D0:11	 D1:152	 D2:75	 T:nan

0.21	 A0:23	 A1:132	 A2:63	 T:22.20
0.19	 B0:72	 B1:111	 B2:86	 T:nan
0.21	 C0:10	 C1:126	 C2:93	 T:22.20
0.19	 D0:11	 D1:152	 D2:75	 T:nan

0.29	 A0:23	 A1:132	 A2:64	 T:22.20
0.27	 B0:73	 B1:111	 B2:85	 T:nan
0.29	 C0:10	 C1:126	 C2:93	 T:22.20
0.27	 D0:12	 D1:152	 D2:76	 T:nan

0.36	 A0:24	 A1:132	 A2:63	 T:22.20
0.34	 B0:73	 B1:111	 B2:85	 T:nan
0.36	 C0:10	 C1:126	 C2:94	 T:22.20
0.34	 D0:12	 D1:152	 D2:75	 T:nan

0.44	 A0:24	 A1:132	 A2:63	 T:22.20
0.41	 B0:73	 B1:111	 B2:85	 T:nan
0.44	 C0:10	 C1:126	 C2:94	 T:22.20
0.41	 D0:11	 D1:152	 D2:75	 T:nan

0.52	 A0:24	 A1:132	 A2:63	 T:22.20
0.49	 B0:73	 B1:111	 B2:86	 T:nan
0.52	 C0:10	 C1:126	 C2:94	 T:22.20
0.49	 D0:11	 D1:152	 D2:75	 T:nan

0.59	 A0:23	 A1:132	 A2:63	 T:22.20
0.56	 B0:73	 B1:111	 B2:85	 T:nan
0.59	 C0:10	 C1:125	 C2:94	 T:22.20
0.56	 D0:12	 D1:152	 D2:75	 T:nan

0.67	 A0:24	 A1:132	 A2:63	 T:22.20
0.63	 B0:73	 B1:111	 B2:85	 T:nan
0.67	 C0:10	 C1:125	 C2:93	 T:22.20
0.63	 D0:11	 D1:152	 D2:75	 T:nan

0.75	 A0:24	 A1:132	 A2:63	 T:22.20
0.70	 B0:73	 B1:111	 B2:85	 T:nan
0.75	 C0:10	 C1:126	 C2:93	 T:22.20
0.70	 D0:11	 D1:152	 D2:75	 T:nan

0.83	 A0:24	 A1:132	 A2:64	 T:22.20
0.78	 B0:73	 B1:111	 B2:85	 T:nan
0.83	 C0:10	 C1:125	 C2:94	 T:22.20
0.78	 D0:11	 D1:152	 D2:75	 T:nan

0.90	 A0:24	 A1:132	 A2:63	 T:22.20
0.85	 B0:73	 B1:111	 B2:85	 T:nan
0.90	 C0:10	 C1:126	 C2:93	 T:22.20
0.85	 D0:12	 D1:152	 D2:75	 T:nan

0.98	 A0:24	 A1:132	 A2:63	 T:22.20
0.92	 B0:73	 B1:111	 B2:85	 T:nan
0.98	 C0:10	 C1:126	 C2:93	 T:22.20
0.92	 D0:11	 D1:152	 D2:75	 T:nan

1.06	 A0:24	 A1:132	 A2:63	 T:22.20
1.00	 B0:73	 B1:111	 B2:85	 T:nan
1.05	 C0:10	 C1:125	 C2:94	 T:22.20
1.00	 D0:11	 D1:152	 D2:75	 T:nan

1.13	 A0:23	 A1:132	 A2:63	 T:22.20
1.07	 B0:73	 B1:111	 B2:85	 T:nan
1.13	 C0:10	 C1:126	 C2:93	 T:22.20
1.07	 D0:11	 D1:152	 D2:75	 T:nan

1.21	 A0:24	 A1:131	 A2:63	 T:22.20
1.14	 B0:73	 B1:111	 B2:85	 T:nan
1.21	 C0:10	 C1:126	 C2:94	 T:22.20
1.14	 D0:11	 D1:152	 D2:75	 T:nan

1.29	 A0:24	 A1:132	 A2:63	 T:22.20
1.21	 B0:73	 B1:111	 B2:85	 T:nan
1.29	 C0:10	 C1:126	 C2:94	 T:22.20
1.21	 D0:11	 D1:152	 D2:75	 T:nan

1.36	 A0:24	 A1:132	 A2:63	 T:22.20
1.29	 B0:73	 B1:111	 B2:85	 T:nan
1.36	 C0:10	 C1:126	 C2:94	 T:22.20
1.29	 D0:11	 D1:152	 D2:75	 T:nan

1.44	 A0:23	 A1:131	 A2:63	 T:22.20
1.36	 B0:73	 B1:111	 B2:85	 T:nan
1.44	 C0:10	 C1:126	 C2:93	 T:22.20
1.36	 D0:12	 D1:152	 D2:75	 T:nan

1.52	 A0:24	 A1:132	 A2:63	 T:22.20
1.43	 B0:73	 B1:111	 B2:85	 T:nan
1.52	 C0:10	 C1:126	 C2:94	 T:22.20
1.43	 D0:11	 D1:152	 D2:75	 T:nan

1.60	 A0:24	 A1:131	 A2:63	 T:22.20
1.51	 B0:73	 B1:111	 B2:85	 T:nan
1.59	 C0:10	 C1:126	 C2:94	 T:22.20
1.51	 D0:11	 D1:152	 D2:74	 T:nan

1.67	 A0:24	 A1:132	 A2:63	 T:22.20
1.58	 B0:73	 B1:111	 B2:85	 T:nan
1.67	 C0:10	 C1:126	 C2:94	 T:22.20
1.58	 D0:11	 D1:152	 D2:75	 T:nan

1.75	 A0:24	 A1:131	 A2:63	 T:22.20
1.65	 B0:73	 B1:111	 B2:85	 T:nan
1.75	 C0:10	 C1:126	 C2:94	 T:22.20
1.65	 D0:11	 D1:152	 D2:74	 T:nan

1.83	 A0:24	 A1:132	 A2:63	 T:22.20
1.72	 B0:73	 B1:111	 B2:85	 T:nan
1.83	 C0:10	 C1:126	 C2:94	 T:22.20
1.72	 D0:11	 D1:152	 D2:74	 T:nan

1.90	 A0:24	 A1:132	 A2:63	 T:22.20
1.80	 B0:73	 B1:111	 B2:85	 T:nan
1.90	 C0:10	 C1:126	 C2:94	 T:22.20
1.80	 D0:12	 D1:152	 D2:74	 T:nan

1.98	 A0:23	 A1:131	 A2:64	 T:22.20
1.87	 B0:73	 B1:111	 B2:84	 T:nan
1.98	 C0:10	 C1:126	 C2:94	 T:22.20
1.87	 D0:11	 D1:152	 D2:75	 T:nan

2.06	 A0:24	 A1:131	 A2:63	 T:22.20
1.94	 B0:73	 B1:111	 B2:85	 T:nan
2.07	 C0:9	 C1:125	 C2:94	 T:22.20
1.94	 D0:11	 D1:152	 D2:75	 T:nan

2.13	 A0:23	 A1:132	 A2:63	 T:22.20
2.02	 B0:73	 B1:111	 B2:85	 T:nan
2.13	 C0:10	 C1:125	 C2:94	 T:22.20
2.02	 D0:11	 D1:152	 D2:75	 T:nan

2.21	 A0:24	 A1:132	 A2:63	 T:22.20
2.09	 B0:73	 B1:111	 B2:84	 T:nan
2.21	 C0:10	 C1:126	 C2:94	 T:22.20
2.09	 D0:11	 D1:152	 D2:75	 T:nan

2.29	 A0:24	 A1:131	 A2:63	 T:22.20
2.16	 B0:73	 B1:111	 B2:85	 T:nan
2.29	 C0:10	 C1:126	 C2:94	 T:22.20
2.16	 D0:11	 D1:152	 D2:74	 T:nan

2.36	 A0:23	 A1:132	 A2:63	 T:22.20
2.23	 B0:73	 B1:111	 B2:84	 T:nan
2.36	 C0:10	 C1:126	 C2:94	 T:22.20
2.23	 D0:11	 D1:152	 D2:75	 T:nan

2.44	 A0:24	 A1:132	 A2:63	 T:22.20
2.31	 B0:73	 B1:111	 B2:84	 T:nan
2.44	 C0:10	 C1:126	 C2:94	 T:22.20
2.31	 D0:11	 D1:152	 D2:75	 T:nan

2.52	 A0:23	 A1:132	 A2:63	 T:22.20
2.38	 B0:73	 B1:111	 B2:84	 T:nan
2.52	 C0:10	 C1:126	 C2:94	 T:22.20
2.38	 D0:11	 D1:152	 D2:75	 T:nan

2.59	 A0:24	 A1:131	 A2:63	 T:22.20
2.45	 B0:73	 B1:111	 B2:84	 T:nan
2.59	 C0:10	 C1:126	 C2:94	 T:22.20
2.45	 D0:11	 D1:152	 D2:74	 T:nan

2.67	 A0:24	 A1:131	 A2:63	 T:22.20
2.53	 B0:73	 B1:111	 B2:84	 T:nan
2.67	 C0:10	 C1:126	 C2:94	 T:22.20
2.53	 D0:11	 D1:152	 D2:75	 T:nan

2.75	 A0:24	 A1:132	 A2:63	 T:22.20
2.60	 B0:73	 B1:111	 B2:85	 T:nan
2.75	 C0:10	 C1:126	 C2:94	 T:22.20
2.60	 D0:11	 D1:152	 D2:74	 T:nan

2.83	 A0:24	 A1:132	 A2:63	 T:22.20
2.67	 B0:73	 B1:111	 B2:84	 T:nan
2.82	 C0:10	 C1:126	 C2:94	 T:22.20
2.67	 D0:11	 D1:152	 D2:75	 T:nan

2.90	 A0:24	 A1:132	 A2:63	 T:22.20
2.74	 B0:73	 B1:111	 B2:84	 T:nan
2.90	 C0:10	 C1:126	 C2:94	 T:22.20
2.74	 D0:11	 D1:152	 D2:75	 T:nan

2.98	 A0:24	 A1:132	 A2:63	 T:22.20
2.82	 B0:73	 B1:111	 B2:84	 T:nan
2.98	 C0:10	 C1:125	 C2:94	 T:22.20
2.82	 D0:11	 D1:152	 D2:75	 T:nan

3.06	 A0:24	 A1:132	 A2:64	 T:22.20
2.89	 B0:73	 B1:111	 B2:84	 T:nan
3.05	 C0:10	 C1:126	 C2:94	 T:22.20
2.89	 D0:11	 D1:152	 D2:75	 T:nan

