0.03	 A0:26	 A1:130	 A2:67	 T:21.80
0.03	 B0:81	 B1:110	 B2:51	 T:nan
0.03	 C0:10	 C1:125	 C2:97	 T:21.40
0.03	 D0:9	 D1:150	 D2:58	 T:nan

0.06	 A0:26	 A1:130	 A2:67	 T:21.80
0.05	 B0:81	 B1:109	 B2:51	 T:nan
0.06	 C0:10	 C1:125	 C2:97	 T:21.40
0.05	 D0:9	 D1:150	 D2:58	 T:nan

0.13	 A0:26	 A1:130	 A2:67	 T:21.80
0.12	 B0:81	 B1:110	 B2:51	 T:nan
0.13	 C0:10	 C1:125	 C2:97	 T:21.40
0.12	 D0:9	 D1:149	 D2:59	 T:nan

0.21	 A0:26	 A1:130	 A2:67	 T:21.80
0.19	 B0:81	 B1:110	 B2:51	 T:nan
0.21	 C0:10	 C1:126	 C2:97	 T:21.40
0.19	 D0:9	 D1:150	 D2:58	 T:nan

0.29	 A0:27	 A1:130	 A2:68	 T:21.80
0.27	 B0:81	 B1:109	 B2:51	 T:nan
0.29	 C0:10	 C1:126	 C2:97	 T:21.40
0.26	 D0:9	 D1:150	 D2:58	 T:nan

0.36	 A0:27	 A1:130	 A2:67	 T:21.80
0.34	 B0:81	 B1:109	 B2:51	 T:nan
0.36	 C0:11	 C1:126	 C2:97	 T:21.40
0.33	 D0:9	 D1:150	 D2:58	 T:nan

0.44	 A0:27	 A1:130	 A2:68	 T:21.80
0.41	 B0:81	 B1:110	 B2:51	 T:nan
0.44	 C0:10	 C1:126	 C2:97	 T:21.40
0.40	 D0:9	 D1:150	 D2:58	 T:nan

0.52	 A0:27	 A1:130	 A2:67	 T:21.80
0.49	 B0:81	 B1:110	 B2:51	 T:nan
0.52	 C0:10	 C1:126	 C2:97	 T:21.40
0.47	 D0:9	 D1:150	 D2:59	 T:nan

0.59	 A0:26	 A1:130	 A2:67	 T:21.80
0.56	 B0:81	 B1:109	 B2:51	 T:nan
0.59	 C0:10	 C1:126	 C2:97	 T:21.40
0.54	 D0:9	 D1:150	 D2:58	 T:nan

0.67	 A0:27	 A1:130	 A2:67	 T:21.80
0.63	 B0:81	 B1:109	 B2:51	 T:nan
0.67	 C0:10	 C1:126	 C2:97	 T:21.40
0.61	 D0:9	 D1:150	 D2:58	 T:nan

0.75	 A0:26	 A1:130	 A2:68	 T:21.80
0.70	 B0:81	 B1:110	 B2:51	 T:nan
0.75	 C0:10	 C1:126	 C2:97	 T:21.40
0.68	 D0:9	 D1:150	 D2:58	 T:nan

0.83	 A0:26	 A1:130	 A2:68	 T:21.80
0.78	 B0:81	 B1:110	 B2:51	 T:nan
0.83	 C0:10	 C1:126	 C2:97	 T:21.40
0.75	 D0:9	 D1:150	 D2:58	 T:nan

0.90	 A0:27	 A1:130	 A2:68	 T:21.80
0.85	 B0:81	 B1:110	 B2:51	 T:nan
0.90	 C0:11	 C1:126	 C2:97	 T:21.40
0.82	 D0:9	 D1:150	 D2:58	 T:nan

0.98	 A0:26	 A1:130	 A2:67	 T:21.80
0.92	 B0:81	 B1:110	 B2:51	 T:nan
0.98	 C0:10	 C1:126	 C2:97	 T:21.40
0.90	 D0:9	 D1:149	 D2:58	 T:nan

1.06	 A0:26	 A1:130	 A2:67	 T:21.80
1.00	 B0:81	 B1:110	 B2:51	 T:nan
1.06	 C0:10	 C1:126	 C2:97	 T:21.40
0.97	 D0:9	 D1:149	 D2:59	 T:nan

1.13	 A0:26	 A1:130	 A2:67	 T:21.80
1.07	 B0:81	 B1:110	 B2:51	 T:nan
1.13	 C0:10	 C1:126	 C2:97	 T:21.40
1.04	 D0:9	 D1:150	 D2:58	 T:nan

1.21	 A0:26	 A1:130	 A2:67	 T:21.80
1.14	 B0:81	 B1:110	 B2:51	 T:nan
1.21	 C0:10	 C1:126	 C2:97	 T:21.40
1.11	 D0:9	 D1:150	 D2:58	 T:nan

1.29	 A0:26	 A1:130	 A2:67	 T:21.80
1.21	 B0:81	 B1:110	 B2:51	 T:nan
1.29	 C0:10	 C1:126	 C2:97	 T:21.40
1.18	 D0:9	 D1:150	 D2:58	 T:nan

1.36	 A0:26	 A1:130	 A2:67	 T:21.80
1.29	 B0:81	 B1:110	 B2:51	 T:nan
1.36	 C0:10	 C1:126	 C2:97	 T:21.40
1.25	 D0:9	 D1:149	 D2:58	 T:nan

1.44	 A0:26	 A1:131	 A2:67	 T:21.80
1.36	 B0:81	 B1:110	 B2:51	 T:nan
1.44	 C0:10	 C1:126	 C2:97	 T:21.40
1.32	 D0:9	 D1:149	 D2:59	 T:nan

1.52	 A0:26	 A1:130	 A2:67	 T:21.80
1.43	 B0:81	 B1:109	 B2:51	 T:nan
