0.05	 A0:24	 A1:131	 A2:66	 T:21.80
0.05	 B0:79	 B1:109	 B2:53	 T:nan
0.20	 C0:9	 C1:119	 C2:90	 T:21.80
0.19	 D0:9	 D1:151	 D2:64	 T:nan

0.10	 A0:24	 A1:131	 A2:66	 T:21.80
0.12	 B0:79	 B1:109	 B2:53	 T:nan
0.28	 C0:9	 C1:119	 C2:90	 T:21.80
0.26	 D0:9	 D1:151	 D2:63	 T:nan

0.17	 A0:25	 A1:131	 A2:66	 T:21.80
0.19	 B0:80	 B1:109	 B2:53	 T:nan
0.35	 C0:9	 C1:119	 C2:90	 T:21.80
0.33	 D0:9	 D1:151	 D2:63	 T:nan

0.25	 A0:25	 A1:132	 A2:66	 T:21.80
0.27	 B0:80	 B1:109	 B2:53	 T:nan
0.43	 C0:9	 C1:119	 C2:90	 T:21.80
0.40	 D0:9	 D1:151	 D2:63	 T:nan

0.32	 A0:25	 A1:131	 A2:66	 T:21.80
0.34	 B0:80	 B1:109	 B2:53	 T:nan
0.50	 C0:9	 C1:119	 C2:90	 T:21.80
0.47	 D0:9	 D1:151	 D2:63	 T:nan

0.40	 A0:24	 A1:132	 A2:66	 T:21.80
0.41	 B0:79	 B1:110	 B2:53	 T:nan
0.58	 C0:9	 C1:119	 C2:90	 T:21.80
0.54	 D0:9	 D1:151	 D2:63	 T:nan

0.48	 A0:25	 A1:131	 A2:66	 T:21.80
0.49	 B0:79	 B1:110	 B2:53	 T:nan
0.65	 C0:9	 C1:119	 C2:90	 T:21.80
0.61	 D0:9	 D1:151	 D2:63	 T:nan

0.56	 A0:24	 A1:131	 A2:66	 T:21.80
0.56	 B0:79	 B1:110	 B2:53	 T:nan
0.73	 C0:9	 C1:119	 C2:90	 T:21.80
0.68	 D0:9	 D1:151	 D2:63	 T:nan

0.63	 A0:24	 A1:131	 A2:66	 T:21.80
0.63	 B0:80	 B1:109	 B2:54	 T:nan
0.80	 C0:9	 C1:119	 C2:90	 T:21.80
0.75	 D0:9	 D1:151	 D2:64	 T:nan

0.71	 A0:24	 A1:132	 A2:66	 T:21.80
0.70	 B0:79	 B1:109	 B2:53	 T:nan
0.88	 C0:9	 C1:119	 C2:90	 T:21.80
0.82	 D0:9	 D1:151	 D2:63	 T:nan

0.79	 A0:24	 A1:132	 A2:66	 T:21.80
0.78	 B0:79	 B1:109	 B2:54	 T:nan
0.95	 C0:9	 C1:119	 C2:90	 T:21.80
0.90	 D0:9	 D1:151	 D2:63	 T:nan

0.86	 A0:24	 A1:131	 A2:66	 T:21.80
0.85	 B0:80	 B1:109	 B2:53	 T:nan
1.03	 C0:10	 C1:119	 C2:90	 T:21.80
0.97	 D0:9	 D1:151	 D2:63	 T:nan

0.94	 A0:25	 A1:131	 A2:66	 T:21.80
0.92	 B0:79	 B1:109	 B2:53	 T:nan
1.10	 C0:9	 C1:119	 C2:90	 T:21.80
1.04	 D0:9	 D1:151	 D2:63	 T:nan

1.02	 A0:24	 A1:131	 A2:66	 T:21.80
1.00	 B0:79	 B1:109	 B2:53	 T:nan
1.18	 C0:9	 C1:119	 C2:90	 T:21.80
1.11	 D0:9	 D1:151	 D2:63	 T:nan

1.10	 A0:24	 A1:131	 A2:66	 T:21.80
1.07	 B0:79	 B1:109	 B2:53	 T:nan
1.25	 C0:9	 C1:119	 C2:89	 T:21.80
1.18	 D0:9	 D1:151	 D2:63	 T:nan

1.17	 A0:24	 A1:132	 A2:66	 T:21.80
1.14	 B0:79	 B1:109	 B2:53	 T:nan
1.33	 C0:9	 C1:119	 C2:90	 T:21.80
1.25	 D0:9	 D1:151	 D2:63	 T:nan

1.25	 A0:25	 A1:132	 A2:66	 T:21.80
1.21	 B0:79	 B1:110	 B2:53	 T:nan
1.40	 C0:9	 C1:119	 C2:90	 T:21.80
1.32	 D0:9	 D1:151	 D2:63	 T:nan

1.33	 A0:24	 A1:132	 A2:66	 T:21.80
1.29	 B0:79	 B1:110	 B2:53	 T:nan
1.48	 C0:9	 C1:119	 C2:90	 T:21.80
1.39	 D0:9	 D1:151	 D2:63	 T:nan

1.40	 A0:24	 A1:131	 A2:66	 T:21.80
1.36	 B0:79	 B1:109	 B2:53	 T:nan
1.55	 C0:10	 C1:119	 C2:89	 T:21.80
1.46	 D0:9	 D1:151	 D2:63	 T:nan

1.48	 A0:24	 A1:131	 A2:66	 T:21.80
1.43	 B0:79	 B1:109	 B2:53	 T:nan
1.63	 C0:9	 C1:119	 C2:89	 T:21.80
1.53	 D0:9	 D1:151	 D2:63	 T:nan

1.56	 A0:24	 A1:131	 A2:66	 T:21.80
1.51	 B0:79	 B1:109	 B2:53	 T:nan
1.70	 C0:9	 C1:119	 C2:90	 T:21.80
1.60	 D0:9	 D1:151	 D2:63	 T:nan

1.63	 A0:24	 A1:131	 A2:66	 T:21.80
1.58	 B0:79	 B1:110	 B2:53	 T:nan
1.78	 C0:9	 C1:119	 C2:90	 T:21.80
1.67	 D0:9	 D1:151	 D2:63	 T:nan

1.71	 A0:25	 A1:131	 A2:66	 T:21.80
1.65	 B0:79	 B1:110	 B2:53	 T:nan
1.85	 C0:9	 C1:119	 C2:90	 T:21.80
1.74	 D0:9	 D1:151	 D2:63	 T:nan

1.79	 A0:24	 A1:132	 A2:66	 T:21.80
1.72	 B0:79	 B1:109	 B2:54	 T:nan
1.93	 C0:9	 C1:119	 C2:90	 T:21.80
1.81	 D0:9	 D1:151	 D2:63	 T:nan

1.86	 A0:24	 A1:131	 A2:66	 T:21.80
1.80	 B0:79	 B1:109	 B2:53	 T:nan
2.00	 C0:9	 C1:119	 C2:90	 T:21.80
1.88	 D0:9	 D1:151	 D2:63	 T:nan

1.94	 A0:24	 A1:132	 A2:66	 T:21.80
1.87	 B0:79	 B1:109	 B2:53	 T:nan
2.08	 C0:9	 C1:119	 C2:89	 T:21.80
1.96	 D0:9	 D1:151	 D2:63	 T:nan

2.03	 A0:24	 A1:132	 A2:66	 T:21.90
1.94	 B0:79	 B1:109	 B2:53	 T:nan
2.15	 C0:9	 C1:119	 C2:89	 T:21.80
2.04	 D0:9	 D1:151	 D2:63	 T:nan

2.10	 A0:24	 A1:131	 A2:66	 T:21.90
2.02	 B0:79	 B1:110	 B2:54	 T:nan
2.23	 C0:10	 C1:119	 C2:90	 T:21.80
2.10	 D0:9	 D1:151	 D2:63	 T:nan

2.17	 A0:24	 A1:132	 A2:66	 T:21.90
2.09	 B0:79	 B1:109	 B2:53	 T:nan
2.30	 C0:9	 C1:119	 C2:90	 T:21.80
2.17	 D0:9	 D1:151	 D2:64	 T:nan

2.25	 A0:24	 A1:131	 A2:66	 T:21.90
2.16	 B0:79	 B1:109	 B2:54	 T:nan
2.38	 C0:9	 C1:119	 C2:90	 T:21.80
2.24	 D0:9	 D1:151	 D2:63	 T:nan

2.33	 A0:24	 A1:131	 A2:66	 T:21.90
2.23	 B0:79	 B1:109	 B2:54	 T:nan
2.45	 C0:9	 C1:119	 C2:90	 T:21.80
2.31	 D0:9	 D1:151	 D2:63	 T:nan

2.40	 A0:24	 A1:132	 A2:66	 T:21.90
2.31	 B0:79	 B1:110	 B2:53	 T:nan
2.53	 C0:9	 C1:119	 C2:89	 T:21.80
2.38	 D0:9	 D1:151	 D2:63	 T:nan

2.48	 A0:24	 A1:131	 A2:66	 T:21.90
2.38	 B0:79	 B1:109	 B2:54	 T:nan
2.60	 C0:9	 C1:119	 C2:89	 T:21.80
2.45	 D0:9	 D1:151	 D2:63	 T:nan

2.56	 A0:24	 A1:131	 A2:66	 T:21.90
2.45	 B0:79	 B1:109	 B2:54	 T:nan
2.68	 C0:9	 C1:119	 C2:90	 T:21.80
2.52	 D0:9	 D1:151	 D2:63	 T:nan

2.63	 A0:24	 A1:132	 A2:66	 T:21.90
2.53	 B0:79	 B1:109	 B2:53	 T:nan
2.75	 C0:10	 C1:119	 C2:90	 T:21.80
2.59	 D0:9	 D1:151	 D2:63	 T:nan

2.71	 A0:24	 A1:131	 A2:66	 T:21.90
2.60	 B0:79	 B1:110	 B2:54	 T:nan
2.83	 C0:9	 C1:119	 C2:89	 T:21.80
2.66	 D0:9	 D1:151	 D2:63	 T:nan

2.79	 A0:24	 A1:132	 A2:66	 T:21.90
2.67	 B0:79	 B1:109	 B2:54	 T:nan
2.90	 C0:9	 C1:119	 C2:90	 T:21.80
2.73	 D0:9	 D1:151	 D2:63	 T:nan

2.86	 A0:24	 A1:131	 A2:66	 T:21.90
2.74	 B0:79	 B1:110	 B2:54	 T:nan
2.98	 C0:9	 C1:119	 C2:89	 T:21.80
2.80	 D0:9	 D1:151	 D2:63	 T:nan

2.94	 A0:24	 A1:131	 A2:66	 T:21.90
2.82	 B0:79	 B1:109	 B2:53	 T:nan
3.05	 C0:9	 C1:119	 C2:89	 T:21.80
2.87	 D0:9	 D1:151	 D2:63	 T:nan

3.02	 A0:24	 A1:131	 A2:65	 T:21.90
2.89	 B0:79	 B1:109	 B2:54	 T:nan
3.13	 C0:9	 C1:119	 C2:90	 T:21.80
2.95	 D0:9	 D1:151	 D2:63	 T:nan

3.10	 A0:24	 A1:131	 A2:66	 T:21.90
2.96	 B0:79	 B1:109	 B2:54	 T:nan
3.20	 C0:9	 C1:119	 C2:89	 T:21.80
3.02	 D0:9	 D1:151	 D2:63	 T:nan

3.17	 A0:25	 A1:131	 A2:66	 T:21.90
3.03	 B0:79	 B1:110	 B2:54	 T:nan
3.28	 C0:9	 C1:119	 C2:89	 T:21.80
3.09	 D0:9	 D1:151	 D2:63	 T:nan

3.25	 A0:24	 A1:131	 A2:66	 T:21.90
3.11	 B0:79	 B1:109	 B2:54	 T:nan
3.35	 C0:9	 C1:119	 C2:90	 T:21.80
3.16	 D0:9	 D1:151	 D2:64	 T:nan

3.33	 A0:24	 A1:132	 A2:66	 T:21.90
3.18	 B0:79	 B1:109	 B2:54	 T:nan
3.43	 C0:9	 C1:119	 C2:89	 T:21.80
3.23	 D0:9	 D1:151	 D2:63	 T:nan

3.40	 A0:24	 A1:131	 A2:66	 T:21.90
3.25	 B0:79	 B1:109	 B2:54	 T:nan
3.50	 C0:9	 C1:119	 C2:90	 T:21.80
3.30	 D0:9	 D1:151	 D2:63	 T:nan

3.48	 A0:24	 A1:131	 A2:65	 T:21.90
3.33	 B0:79	 B1:109	 B2:54	 T:nan
3.58	 C0:9	 C1:119	 C2:90	 T:21.80
3.37	 D0:9	 D1:151	 D2:63	 T:nan

3.56	 A0:24	 A1:132	 A2:66	 T:21.90
3.40	 B0:79	 B1:109	 B2:54	 T:nan
3.65	 C0:9	 C1:119	 C2:89	 T:21.80
3.44	 D0:9	 D1:151	 D2:63	 T:nan

3.63	 A0:24	 A1:131	 A2:66	 T:21.90
3.47	 B0:79	 B1:110	 B2:53	 T:nan
3.73	 C0:9	 C1:119	 C2:90	 T:21.80
3.51	 D0:9	 D1:151	 D2:64	 T:nan

3.71	 A0:24	 A1:131	 A2:66	 T:21.90
3.54	 B0:79	 B1:109	 B2:54	 T:nan
3.80	 C0:9	 C1:119	 C2:89	 T:21.80
3.58	 D0:9	 D1:151	 D2:63	 T:nan

3.79	 A0:24	 A1:131	 A2:65	 T:21.90
3.62	 B0:79	 B1:109	 B2:54	 T:nan
3.88	 C0:9	 C1:119	 C2:90	 T:21.80
3.65	 D0:9	 D1:151	 D2:64	 T:nan

3.86	 A0:24	 A1:131	 A2:65	 T:21.90
3.69	 B0:79	 B1:109	 B2:54	 T:nan
3.95	 C0:9	 C1:119	 C2:90	 T:21.80
3.72	 D0:9	 D1:151	 D2:63	 T:nan

3.94	 A0:24	 A1:131	 A2:66	 T:21.90
3.76	 B0:79	 B1:109	 B2:54	 T:nan
4.03	 C0:9	 C1:119	 C2:90	 T:21.80
3.79	 D0:9	 D1:151	 D2:63	 T:nan

4.03	 A0:24	 A1:131	 A2:66	 T:22.00
3.83	 B0:79	 B1:109	 B2:54	 T:nan
4.10	 C0:9	 C1:119	 C2:90	 T:21.80
3.86	 D0:9	 D1:151	 D2:63	 T:nan

4.09	 A0:24	 A1:131	 A2:65	 T:22.00
3.91	 B0:79	 B1:109	 B2:54	 T:nan
4.18	 C0:9	 C1:119	 C2:90	 T:21.80
3.94	 D0:9	 D1:151	 D2:63	 T:nan

4.17	 A0:24	 A1:131	 A2:65	 T:22.00
3.98	 B0:79	 B1:109	 B2:54	 T:nan
4.25	 C0:9	 C1:119	 C2:89	 T:21.80
4.01	 D0:9	 D1:151	 D2:64	 T:nan

4.25	 A0:24	 A1:131	 A2:66	 T:22.00
4.07	 B0:79	 B1:109	 B2:54	 T:nan
4.33	 C0:9	 C1:119	 C2:89	 T:21.80
4.07	 D0:9	 D1:151	 D2:64	 T:nan

4.32	 A0:24	 A1:131	 A2:66	 T:22.00
4.13	 B0:79	 B1:109	 B2:54	 T:nan
4.40	 C0:9	 C1:119	 C2:89	 T:21.80
4.15	 D0:9	 D1:151	 D2:64	 T:nan

4.40	 A0:24	 A1:132	 A2:65	 T:22.00
4.20	 B0:79	 B1:109	 B2:54	 T:nan
4.48	 C0:9	 C1:119	 C2:89	 T:21.80
4.22	 D0:9	 D1:151	 D2:64	 T:nan

4.48	 A0:24	 A1:131	 A2:66	 T:22.00
4.27	 B0:79	 B1:109	 B2:54	 T:nan
4.55	 C0:9	 C1:119	 C2:90	 T:21.80
4.29	 D0:9	 D1:151	 D2:64	 T:nan

4.56	 A0:24	 A1:132	 A2:65	 T:22.00
4.34	 B0:79	 B1:109	 B2:54	 T:nan
4.63	 C0:9	 C1:119	 C2:89	 T:21.80
4.36	 D0:9	 D1:151	 D2:63	 T:nan

4.63	 A0:24	 A1:131	 A2:65	 T:22.00
4.42	 B0:79	 B1:109	 B2:54	 T:nan
4.70	 C0:9	 C1:119	 C2:89	 T:21.80
4.43	 D0:9	 D1:151	 D2:64	 T:nan

4.71	 A0:24	 A1:131	 A2:66	 T:22.00
4.49	 B0:79	 B1:109	 B2:54	 T:nan
4.78	 C0:9	 C1:119	 C2:89	 T:21.80
4.50	 D0:9	 D1:151	 D2:64	 T:nan

