1.10	 A T:21.80
1.07	 B0:80	 B1:154	 B2:88	 T:nan
0.03	 C0:16	 C1:75	 C2:19	 T:21.80
0.03	 D0:13	 D1:215	 D2:85	 T:nan

1.02	 A0:27	 A1:185	 A2:67	 T:21.80
1.14	 B0:80	 B1:154	 B2:88	 T:na0.00	 B0:80	 B1:154	 B2:87	 T:nan
0.06	 C0:16	 C1:75	 C2:19	 T:21.80
0.05	 D0:13	 D1:215	 D2:85	 T:nan

1.10	 A0.00	 A0:27	 A1:186	 A2:68	 T:21.80
0.04	 B0:80	 B1:154	 B2:87	 T:nan
0.13	 C0:16	 C1:75	 C2:18	 T:21.80
0.12	 D0:13	 D1:215	 D2:85	 T:nan

0.05	 A0:27	 A1:185	 A2:67	 T:21.80
0.09	 B0:80	 B1:154	 B2:87	 T:nan
0.20	 C0:16	 C1:75	 C2:18	 T:21.80
0.19	 D0:13	 D1:215	 D2:85	 T:nan

0.10	 A0:27	 A1:185	 A2:68	 T:21.80
0.16	 B0:80	 B1:154	 B2:87	 T:nan
0.28	 C0:16	 C1:75	 C2:19	 T:21.80
0.27	 D0:13	 D1:215	 D2:85	 T:nan

0.17	 A0:27	 A1:185	 A2:67	 T:21.80
0.23	 B0:80	 B1:154	 B2:86	 T:nan
0.35	 C0:16	 C1:75	 C2:19	 T:21.80
0.34	 D0:14	 D1:215	 D2:85	 T:nan

0.25	 A0:27	 A1:185	 A2:68	 T:21.80
0.30	 B0:80	 B1:154	 B2:86	 T:nan
0.43	 C0:16	 C1:75	 C2:18	 T:21.80
0.41	 D0:13	 D1:215	 D2:85	 T:nan

0.32	 A0:27	 A1:185	 A2:68	 T:21.80
0.38	 B0:80	 B1:154	 B2:86	 T:nan
0.50	 C0:16	 C1:75	 C2:19	 T:21.80
0.49	 D0:13	 D1:216	 D2:85	 T:nan

0.40	 A0:27	 A1:185	 A2:68	 T:21.80
0.45	 B0:80	 B1:154	 B2:86	 T:nan
0.58	 C0:16	 C1:75	 C2:19	 T:21.80
