0.71	 A0:26	 A1:170	 A2:64	 T:23.00
0.76	 B0:80	 B1:143	 B2:101	 T:nan
0.00	 C0:16	 C1:72	 C2:19	 T:23.00
0.74	 D0:14	 D1:194	 D2:87	 T:nan

0.79	4	 T:23.00
0.84	 B0:80	 B1:143	 B2:1 B0:80	 B1:143	 B2:101	 T:nan
0.05	 C0:16	 C1:72	 C2:18	 T:23.00
0.81	 D0:13	 D1:194	 D2:87	 T:nan

0.71	 A0:26	 A1:170	 A2:64	 T:23.00
0.80	 B0:80	 B1:143	 B2:101	 T:nan
0.09	 C0:16	 C1:72	 C2:19	 T:23.00
0.74	 D0:14	 D1:194	 D2:87	 T:nan

0.79	0.00	 A0:25	 A1:170	 A2:65	 T:23.00
0.03	 B0:81	 B1:143	 B2:99	 T:nan
0.17	 C0:16	 C1:73	 C2:19	 T:23.00
0.81	 D0:13	 D1:194	 D2:87	 T:nan

0.05	 A0:25	 A1:170	 A2:64	 T:23.00
0.05	 B0:81	 B1:143	 B2:99	 T:nan
0.24	 C0:16	 C1:72	 C2:19	 T:23.00
0.03	 D0:13	 D1:194	 D2:86	 T:nan

0.10	 A0:25	 A1:171	 A2:64	 T:23.00
0.12	 B0:81	 B1:143	 B2:99	 T:nan
0.31	 C0:16	 C1:73	 C2:19	 T:23.00
0.05	 D0:13	 D1:194	 D2:87	 T:nan

0.17	 A0:25	 A1:170	 A2:65	 T:23.00
0.19	 B0:80	 B1:143	 B2:99	 T:nan
0.39	 C0:16	 C1:73	 C2:19	 T:23.00
0.12	 D0:14	 D1:194	 D2:87	 T:nan

0.25	 A0:25	 A1:170	 A2:65	 T:23.00
0.27	 B0:81	 B1:143	 B2:99	 T:nan
0.46	 C0:16	 C1:72	 C2:19	 T:23.00
0.19	 D0:13	 D1:194	 D2:87	 T:nan

0.32	 A0:25	 A1:170	 A2:65	 T:23.00
0.34	 B0:81	 B1:143	 B2:99	 T:nan
0.54	 C0:15	 C1:73	 C2:19	 T:23.00
0.27	 D0:14	 D1:194	 D2:86	 T:nan

0.40	 A0:25	 A1:170	 A2:65	 T:23.00
0.41	 B0:81	 B1:143	 B2:99	 T:nan
0.61	 C0:16	 C1:72	 C2:20	 T:23.00
0.34	 D0:13	 D1:194	 D2:87	 T:nan

0.48	 A0:26	 A1:170	 A2:65	 T:23.00
0.49	 B0:81	 B1:143	 B2:99	 T:nan
0.69	 C0:16	 C1:72	 C2:19	 T:23.00
0.41	 D0:13	 D1:194	 D2:87	 T:nan

0.56	 A0:25	 A1:170	 A2:65	 T:23.00
0.56	 B0:81	 B1:143	 B2:99	 T:nan
0.76	 C0:16	 C1:72	 C2:19	 T:23.00
0.49	 D0:13	 D1:194	 D2:86	 T:nan

0.63	 A0:26	 A1:170	 A2:65	 T:23.00
0.63	 B0:81	 B1:143	 B2:99	 T:nan
0.84	 C0:16	 C1:72	 C2:19	 T:23.00
0.56	 D0:13	 D1:194	 D2:86	 T:nan

0.71	 A0:25	 A1:170	 A2:65	 T:23.00
