209.81	 A0:28	 A1:173	 A2:70	 T:22.20

208.11	 B0:90	 B1:145	 B2:66	 T:nan

0.03	 C0:17	 C1:74	 C2:19	 T:nan

0.03	 D0:11	 D1:197	 D2:71	 T:nan


0.05	 A0:27	 A1:174	 A2:70	 T:22.20

0.04	 B0:90	 B1:145	 B2:66	 T:nan

0.12	 C0:17	 C1:74	 C2:19	 T:nan

0.12	 D0:12	 D1:197	 D2:71	 T:nan


0.10	 A0:27	 A1:174	 A2:70	 T:22.20

0.09	 B0:90	 B1:145	 B2:66	 T:nan

0.19	 C0:17	 C1:74	 C2:20	 T:nan

0.19	 D0:11	 D1:197	 D2:71	 T:nan


0.17	 A0:27	 A1:173	 A2:70	 T:22.20

0.16	 B0:90	 B1:145	 B2:66	 T:nan

0.26	 C0:17	 C1:74	 C2:19	 T:nan

0.27	 D0:11	 D1:197	 D2:71	 T:nan


0.25	 A0:28	 A1:173	 A2:70	 T:22.20

0.23	 B0:91	 B1:145	 B2:66	 T:nan

0.33	 C0:17	 C1:74	 C2:20	 T:nan

0.34	 D0:11	 D1:196	 D2:71	 T:nan


0.32	 A0:27	 A1:173	 A2:70	 T:22.20

0.30	 B0:90	 B1:145	 B2:66	 T:nan

0.40	 C0:17	 C1:74	 C2:19	 T:nan

0.41	 D0:11	 D1:197	 D2:71	 T:nan


0.40	 A0:27	 A1:173	 A2:70	 T:22.20

0.38	 B0:90	 B1:145	 B2:66	 T:nan

0.47	 C0:17	 C1:74	 C2:19	 T:nan

0.49	 D0:12	 D1:197	 D2:71	 T:nan


0.48	 A0:27	 A1:173	 A2:70	 T:22.20

0.45	 B0:90	 B1:145	 B2:66	 T:nan

0.54	 C0:17	 C1:74	 C2:19	 T:nan

0.56	 D0:11	 D1:197	 D2:71	 T:nan


0.56	 A0:28	 A1:173	 A2:70	 T:22.20

0.52	 B0:90	 B1:145	 B2:66	 T:nan

0.61	 C0:17	 C1:74	 C2:19	 T:nan

0.63	 D0:12	 D1:197	 D2:71	 T:nan


0.63	 A0:27	 A1:173	 A2:70	 T:22.20

0.60	 B0:90	 B1:145	 B2:66	 T:nan

