0.03	 A0:26	 A1:211	 A2:69	 T:23.00

1.96	 B0:83	 B1:T:nan

0.03	 C0:26	 C1:65	 C2:20	 T:22.40

0.03	 D0:15	 D1:138	 D2:89	 T:nan


0.06	 A0:26	 A1:211	 A2:70	 T:23.00

1.88	 B0:83	 B1:143	 B2:99	 T:nan

0.06	 C0:27	 C1:66	 C2:20	 T:22.40

0.05	 D0:15	 D1:138	 D2:89	 T:nan


0.13	 A0:26	 A1:211	 A2:69	 T:23.00

1.96	 B0:83	 B1:0.00	 B0:83	 B1:143	 B2:97	 T:nan

0.13	 C0:26	 C1:65	 C2:21	 T:22.40

0.12	 D0:15	 D1:138	 D2:89	 T:nan


0.21	 A0:26	 A1:211	 A2:69	 T:23.00

0.04	 B0:83	 B1:143	 B2:97	 T:nan

0.20	 C0:26	 C1:65	 C2:20	 T:22.40

0.19	 D0:15	 D1:138	 D2:88	 T:nan


0.29	 A0:26	 A1:211	 A2:69	 T:23.00

0.09	 B0:83	 B1:143	 B2:98	 T:nan

0.28	 C0:26	 C1:65	 C2:20	 T:22.40

0.27	 D0:15	 D1:138	 D2:89	 T:nan


0.36	 A0:26	 A1:211	 A2:69	 T:23.00

0.16	 B0:83	 B1:143	 B2:97	 T:nan

0.35	 C0:27	 C1:64	 C2:20	 T:22.40

0.34	 D0:15	 D1:138	 D2:89	 T:nan


0.44	 A0:26	 A1:211	 A2:69	 T:23.00

0.23	 B0:83	 B1:143	 B2:98	 T:nan

0.43	 C0:26	 C1:65	 C2:21	 T:22.40

0.41	 D0:14	 D1:138	 D2:88	 T:nan


0.52	 A0:26	 A1:211	 A2:69	 T:23.00

0.30	 B0:83	 B1:143	 B2:97	 T:nan

0.50	 C0:27	 C1:64	 C2:20	 T:22.40

0.49	 D0:14	 D1:138	 D2:89	 T:nan


0.59	 A0:26	 A1:211	 A2:69	 T:23.00

0.38	 B0:83	 B1:143	 B2:97	 T:nan

0.58	 C0:26	 C1:65	 C2:20	 T:22.40

0.56	 D0:15	 D1:138	 D2:89	 T:nan


0.67	 A0:26	 A1:211	 A2:69	 T:23.00

0.45	 B0:83	 B1:143	 B2:97	 T:nan

0.65	 C0:26	 C1:65	 C2:20	 T:22.40

0.63	 D0:14	 D1:138	 D2:89	 T:nan


0.75	 A0:26	 A1:211	 A2:69	 T:23.00

0.52	 B0:83	 B1:142	 B2:97	 T:nan

0.73	 C0:26	 C1:64	 C2:20	 T:22.40

0.70	 D0:15	 D1:139	 D2:88	 T:nan


0.83	 A0:26	 A1:211	 A2:68	 T:23.00

0.60	 B0:83	 B1:143	 B2:97	 T:nan

0.80	 C0:26	 C1:65	 C2:21	 T:22.40

0.78	 D0:15	 D1:138	 D2:88	 T:nan


0.90	 A0:26	 A1:211	 A2:69	 T:23.00

0.67	 B0:83	 B1:143	 B2:97	 T:nan

0.88	 C0:26	 C1:65	 C2:21	 T:22.40

0.85	 D0:15	 D1:138	 D2:88	 T:nan


0.98	 A0:26	 A1:211	 A2:69	 T:23.00

0.74	 B0:83	 B1:143	 B2:97	 T:nan

0.95	 C0:26	 C1:65	 C2:20	 T:22.40

0.92	 D0:15	 D1:138	 D2:88	 T:nan


1.06	 A0:26	 A1:211	 A2:69	 T:23.00

0.81	 B0:83	 B1:143	 B2:97	 T:nan

1.03	 C0:26	 C1:64	 C2:20	 T:22.40

1.00	 D0:15	 D1:138	 D2:88	 T:nan


1.13	 A0:26	 A1:211	 A2:68	 T:23.00

0.89	 B0:83	 B1:143	 B2:97	 T:nan

1.10	 C0:26	 C1:65	 C2:20	 T:22.40

1.07	 D0:15	 D1:138	 D2:89	 T:nan


1.21	 A0:26	 A1:211	 A2:68	 T:23.00

0.96	 B0:83	 B1:143	 B2:97	 T:nan

1.18	 C0:26	 C1:65	 C2:20	 T:22.40

1.14	 D0:15	 D1:138	 D2:88	 T:nan

