12.60	 A0:22	 A1:196	 A29	 A0:22	 A1:196	 A2:57	 T:nan
12.64	 B0:76	 B1:135	 B2:59	 T:nan
0.03	 C0:18	 C1:60	 C2:16	 T:22.20
12.68	 D0:11	 D1:130	 D2:74	 T:nan

12.56	 A0:22	 A1:197	 A2:57	 T:nan
12.72	 B0:76	 B1:n
0.06	 C0:17	 C1:60	 C2:16	 T:22.20
12.60	 D0:12	 D1:130	 D2:74	 T:nan

0.03	 A0:22	 A1:197	 A2:57	 T:nan
12.64	 B0:76	 B1:135	 B2:59	 T:nan
0.13	 C0:17	 C1:59	 C2:16	 T:22.20
12.68	 D0:11	 D1:130	 D2:74	 T:nan

0.05	 A0:22	 A1:197	 A2:57	 T:nan
12.72	 B0:76	 B1:0.00	 B0:77	 B1:135	 B2:60	 T:nan
0.20	 C0:17	 C1:60	 C2:16	 T:22.20
12.60	 D0:12	 D1:130	 D2:74	 T:nan

0.12	 A0:22	 A1:196	 A2:57	 T:nan
0.04	 B0:77	 B1:135	 B2:60	 T:nan
0.28	 C0:17	 C1:60	 C2:16	 T:22.20
12.68	 D0:11	 D1:130	 D2:74	 T:nan

0.19	 A0:22	 A1:196	 A2:57	 T:nan
0.09	 B0:77	 B1:135	 B2:59	 T:nan
0.35	 C0:17	 C1:60	 C2:16	 T:22.20
0.03	 D0:12	 D1:130	 D2:74	 T:nan

0.27	 A0:22	 A1:197	 A2:57	 T:nan
0.16	 B0:77	 B1:135	 B2:60	 T:nan
0.43	 C0:18	 C1:59	 C2:16	 T:22.20
0.05	 D0:11	 D1:130	 D2:74	 T:nan

0.34	 A0:22	 A1:197	 A2:57	 T:nan
0.23	 B0:77	 B1:135	 B2:60	 T:nan
0.50	 C0:18	 C1:59	 C2:16	 T:22.20
0.12	 D0:12	 D1:130	 D2:73	 T:nan

0.41	 A0:22	 A1:197	 A2:57	 T:nan
0.30	 B0:77	 B1:135	 B2:60	 T:nan
0.58	 C0:17	 C1:60	 C2:16	 T:22.20
0.19	 D0:11	 D1:130	 D2:73	 T:nan

0.49	 A0:22	 A1:197	 A2:57	 T:nan
0.38	 B0:77	 B1:135	 B2:60	 T:nan
0.65	 C0:17	 C1:59	 C2:16	 T:22.20
0.27	 D0:11	 D1:130	 D2:74	 T:nan

0.56	 A0:22	 A1:197	 A2:57	 T:nan
0.45	 B0:77	 B1:135	 B2:60	 T:nan
0.73	 C0:17	 C1:60	 C2:16	 T:22.20
0.34	 D0:12	 D1:131	 D2:73	 T:nan

0.63	 A0:22	 A1:197	 A2:57	 T:nan
0.52	 B0:77	 B1:135	 B2:60	 T:nan
0.80	 C0:17	 C1:59	 C2:16	 T:22.20
0.41	 D0:12	 D1:130	 D2:73	 T:nan

0.70	 A0:23	 A1:197	 A2:57	 T:nan
0.60	 B0:77	 B1:135	 B2:60	 T:nan
0.88	 C0:17	 C1:60	 C2:16	 T:22.20
0.49	 D0:12	 D1:130	 D2:73	 T:nan

0.78	 A0:22	 A1:197	 A2:57	 T:nan
0.67	 B0:77	 B1:135	 B2:59	 T:nan
0.95	 C0:18	 C1:59	 C2:16	 T:22.20
0.56	 D0:12	 D1:131	 D2:73	 T:nan

0.85	 A0:22	 A1:196	 A2:57	 T:nan
0.74	 B0:77	 B1:135	 B2:60	 T:nan
1.03	 C0:18	 C1:60	 C2:16	 T:22.20
0.63	 D0:11	 D1:131	 D2:73	 T:nan

0.92	 A0:23	 A1:196	 A2:57	 T:nan
0.81	 B0:77	 B1:135	 B2:60	 T:nan
1.10	 C0:17	 C1:59	 C2:16	 T:22.20
0.70	 D0:11	 D1:131	 D2:73	 T:nan

1.00	 A0:23	 A1:196	 A2:57	 T:nan
0.89	 B0:77	 B1:135	 B2:60	 T:nan
1.18	 C0:17	 C1:60	 C2:16	 T:22.20
0.78	 D0:11	 D1:131	 D2:73	 T:nan

1.07	 A0:22	 A1:196	 A2:57	 T:nan
0.96	 B0:77	 B1:135	 B2:60	 T:nan
1.25	 C0:18	 C1:60	 C2:16	 T:22.20
0.85	 D0:12	 D1:131	 D2:73	 T:nan

1.14	 A0:22	 A1:197	 A2:57	 T:nan
1.03	 B0:77	 B1:135	 B2:60	 T:nan
1.33	 C0:18	 C1:60	 C2:16	 T:22.20
0.92	 D0:12	 D1:130	 D2:73	 T:nan

1.21	 A0:22	 A1:197	 A2:57	 T:nan
1.11	 B0:77	 B1:135	 B2:60	 T:nan
1.40	 C0:17	 C1:60	 C2:16	 T:22.20
1.00	 D0:11	 D1:130	 D2:73	 T:nan

1.29	 A0:22	 A1:196	 A2:57	 T:nan
1.18	 B0:77	 B1:135	 B2:60	 T:nan
1.48	 C0:17	 C1:60	 C2:16	 T:22.20
1.07	 D0:11	 D1:130	 D2:73	 T:nan

1.36	 A0:22	 A1:197	 A2:57	 T:nan
1.25	 B0:77	 B1:135	 B2:60	 T:nan
1.55	 C0:17	 C1:59	 C2:16	 T:22.20
1.14	 D0:12	 D1:131	 D2:73	 T:nan

1.43	 A0:23	 A1:197	 A2:57	 T:nan
1.32	 B0:77	 B1:135	 B2:60	 T:nan
1.63	 C0:17	 C1:60	 C2:16	 T:22.20
1.21	 D0:11	 D1:131	 D2:73	 T:nan

1.51	 A0:22	 A1:196	 A2:57	 T:nan
1.40	 B0:77	 B1:135	 B2:59	 T:nan
1.70	 C0:16	 C1:60	 C2:16	 T:22.20
1.29	 D0:11	 D1:131	 D2:73	 T:nan

1.58	 A0:22	 A1:196	 A2:57	 T:nan
1.47	 B0:77	 B1:135	 B2:60	 T:nan
1.77	 C0:17	 C1:60	 C2:16	 T:22.20
1.36	 D0:11	 D1:131	 D2:73	 T:nan

1.65	 A0:23	 A1:196	 A2:57	 T:nan
1.54	 B0:77	 B1:135	 B2:60	 T:nan
1.85	 C0:17	 C1:59	 C2:16	 T:22.20
1.43	 D0:11	 D1:131	 D2:73	 T:nan

1.72	 A0:23	 A1:196	 A2:57	 T:nan
1.61	 B0:77	 B1:135	 B2:60	 T:nan
1.92	 C0:17	 C1:60	 C2:16	 T:22.20
1.51	 D0:12	 D1:131	 D2:73	 T:nan

1.80	 A0:22	 A1:196	 A2:57	 T:nan
1.69	 B0:77	 B1:135	 B2:60	 T:nan
2.00	 C0:17	 C1:59	 C2:16	 T:22.20
1.58	 D0:11	 D1:131	 D2:73	 T:nan

1.87	 A0:22	 A1:197	 A2:57	 T:nan
1.76	 B0:77	 B1:135	 B2:60	 T:nan
2.08	 C0:17	 C1:59	 C2:16	 T:22.20
1.65	 D0:11	 D1:130	 D2:72	 T:nan

1.94	 A0:23	 A1:197	 A2:57	 T:nan
1.83	 B0:77	 B1:135	 B2:59	 T:nan
2.15	 C0:17	 C1:59	 C2:16	 T:22.20
1.72	 D0:11	 D1:131	 D2:73	 T:nan

2.02	 A0:23	 A1:196	 A2:57	 T:nan
1.91	 B0:77	 B1:135	 B2:60	 T:nan
2.23	 C0:17	 C1:60	 C2:17	 T:22.20
1.80	 D0:12	 D1:131	 D2:72	 T:nan

2.09	 A0:22	 A1:196	 A2:57	 T:nan
