0.03	 A0:16	 A1:209	 A2:49	 T:nan

0.03	 B0:70	 B1:140	 B2:60	 T:nan

0.03	 C0:12	 C1:60	 C2:16	 T:22.20

23.11	 D0:9	 D1:134	 D2:62	 T:nan


0.12	 A0:16	 A1:210	 A2:48	 T:nan

0.12	 B0:70	 B1:140	 B2:60	 T:nan

0.13	 C0:13	 C1:60	 C2:16	 T:22.20

23.15	 D0:9	 D1:134	 D2:62	 T:nan


0.19	 A0:15	 A1:209	 A2:48	 T:nan

0.19	 B0:70	 B1:140	 B2:60	 T:nan

0.20	 C0:13	 C1:60	 C2:16	 T:22.20

0.03	 D0:9	 D1:134	 D2:62	 T:nan


0.27	 A0:16	 A1:209	 A2:48	 T:nan

0.27	 B0:70	 B1:140	 B2:60	 T:nan

0.28	 C0:13	 C1:59	 C2:16	 T:22.20

0.05	 D0:9	 D1:134	 D2:62	 T:nan


0.34	 A0:16	 A1:210	 A2:48	 T:nan

0.34	 B0:70	 B1:140	 B2:60	 T:nan

0.35	 C0:13	 C1:60	 C2:16	 T:22.20

0.12	 D0:9	 D1:134	 D2:62	 T:nan


0.41	 A0:16	 A1:210	 A2:49	 T:nan

0.41	 B0:70	 B1:140	 B2:60	 T:nan

0.43	 C0:13	 C1:59	 C2:16	 T:22.20

0.19	 D0:9	 D1:134	 D2:62	 T:nan


0.49	 A0:16	 A1:210	 A2:49	 T:nan

0.49	 B0:70	 B1:140	 B2:60	 T:nan

0.50	 C0:13	 C1:59	 C2:16	 T:22.20

0.26	 D0:9	 D1:134	 D2:62	 T:nan


0.56	 A0:16	 A1:210	 A2:48	 T:nan

0.56	 B0:70	 B1:140	 B2:60	 T:nan

0.58	 C0:13	 C1:59	 C2:17	 T:22.20

0.33	 D0:9	 D1:134	 D2:62	 T:nan


0.63	 A0:16	 A1:210	 A2:48	 T:nan

0.63	 B0:70	 B1:140	 B2:60	 T:nan

0.65	 C0:13	 C1:60	 C2:17	 T:22.20

0.40	 D0:9	 D1:134	 D2:62	 T:nan


0.70	 A0:16	 A1:209	 A2:49	 T:nan

0.70	 B0:70	 B1:140	 B2:60	 T:nan

0.73	 C0:12	 C1:60	 C2:16	 T:22.20

0.47	 D0:9	 D1:134	 D2:62	 T:nan


0.78	 A0:16	 A1:209	 A2:49	 T:nan

0.78	 B0:70	 B1:140	 B2:60	 T:nan

0.80	 C0:12	 C1:59	 C2:16	 T:22.20

0.54	 D0:9	 D1:134	 D2:62	 T:nan


