0.03	 A0:21	 A1:198	 A2:56	 T:nan
0.03	 B0:80	 B1:136	 B2:60	 T:nan
0.03	 C0:25	 C1:59	 C2:17	 T:22.60
0.00	 D0:13	 D1:130	 D2:64	 T:nan

0.05	 A0:21	 A1:198	 A2:57	 T:nan
0.05	 B0:80	 B1:136	 B2:60	 T:nan
0.06	 C0:26	 C1:59	 C2:17	 T:22.60
0.04	 D0:13	 D1:130	 D2:64	 T:nan

0.12	 A0:21	 A1:199	 A2:56	 T:nan
0.12	 B0:81	 B1:135	 B2:60	 T:nan
0.13	 C0:26	 C1:59	 C2:17	 T:22.60
0.09	 D0:13	 D1:130	 D2:64	 T:nan

0.19	 A0:21	 A1:199	 A2:57	 T:nan
0.19	 B0:81	 B1:136	 B2:60	 T:nan
0.20	 C0:25	 C1:59	 C2:17	 T:22.60
0.16	 D0:13	 D1:130	 D2:64	 T:nan

0.27	 A0:21	 A1:198	 A2:57	 T:nan
0.27	 B0:81	 B1:136	 B2:60	 T:nan
0.28	 C0:25	 C1:60	 C2:17	 T:22.60
0.23	 D0:13	 D1:130	 D2:64	 T:nan

0.34	 A0:22	 A1:198	 A2:57	 T:nan
0.34	 B0:80	 B1:136	 B2:60	 T:nan
0.35	 C0:25	 C1:59	 C2:17	 T:22.60
0.30	 D0:13	 D1:130	 D2:64	 T:nan

0.41	 A0:21	 A1:198	 A2:57	 T:nan
0.41	 B0:81	 B1:135	 B2:60	 T:nan
0.43	 C0:25	 C1:59	 C2:17	 T:22.60
0.38	 D0:13	 D1:130	 D2:64	 T:nan

0.49	 A0:21	 A1:199	 A2:56	 T:nan
0.49	 B0:80	 B1:136	 B2:60	 T:nan
0.50	 C0:25	 C1:60	 C2:16	 T:22.60
0.45	 D0:13	 D1:130	 D2:64	 T:nan

0.56	 A0:21	 A1:198	 A2:57	 T:nan
0.56	 B0:80	 B1:136	 B2:60	 T:nan
0.58	 C0:25	 C1:59	 C2:17	 T:22.60
0.52	 D0:13	 D1:130	 D2:64	 T:nan

0.63	 A0:22	 A1:199	 A2:56	 T:nan
0.63	 B0:81	 B1:136	 B2:60	 T:nan
0.65	 C0:25	 C1:60	 C2:16	 T:22.60
0.60	 D0:13	 D1:130	 D2:64	 T:nan

0.70	 A0:21	 A1:198	 A2:56	 T:nan
0.70	 B0:81	 B1:136	 B2:60	 T:nan
0.73	 C0:26	 C1:59	 C2:16	 T:22.60
0.67	 D0:13	 D1:130	 D2:64	 T:nan

0.78	 A0:21	 A1:198	 A2:56	 T:nan
0.78	 B0:80	 B1:136	 B2:60	 T:nan
0.80	 C0:26	 C1:59	 C2:16	 T:22.60
0.74	 D0:13	 D1:130	 D2:64	 T:nan

0.85	 A0:21	 A1:199	 A2:57	 T:nan
0.85	 B0:80	 B1:136	 B2:60	 T:nan
0.88	 C0:25	 C1:60	 C2:16	 T:22.60
0.81	 D0:13	 D1:130	 D2:64	 T:nan

0.92	 A0:21	 A1:198	 A2:56	 T:nan
0.92	 B0:81	 B1:136	 B2:60	 T:nan
0.95	 C0:25	 C1:59	 C2:16	 T:22.60
0.89	 D0:13	 D1:130	 D2:64	 T:nan

1.00	 A0:21	 A1:198	 A2:56	 T:nan
1.00	 B0:81	 B1:135	 B2:60	 T:nan
1.03	 C0:26	 C1:60	 C2:16	 T:22.60
0.96	 D0:13	 D1:130	 D2:64	 T:nan

1.07	 A0:22	 A1:198	 A2:57	 T:nan
1.07	 B0:80	 B1:136	 B2:60	 T:nan
1.10	 C0:25	 C1:60	 C2:17	 T:22.60
1.03	 D0:13	 D1:130	 D2:64	 T:nan

1.14	 A0:21	 A1:198	 A2:57	 T:nan
1.14	 B0:81	 B1:136	 B2:60	 T:nan
1.18	 C0:25	 C1:59	 C2:17	 T:22.60
1.11	 D0:13	 D1:130	 D2:64	 T:nan

1.21	 A0:21	 A1:198	 A2:57	 T:nan
1.21	 B0:80	 B1:136	 B2:60	 T:nan
1.25	 C0:26	 C1:59	 C2:17	 T:22.60
1.18	 D0:13	 D1:131	 D2:64	 T:nan

1.29	 A0:21	 A1:199	 A2:57	 T:nan
1.29	 B0:80	 B1:135	 B2:60	 T:nan
1.33	 C0:25	 C1:60	 C2:17	 T:22.60
1.25	 D0:13	 D1:130	 D2:64	 T:nan

1.36	 A0:21	 A1:198	 A2:57	 T:nan
1.36	 B0:81	 B1:135	 B2:60	 T:nan
1.40	 C0:26	 C1:59	 C2:16	 T:22.60
1.32	 D0:13	 D1:130	 D2:64	 T:nan

1.43	 A0:22	 A1:198	 A2:56	 T:nan
1.43	 B0:81	 B1:136	 B2:60	 T:nan
1.48	 C0:25	 C1:60	 C2:16	 T:22.60
1.40	 D0:13	 D1:130	 D2:64	 T:nan

1.51	 A0:22	 A1:198	 A2:56	 T:nan
1.51	 B0:80	 B1:136	 B2:60	 T:nan
1.55	 C0:26	 C1:60	 C2:16	 T:22.60
1.47	 D0:13	 D1:130	 D2:64	 T:nan

1.58	 A0:21	 A1:198	 A2:57	 T:nan
1.58	 B0:80	 B1:136	 B2:60	 T:nan
1.63	 C0:26	 C1:59	 C2:17	 T:22.60
1.54	 D0:13	 D1:130	 D2:64	 T:nan

1.65	 A0:21	 A1:199	 A2:57	 T:nan
1.65	 B0:81	 B1:136	 B2:60	 T:nan
1.70	 C0:26	 C1:60	 C2:17	 T:22.60
1.61	 D0:13	 D1:130	 D2:64	 T:nan

1.72	 A0:22	 A1:199	 A2:56	 T:nan
1.72	 B0:80	 B1:136	 B2:60	 T:nan
1.77	 C0:26	 C1:60	 C2:16	 T:22.60
1.69	 D0:13	 D1:130	 D2:64	 T:nan

1.80	 A0:21	 A1:199	 A2:57	 T:nan
1.80	 B0:80	 B1:136	 B2:60	 T:nan
1.85	 C0:26	 C1:60	 C2:17	 T:22.60
1.76	 D0:13	 D1:130	 D2:64	 T:nan

1.87	 A0:22	 A1:198	 A2:56	 T:nan
1.87	 B0:80	 B1:136	 B2:60	 T:nan
1.92	 C0:26	 C1:60	 C2:17	 T:22.60
1.83	 D0:13	 D1:130	 D2:64	 T:nan

1.94	 A0:22	 A1:198	 A2:57	 T:nan
1.94	 B0:80	 B1:136	 B2:60	 T:nan
2.00	 C0:25	 C1:59	 C2:17	 T:22.60
1.91	 D0:13	 D1:130	 D2:64	 T:nan

2.02	 A0:21	 A1:198	 A2:57	 T:nan
2.02	 B0:80	 B1:136	 B2:60	 T:nan
2.08	 C0:25	 C1:59	 C2:17	 T:22.60
1.98	 D0:13	 D1:130	 D2:64	 T:nan

2.09	 A0:21	 A1:198	 A2:56	 T:nan
2.09	 B0:81	 B1:136	 B2:60	 T:nan
2.15	 C0:26	 C1:59	 C2:16	 T:22.60
2.07	 D0:13	 D1:130	 D2:64	 T:nan

2.16	 A0:22	 A1:198	 A2:56	 T:nan
2.16	 B0:80	 B1:136	 B2:60	 T:nan
2.23	 C0:25	 C1:60	 C2:16	 T:22.60
2.12	 D0:13	 D1:130	 D2:64	 T:nan

2.23	 A0:22	 A1:198	 A2:56	 T:nan
2.23	 B0:80	 B1:136	 B2:60	 T:nan
2.30	 C0:26	 C1:60	 C2:17	 T:22.60
2.20	 D0:13	 D1:130	 D2:64	 T:nan

2.31	 A0:22	 A1:198	 A2:57	 T:nan
2.31	 B0:80	 B1:135	 B2:60	 T:nan
2.37	 C0:25	 C1:59	 C2:16	 T:22.60
2.27	 D0:13	 D1:130	 D2:64	 T:nan

2.38	 A0:22	 A1:199	 A2:57	 T:nan
2.38	 B0:80	 B1:136	 B2:60	 T:nan
2.45	 C0:26	 C1:60	 C2:16	 T:22.60
2.34	 D0:13	 D1:130	 D2:64	 T:nan

2.45	 A0:21	 A1:199	 A2:56	 T:nan
2.45	 B0:80	 B1:135	 B2:60	 T:nan
2.52	 C0:25	 C1:59	 C2:16	 T:22.60
2.42	 D0:13	 D1:130	 D2:64	 T:nan

2.53	 A0:21	 A1:198	 A2:57	 T:nan
2.53	 B0:80	 B1:135	 B2:60	 T:nan
2.60	 C0:25	 C1:59	 C2:16	 T:22.60
2.49	 D0:13	 D1:130	 D2:65	 T:nan

2.60	 A0:22	 A1:198	 A2:57	 T:nan
2.60	 B0:80	 B1:135	 B2:60	 T:nan
2.67	 C0:26	 C1:59	 C2:17	 T:22.60
2.56	 D0:13	 D1:130	 D2:64	 T:nan

2.67	 A0:22	 A1:198	 A2:57	 T:nan
2.67	 B0:80	 B1:136	 B2:60	 T:nan
2.75	 C0:26	 C1:60	 C2:16	 T:22.60
2.63	 D0:13	 D1:130	 D2:64	 T:nan

2.74	 A0:21	 A1:198	 A2:56	 T:nan
2.74	 B0:80	 B1:136	 B2:60	 T:nan
2.82	 C0:26	 C1:59	 C2:17	 T:22.60
2.71	 D0:13	 D1:130	 D2:64	 T:nan

2.82	 A0:22	 A1:198	 A2:57	 T:nan
2.82	 B0:80	 B1:136	 B2:60	 T:nan
2.90	 C0:26	 C1:59	 C2:16	 T:22.60
2.78	 D0:13	 D1:130	 D2:64	 T:nan

2.89	 A0:22	 A1:199	 A2:56	 T:nan
2.89	 B0:80	 B1:136	 B2:60	 T:nan
2.97	 C0:26	 C1:59	 C2:16	 T:22.60
2.85	 D0:13	 D1:130	 D2:64	 T:nan

2.96	 A0:21	 A1:198	 A2:57	 T:nan
2.96	 B0:80	 B1:136	 B2:60	 T:nan
3.05	 C0:26	 C1:60	 C2:16	 T:22.60
2.93	 D0:13	 D1:130	 D2:64	 T:nan

3.03	 A0:22	 A1:198	 A2:57	 T:nan
3.03	 B0:80	 B1:136	 B2:60	 T:nan
3.12	 C0:25	 C1:59	 C2:16	 T:22.60
3.00	 D0:13	 D1:130	 D2:64	 T:nan

3.11	 A0:21	 A1:198	 A2:57	 T:nan
3.11	 B0:80	 B1:136	 B2:60	 T:nan
3.20	 C0:25	 C1:60	 C2:17	 T:22.60
3.07	 D0:13	 D1:130	 D2:64	 T:nan

