0.03	 A0:20	 A1:198	 A2:55	 T:23.10
0.03	 B0:77	 B1:136	 B2:59	 T:nan
0.03	 C0:29	 C1:62	 C2:16	 T:22.50
0.00	 D0:11	 D1:135	 D2:64	 T:nan

0.06	 A0:20	 A1:198	 A2:55	 T:23.10
0.05	 B0:77	 B1:136	 B2:59	 T:nan
0.06	 C0:28	 C1:61	 C2:16	 T:22.50
0.04	 D0:11	 D1:135	 D2:64	 T:nan

0.13	 A0:20	 A1:198	 A2:55	 T:23.10
0.12	 B0:77	 B1:135	 B2:58	 T:nan
0.13	 C0:28	 C1:62	 C2:17	 T:22.50
0.09	 D0:11	 D1:135	 D2:63	 T:nan

0.21	 A0:20	 A1:198	 A2:55	 T:23.10
0.19	 B0:77	 B1:135	 B2:58	 T:nan
0.20	 C0:28	 C1:61	 C2:17	 T:22.50
0.16	 D0:11	 D1:135	 D2:63	 T:nan

0.29	 A0:21	 A1:198	 A2:56	 T:23.10
0.27	 B0:77	 B1:135	 B2:58	 T:nan
0.28	 C0:29	 C1:61	 C2:16	 T:22.50
0.23	 D0:11	 D1:135	 D2:64	 T:nan

0.36	 A0:20	 A1:198	 A2:55	 T:23.10
0.34	 B0:77	 B1:135	 B2:58	 T:nan
0.35	 C0:29	 C1:61	 C2:16	 T:22.50
0.30	 D0:11	 D1:135	 D2:63	 T:nan

0.44	 A0:20	 A1:198	 A2:55	 T:23.10
0.41	 B0:77	 B1:135	 B2:58	 T:nan
0.43	 C0:28	 C1:61	 C2:17	 T:22.50
0.38	 D0:11	 D1:135	 D2:63	 T:nan

0.52	 A0:20	 A1:198	 A2:55	 T:23.10
0.49	 B0:77	 B1:136	 B2:58	 T:nan
0.50	 C0:29	 C1:62	 C2:17	 T:22.50
0.45	 D0:11	 D1:135	 D2:64	 T:nan

0.59	 A0:20	 A1:198	 A2:55	 T:23.10
0.56	 B0:77	 B1:136	 B2:59	 T:nan
0.58	 C0:28	 C1:61	 C2:16	 T:22.50
0.52	 D0:11	 D1:135	 D2:63	 T:nan

0.67	 A0:20	 A1:198	 A2:55	 T:23.10
0.63	 B0:77	 B1:136	 B2:58	 T:nan
0.65	 C0:28	 C1:61	 C2:16	 T:22.50
0.60	 D0:11	 D1:134	 D2:63	 T:nan

0.75	 A0:21	 A1:198	 A2:56	 T:23.10
0.70	 B0:77	 B1:136	 B2:58	 T:nan
0.73	 C0:28	 C1:61	 C2:16	 T:22.50
0.67	 D0:11	 D1:135	 D2:63	 T:nan

0.83	 A0:20	 A1:198	 A2:55	 T:23.10
0.78	 B0:76	 B1:136	 B2:58	 T:nan
0.80	 C0:29	 C1:62	 C2:17	 T:22.50
0.74	 D0:11	 D1:134	 D2:63	 T:nan

0.90	 A0:21	 A1:198	 A2:55	 T:23.10
