0.10	 A0:19	 A1:190	 A2:54	 T:23.00
0.04	 B0:74	 B1:131	 B2:54	 T:nan
0.20	 C0:34	 C1:63	 C2:16	 T:22.40
0.04	 D0:12	 D1:135	 D2:69	 T:nan

0.17	 A0:19	 A1:190	 A2:54	 T:23.00
0.09	 B0:74	 B1:131	 B2:55	 T:nan
0.28	 C0:34	 C1:63	 C2:16	 T:22.40
0.09	 D0:12	 D1:134	 D2:69	 T:nan

0.25	 A0:20	 A1:190	 A2:54	 T:23.00
0.16	 B0:74	 B1:131	 B2:54	 T:nan
0.35	 C0:34	 C1:62	 C2:16	 T:22.40
0.16	 D0:12	 D1:135	 D2:69	 T:nan

0.32	 A0:19	 A1:190	 A2:54	 T:23.00
0.23	 B0:74	 B1:131	 B2:55	 T:nan
0.43	 C0:34	 C1:63	 C2:16	 T:22.40
0.23	 D0:12	 D1:134	 D2:69	 T:nan

0.40	 A0:19	 A1:190	 A2:54	 T:23.00
0.30	 B0:74	 B1:131	 B2:54	 T:nan
0.50	 C0:34	 C1:62	 C2:16	 T:22.40
0.30	 D0:12	 D1:134	 D2:69	 T:nan

0.48	 A0:20	 A1:190	 A2:55	 T:23.00
0.38	 B0:74	 B1:131	 B2:55	 T:nan
0.58	 C0:34	 C1:63	 C2:16	 T:22.40
0.38	 D0:12	 D1:134	 D2:69	 T:nan

0.56	 A0:19	 A1:190	 A2:54	 T:23.00
0.45	 B0:74	 B1:131	 B2:54	 T:nan
0.65	 C0:34	 C1:62	 C2:16	 T:22.40
0.45	 D0:12	 D1:134	 D2:69	 T:nan

0.63	 A0:20	 A1:190	 A2:54	 T:23.00
0.52	 B0:74	 B1:131	 B2:55	 T:nan
0.73	 C0:34	 C1:62	 C2:16	 T:22.40
0.52	 D0:12	 D1:134	 D2:69	 T:nan

0.71	 A0:20	 A1:190	 A2:54	 T:23.00
0.60	 B0:74	 B1:131	 B2:54	 T:nan
0.80	 C0:33	 C1:63	 C2:16	 T:22.40
0.60	 D0:12	 D1:134	 D2:69	 T:nan

0.79	 A0:19	 A1:189	 A2:54	 T:23.00
0.67	 B0:74	 B1:131	 B2:54	 T:nan
0.88	 C0:34	 C1:62	 C2:16	 T:22.40
0.67	 D0:12	 D1:134	 D2:69	 T:nan

0.86	 A0:19	 A1:190	 A2:54	 T:23.00
0.74	 B0:74	 B1:131	 B2:54	 T:nan
0.95	 C0:34	 C1:63	 C2:16	 T:22.40
0.74	 D0:12	 D1:134	 D2:69	 T:nan

0.94	 A0:19	 A1:190	 A2:54	 T:23.00
0.81	 B0:74	 B1:131	 B2:55	 T:nan
1.03	 C0:34	 C1:63	 C2:16	 T:22.40
0.81	 D0:12	 D1:135	 D2:69	 T:nan

1.02	 A0:19	 A1:190	 A2:54	 T:23.00
0.89	 B0:74	 B1:131	 B2:54	 T:nan
1.10	 C0:34	 C1:62	 C2:16	 T:22.40
0.89	 D0:12	 D1:134	 D2:69	 T:nan

1.10	 A0:19	 A1:189	 A2:55	 T:23.00
0.96	 B0:74	 B1:131	 B2:54	 T:nan
1.18	 C0:33	 C1:62	 C2:16	 T:22.40
0.96	 D0:12	 D1:134	 D2:69	 T:nan

1.17	 A0:19	 A1:190	 A2:55	 T:23.00
1.03	 B0:74	 B1:131	 B2:54	 T:nan
1.25	 C0:33	 C1:62	 C2:16	 T:22.40
1.03	 D0:12	 D1:134	 D2:69	 T:nan

1.25	 A0:20	 A1:190	 A2:55	 T:23.00
1.11	 B0:74	 B1:131	 B2:54	 T:nan
1.33	 C0:33	 C1:62	 C2:17	 T:22.40
1.11	 D0:12	 D1:134	 D2:69	 T:nan

1.33	 A0:19	 A1:190	 A2:55	 T:23.00
1.18	 B0:74	 B1:131	 B2:54	 T:nan
1.40	 C0:34	 C1:63	 C2:16	 T:22.40
1.18	 D0:12	 D1:135	 D2:68	 T:nan

1.40	 A0:19	 A1:190	 A2:54	 T:23.00
1.25	 B0:74	 B1:131	 B2:55	 T:nan
1.48	 C0:34	 C1:63	 C2:17	 T:22.40
1.25	 D0:12	 D1:134	 D2:69	 T:nan

1.48	 A0:20	 A1:190	 A2:54	 T:23.00
1.32	 B0:74	 B1:131	 B2:54	 T:nan
1.55	 C0:34	 C1:63	 C2:16	 T:22.40
1.32	 D0:12	 D1:134	 D2:69	 T:nan

1.56	 A0:20	 A1:190	 A2:54	 T:23.00
1.40	 B0:74	 B1:131	 B2:55	 T:nan
1.63	 C0:34	 C1:62	 C2:16	 T:22.40
1.40	 D0:12	 D1:134	 D2:69	 T:nan

1.63	 A0:20	 A1:190	 A2:54	 T:23.00
1.47	 B0:74	 B1:131	 B2:55	 T:nan
1.70	 C0:34	 C1:62	 C2:16	 T:22.40
1.47	 D0:12	 D1:134	 D2:68	 T:nan

1.71	 A0:20	 A1:189	 A2:54	 T:23.00
1.54	 B0:74	 B1:131	 B2:55	 T:nan
1.77	 C0:34	 C1:63	 C2:16	 T:22.40
1.54	 D0:12	 D1:134	 D2:69	 T:nan

1.79	 A0:20	 A1:189	 A2:54	 T:23.00
1.61	 B0:74	 B1:131	 B2:54	 T:nan
1.85	 C0:34	 C1:63	 C2:16	 T:22.40
1.61	 D0:13	 D1:134	 D2:69	 T:nan

1.86	 A0:19	 A1:190	 A2:55	 T:23.00
1.69	 B0:74	 B1:131	 B2:54	 T:nan
1.92	 C0:33	 C1:63	 C2:16	 T:22.40
1.69	 D0:12	 D1:134	 D2:69	 T:nan

1.94	 A0:19	 A1:189	 A2:55	 T:23.00
1.76	 B0:74	 B1:131	 B2:54	 T:nan
2.00	 C0:34	 C1:63	 C2:16	 T:22.40
1.76	 D0:12	 D1:134	 D2:69	 T:nan

2.03	 A0:19	 A1:190	 A2:54	 T:23.00
1.83	 B0:74	 B1:131	 B2:55	 T:nan
2.07	 C0:34	 C1:62	 C2:16	 T:22.40
1.83	 D0:12	 D1:134	 D2:69	 T:nan

2.10	 A0:20	 A1:190	 A2:54	 T:23.00
1.91	 B0:74	 B1:131	 B2:55	 T:nan
2.15	 C0:33	 C1:62	 C2:16	 T:22.40
1.91	 D0:12	 D1:134	 D2:69	 T:nan

2.17	 A0:19	 A1:190	 A2:54	 T:23.00
1.98	 B0:74	 B1:131	 B2:55	 T:nan
2.23	 C0:34	 C1:62	 C2:17	 T:22.40
1.98	 D0:12	 D1:134	 D2:69	 T:nan

2.25	 A0:20	 A1:190	 A2:55	 T:23.00
2.07	 B0:74	 B1:131	 B2:55	 T:nan
2.30	 C0:34	 C1:63	 C2:16	 T:22.40
2.07	 D0:12	 D1:134	 D2:69	 T:nan

2.33	 A0:20	 A1:189	 A2:54	 T:23.00
2.12	 B0:74	 B1:131	 B2:55	 T:nan
2.37	 C0:34	 C1:62	 C2:17	 T:22.40
2.12	 D0:12	 D1:134	 D2:69	 T:nan

2.40	 A0:19	 A1:190	 A2:54	 T:23.00
2.20	 B0:74	 B1:131	 B2:55	 T:nan
2.45	 C0:34	 C1:63	 C2:16	 T:22.40
2.20	 D0:12	 D1:134	 D2:69	 T:nan

2.48	 A0:20	 A1:190	 A2:54	 T:23.00
2.27	 B0:74	 B1:131	 B2:55	 T:nan
2.52	 C0:34	 C1:62	 C2:16	 T:22.40
2.27	 D0:12	 D1:134	 D2:69	 T:nan

2.56	 A0:19	 A1:190	 A2:54	 T:23.00
2.34	 B0:74	 B1:131	 B2:55	 T:nan
2.60	 C0:34	 C1:62	 C2:16	 T:22.40
2.34	 D0:12	 D1:134	 D2:69	 T:nan

2.63	 A0:19	 A1:190	 A2:54	 T:23.00
2.42	 B0:74	 B1:131	 B2:55	 T:nan
2.67	 C0:33	 C1:62	 C2:17	 T:22.40
2.42	 D0:12	 D1:134	 D2:69	 T:nan

2.71	 A0:19	 A1:190	 A2:54	 T:23.00
2.49	 B0:74	 B1:131	 B2:55	 T:nan
2.75	 C0:34	 C1:62	 C2:16	 T:22.40
2.49	 D0:12	 D1:135	 D2:69	 T:nan

2.79	 A0:20	 A1:190	 A2:54	 T:23.00
2.56	 B0:74	 B1:131	 B2:55	 T:nan
2.82	 C0:34	 C1:63	 C2:16	 T:22.40
2.56	 D0:12	 D1:134	 D2:69	 T:nan

2.86	 A0:20	 A1:190	 A2:55	 T:23.00
2.63	 B0:74	 B1:131	 B2:55	 T:nan
2.90	 C0:34	 C1:63	 C2:16	 T:22.40
2.63	 D0:12	 D1:134	 D2:69	 T:nan

2.94	 A0:20	 A1:190	 A2:54	 T:23.00
2.71	 B0:74	 B1:131	 B2:55	 T:nan
2.97	 C0:33	 C1:63	 C2:16	 T:22.40
2.71	 D0:12	 D1:134	 D2:69	 T:nan

3.02	 A0:19	 A1:190	 A2:54	 T:23.00
2.78	 B0:74	 B1:131	 B2:55	 T:nan
3.05	 C0:34	 C1:63	 C2:17	 T:22.40
2.78	 D0:12	 D1:134	 D2:69	 T:nan

3.10	 A0:19	 A1:190	 A2:54	 T:23.00
2.85	 B0:74	 B1:131	 B2:55	 T:nan
3.12	 C0:34	 C1:62	 C2:17	 T:22.40
2.85	 D0:12	 D1:134	 D2:69	 T:nan

3.17	 A0:19	 A1:190	 A2:54	 T:23.00
2.93	 B0:74	 B1:131	 B2:55	 T:nan
3.20	 C0:34	 C1:63	 C2:16	 T:22.40
2.93	 D0:12	 D1:134	 D2:69	 T:nan

3.25	 A0:19	 A1:190	 A2:54	 T:23.00
3.00	 B0:74	 B1:131	 B2:55	 T:nan
3.27	 C0:34	 C1:63	 C2:16	 T:22.40
3.00	 D0:12	 D1:134	 D2:69	 T:nan

3.33	 A0:20	 A1:190	 A2:54	 T:23.00
3.07	 B0:74	 B1:131	 B2:55	 T:nan
3.35	 C0:34	 C1:62	 C2:16	 T:22.40
3.07	 D0:12	 D1:134	 D2:69	 T:nan

3.40	 A0:20	 A1:190	 A2:54	 T:23.00
3.14	 B0:74	 B1:131	 B2:55	 T:nan
3.42	 C0:34	 C1:63	 C2:16	 T:22.40
3.14	 D0:12	 D1:135	 D2:69	 T:nan

3.48	 A0:20	 A1:190	 A2:54	 T:23.00
3.22	 B0:74	 B1:131	 B2:55	 T:nan
3.50	 C0:34	 C1:63	 C2:16	 T:22.40
3.22	 D0:12	 D1:134	 D2:69	 T:nan

3.56	 A0:19	 A1:190	 A2:54	 T:23.00
3.29	 B0:74	 B1:131	 B2:55	 T:nan
3.57	 C0:34	 C1:63	 C2:16	 T:22.40
3.29	 D0:12	 D1:134	 D2:69	 T:nan

3.63	 A0:20	 A1:190	 A2:54	 T:23.00
3.36	 B0:74	 B1:131	 B2:55	 T:nan
3.65	 C0:34	 C1:62	 C2:16	 T:22.40
3.36	 D0:13	 D1:134	 D2:69	 T:nan

3.71	 A0:19	 A1:190	 A2:54	 T:23.00
3.43	 B0:74	 B1:131	 B2:55	 T:nan
3.72	 C0:34	 C1:62	 C2:16	 T:22.40
3.43	 D0:12	 D1:134	 D2:69	 T:nan

3.79	 A0:20	 A1:189	 A2:54	 T:23.00
3.51	 B0:74	 B1:131	 B2:55	 T:nan
3.80	 C0:33	 C1:62	 C2:16	 T:22.40
3.51	 D0:12	 D1:134	 D2:69	 T:nan

3.86	 A0:19	 A1:189	 A2:54	 T:23.00
3.58	 B0:74	 B1:131	 B2:55	 T:nan
3.87	 C0:34	 C1:63	 C2:16	 T:22.40
3.58	 D0:12	 D1:134	 D2:69	 T:nan

3.94	 A0:19	 A1:190	 A2:54	 T:23.00
3.65	 B0:74	 B1:131	 B2:55	 T:nan
3.95	 C0:34	 C1:62	 C2:17	 T:22.40
3.65	 D0:12	 D1:134	 D2:69	 T:nan

4.03	 A0:20	 A1:190	 A2:54	 T:23.00
3.73	 B0:74	 B1:131	 B2:55	 T:nan
4.02	 C0:34	 C1:63	 C2:16	 T:22.30
3.73	 D0:12	 D1:134	 D2:69	 T:nan

4.09	 A0:20	 A1:189	 A2:54	 T:23.00
3.80	 B0:74	 B1:131	 B2:55	 T:nan
4.10	 C0:34	 C1:62	 C2:16	 T:22.30
3.80	 D0:12	 D1:134	 D2:69	 T:nan

4.17	 A0:20	 A1:190	 A2:54	 T:23.00
3.87	 B0:74	 B1:131	 B2:55	 T:nan
4.17	 C0:34	 C1:63	 C2:17	 T:22.30
3.87	 D0:12	 D1:134	 D2:69	 T:nan

4.25	 A0:19	 A1:190	 A2:54	 T:23.00
3.94	 B0:74	 B1:131	 B2:55	 T:nan
4.25	 C0:34	 C1:62	 C2:16	 T:22.30
3.94	 D0:12	 D1:135	 D2:69	 T:nan

4.32	 A0:19	 A1:190	 A2:54	 T:23.00
4.02	 B0:74	 B1:131	 B2:55	 T:nan
4.32	 C0:34	 C1:63	 C2:17	 T:22.30
4.02	 D0:12	 D1:134	 D2:69	 T:nan

4.40	 A0:20	 A1:190	 A2:54	 T:23.00
4.09	 B0:75	 B1:131	 B2:55	 T:nan
4.40	 C0:34	 C1:62	 C2:16	 T:22.30
4.09	 D0:12	 D1:134	 D2:69	 T:nan

4.48	 A0:19	 A1:190	 A2:54	 T:23.00
4.16	 B0:74	 B1:131	 B2:55	 T:nan
4.47	 C0:33	 C1:62	 C2:17	 T:22.30
4.16	 D0:12	 D1:134	 D2:69	 T:nan

4.56	 A0:19	 A1:190	 A2:54	 T:23.00
4.24	 B0:74	 B1:131	 B2:55	 T:nan
4.55	 C0:34	 C1:62	 C2:16	 T:22.30
4.24	 D0:12	 D1:134	 D2:69	 T:nan

4.63	 A0:19	 A1:190	 A2:54	 T:23.00
4.31	 B0:74	 B1:131	 B2:55	 T:nan
4.62	 C0:34	 C1:62	 C2:16	 T:22.30
4.31	 D0:12	 D1:134	 D2:69	 T:nan

4.71	 A0:20	 A1:189	 A2:54	 T:23.00
4.38	 B0:74	 B1:131	 B2:55	 T:nan
4.70	 C0:34	 C1:63	 C2:16	 T:22.30
4.38	 D0:12	 D1:134	 D2:69	 T:nan

4.79	 A0:20	 A1:190	 A2:54	 T:23.00
4.45	 B0:74	 B1:131	 B2:55	 T:nan
4.77	 C0:34	 C1:62	 C2:16	 T:22.30
4.45	 D0:12	 D1:134	 D2:69	 T:nan

4.86	 A0:20	 A1:190	 A2:54	 T:23.00
4.53	 B0:74	 B1:131	 B2:55	 T:nan
4.84	 C0:34	 C1:62	 C2:16	 T:22.30
4.53	 D0:12	 D1:134	 D2:69	 T:nan

4.94	 A0:19	 A1:190	 A2:54	 T:23.00
4.60	 B0:74	 B1:131	 B2:55	 T:nan
4.92	 C0:34	 C1:62	 C2:16	 T:22.30
4.60	 D0:12	 D1:134	 D2:69	 T:nan

5.02	 A0:19	 A1:190	 A2:54	 T:23.00
4.67	 B0:74	 B1:131	 B2:55	 T:nan
4.99	 C0:34	 C1:62	 C2:17	 T:22.30
4.67	 D0:12	 D1:134	 D2:69	 T:nan

5.09	 A0:19	 A1:190	 A2:54	 T:23.00
4.75	 B0:74	 B1:131	 B2:55	 T:nan
5.07	 C0:33	 C1:62	 C2:16	 T:22.30
4.75	 D0:13	 D1:134	 D2:69	 T:nan

5.17	 A0:20	 A1:190	 A2:54	 T:23.00
4.82	 B0:74	 B1:131	 B2:55	 T:nan
5.14	 C0:34	 C1:62	 C2:16	 T:22.30
4.82	 D0:12	 D1:134	 D2:69	 T:nan

5.25	 A0:19	 A1:190	 A2:54	 T:23.00
4.89	 B0:74	 B1:131	 B2:55	 T:nan
5.22	 C0:34	 C1:62	 C2:16	 T:22.30
4.89	 D0:12	 D1:134	 D2:69	 T:nan

5.32	 A0:20	 A1:190	 A2:54	 T:23.00
4.96	 B0:74	 B1:131	 B2:55	 T:nan
5.29	 C0:34	 C1:62	 C2:16	 T:22.30
4.96	 D0:12	 D1:134	 D2:69	 T:nan

5.40	 A0:19	 A1:190	 A2:54	 T:23.00
5.04	 B0:74	 B1:131	 B2:55	 T:nan
5.37	 C0:33	 C1:62	 C2:16	 T:22.30
5.04	 D0:12	 D1:134	 D2:69	 T:nan

5.48	 A0:19	 A1:190	 A2:55	 T:23.00
5.11	 B0:74	 B1:131	 B2:55	 T:nan
5.44	 C0:34	 C1:63	 C2:16	 T:22.30
5.11	 D0:12	 D1:134	 D2:69	 T:nan

5.56	 A0:20	 A1:190	 A2:54	 T:23.00
5.18	 B0:74	 B1:131	 B2:55	 T:nan
5.52	 C0:34	 C1:62	 C2:16	 T:22.30
5.18	 D0:12	 D1:134	 D2:69	 T:nan

5.63	 A0:20	 A1:190	 A2:55	 T:23.00
5.26	 B0:74	 B1:131	 B2:55	 T:nan
5.59	 C0:34	 C1:62	 C2:16	 T:22.30
5.26	 D0:12	 D1:134	 D2:69	 T:nan

5.71	 A0:19	 A1:190	 A2:54	 T:23.00
5.33	 B0:74	 B1:131	 B2:55	 T:nan
5.67	 C0:34	 C1:62	 C2:16	 T:22.30
5.33	 D0:12	 D1:134	 D2:69	 T:nan

5.79	 A0:19	 A1:190	 A2:54	 T:23.00
5.40	 B0:74	 B1:131	 B2:55	 T:nan
5.74	 C0:34	 C1:62	 C2:16	 T:22.30
5.40	 D0:12	 D1:134	 D2:69	 T:nan

5.86	 A0:19	 A1:189	 A2:54	 T:23.00
5.47	 B0:74	 B1:131	 B2:55	 T:nan
5.82	 C0:34	 C1:62	 C2:16	 T:22.30
5.47	 D0:12	 D1:134	 D2:69	 T:nan

5.94	 A0:20	 A1:190	 A2:54	 T:23.00
5.55	 B0:74	 B1:131	 B2:55	 T:nan
5.89	 C0:34	 C1:63	 C2:17	 T:22.30
5.55	 D0:12	 D1:134	 D2:69	 T:nan

6.03	 A0:19	 A1:190	 A2:54	 T:23.00
5.62	 B0:74	 B1:131	 B2:55	 T:nan
5.97	 C0:34	 C1:63	 C2:16	 T:22.30
5.62	 D0:12	 D1:134	 D2:69	 T:nan

6.09	 A0:19	 A1:189	 A2:55	 T:23.00
5.69	 B0:74	 B1:131	 B2:55	 T:nan
6.04	 C0:34	 C1:63	 C2:16	 T:22.40
5.69	 D0:12	 D1:134	 D2:69	 T:nan

6.17	 A0:20	 A1:189	 A2:54	 T:23.00
5.76	 B0:74	 B1:131	 B2:55	 T:nan
6.12	 C0:34	 C1:63	 C2:16	 T:22.40
5.76	 D0:12	 D1:134	 D2:69	 T:nan

6.25	 A0:19	 A1:190	 A2:54	 T:23.00
5.84	 B0:75	 B1:131	 B2:55	 T:nan
6.19	 C0:34	 C1:62	 C2:16	 T:22.40
5.84	 D0:12	 D1:134	 D2:69	 T:nan

6.32	 A0:20	 A1:190	 A2:54	 T:23.00
5.91	 B0:74	 B1:131	 B2:55	 T:nan
6.26	 C0:34	 C1:62	 C2:16	 T:22.40
5.91	 D0:12	 D1:134	 D2:69	 T:nan

6.40	 A0:20	 A1:189	 A2:54	 T:23.00
5.98	 B0:75	 B1:131	 B2:55	 T:nan
