0.03	 A0:23	 A1:59	 A2:79	 T:23.40
0.03	 B0:86	 B1:177	 B2:79	 T:nan
0.03	 D0:16	 D1:159	 D2:80	 T:nan
0.03	 C0:13	 C1:64	 C2:20	 T:22.80

0.06	 A0:23	 A1:22	 A2:79	 T:23.40
0.05	 B0:86	 B1:178	 B2:79	 T:nan
0.05	 D0:16	 D1:159	 D2:80	 T:nan
0.06	 C0:12	 C1:64	 C2:20	 T:22.80

0.13	 A0:23	 A1:42	 A2:79	 T:23.40
0.12	 B0:86	 B1:177	 B2:79	 T:nan
0.12	 D0:15	 D1:159	 D2:80	 T:nan
0.13	 C0:13	 C1:64	 C2:20	 T:22.80

0.20	 A0:23	 A1:25	 A2:79	 T:23.40
0.19	 B0:86	 B1:178	 B2:79	 T:nan
0.19	 D0:15	 D1:159	 D2:80	 T:nan
0.20	 C0:12	 C1:64	 C2:21	 T:22.80

0.28	 A0:24	 A1:42	 A2:79	 T:23.40
0.27	 B0:86	 B1:177	 B2:79	 T:nan
0.27	 D0:15	 D1:159	 D2:80	 T:nan
0.28	 C0:13	 C1:64	 C2:21	 T:22.80

0.35	 A0:23	 A1:25	 A2:79	 T:23.40
0.34	 B0:86	 B1:177	 B2:79	 T:nan
0.34	 D0:15	 D1:159	 D2:80	 T:nan
0.35	 C0:12	 C1:64	 C2:20	 T:22.80

0.43	 A0:24	 A1:42	 A2:79	 T:23.40
0.41	 B0:86	 B1:177	 B2:79	 T:nan
0.41	 D0:15	 D1:159	 D2:80	 T:nan
0.43	 C0:13	 C1:64	 C2:20	 T:22.80

0.50	 A0:23	 A1:25	 A2:79	 T:23.40
0.49	 B0:86	 B1:178	 B2:79	 T:nan
0.49	 D0:15	 D1:159	 D2:80	 T:nan
0.50	 C0:12	 C1:64	 C2:20	 T:22.80

0.58	 A0:23	 A1:42	 A2:79	 T:23.40
0.56	 B0:86	 B1:177	 B2:79	 T:nan
0.56	 D0:15	 D1:159	 D2:80	 T:nan
0.58	 C0:12	 C1:64	 C2:20	 T:22.80

0.65	 A0:23	 A1:25	 A2:79	 T:23.40
0.63	 B0:86	 B1:177	 B2:79	 T:nan
0.63	 D0:15	 D1:159	 D2:80	 T:nan
0.65	 C0:12	 C1:64	 C2:20	 T:22.80

0.73	 A0:23	 A1:42	 A2:79	 T:23.40
0.70	 B0:86	 B1:178	 B2:79	 T:nan
0.70	 D0:15	 D1:159	 D2:80	 T:nan
0.73	 C0:12	 C1:64	 C2:20	 T:22.80

0.80	 A0:24	 A1:25	 A2:79	 T:23.40
0.78	 B0:86	 B1:178	 B2:79	 T:nan
0.78	 D0:15	 D1:159	 D2:81	 T:nan
0.80	 C0:13	 C1:64	 C2:20	 T:22.80

0.88	 A0:23	 A1:42	 A2:79	 T:23.40
0.85	 B0:86	 B1:178	 B2:79	 T:nan
0.85	 D0:15	 D1:159	 D2:81	 T:nan
0.88	 C0:12	 C1:64	 C2:20	 T:22.80

0.95	 A0:23	 A1:24	 A2:79	 T:23.40
0.92	 B0:86	 B1:178	 B2:79	 T:nan
0.92	 D0:15	 D1:159	 D2:80	 T:nan
0.95	 C0:13	 C1:64	 C2:20	 T:22.80

1.03	 A0:23	 A1:42	 A2:79	 T:23.40
1.00	 B0:86	 B1:178	 B2:79	 T:nan
1.00	 D0:15	 D1:159	 D2:80	 T:nan
