Time,A0,A1,A2
0.00,354,610,438
0.01,348,609,437
0.02,346,608,436
0.03,347,621,456
0.07,343,608,437
0.10,354,611,443
0.13,341,611,440
0.16,356,609,437
0.19,343,626,452
0.22,350,609,437
0.25,362,614,446
0.28,344,612,440
0.32,337,610,438
0.35,347,621,449
0.38,342,610,436
0.41,345,618,451
0.44,337,611,438
0.47,360,611,438
0.50,335,616,443
0.53,351,609,436
0.57,344,593,452
0.60,344,610,437
0.63,369,612,441
0.66,353,613,441
0.69,368,610,437
0.72,356,627,453
0.75,348,610,437
0.78,350,615,446
0.81,352,612,439
0.85,338,610,438
0.88,344,620,447
0.91,347,610,436
0.94,349,619,426
0.97,352,611,438
1.00,369,611,440
1.03,343,615,442
1.06,352,609,436
1.10,340,606,457
1.13,331,610,437
1.16,355,614,444
1.19,341,612,440
1.22,338,610,438
1.25,343,619,447
1.28,358,609,437
1.31,359,620,437
1.35,345,611,437
1.38,361,612,440
1.41,352,613,441
1.44,366,609,437
1.47,345,627,455
1.50,340,609,437
1.53,353,613,444
1.56,347,612,440
1.60,364,610,437
1.63,349,624,452
1.66,348,609,437
1.69,361,615,447
1.72,347,611,439
1.75,343,610,438
1.78,347,617,447
1.81,350,608,436
1.85,351,616,424
1.88,345,609,438
1.91,365,610,440
1.94,342,613,442
1.97,355,608,436
2.00,344,628,455
2.03,349,609,437
2.06,356,614,446
2.10,345,611,439
2.13,368,610,438
2.16,345,616,444
2.19,347,609,437
2.22,350,613,459
2.25,347,610,437
2.28,358,614,445
2.31,346,612,439
2.34,365,611,438
2.38,347,615,445
2.41,352,607,436
2.44,348,594,459
2.47,345,608,437
2.50,356,611,444
2.53,343,610,440
2.56,353,608,438
2.59,346,616,446
2.63,350,607,437
2.66,350,596,457
2.69,347,608,437
2.72,366,611,443
2.75,347,610,440
2.78,332,608,438
2.81,348,617,446
2.84,349,607,437
2.87,351,605,451
2.91,339,608,437
2.94,357,610,442
2.97,339,611,441
3.00,348,607,438
3.03,353,621,449
3.06,355,607,437
3.09,354,616,429
3.12,348,608,438
3.16,372,609,440
3.19,348,612,442
3.22,361,607,437
3.25,351,625,453
3.28,350,608,437
3.31,356,615,448
3.34,347,609,439
3.37,370,609,439
3.40,347,613,442
3.44,356,608,437
3.47,348,625,454
3.50,348,608,436
3.53,354,615,447
3.56,344,610,438
3.59,362,610,440
3.62,341,613,442
3.65,358,609,437
3.69,351,625,451
3.72,354,609,436
3.75,357,618,420
3.78,342,610,438
3.81,358,612,443
3.84,351,612,440
3.87,362,610,438
3.90,352,617,444
3.94,359,610,437
3.97,355,629,455
4.00,353,610,437
4.03,358,617,447
4.06,352,609,438
4.09,371,610,442
4.12,352,612,440
4.15,344,609,438
4.19,353,617,446
4.22,358,608,437
4.25,356,612,458
4.28,352,609,437
4.31,363,614,447
4.34,348,612,439
4.37,368,611,439
4.40,344,615,442
4.43,358,608,437
4.47,350,625,453
4.50,350,607,437
4.53,355,615,449
4.56,347,609,438
