,time,A0,A1,A2
0,0.00,88,562,215
1,0.01,89,562,215
2,0.02,89,562,215
3,0.03,89,565,215
4,0.06,88,561,210
5,0.09,87,563,215
6,0.12,89,562,214
7,0.15,86,563,215
8,0.18,89,567,215
9,0.21,87,562,217
10,0.24,83,564,215
11,0.27,88,561,216
12,0.30,85,563,215
13,0.33,89,565,215
14,0.36,87,562,216
15,0.39,89,566,215
16,0.42,88,561,212
17,0.45,86,563,215
18,0.49,89,563,214
19,0.51,87,562,215
20,0.54,89,563,215
21,0.57,88,561,216
22,0.61,95,564,215
23,0.63,88,561,214
24,0.67,86,562,215
25,0.70,89,569,215
26,0.73,87,562,217
27,0.76,84,564,215
28,0.79,88,561,212
29,0.82,84,563,215
30,0.85,89,564,215
31,0.88,87,562,215
32,0.91,90,564,215
33,0.94,87,561,216
34,0.97,90,563,215
35,1.00,88,561,215
36,1.03,86,563,215
37,1.06,89,568,215
38,1.09,87,562,216
39,1.12,88,565,215
40,1.15,88,561,212
41,1.18,95,563,215
42,1.21,88,561,214
43,1.24,86,562,215
44,1.27,89,563,215
45,1.30,87,562,217
46,1.33,80,563,215
47,1.36,88,561,215
48,1.39,86,563,215
49,1.42,89,565,215
50,1.45,87,561,217
51,1.48,80,564,215
52,1.51,88,561,214
53,1.54,86,562,215
54,1.57,89,558,215
55,1.60,87,562,217
56,1.63,80,563,215
57,1.66,88,561,214
58,1.69,86,562,215
59,1.72,89,563,215
60,1.75,87,561,216
61,1.78,80,564,215
62,1.81,88,561,215
63,1.84,86,562,215
64,1.87,89,570,215
65,1.90,87,562,217
66,1.93,80,564,215
67,1.96,88,560,217
68,1.99,86,562,215
69,2.02,89,561,215
70,2.05,87,561,216
71,2.08,90,563,215
72,2.11,88,562,214
73,2.14,86,562,215
74,2.17,89,556,215
75,2.20,87,561,216
76,2.23,80,564,215
77,2.26,87,561,215
78,2.29,86,562,215
79,2.32,89,568,214
80,2.36,87,562,215
81,2.38,88,565,215
82,2.42,87,561,212
83,2.45,95,563,215
84,2.48,88,561,214
85,2.51,86,562,215
86,2.54,89,560,214
87,2.57,87,561,217
88,2.60,80,564,215
89,2.63,88,561,221
90,2.66,85,562,215
91,2.69,89,568,215
92,2.72,87,562,216
93,2.75,84,564,215
94,2.78,87,561,216
95,2.81,84,563,215
96,2.84,89,565,214
97,2.87,87,562,215
98,2.90,87,565,215
99,2.93,87,561,204
100,2.96,84,563,215
101,2.99,89,566,214
102,3.02,87,562,216
103,3.05,84,564,215
104,3.08,87,560,219
105,3.11,86,562,215
106,3.14,89,555,214
107,3.17,87,561,216
108,3.20,95,563,215
109,3.23,87,564,214
110,3.26,87,562,215
111,3.29,84,564,214
112,3.32,87,561,214
113,3.35,86,562,215
114,3.38,89,555,215
115,3.41,87,561,215
116,3.44,95,563,215
117,3.47,87,563,214
118,3.50,86,562,215
119,3.53,89,565,215
120,3.56,87,561,208
121,3.59,85,563,215
122,3.62,88,564,214
123,3.65,87,562,215
124,3.68,84,564,215
125,3.71,87,561,214
126,3.74,86,562,215
127,3.77,89,560,214
128,3.80,87,561,204
129,3.83,84,563,215
130,3.86,89,570,214
131,3.89,87,561,216
132,3.92,90,563,215
133,3.95,87,561,214
134,3.98,86,562,215
135,4.01,89,564,214
136,4.04,87,561,215
137,4.07,95,563,215
138,4.10,88,561,213
139,4.13,86,562,215
140,4.16,89,568,214
141,4.19,86,562,215
142,4.23,87,565,215
143,4.25,87,561,212
144,4.28,95,563,215
145,4.32,87,561,217
146,4.34,85,562,215
147,4.38,89,564,214
148,4.41,86,562,215
149,4.44,89,555,214
150,4.47,87,561,215
151,4.50,86,565,214
152,4.53,87,561,215
153,4.56,80,563,214
154,4.59,87,561,210
155,4.62,87,563,215
156,4.65,88,561,215
157,4.68,85,562,214
158,4.71,87,563,214
159,4.74,86,562,215
160,4.77,89,569,214
161,4.80,86,562,215
162,4.83,89,558,214
163,4.86,87,561,215
164,4.89,86,565,214
165,4.92,87,561,215
166,4.95,76,563,214
167,4.98,87,560,208
168,5.01,85,563,214
169,5.04,87,561,212
170,5.07,86,562,215
171,5.10,89,568,214
172,5.13,86,562,215
173,5.16,89,564,214
174,5.19,87,561,216
175,5.22,76,563,214
176,5.25,87,561,223
177,5.28,84,563,214
178,5.31,87,563,213
179,5.34,86,562,215
180,5.37,89,559,214
181,5.40,87,561,216
182,5.43,80,563,214
183,5.46,87,560,223
184,5.49,85,562,214
185,5.52,89,568,214
186,5.55,86,562,215
187,5.58,84,564,214
188,5.61,87,561,223
189,5.64,84,562,214
190,5.67,89,564,214
191,5.70,87,561,214
192,5.73,87,563,214
193,5.76,87,568,214
194,5.79,87,561,214
195,5.82,84,563,214
196,5.85,88,566,214
197,5.88,87,561,209
198,5.91,84,562,214
199,5.94,89,554,214
200,5.97,87,561,208
201,6.00,84,562,214
202,6.03,89,555,214
203,6.06,87,561,210
204,6.09,84,562,214
205,6.12,89,568,214
206,6.16,87,561,215
207,6.18,95,563,214
208,6.22,87,565,213
209,6.25,86,561,215
210,6.28,80,564,214
211,6.30,87,561,212
212,6.34,86,562,215
213,6.37,87,565,214
214,6.40,87,561,223
215,6.43,85,562,214
216,6.46,89,561,214
217,6.49,87,561,211
218,6.52,86,563,214
219,6.55,88,567,214
220,6.58,87,561,215
221,6.61,76,563,214
222,6.64,87,562,213
223,6.67,86,562,215
224,6.70,84,564,214
225,6.73,87,560,212
226,6.76,86,562,215
227,6.79,87,565,214
228,6.82,87,560,221
229,6.85,85,562,214
230,6.88,89,558,213
231,6.91,87,561,204
232,6.94,84,562,214
233,6.97,89,567,214
234,7.00,87,561,212
235,7.03,84,563,214
236,7.06,88,569,213
237,7.09,86,561,215
238,7.12,95,563,214
239,7.15,87,565,213
240,7.18,87,561,215
241,7.21,74,563,214
242,7.24,87,562,213
243,7.27,86,562,215
244,7.30,84,564,213
245,7.33,87,560,212
246,7.36,86,562,214
247,7.39,89,565,214
248,7.42,87,561,202
249,7.45,84,562,214
250,7.48,89,566,213
251,7.51,87,561,215
252,7.54,95,563,214
253,7.57,87,564,213
254,7.60,86,562,215
255,7.63,81,563,214
256,7.66,87,560,212
257,7.69,86,562,214
258,7.72,88,565,214
259,7.75,87,561,204
260,7.78,84,562,214
261,7.81,88,567,213
262,7.84,86,561,215
263,7.87,76,563,214
264,7.90,87,561,212
265,7.93,86,562,214
266,7.96,88,562,213
267,7.99,87,561,205
268,8.02,84,563,214
269,8.05,87,565,213
270,8.09,86,561,215
271,8.11,86,564,213
272,8.15,87,560,208
273,8.18,84,562,213
274,8.21,87,565,213
275,8.24,86,562,215
276,8.27,86,565,213
277,8.30,87,560,210
278,8.33,84,562,213
279,8.36,88,568,213
280,8.39,86,561,215
281,8.42,80,563,213
282,8.45,87,561,212
283,8.48,86,562,214
284,8.51,87,565,213
285,8.54,87,561,220
286,8.57,84,562,214
287,8.60,88,567,213
288,8.63,87,561,215
289,8.66,90,563,213
290,8.69,87,562,212
291,8.72,86,562,214
292,8.75,86,565,213
293,8.78,87,561,219
294,8.81,85,562,213
295,8.84,88,562,213
296,8.87,87,561,212
297,8.90,91,563,213
298,8.93,87,564,213
299,8.96,86,561,215
300,8.99,82,564,213
301,9.02,87,560,212
302,9.05,85,562,214
303,9.08,88,558,213
304,9.11,87,561,208
305,9.14,83,562,213
306,9.17,87,567,213
307,9.20,86,561,215
308,9.23,80,563,213
309,9.26,87,560,212
310,9.29,85,562,214
311,9.32,89,560,213
312,9.35,87,561,212
313,9.38,86,562,213
314,9.41,87,564,212
315,9.44,86,561,214
316,9.47,85,564,213
317,9.50,87,560,215
318,9.53,85,562,213
319,9.56,87,556,213
320,9.59,86,560,209
321,9.62,82,562,213
322,9.65,87,568,213
323,9.68,86,561,215
324,9.71,95,563,213
325,9.74,87,564,212
326,9.77,86,561,215
327,9.80,80,563,213
328,9.83,87,561,212
329,9.86,85,562,214
330,9.89,86,565,213
331,9.92,87,561,219
332,9.96,84,562,213
333,9.98,87,554,213
334,10.02,86,563,213
335,10.05,87,562,213
336,10.08,88,561,214
337,10.11,84,560,212
338,10.14,84,565,212
339,10.17,86,564,213
340,10.20,86,563,213
341,10.23,87,562,213
342,10.26,88,561,215
343,10.30,82,560,223
344,10.33,84,564,212
345,10.36,86,564,213
346,10.39,86,563,213
347,10.42,87,562,213
348,10.45,88,561,215
349,10.48,80,560,219
350,10.51,84,565,212
351,10.55,86,565,212
352,10.58,86,563,213
353,10.61,87,562,213
354,10.64,88,561,214
355,10.67,76,560,215
356,10.70,84,567,212
357,10.73,86,565,213
358,10.76,86,562,213
359,10.80,87,562,213
360,10.83,88,561,213
361,10.86,76,560,215
362,10.89,84,567,212
363,10.92,86,565,213
364,10.95,86,562,213
365,10.98,87,561,213
366,11.01,87,560,212
367,11.04,95,561,212
368,11.08,85,554,212
369,11.11,86,563,213
370,11.14,87,562,213
371,11.17,87,561,214
372,11.20,80,560,223
373,11.23,84,566,212
374,11.26,86,564,212
375,11.29,86,562,213
376,11.32,87,561,213
377,11.36,87,561,214
378,11.39,76,560,212
379,11.42,84,569,212
380,11.45,86,564,213
381,11.48,87,562,213
382,11.51,87,561,214
383,11.54,83,560,220
384,11.57,84,567,212
385,11.61,86,564,213
386,11.64,87,562,213
387,11.67,87,561,214
388,11.70,80,560,219
389,11.73,84,568,212
390,11.76,86,563,212
391,11.79,87,562,213
392,11.82,87,561,214
393,11.85,83,560,223
394,11.89,84,564,212
395,11.92,86,565,212
396,11.95,86,562,213
397,11.98,87,561,213
398,12.01,88,561,212
399,12.04,95,560,211
400,12.07,84,566,212
401,12.10,86,563,212
402,12.14,86,562,212
403,12.17,87,561,213
404,12.20,87,561,208
405,12.23,95,560,211
406,12.26,84,558,212
407,12.29,86,563,212
408,12.32,86,562,212
409,12.35,87,561,213
410,12.39,87,561,212
411,12.42,92,560,211
412,12.45,85,568,212
413,12.48,86,563,212
414,12.51,87,562,212
415,12.54,87,561,213
416,12.57,87,561,214
417,12.60,76,560,213
418,12.64,84,565,212
419,12.67,86,564,212
420,12.70,86,563,212
421,12.73,87,562,212
422,12.76,87,562,213
423,12.79,87,560,213
424,12.82,74,560,212
425,12.85,84,567,212
426,12.89,85,565,212
427,12.92,86,563,212
428,12.95,87,562,212
429,12.98,87,561,213
430,13.01,87,561,212
431,13.04,80,560,213
432,13.07,84,567,212
433,13.10,86,564,212
434,13.14,86,563,212
435,13.17,87,562,212
436,13.20,87,561,214
437,13.23,85,560,200
438,13.26,85,561,211
439,13.29,84,563,212
440,13.32,86,564,212
441,13.35,86,562,212
442,13.38,87,562,212
443,13.42,87,561,213
444,13.45,82,560,210
445,13.48,82,563,212
446,13.51,85,556,212
447,13.54,86,563,212
448,13.57,86,562,212
449,13.60,87,561,213
450,13.63,87,561,211
451,13.67,95,560,210
452,13.70,84,568,212
453,13.73,85,564,212
454,13.76,86,562,212
455,13.79,87,562,212
456,13.82,87,561,213
457,13.85,86,560,210
458,13.88,95,561,210
459,13.92,84,566,212
460,13.95,85,565,212
461,13.98,86,563,212
462,14.01,86,562,212
463,14.04,87,561,213
464,14.07,87,561,213
465,14.10,80,560,219
466,14.13,84,563,211
467,14.16,85,557,212
468,14.20,86,563,212
469,14.23,86,562,212
470,14.26,87,561,212
471,14.29,87,561,213
472,14.32,80,560,212
473,14.35,84,563,211
474,14.38,85,559,212
475,14.41,86,563,212
476,14.44,86,562,212
477,14.48,87,561,212
478,14.51,87,561,213
479,14.54,80,560,212
480,14.57,83,562,211
481,14.60,85,554,212
482,14.63,86,563,212
483,14.66,86,562,212
484,14.69,87,561,212
485,14.73,87,560,214
486,14.76,76,560,215
487,14.79,83,564,212
488,14.82,85,561,212
489,14.85,85,563,212
490,14.88,87,562,212
491,14.91,87,561,212
492,14.94,87,560,213
493,14.98,80,560,219
494,15.01,82,563,211
495,15.04,85,555,212
496,15.07,86,563,212
497,15.10,86,562,212
498,15.13,87,561,212
499,15.16,87,561,213
500,15.19,86,560,208
501,15.23,95,561,210
502,15.26,84,566,211
503,15.29,85,564,212
504,15.32,86,563,212
505,15.35,86,562,212
506,15.38,87,561,212
507,15.41,87,561,213
508,15.44,80,560,221
509,15.48,82,562,211
510,15.51,84,562,212
511,15.54,85,564,212
512,15.57,86,562,212
513,15.60,86,562,212
514,15.63,87,561,212
515,15.66,87,561,214
516,15.69,83,560,202
517,15.72,95,560,210
518,15.76,84,568,211
519,15.79,85,563,212
520,15.82,86,563,212
521,15.85,86,562,212
522,15.88,87,561,212
523,15.91,87,560,213
524,15.94,76,560,221
525,15.97,82,563,211
526,16.01,85,553,211
527,16.04,85,563,211
528,16.07,86,562,212
529,16.10,86,561,212
530,16.13,87,561,212
531,16.16,87,560,212
532,16.19,80,560,216
533,16.22,82,562,210
534,16.25,84,569,211
535,16.29,85,564,211
536,16.32,86,563,212
537,16.35,86,562,211
538,16.38,86,562,212
539,16.41,87,561,212
540,16.44,87,561,213
541,16.47,83,560,208
542,16.50,88,560,210
543,16.54,84,564,211
544,16.57,84,554,211
545,16.60,86,563,211
546,16.63,86,562,212
547,16.66,86,561,211
548,16.69,87,561,212
549,16.72,87,560,213
550,16.75,80,560,220
551,16.78,85,561,210
552,16.82,84,566,211
553,16.85,85,564,211
554,16.88,86,563,211
555,16.91,86,562,212
556,16.94,87,561,212
557,16.97,87,561,213
558,17.00,84,560,208
559,17.03,88,560,210
560,17.07,84,564,211
561,17.10,85,553,211
562,17.13,86,564,211
563,17.16,86,562,211
564,17.19,86,562,212
565,17.22,87,561,212
566,17.25,87,561,213
567,17.28,87,560,211
568,17.31,76,560,210
569,17.35,83,561,210
570,17.38,84,567,211
571,17.41,85,560,211
572,17.44,85,563,211
573,17.47,86,562,211
574,17.50,86,561,211
575,17.53,86,561,211
576,17.56,87,561,212
577,17.60,87,560,213
578,17.63,85,560,209
579,17.66,80,560,221
580,17.69,85,561,210
581,17.72,84,567,211
582,17.75,85,556,211
583,17.78,86,564,211
584,17.81,86,562,211
585,17.85,86,562,211
586,17.88,87,561,212
587,17.91,87,561,212
588,17.94,87,560,212
589,17.97,80,560,202
590,18.00,91,561,210
591,18.03,84,565,211
592,18.06,85,557,211
593,18.10,85,563,211
594,18.13,86,562,211
595,18.16,86,562,211
596,18.19,86,561,212
597,18.22,87,560,213
598,18.25,82,560,204
599,18.28,95,560,210
600,18.31,84,566,211
601,18.34,85,562,211
602,18.38,85,563,211
603,18.41,86,562,211
604,18.44,86,561,211
605,18.47,87,561,212
606,18.50,87,560,212
607,18.53,74,560,215
608,18.56,82,562,210
609,18.59,84,559,211
610,18.63,85,564,211
611,18.66,86,562,211
612,18.69,86,561,211
613,18.72,86,561,212
614,18.75,87,560,212
615,18.78,76,560,219
616,18.81,82,564,210
617,18.84,85,558,211
618,18.88,86,563,211
619,18.91,86,562,211
