Time,A0,A1,A2
0.00,293,595,433
0.01,288,594,431
0.02,285,593,431
0.03,287,577,424
0.07,281,595,434
0.10,264,594,432
0.13,286,577,454
0.16,282,596,435
0.19,260,594,433
0.22,287,615,455
0.25,284,596,436
0.28,293,595,434
0.32,289,576,454
0.35,285,597,436
0.38,280,595,434
0.41,289,592,440
0.44,284,597,436
0.47,266,595,434
0.50,291,586,446
0.53,286,598,437
0.57,301,596,435
0.60,292,585,416
0.63,287,599,438
0.66,303,596,435
0.69,294,608,435
0.72,288,599,440
0.75,304,596,436
0.78,297,607,452
0.81,289,601,441
0.85,300,597,436
0.88,300,605,448
0.91,290,603,444
0.94,299,598,438
0.97,310,602,443
1.00,294,614,459
1.03,292,601,442
1.06,306,599,438
1.10,310,600,438
1.13,297,604,449
1.16,292,610,458
1.19,292,603,449
1.22,293,602,445
1.25,295,603,444
1.28,295,601,443
1.31,295,600,444
1.35,295,601,445
1.38,294,603,450
1.41,295,607,460
1.44,296,617,447
1.47,298,608,445
1.50,303,602,441
1.53,313,600,440
1.56,278,599,441
1.60,302,600,444
1.63,297,603,452
1.66,297,611,423
1.69,300,609,444
1.72,307,602,442
1.75,325,600,442
1.78,309,601,445
1.81,301,603,451
1.85,300,609,455
1.88,302,612,447
1.91,309,603,443
1.94,307,601,444
1.97,303,603,451
2.00,301,613,443
2.03,306,606,444
2.06,326,601,444
2.10,305,604,453
2.13,302,622,452
2.16,311,603,444
2.19,315,603,448
2.22,302,611,440
2.25,308,605,444
2.28,305,603,447
2.31,303,609,458
2.34,307,607,446
2.38,305,603,448
2.41,306,608,468
2.44,308,610,447
2.47,330,603,446
2.50,307,606,457
2.53,306,602,451
2.56,317,604,446
2.59,316,604,450
2.63,306,612,432
2.66,311,608,447
2.69,330,604,448
2.72,309,606,456
2.75,307,622,458
2.78,315,606,448
2.81,322,604,449
2.84,310,607,458
2.87,308,622,459
2.91,314,607,447
2.94,333,603,446
2.97,311,605,452
3.00,307,611,466
3.03,308,614,450
3.06,317,605,446
3.09,302,603,447
3.12,312,605,451
3.16,307,609,465
3.19,308,622,455
3.22,314,607,448
3.25,333,604,447
3.28,316,605,451
3.31,308,609,468
3.34,310,608,451
3.37,319,605,447
3.40,326,604,450
3.44,311,607,460
3.47,310,622,458
3.50,316,607,448
3.53,337,605,449
3.56,316,606,453
3.59,311,611,472
3.62,313,603,453
3.65,321,607,449
3.69,291,606,450
3.72,314,607,458
3.75,312,617,461
3.78,317,611,451
3.81,331,605,450
3.84,325,605,453
3.87,314,608,463
3.90,314,621,460
3.94,318,611,452
3.97,328,606,450
4.00,302,605,451
4.03,318,606,455
4.06,314,610,467
4.09,315,623,464
4.12,318,612,453
4.15,326,606,451
4.19,339,605,451
4.22,323,606,454
4.25,316,607,459
4.28,314,613,470
4.31,315,601,460
4.34,319,611,453
4.37,325,606,450
4.40,338,605,450
4.43,319,605,451
4.47,322,606,454
4.50,318,608,457
4.53,316,610,464
4.56,316,614,475
4.59,317,625,466
4.62,319,616,456
4.65,322,609,452
4.68,328,606,451
4.72,341,605,451
4.75,310,605,452
4.78,323,605,454
4.81,319,607,458
4.84,317,610,469
4.87,318,621,448
4.90,320,616,456
4.93,325,607,453
4.97,340,606,452
5.00,335,605,453
5.03,321,606,457
5.06,318,610,469
5.09,319,622,463
5.12,320,612,453
5.15,326,606,450
5.18,341,604,451
5.22,330,604,452
5.25,320,606,456
5.28,317,608,463
5.31,317,615,467
5.34,318,607,460
5.37,321,611,453
5.40,325,606,451
5.43,335,605,450
5.46,325,605,451
5.50,330,604,452
5.53,322,605,453
5.56,319,606,456
5.59,318,607,460
5.62,318,610,468
5.65,318,614,474
5.68,318,620,442
5.71,320,625,467
5.75,321,591,462
5.78,322,616,458
5.81,323,614,457
5.84,325,611,455
5.87,327,609,454
5.90,331,608,453
5.93,337,607,453
5.96,346,606,454
5.99,348,606,454
6.03,314,606,454
6.06,339,606,454
6.09,334,607,455
6.12,331,607,457
6.15,329,608,457
6.18,328,608,457
6.21,328,608,457
6.24,330,609,457
6.28,331,613,457
6.31,332,612,457
6.34,333,613,457
6.37,336,613,456
6.40,338,612,456
6.43,342,611,456
