Time,B0,B1,B2
0.00,661,589,542
0.01,658,608,538
0.02,657,606,529
0.03,658,608,527
0.07,667,606,527
0.10,658,608,532
0.13,656,614,540
0.16,658,609,527
0.19,644,606,527
0.22,657,610,540
0.25,656,612,531
0.28,662,607,527
0.32,660,607,534
0.35,659,619,533
0.38,660,607,526
0.41,661,607,534
0.44,657,618,535
0.47,661,606,524
0.50,658,607,533
0.53,656,615,527
0.57,667,604,526
0.60,656,608,541
0.63,657,607,525
0.66,664,606,527
0.69,656,614,536
0.72,658,606,525
0.75,660,606,529
0.78,655,620,530
0.81,658,605,525
0.85,656,606,532
0.88,654,588,528
0.91,660,605,525
0.94,659,608,533
0.97,657,602,528
1.00,661,606,525
1.03,656,608,532
1.06,654,591,529
1.10,658,607,525
1.13,656,608,531
1.16,653,623,532
1.19,655,608,525
1.22,657,607,528
1.25,651,614,518
1.28,649,610,525
1.31,651,606,526
1.35,656,606,538
1.38,657,612,527
1.41,663,607,525
1.44,659,609,531
1.47,657,619,531
1.50,660,605,525
1.53,664,604,528
1.56,658,607,544
1.60,659,609,526
1.63,666,605,525
1.66,660,606,529
1.69,657,612,527
1.72,659,605,525
1.75,668,602,525
1.78,659,602,532
1.81,657,612,536
1.85,659,605,526
1.88,670,602,525
1.91,660,604,533
1.94,658,608,524
1.97,659,605,526
2.00,665,602,525
2.03,662,604,528
2.06,657,606,543
2.10,658,588,530
2.13,660,602,525
2.16,673,600,526
2.19,659,603,535
2.22,657,606,530
2.25,658,606,528
2.28,661,600,525
2.31,652,598,525
2.34,657,599,533
2.38,656,605,548
2.41,656,600,529
2.44,659,600,525
2.47,667,599,525
2.50,661,599,528
2.53,657,602,534
2.56,656,609,521
2.59,657,609,528
2.63,659,602,525
2.66,666,600,525
2.69,661,601,527
2.72,657,603,534
2.75,656,607,547
2.78,656,590,535
2.81,656,603,527
2.84,661,601,526
2.87,643,602,526
2.91,658,603,529
2.94,655,606,538
2.97,654,616,539
3.00,655,610,532
3.03,659,608,526
3.06,650,606,526
3.09,657,607,528
3.12,654,610,539
3.16,654,617,538
3.19,655,609,527
3.22,659,606,526
3.25,660,605,526
3.28,655,600,534
3.31,652,606,513
3.34,652,607,532
3.37,655,602,526
3.40,655,601,526
3.44,653,602,530
3.47,651,604,539
3.50,648,623,538
3.53,650,608,526
3.56,654,601,526
3.59,654,603,525
3.62,652,603,533
3.65,648,610,541
3.69,648,623,538
3.72,654,609,527
3.75,655,602,525
3.78,639,603,525
3.81,652,604,529
3.84,647,604,534
3.87,647,615,525
3.90,648,611,528
3.94,649,604,525
3.97,660,602,525
4.00,653,602,527
4.03,648,603,531
4.06,648,606,541
4.09,647,617,537
4.12,649,607,528
4.15,652,603,526
4.19,660,601,524
4.22,657,601,526
