,time,A0,A1,A2
0,0.00,499,522,240
1,0.01,499,522,240
2,0.02,505,522,240
3,0.03,504,522,247
4,0.07,501,520,240
5,0.10,500,523,240
6,0.13,500,522,240
7,0.16,501,528,240
8,0.19,500,523,240
9,0.22,499,522,242
10,0.25,502,525,240
11,0.28,500,524,240
12,0.32,499,522,242
13,0.35,502,522,240
14,0.38,500,524,240
15,0.41,499,523,240
16,0.44,498,522,240
17,0.47,501,526,240
18,0.50,500,523,239
19,0.53,503,522,246
20,0.57,501,528,240
21,0.60,500,523,240
22,0.63,500,522,236
23,0.66,501,528,240
24,0.69,500,523,240
25,0.72,499,522,242
26,0.75,502,525,240
27,0.78,500,524,239
28,0.81,500,523,241
29,0.85,503,523,240
30,0.88,501,524,239
31,0.91,499,523,240
32,0.94,494,521,238
33,0.97,501,525,239
34,1.00,500,523,239
35,1.03,505,522,243
36,1.06,501,518,239
37,1.10,500,523,239
38,1.13,501,522,237
39,1.16,502,525,239
40,1.19,501,524,239
41,1.22,500,523,240
42,1.25,492,522,238
43,1.28,501,526,239
44,1.31,500,523,239
45,1.35,504,522,247
46,1.38,502,528,239
47,1.41,501,523,239
48,1.44,500,522,240
49,1.47,503,524,239
50,1.50,501,524,239
51,1.53,500,523,239
52,1.56,496,522,238
53,1.60,501,525,239
54,1.63,500,523,239
55,1.66,505,522,247
56,1.69,502,521,238
57,1.72,501,523,239
58,1.75,500,522,241
59,1.78,503,523,238
60,1.81,501,525,238
61,1.85,500,523,239
62,1.88,503,522,230
63,1.91,502,528,238
64,1.94,501,524,238
65,1.97,500,523,239
66,2.00,493,522,238
67,2.03,502,524,238
68,2.06,501,523,238
69,2.10,501,522,232
70,2.13,502,528,238
71,2.16,501,524,238
72,2.19,500,522,240
73,2.22,504,523,238
74,2.25,501,524,238
75,2.28,500,523,239
76,2.31,498,522,238
77,2.34,502,525,238
78,2.38,500,523,238
79,2.41,506,522,243
80,2.44,502,522,238
81,2.47,501,523,238
82,2.50,503,522,228
83,2.53,502,526,238
84,2.56,501,523,238
85,2.59,501,522,233
86,2.63,503,528,238
87,2.66,501,523,238
88,2.69,500,522,238
89,2.72,503,526,238
90,2.75,501,524,238
91,2.78,500,522,240
92,2.81,503,527,238
93,2.84,501,523,238
94,2.87,501,522,234
95,2.91,502,526,238
96,2.94,501,523,238
97,2.97,506,522,237
98,3.00,502,525,238
99,3.03,500,523,239
100,3.06,504,523,238
101,3.09,501,523,237
102,3.12,501,522,236
103,3.16,502,520,237
104,3.19,501,523,238
105,3.22,504,523,237
106,3.25,501,523,237
107,3.28,505,522,236
108,3.31,502,524,237
109,3.34,501,522,228
110,3.37,502,526,237
111,3.40,500,522,239
112,3.44,502,517,237
113,3.47,501,523,239
114,3.50,503,528,237
115,3.53,501,523,239
116,3.56,503,529,237
117,3.59,501,523,239
118,3.62,503,528,237
119,3.65,501,523,239
120,3.69,502,519,237
121,3.72,501,523,239
122,3.75,502,517,237
123,3.78,500,523,238
124,3.81,502,516,237
125,3.84,500,522,238
126,3.87,502,525,237
127,3.90,500,522,237
128,3.94,502,526,237
129,3.97,500,522,228
130,4.00,502,525,236
131,4.03,501,522,243
132,4.06,502,524,237
133,4.09,503,522,236
134,4.12,501,524,236
135,4.15,507,522,236
136,4.19,501,523,237
137,4.22,501,524,236
138,4.25,501,523,238
139,4.28,503,522,236
140,4.31,501,523,234
141,4.34,502,525,236
142,4.37,502,522,236
143,4.40,502,523,237
144,4.43,494,522,236
145,4.47,501,523,237
146,4.50,503,529,236
147,4.53,501,522,237
148,4.56,502,525,236
149,4.59,501,522,245
150,4.62,502,524,237
151,4.65,504,522,236
152,4.68,502,523,236
153,4.72,505,522,236
154,4.75,501,523,237
155,4.78,503,523,236
156,4.81,501,523,237
157,4.84,504,525,236
158,4.87,501,523,237
159,4.90,504,527,236
160,4.93,501,523,237
161,4.97,503,528,236
162,5.00,501,523,238
163,5.03,503,527,236
164,5.06,501,523,238
165,5.09,503,514,236
166,5.12,501,523,237
167,5.15,503,525,236
168,5.18,501,522,234
169,5.22,503,525,236
170,5.25,501,522,240
171,5.28,503,524,236
172,5.31,502,522,236
173,5.34,502,524,236
174,5.37,504,522,235
175,5.40,502,524,236
176,5.43,505,522,236
177,5.46,502,524,236
178,5.50,507,522,236
179,5.53,502,524,236
