Time,B0,B1,B2
0.00,583,533,456
0.01,590,542,456
0.02,597,531,448
0.03,594,525,449
0.07,580,526,446
0.10,596,525,448
0.13,580,527,447
0.16,597,525,447
0.19,581,528,448
0.22,599,525,447
0.25,581,528,448
0.28,597,525,447
0.32,581,529,449
0.35,587,525,448
0.38,581,530,449
0.41,581,525,448
0.44,582,530,449
0.47,595,526,448
0.50,582,530,450
0.53,595,526,448
0.57,583,531,450
0.60,589,526,449
0.63,583,530,450
0.66,586,527,449
0.69,584,530,450
0.72,602,527,450
0.75,584,530,450
0.78,601,527,451
0.81,584,530,450
0.85,599,528,452
0.88,584,529,450
0.91,598,529,454
0.94,585,529,449
0.97,596,530,455
1.00,585,529,449
1.03,595,530,456
1.06,585,529,450
1.10,595,531,457
1.13,586,529,450
1.16,595,532,459
1.19,586,529,450
1.22,594,533,461
1.25,586,529,450
1.28,593,533,462
1.31,587,529,451
1.35,594,533,460
1.38,587,530,451
1.41,598,531,455
1.44,587,532,453
1.47,605,529,452
1.50,588,536,456
1.53,596,529,450
1.56,590,547,467
1.60,590,529,450
1.63,592,539,444
1.66,588,531,452
1.69,600,532,456
1.72,588,533,455
1.75,573,530,452
1.78,589,541,460
1.81,594,529,451
1.85,591,543,472
1.88,590,530,451
1.91,594,537,465
1.94,589,532,453
1.97,603,532,455
2.00,589,536,456
2.03,598,530,452
2.06,590,544,463
2.10,594,530,452
2.13,592,527,472
2.16,591,531,452
2.19,595,538,466
2.22,590,532,453
2.25,601,533,458
2.28,590,534,455
2.31,599,531,454
2.34,591,538,458
2.38,600,532,453
2.41,592,545,463
2.44,595,531,452
2.47,593,530,472
2.50,593,531,453
2.53,595,542,440
2.56,593,533,453
2.59,599,536,462
2.63,591,534,455
2.66,607,533,456
2.69,592,536,457
2.72,579,532,454
2.75,592,541,461
2.78,600,532,454
2.81,593,549,467
2.84,595,532,454
2.87,595,526,472
2.91,594,532,454
2.94,596,545,464
2.97,593,532,454
3.00,598,541,448
3.03,594,533,455
3.06,599,538,466
3.09,593,534,455
3.12,602,536,462
3.16,593,535,456
3.19,605,535,460
3.22,593,535,457
3.25,607,535,459
3.28,593,536,457
3.31,608,535,459
3.34,593,536,458
3.37,611,535,459
3.40,594,538,459
3.44,579,534,457
3.47,595,541,462
3.50,603,534,456
3.53,596,550,468
3.56,598,534,456
3.59,597,532,475
3.62,596,534,456
3.65,599,545,444
3.69,595,535,457
3.72,602,540,469
3.75,595,536,458
3.78,606,537,462
3.81,595,537,460
3.84,613,536,459
3.87,595,540,461
3.90,590,535,458
3.94,596,543,464
3.97,604,534,457
4.00,596,550,467
4.03,600,534,457
4.06,598,554,473
4.09,598,535,457
4.12,599,532,478
4.15,597,535,457
4.19,600,544,439
4.22,596,535,457
4.25,602,540,469
4.28,595,537,459
4.31,606,539,465
4.34,596,539,459
4.37,610,536,461
4.40,595,538,460
4.43,608,536,459
4.47,596,542,462
4.50,589,536,459
4.53,597,545,465
4.56,606,536,458
4.59,598,550,468
4.62,603,535,457
4.65,598,553,470
4.68,601,536,458
4.72,599,556,475
4.75,600,536,458
4.78,600,517,476
4.81,598,535,457
4.84,600,547,452
4.87,597,537,458
4.90,604,542,470
4.93,598,539,460
4.97,610,539,464
5.00,597,540,462
5.03,617,537,460
5.06,598,544,464
5.09,608,537,459
5.12,599,550,469
5.15,603,538,459
5.18,600,556,478
5.22,600,537,459
5.25,602,547,452
5.28,598,537,459
5.31,606,541,467
5.34,597,539,462
5.37,614,539,463
5.40,599,543,464
5.43,588,539,461
5.46,599,548,468
5.50,604,537,460
5.53,601,553,477
5.56,601,538,461
5.59,603,548,467
5.62,599,538,460
5.65,605,543,470
5.68,598,539,462
5.71,610,540,465
5.75,598,541,462
5.78,615,538,462
5.81,599,543,465
5.84,604,538,462
5.87,600,547,468
5.90,608,538,461
5.93,601,552,472
5.96,605,538,461
5.99,602,556,477
6.03,603,539,461
6.06,603,526,483
6.09,602,539,461
6.12,604,548,460
6.15,601,540,462
6.18,606,547,475
6.21,600,539,462
6.24,607,543,470
6.28,601,540,462
6.31,612,541,466
6.34,600,541,464
6.37,617,540,464
6.40,600,543,465
6.43,617,539,463
6.46,600,544,466
6.49,602,540,463
6.52,600,547,468
6.56,610,540,462
6.59,601,552,472
6.62,606,539,463
6.65,602,558,478
6.68,603,539,462
6.71,603,542,483
6.74,603,541,463
6.77,606,549,464
6.80,602,541,464
6.84,612,544,471
6.87,602,543,466
6.90,618,542,467
6.93,602,545,467
6.96,595,540,464
6.99,601,546,467
7.02,613,539,463
7.05,602,550,471
7.09,609,540,463
7.12,603,555,473
7.15,606,539,463
7.18,604,557,478
7.21,605,540,463
7.24,605,541,485
7.27,604,541,464
7.30,606,552,446
7.34,604,543,464
7.37,609,547,475
7.40,603,544,466
7.43,615,544,470
7.46,604,546,467
7.49,617,543,467
7.52,603,548,470
7.55,608,542,466
7.59,606,555,475
7.62,609,542,465
7.65,606,524,488
7.68,605,543,466
7.71,612,550,477
7.74,604,546,468
7.77,623,544,468
7.80,605,553,475
7.84,610,543,467
7.87,608,553,475
7.90,605,545,467
7.93,617,546,471
7.96,605,550,473
7.99,615,543,467
8.02,607,558,486
8.05,606,544,467
8.09,612,549,476
8.12,605,547,470
8.15,589,544,468
8.18,606,555,477
8.21,611,544,467
8.24,608,549,460
8.27,606,545,469
8.30,616,547,472
8.33,605,549,472
8.37,618,544,468
8.40,607,563,484
8.43,607,545,467
8.46,611,551,479
8.49,607,547,470
8.52,589,545,468
8.55,607,565,486
8.58,607,545,469
8.61,617,547,471
8.65,606,554,477
8.68,609,546,467
8.71,612,550,475
8.74,606,549,472
8.77,613,544,467
8.80,609,555,478
8.83,607,547,470
8.86,595,545,469
8.90,607,560,488
8.93,607,547,468
8.96,620,547,472
8.99,607,555,477
9.02,610,545,468
9.05,612,552,477
9.08,607,550,473
9.11,618,545,468
9.15,609,532,489
9.18,608,547,469
9.21,623,547,470
9.24,608,557,479
9.27,610,546,468
9.30,612,553,478
9.33,607,550,472
9.36,618,546,468
9.40,610,565,488
9.43,608,547,469
9.46,620,547,470
9.49,607,556,476
9.52,610,544,467
9.55,612,553,479
9.58,606,548,470
9.61,593,545,467
9.65,608,565,486
9.68,608,546,468
9.71,616,548,472
9.74,607,552,473
9.77,615,546,468
9.80,610,527,479
9.83,608,548,470
9.86,621,547,470
9.89,609,554,475
9.93,612,545,467
9.96,611,557,454
9.99,607,549,470
10.02,623,560,480
10.05,610,551,477
10.08,607,546,468
10.12,609,548,468
10.15,618,555,476
10.18,614,555,481
10.21,607,546,469
10.25,608,546,468
10.28,616,553,474
10.31,615,558,463
10.34,609,546,469
10.37,608,546,468
