Time,C0,C1,C2
0.00,495,613,471
0.01,494,613,474
0.02,496,619,486
0.03,502,613,474
0.07,495,613,472
0.10,496,620,475
0.13,509,615,479
0.16,496,613,473
0.19,496,617,475
0.22,503,619,465
0.25,498,614,474
0.28,496,616,474
0.32,499,607,483
0.35,504,615,476
0.38,496,615,474
0.41,497,621,477
0.44,509,617,481
0.47,498,615,475
0.50,496,617,475
0.53,501,615,486
0.57,502,616,476
0.60,497,616,475
0.63,499,627,480
0.66,498,617,480
0.69,497,616,476
0.72,499,621,479
0.75,510,618,484
0.78,499,617,476
0.81,498,620,479
0.85,507,620,469
0.88,500,617,477
0.91,499,620,479
0.94,506,621,472
0.97,500,618,478
1.00,499,621,480
1.03,509,620,487
1.06,500,618,478
1.10,500,622,481
1.13,511,621,487
1.16,500,619,479
1.19,500,621,481
1.22,507,623,487
1.25,502,619,480
1.28,500,620,480
1.31,503,629,488
1.35,503,620,483
1.38,500,620,480
1.41,501,623,482
1.44,508,624,482
1.47,504,620,481
1.50,500,621,481
1.53,503,630,485
1.56,514,622,490
1.60,502,621,481
1.63,501,622,482
1.66,504,633,488
1.69,498,622,486
1.72,502,621,482
1.75,502,623,483
1.78,506,609,491
1.81,506,622,486
1.85,502,622,483
1.88,502,624,484
1.91,506,621,493
1.94,507,623,486
1.97,502,622,483
2.00,502,624,485
2.03,507,626,494
2.06,510,623,487
2.10,503,623,484
2.13,503,625,486
2.16,508,629,497
2.19,509,623,486
2.22,503,623,485
2.25,503,627,487
2.28,510,628,497
2.31,507,623,486
2.34,503,624,485
2.38,505,632,489
2.41,517,625,493
2.44,504,624,486
2.47,503,626,487
2.50,508,631,500
2.53,508,624,487
2.56,503,625,486
2.59,505,636,491
2.63,492,626,491
2.66,504,625,487
2.69,504,628,489
2.72,512,628,481
2.75,505,625,487
2.78,504,627,488
2.81,508,632,500
2.84,507,625,488
2.87,504,627,488
2.91,508,632,500
2.94,508,626,489
2.97,504,627,489
3.00,508,619,499
3.03,509,626,490
3.06,504,627,489
3.09,507,615,499
3.12,510,627,490
3.16,504,628,489
3.19,507,618,498
3.22,511,627,491
3.25,504,628,490
3.28,507,638,496
3.31,511,628,492
3.34,505,628,490
3.37,506,635,494
3.40,500,629,495
3.44,505,628,490
3.47,506,633,494
3.50,519,629,496
3.53,505,628,491
3.56,506,633,494
3.59,519,630,496
3.62,505,628,491
3.65,506,635,495
3.69,515,630,496
3.72,505,629,492
3.75,506,637,496
3.78,501,630,495
3.81,505,630,492
3.84,507,641,498
3.87,512,630,494
3.90,505,630,493
3.94,508,618,502
3.97,510,630,494
4.00,505,631,493
4.03,508,636,506
4.06,508,630,494
4.09,505,632,494
4.12,510,635,504
4.15,506,630,494
4.19,505,633,496
4.22,512,634,492
4.25,505,630,494
4.28,504,633,496
4.31,512,634,494
4.34,505,631,494
4.37,503,633,496
4.40,508,637,509
4.43,504,631,496
4.47,500,632,495
4.50,502,621,504
4.53,505,632,497
4.56,496,632,495
4.59,491,640,499
4.62,500,633,501
4.65,487,632,495
4.68,486,635,497
4.72,494,636,487
4.75,488,632,496
4.78,486,633,496
4.81,490,632,503
4.84,493,633,499
4.87,486,632,496
4.90,487,636,498
4.93,494,636,502
4.97,487,633,497
5.00,483,634,497
5.03,485,645,502
5.06,489,634,502
5.09,487,633,497
5.12,488,635,498
5.15,492,638,508
5.18,494,633,500
5.22,487,634,498
5.25,487,637,500
5.28,494,639,512
5.31,491,634,499
5.34,486,634,498
5.37,486,639,501
5.40,496,636,493
5.43,487,634,498
5.46,485,635,499
5.50,489,643,506
5.53,490,635,501
5.56,485,634,499
5.59,486,638,501
5.62,496,637,507
5.65,484,634,499
5.68,483,636,500
5.71,489,640,514
5.75,488,635,500
5.78,484,636,500
5.81,489,641,514
5.84,487,635,500
5.87,483,637,501
5.90,489,637,513
5.93,489,636,501
5.96,485,637,501
5.99,489,625,509
6.03,492,636,502
6.06,487,637,501
6.09,487,647,505
6.12,472,637,504
6.15,482,637,501
6.18,482,641,504
6.21,498,639,509
6.24,486,636,501
6.28,489,639,503
6.31,494,643,515
6.34,490,637,502
6.37,485,638,502
6.40,484,649,507
6.43,478,638,506
6.46,486,637,502
6.49,484,640,504
6.52,493,642,515
6.56,484,637,503
6.59,483,638,502
6.62,486,648,507
6.65,482,639,508
6.68,486,638,503
6.71,485,640,504
6.74,488,640,514
6.77,490,638,505
6.80,483,639,503
6.84,485,642,505
6.87,494,642,490
6.90,486,638,504
6.93,483,639,504
6.96,486,650,508
6.99,492,640,510
7.02,484,639,504
7.05,483,641,505
7.09,488,637,514
7.12,492,639,506
7.15,485,639,504
7.18,488,643,507
7.21,497,643,492
7.24,488,639,505
7.27,485,640,505
7.30,488,650,509
7.34,499,641,511
7.37,486,640,505
7.40,485,642,506
7.43,490,641,515
7.46,494,640,508
7.49,484,640,505
7.52,485,643,507
7.55,492,646,520
7.59,489,641,507
7.62,483,641,506
7.65,483,645,508
7.68,491,645,513
7.71,483,641,507
7.74,478,642,506
7.77,482,646,509
7.80,488,645,509
7.84,482,642,508
7.87,479,642,506
7.90,477,646,508
7.93,492,647,521
7.96,492,643,508
7.99,486,643,507
8.02,480,648,509
8.05,486,650,522
8.09,480,645,508
8.12,476,647,507
8.15,477,652,510
8.18,497,650,508
8.21,486,645,508
8.24,481,644,508
8.27,481,657,512
8.30,493,646,514
8.33,483,645,508
8.37,476,647,509
8.40,483,649,519
8.43,486,645,510
8.46,484,646,508
8.49,484,649,511
8.52,493,645,505
8.55,475,647,509
8.58,473,645,509
8.61,479,656,515
8.65,475,644,512
8.68,474,644,509
8.71,472,646,510
8.74,494,650,522
8.77,489,644,510
8.80,485,644,509
8.83,488,649,512
8.86,488,648,505
8.90,485,645,510
