,time,A0,A1,A2
0,0.00,161,665,494
1,0.01,161,664,494
2,0.02,162,664,494
3,0.03,161,665,492
4,0.07,162,664,496
5,0.10,160,665,494
6,0.13,161,667,493
7,0.16,161,665,492
8,0.19,162,663,498
9,0.22,160,667,494
10,0.25,161,667,493
11,0.28,162,665,492
12,0.32,160,663,492
13,0.35,160,667,494
14,0.38,161,665,492
15,0.41,162,664,496
16,0.44,163,664,494
17,0.47,161,667,493
18,0.50,162,665,492
19,0.53,160,663,493
20,0.57,160,658,493
21,0.60,161,665,492
22,0.63,162,664,498
23,0.66,160,666,494
24,0.69,161,666,492
25,0.72,162,664,493
26,0.75,152,662,495
27,0.78,161,666,493
28,0.81,161,665,492
29,0.85,162,663,495
30,0.88,160,670,493
31,0.91,161,666,492
32,0.94,161,664,494
33,0.97,170,662,494
34,1.00,160,669,492
35,1.03,161,665,491
36,1.06,162,663,493
37,1.10,160,670,493
38,1.13,161,666,492
39,1.16,162,664,492
40,1.19,156,663,495
41,1.22,160,667,492
42,1.25,161,665,492
43,1.28,162,664,492
44,1.31,152,662,494
45,1.35,160,657,492
46,1.38,161,665,491
47,1.41,162,664,493
48,1.44,171,663,494
49,1.47,161,657,492
50,1.50,161,665,491
51,1.53,162,664,493
52,1.56,168,662,494
53,1.60,160,655,492
54,1.63,161,665,491
55,1.66,162,664,492
56,1.69,148,662,494
57,1.72,161,660,492
58,1.75,161,665,490
59,1.78,162,663,496
60,1.81,160,664,492
61,1.85,161,667,491
62,1.88,161,664,490
63,1.91,162,663,494
64,1.94,160,669,492
65,1.97,161,666,491
66,2.00,161,664,490
67,2.03,160,663,493
68,2.06,160,673,491
69,2.10,161,666,490
70,2.13,162,664,490
71,2.16,153,663,494
72,2.19,160,673,491
73,2.22,161,665,490
74,2.25,162,664,490
75,2.28,156,663,492
76,2.31,160,671,491
77,2.34,161,666,490
78,2.38,161,664,490
79,2.41,162,664,495
80,2.44,163,663,492
81,2.47,160,667,491
82,2.50,161,665,490
83,2.53,161,665,489
84,2.56,162,663,494
85,2.59,162,663,492
86,2.63,160,673,491
87,2.66,161,666,490
88,2.69,161,664,489
89,2.72,163,663,494
90,2.75,171,662,492
91,2.78,160,655,490
92,2.81,161,665,489
93,2.84,162,664,488
94,2.87,163,663,491
95,2.91,152,663,489
96,2.94,160,667,489
97,2.97,161,660,488
98,3.00,161,666,487
99,3.03,161,665,486
100,3.06,162,664,485
101,3.09,163,663,485
102,3.12,160,663,489
103,3.16,168,662,484
104,3.19,160,664,485
105,3.22,160,670,483
