Time,C0,C1,C2
0.00,569,653,478
0.01,568,654,479
0.02,568,654,478
0.03,569,671,500
0.07,568,655,483
0.10,577,654,478
0.13,572,660,486
0.16,568,659,485
0.19,570,655,479
0.22,581,656,480
0.25,569,668,496
0.28,568,656,480
0.32,587,656,480
0.35,570,643,500
0.38,569,659,482
0.41,562,659,480
0.44,571,651,461
0.47,569,663,483
0.50,578,657,481
0.53,572,665,491
0.57,569,661,485
0.60,576,660,481
0.63,574,664,488
0.66,569,665,490
0.69,571,661,482
0.72,585,661,483
0.75,571,676,503
0.78,569,662,485
0.81,577,661,482
0.85,575,665,488
0.88,569,668,492
0.91,571,660,483
0.94,587,658,485
0.97,572,671,496
1.00,570,658,486
1.03,580,656,483
1.06,574,662,493
1.10,570,660,489
1.13,574,656,484
1.16,579,658,488
1.19,571,665,496
1.22,572,656,485
1.25,588,657,486
1.28,572,674,507
1.31,571,658,488
1.35,571,657,485
1.38,574,665,498
1.41,571,660,491
1.44,576,656,485
1.47,579,659,490
1.50,572,667,504
1.53,573,659,489
1.56,555,658,487
1.60,576,665,497
1.63,572,663,495
1.66,574,658,488
1.69,591,659,489
1.72,575,658,495
1.75,572,661,493
1.78,576,658,488
1.81,584,660,490
1.85,574,677,508
1.88,572,660,492
1.91,580,659,488
1.94,579,661,492
1.97,573,670,505
2.00,573,660,491
2.03,578,659,489
2.06,577,664,496
2.10,573,666,500
2.13,574,660,491
2.16,558,660,490
2.19,576,667,500
2.22,572,664,496
2.25,575,659,492
2.28,589,661,492
2.31,575,646,489
2.34,573,662,496
2.38,578,660,492
2.41,581,662,495
2.44,574,672,509
2.47,574,661,494
2.50,578,660,492
2.53,577,667,502
2.56,573,665,499
2.59,575,661,493
2.63,587,662,494
2.66,575,678,515
2.69,574,663,496
2.72,582,661,493
2.75,579,665,499
2.78,574,667,502
2.81,575,662,494
2.84,590,662,495
2.87,575,679,512
2.91,574,663,496
2.94,580,662,494
2.97,578,669,505
3.00,574,665,500
3.03,578,662,495
3.06,583,664,497
3.09,575,673,510
3.12,575,663,496
3.16,586,663,496
3.19,577,654,477
3.22,574,665,499
3.25,582,663,496
3.28,580,667,502
3.31,575,668,504
3.34,577,663,496
3.37,588,665,498
3.40,576,678,515
3.44,576,665,498
3.47,559,664,497
3.50,578,673,507
3.53,575,667,501
3.56,580,664,497
3.59,582,667,500
3.62,576,672,509
3.65,576,665,498
3.69,593,665,498
3.72,578,653,487
3.75,575,667,501
3.78,582,665,498
3.81,581,668,502
3.84,576,672,509
3.87,577,665,499
3.90,585,665,498
3.94,578,663,505
3.97,576,668,503
4.00,580,665,498
4.03,585,667,500
4.06,577,679,517
4.09,576,667,501
4.12,584,665,498
4.15,580,670,505
4.19,575,671,508
4.22,577,666,499
4.25,589,666,499
4.28,578,668,510
4.31,576,668,504
4.34,580,666,499
4.37,585,667,501
4.40,576,679,516
4.43,576,667,501
4.47,570,666,500
4.50,580,673,509
4.53,576,670,506
4.56,579,666,500
4.59,589,668,502
4.62,577,682,520
4.65,577,668,502
4.68,580,667,501
4.72,580,674,510
4.75,577,671,507
4.78,579,667,501
4.81,589,669,503
4.84,578,684,520
4.87,577,669,504
4.90,588,667,501
4.93,581,673,509
4.97,577,672,509
5.00,579,668,502
5.03,593,669,502
5.06,579,662,484
5.09,577,671,506
5.12,581,668,502
5.15,589,669,503
5.18,579,655,497
5.22,577,671,507
5.25,580,668,503
5.28,593,669,503
5.31,580,670,516
5.34,579,674,511
5.37,581,670,505
5.40,589,670,505
5.43,583,675,511
5.46,579,678,518
5.50,579,671,506
5.53,587,670,504
5.56,587,671,506
5.59,579,684,515
5.62,578,672,509
5.65,581,670,504
5.68,596,670,504
5.71,581,677,513
5.75,578,675,514
5.78,579,671,506
5.81,573,670,504
5.84,583,674,508
5.87,578,681,520
5.90,578,671,507
5.93,586,670,504
5.96,585,672,507
5.99,578,685,522
6.03,578,672,507
6.06,583,670,504
6.09,588,671,506
6.12,579,683,491
6.15,578,673,509
6.18,581,671,505
6.21,594,671,506
6.24,581,678,516
6.28,578,675,513
6.31,579,671,506
6.34,578,671,505
6.37,582,675,511
6.40,578,679,519
6.43,578,672,508
6.46,587,671,505
6.49,585,673,508
6.52,579,687,526
6.56,578,673,510
6.59,583,671,506
6.62,590,672,507
6.65,580,655,494
6.68,578,674,510
6.71,582,671,506
6.74,590,672,507
6.77,580,687,503
6.80,578,674,510
6.84,583,672,506
6.87,588,673,508
6.90,580,689,527
6.93,578,674,510
6.96,583,672,506
6.99,587,673,508
7.02,579,686,526
7.05,578,674,510
7.09,583,672,506
7.12,587,673,508
7.15,579,688,521
7.18,578,674,510
7.21,584,672,507
7.24,587,674,509
7.27,579,689,521
7.30,578,674,511
7.34,583,672,507
7.37,588,674,509
7.40,580,686,521
7.43,578,675,511
7.46,582,673,508
7.49,591,674,509
7.52,581,666,492
7.55,579,676,513
7.59,581,673,508
7.62,595,674,508
7.65,581,682,520
7.68,579,677,515
7.71,580,674,509
7.74,568,674,508
7.77,582,680,516
7.80,579,680,519
7.84,580,674,510
7.87,580,674,509
7.90,584,677,514
7.93,579,683,525
7.96,579,675,512
7.99,587,674,509
8.02,588,676,511
8.05,581,690,524
8.09,579,677,514
8.12,582,674,510
8.15,597,675,510
8.18,582,681,518
8.21,579,681,521
8.24,580,675,511
8.27,588,674,509
8.30,587,676,511
8.33,580,662,503
8.37,579,677,515
8.40,581,674,510
8.43,593,674,509
8.46,583,679,514
8.49,579,685,526
8.52,579,676,512
8.55,583,674,509
8.58,592,675,510
8.61,581,683,520
8.65,579,679,518
8.68,580,675,511
8.71,589,675,509
8.74,584,677,512
8.77,579,688,527
8.80,578,676,513
8.83,583,675,509
8.86,591,676,511
8.90,580,668,518
8.93,579,678,516
8.96,580,675,510
8.99,582,675,510
9.02,582,680,516
9.05,579,682,522
9.08,579,676,512
9.11,587,675,509
9.15,586,676,511
9.18,579,670,492
9.21,578,678,515
9.24,579,675,510
9.27,569,675,510
9.30,583,678,513
9.33,579,688,529
9.36,578,677,513
9.40,582,675,510
9.43,593,676,510
9.46,581,683,520
9.49,578,680,519
9.52,579,676,511
9.55,579,675,510
9.58,583,678,513
9.61,579,688,528
9.65,578,677,513
9.68,583,675,510
9.71,587,676,512
9.74,579,678,492
9.77,577,677,514
9.80,581,675,510
9.83,591,676,511
9.86,580,662,506
9.89,577,678,515
