Time,D0,D1,D2
0.00,356,549,434
0.01,351,547,433
0.02,346,546,433
0.03,354,542,431
0.07,336,524,416
0.10,333,545,436
0.13,338,541,431
0.16,350,544,433
0.19,336,562,440
0.22,333,548,436
0.25,339,546,432
0.28,351,547,434
0.32,337,542,431
0.35,334,552,438
0.38,338,549,433
0.41,355,548,434
0.44,338,555,432
0.47,335,552,440
0.50,338,548,435
0.53,357,549,435
0.57,339,555,445
0.60,335,556,441
0.63,339,548,436
0.66,356,549,437
0.69,339,538,424
0.72,336,553,442
0.75,341,548,437
0.78,356,550,438
0.81,340,549,440
0.85,337,556,442
0.88,342,553,438
0.91,354,552,439
0.94,340,555,456
0.97,337,554,442
1.00,345,550,439
1.03,350,561,442
1.06,339,572,459
1.10,338,553,443
1.13,350,551,440
1.16,348,555,444
1.19,340,565,457
1.22,339,557,443
1.25,351,553,441
1.28,347,557,447
1.31,340,562,453
1.35,340,559,443
1.38,324,553,442
1.41,345,563,452
1.44,340,560,450
1.47,342,553,443
1.50,361,553,444
1.53,343,544,424
1.56,340,557,447
1.60,347,557,443
1.63,352,560,447
1.66,342,567,460
1.69,342,567,446
1.72,325,555,445
1.75,347,562,455
1.78,341,560,452
1.81,345,555,446
1.85,361,559,447
1.88,344,575,466
1.91,342,557,449
1.94,355,556,446
1.97,349,562,456
2.00,342,560,454
2.03,346,554,447
2.06,359,556,449
2.10,344,570,465
2.13,344,556,450
2.16,330,556,448
2.19,348,566,455
2.22,343,561,453
2.25,350,559,449
2.28,353,562,454
2.31,344,565,458
2.34,347,555,450
2.38,361,556,452
2.41,346,566,464
2.44,346,554,451
2.47,367,554,452
2.50,347,571,470
2.53,346,555,453
2.56,340,554,452
2.59,349,564,465
2.63,346,557,455
2.66,338,555,452
2.69,351,566,442
2.72,346,558,456
2.75,359,555,453
2.78,352,565,466
2.81,347,559,458
2.84,356,556,454
2.87,354,563,463
2.91,348,561,460
2.94,354,557,455
2.97,357,561,461
3.00,348,563,462
3.03,352,557,455
3.06,360,561,460
3.09,349,566,465
3.12,351,559,456
3.16,365,560,459
3.19,350,571,470
3.22,351,560,458
3.25,371,561,458
3.28,352,579,476
3.31,351,562,459
3.34,364,562,458
3.37,353,547,456
3.40,351,565,461
3.44,365,563,459
3.47,356,584,470
3.50,351,568,464
3.53,358,568,459
3.56,360,572,465
3.59,352,586,468
3.62,355,564,460
3.65,367,566,463
3.69,353,577,474
3.72,353,565,462
3.75,375,565,462
3.78,355,579,482
3.81,353,565,464
3.84,336,564,462
3.87,356,568,473
3.90,353,564,465
3.94,350,562,462
3.97,358,572,475
4.00,354,567,468
4.03,358,563,463
4.06,368,565,466
4.09,356,580,482
4.12,354,566,466
4.15,367,565,464
4.19,361,571,472
4.22,355,571,472
4.25,357,566,465
4.28,376,567,466
4.31,358,569,485
4.34,355,569,468
4.37,369,567,466
4.40,362,577,475
4.43,356,574,472
4.47,360,567,467
4.50,369,578,470
4.53,357,577,478
4.56,358,565,468
4.59,377,566,469
4.62,358,581,485
4.65,357,565,469
4.68,374,565,469
4.72,360,581,490
4.75,358,566,471
4.78,338,565,469
4.81,361,557,451
4.84,358,567,472
4.87,370,565,470
4.90,362,565,458
4.93,358,568,473
4.97,369,565,470
5.00,363,570,462
5.03,359,568,473
5.06,363,566,471
5.09,363,550,488
5.12,359,568,474
5.15,352,566,472
