,time,A0,A1,A2
0,0.00,591,668,573
1,0.01,594,666,572
2,0.02,593,662,574
3,0.03,592,669,572
4,0.07,595,675,573
5,0.10,590,667,574
6,0.13,591,668,575
7,0.16,592,670,572
8,0.19,593,674,573
9,0.22,590,667,574
10,0.25,591,668,573
11,0.28,593,671,572
12,0.32,597,667,573
13,0.35,590,667,566
14,0.38,592,669,571
15,0.41,594,677,572
16,0.44,591,666,574
17,0.47,591,668,572
18,0.50,592,671,571
19,0.53,598,666,572
20,0.57,590,667,564
21,0.60,591,669,571
22,0.63,594,677,572
23,0.66,590,667,573
24,0.69,591,668,573
25,0.72,592,670,571
26,0.75,585,668,572
27,0.78,590,667,573
28,0.81,591,668,570
29,0.85,593,668,571
30,0.88,593,666,572
31,0.91,590,668,578
32,0.94,591,669,570
33,0.97,594,675,571
34,1.00,590,666,572
35,1.03,591,668,573
36,1.06,591,669,570
37,1.10,588,671,571
38,1.13,590,667,573
39,1.16,591,668,572
40,1.19,591,670,570
41,1.22,585,669,571
42,1.25,589,667,573
43,1.28,591,668,569
44,1.31,592,670,570
45,1.35,596,666,571
46,1.38,590,667,573
47,1.41,591,669,569
48,1.44,593,671,570
49,1.47,590,666,571
50,1.50,590,668,573
51,1.53,591,669,569
52,1.56,592,675,570
53,1.60,589,666,571
54,1.63,590,668,573
55,1.66,591,669,569
56,1.69,592,673,570
57,1.72,589,666,571
58,1.75,590,668,570
59,1.78,591,670,569
60,1.81,583,668,570
61,1.85,589,667,572
62,1.88,590,668,568
63,1.91,591,670,568
64,1.94,583,669,569
65,1.97,589,667,571
66,2.00,590,667,571
67,2.03,591,669,568
68,2.06,592,671,569
69,2.10,591,666,570
70,2.13,589,667,565
71,2.16,590,668,568
72,2.19,591,669,568
73,2.22,592,674,569
74,2.25,590,666,569
75,2.28,589,667,561
76,2.31,590,668,567
77,2.34,591,669,568
78,2.38,594,666,569
79,2.41,589,667,562
80,2.44,590,668,567
81,2.47,591,659,568
82,2.50,590,666,569
83,2.53,589,667,571
84,2.56,590,669,567
85,2.59,586,670,568
86,2.63,588,666,570
87,2.66,589,668,568
88,2.69,590,670,567
89,2.72,591,667,568
90,2.75,588,667,564
91,2.78,590,668,566
92,2.81,591,671,567
93,2.84,589,666,569
94,2.87,589,668,567
95,2.91,590,671,567
96,2.94,594,666,568
97,2.97,589,667,573
98,3.00,590,669,566
99,3.03,592,672,567
100,3.06,588,666,569
101,3.09,589,667,566
102,3.12,590,670,566
103,3.16,591,668,567
104,3.19,588,666,569
105,3.22,589,668,567
106,3.25,590,669,566
107,3.28,586,670,567
108,3.31,588,666,568
109,3.34,589,667,571
110,3.37,590,669,566
111,3.40,592,676,567
112,3.44,588,666,567
113,3.47,588,667,573
114,3.50,589,668,565
115,3.53,591,659,566
116,3.56,590,666,567
117,3.59,588,667,559
118,3.62,589,668,565
119,3.65,590,671,565
120,3.69,594,666,566
121,3.72,587,666,569
122,3.75,589,668,565
123,3.78,589,670,565
124,3.81,591,666,566
125,3.84,588,666,568
126,3.87,589,667,565
127,3.90,589,670,565
128,3.94,582,668,566
129,3.97,587,666,568
130,4.00,588,667,565
131,4.03,589,669,565
132,4.06,583,671,565
133,4.09,587,666,566
134,4.12,588,667,568
135,4.15,589,669,564
136,4.19,590,672,565
137,4.22,587,666,567
138,4.25,588,667,566
139,4.28,589,669,564
140,4.31,583,667,565
141,4.34,587,667,567
142,4.37,588,668,563
143,4.40,589,666,564
144,4.43,591,665,565
145,4.47,587,667,568
146,4.50,588,668,563
147,4.53,590,667,564
148,4.56,587,666,565
149,4.59,588,667,568
150,4.62,588,668,563
151,4.65,590,674,564
152,4.68,587,666,565
153,4.72,587,667,567
154,4.75,588,668,563
155,4.78,590,676,564
156,4.81,589,665,565
157,4.84,587,667,561
158,4.87,588,667,563
159,4.90,589,669,563
160,4.93,589,674,564
161,4.97,587,666,564
162,5.00,587,667,557
163,5.03,588,667,562
164,5.06,589,670,563
165,5.09,581,668,564
166,5.12,586,666,565
167,5.15,587,667,569
168,5.18,588,668,562
169,5.22,589,668,563
170,5.25,593,667,563
171,5.28,586,666,565
172,5.31,587,667,567
173,5.34,588,668,562
174,5.37,589,664,562
175,5.40,593,665,563
176,5.43,586,666,565
177,5.46,587,667,564
178,5.50,588,669,562
179,5.53,589,672,563
180,5.56,586,666,564
181,5.59,586,667,565
182,5.62,588,669,561
183,5.65,588,671,562
184,5.68,585,666,564
185,5.71,587,667,562
186,5.75,588,669,561
187,5.78,580,668,562
188,5.81,585,666,564
189,5.84,587,667,562
190,5.87,588,669,561
191,5.90,584,667,562
192,5.93,586,666,564
193,5.96,587,667,560
194,5.99,588,664,561
195,6.03,590,665,562
196,6.06,586,667,567
197,6.09,587,668,561
198,6.12,588,671,562
199,6.15,585,666,564
200,6.18,586,667,560
201,6.21,588,670,561
202,6.24,593,666,562
203,6.28,586,666,555
204,6.31,587,667,560
205,6.34,588,664,561
206,6.37,588,665,562
207,6.40,586,666,567
208,6.43,587,668,559
209,6.46,589,661,561
210,6.49,587,665,562
211,6.52,586,666,567
212,6.56,587,668,559
213,6.59,589,674,560
214,6.62,587,665,561
215,6.65,586,667,566
216,6.68,587,668,559
217,6.71,589,675,560
218,6.74,586,665,561
219,6.77,585,666,565
220,6.80,586,668,559
221,6.84,589,671,560
222,6.87,585,665,561
223,6.90,585,666,565
224,6.93,586,667,559
225,6.96,588,673,560
226,6.99,585,665,561
227,7.02,585,666,565
228,7.05,586,667,559
229,7.09,588,675,560
230,7.12,586,665,560
231,7.15,585,666,565
232,7.18,586,667,558
233,7.21,588,674,559
234,7.24,586,665,560
235,7.27,585,666,565
236,7.30,586,668,558
237,7.34,588,667,559
238,7.37,585,665,560
239,7.40,585,667,564
240,7.43,586,668,558
241,7.46,588,675,559
242,7.49,585,665,560
243,7.52,585,666,563
244,7.55,586,668,558
245,7.59,588,673,559
246,7.62,584,665,560
247,7.65,585,667,561
248,7.68,586,669,558
249,7.71,580,668,559
250,7.74,584,666,561
251,7.77,585,667,557
252,7.80,587,666,558
253,7.84,589,665,559
254,7.87,584,666,564
255,7.90,586,668,557
256,7.93,588,672,558
257,7.96,584,665,560
258,7.99,585,667,556
259,8.02,586,669,558
260,8.05,587,665,559
261,8.09,584,666,562
262,8.12,585,668,557
263,8.15,578,668,558
264,8.18,584,665,557
265,8.21,585,667,556
266,8.24,587,659,558
267,8.27,584,665,559
268,8.30,585,666,559
269,8.33,585,669,557
270,8.37,582,666,558
271,8.40,584,666,555
272,8.43,585,667,556
