Time,D0,D1,D2
0.00,510,655,587\r\n'
0.01,510,654,586
0.02,509,654,585
0.03,510,663,598
0.07,510,657,588
0.10,512,656,584
0.13,516,655,582
0.16,517,655,581
0.19,528,655,581
0.22,518,657,584
0.25,513,660,592
0.28,511,668,603
0.32,510,659,591
0.35,511,656,585
0.38,513,655,582
0.41,519,653,581
0.44,518,654,581
0.47,526,655,582
0.50,519,659,583
0.53,516,660,586
0.57,515,667,588
0.60,514,667,591
0.63,513,653,595
0.66,513,667,595
0.69,513,675,594
0.72,513,673,592
0.75,513,672,569
0.78,512,669,577
0.81,512,667,582
0.85,512,666,594
0.88,511,664,604
0.91,512,663,602
0.94,512,661,601
0.97,511,661,600
1.00,512,660,598
1.03,511,659,596
1.06,511,658,595
1.10,511,658,593
1.13,512,656,591
1.16,511,657,590
1.19,512,657,589
1.22,511,656,587
1.25,511,656,586
1.28,513,657,587
1.31,514,657,586
1.35,514,658,586
1.38,515,657,586
1.41,516,658,586
1.44,516,657,586
1.47,515,657,588
1.50,514,657,588
1.53,513,658,588
1.56,512,662,588
1.60,511,658,588
1.63,511,659,590
1.66,510,661,594
1.69,510,660,595\r\n'
1.72,510,660,598\r\n'
1.75,510,660,600\r\n'
1.78,510,659,600\r\n'
1.81,510,659,601\r\n'
1.85,510,659,601\r\n'
1.88,510,659,599\r\n'
1.91,510,659,597\r\n'
1.94,510,658,595\r\n'
1.97,510,659,593\r\n'
2.00,510,661,591\r\n'
2.03,511,659,587\r\n'
2.06,512,656,587\r\n'
2.10,513,656,586\r\n'
2.13,516,654,585\r\n'
2.16,520,653,585\r\n'
2.19,524,653,584\r\n'
2.22,494,653,584\r\n'
2.25,534,653,585\r\n'
2.28,529,654,584\r\n'
2.31,524,654,585\r\n'
2.34,520,655,586\r\n'
2.38,517,657,587\r\n'
2.41,516,661,590\r\n'
2.44,514,647,596\r\n'
2.47,513,671,571\r\n'
2.50,512,663,604\r\n'
2.53,512,658,596\r\n'
2.56,512,655,590\r\n'
2.59,513,654,589\r\n'
2.63,516,652,587
2.66,525,653,586
2.69,533,653,583
2.72,521,653,584
2.75,515,656,588
2.78,512,641,597
2.81,511,664,604
