,time,A0,A1,A2
0,0.00,341,411,467
1,0.01,341,411,468
2,0.02,342,412,471
3,0.03,340,411,466
4,0.07,341,414,468
5,0.10,336,411,467
6,0.13,341,415,468
7,0.16,338,411,466
8,0.19,341,415,468
9,0.22,340,411,466
10,0.25,341,415,469
11,0.28,340,411,466
12,0.32,341,405,469
13,0.35,344,411,466
14,0.38,341,404,469
15,0.41,345,411,466
16,0.44,341,407,469
17,0.47,344,411,466
18,0.50,341,414,470
19,0.53,343,411,467
20,0.57,341,416,470
21,0.60,342,411,467
22,0.63,341,414,464
23,0.66,341,411,467
24,0.69,341,414,461
25,0.72,341,411,467
26,0.75,341,413,464
27,0.78,341,411,467
28,0.81,341,411,473
29,0.85,340,411,467
30,0.88,341,411,473
31,0.91,340,411,467
32,0.94,341,411,471
33,0.97,340,412,467
34,1.00,341,411,469
35,1.03,340,412,467
36,1.06,341,410,467
37,1.10,340,412,467
38,1.13,340,410,466
39,1.16,340,412,467
40,1.19,343,410,466
41,1.22,340,412,467
42,1.25,334,410,465
43,1.28,340,414,467
44,1.31,342,411,465
45,1.35,340,404,468
46,1.38,343,411,465
47,1.41,340,416,469
48,1.44,342,411,466
49,1.47,340,416,470
50,1.50,341,411,466
51,1.53,340,415,471
52,1.56,341,411,466
53,1.60,340,415,471
54,1.63,341,411,465
55,1.66,340,416,469
56,1.69,341,411,466
57,1.72,340,416,470
58,1.75,341,411,466
59,1.78,340,414,469
60,1.81,342,411,465
61,1.85,339,412,468
62,1.88,342,411,465
63,1.91,339,409,468
64,1.94,343,411,465
65,1.97,339,405,467
66,2.00,343,411,465
67,2.03,339,415,467
68,2.06,336,410,465
69,2.10,339,413,467
70,2.13,338,410,464
71,2.16,339,412,466
72,2.19,345,410,465
73,2.22,339,412,466
74,2.25,340,410,466
75,2.28,339,412,466
76,2.31,340,410,468
77,2.34,338,411,466
78,2.38,339,411,471
79,2.41,338,411,465
80,2.44,339,414,470
81,2.47,340,411,465
82,2.50,339,404,467
83,2.53,334,410,464
84,2.56,339,412,466
85,2.59,339,410,467
86,2.63,338,411,466
87,2.66,339,411,470
88,2.69,338,411,465
89,2.72,339,415,469
90,2.75,341,411,465
91,2.78,338,402,466
92,2.81,340,410,464
93,2.84,338,412,466
94,2.87,343,410,464
95,2.91,338,412,465
96,2.94,338,410,468
97,2.97,338,411,465
98,3.00,338,411,464
99,3.03,338,411,465
100,3.06,338,415,469
101,3.09,340,411,464
102,3.12,338,408,466
103,3.16,340,410,464
104,3.19,338,413,466
105,3.22,336,410,464
106,3.25,338,412,465
107,3.28,338,410,466
108,3.31,337,411,465
109,3.34,338,411,471
110,3.37,337,411,464
111,3.40,338,415,469
112,3.44,340,411,464
113,3.47,338,412,466
114,3.50,328,410,464
115,3.53,337,412,465
116,3.56,338,410,467
117,3.59,337,411,465
118,3.62,338,412,459
119,3.65,339,410,464
120,3.69,338,404,466
121,3.72,332,410,464
122,3.75,337,412,465
123,3.78,338,410,468
124,3.81,337,411,464
125,3.84,337,414,467
126,3.87,340,410,463
127,3.90,337,414,465
128,3.94,343,410,465
129,3.97,337,411,464
130,4.00,337,412,455
131,4.03,339,411,463
132,4.06,337,415,465
133,4.09,338,410,464
134,4.12,337,411,464
135,4.15,337,410,470
136,4.19,337,411,464
137,4.22,337,413,466
138,4.25,340,410,463
139,4.28,336,412,465
140,4.31,337,410,465
141,4.34,336,411,464
142,4.37,337,412,460
143,4.40,337,411,463
144,4.43,337,406,466
145,4.47,340,410,463
146,4.50,336,412,465
147,4.53,343,410,463
148,4.56,336,411,464
149,4.59,337,410,467
150,4.62,335,411,464
151,4.65,337,411,467
152,4.68,336,411,464
153,4.72,336,414,462
154,4.75,337,411,463
155,4.78,336,414,466
156,4.81,339,410,463
157,4.84,336,406,465
158,4.87,339,410,463
159,4.90,336,415,465
160,4.93,330,410,462
161,4.97,336,413,464
162,5.00,336,410,463
163,5.03,336,412,464
164,5.06,343,410,463
165,5.09,335,411,464
166,5.12,336,410,464
167,5.15,335,411,464
168,5.18,336,410,467
169,5.22,335,411,463
170,5.25,336,411,467
171,5.28,335,411,463
172,5.31,336,413,457
173,5.34,336,410,463
174,5.37,336,415,467
175,5.40,338,410,462
176,5.43,335,404,465
177,5.46,339,410,462
178,5.50,335,412,464
179,5.53,332,410,462
180,5.56,335,411,464
181,5.59,336,410,463
182,5.62,335,411,463
183,5.65,336,410,468
184,5.68,335,411,463
185,5.71,336,413,460
186,5.75,336,410,462
187,5.78,335,414,464
188,5.81,338,410,462
189,5.84,335,415,464
190,5.87,328,410,462
191,5.90,334,411,463
192,5.93,336,409,464
193,5.96,334,411,463
194,5.99,335,410,468
195,6.03,334,410,462
196,6.06,335,414,467
197,6.09,336,410,462
198,6.12,335,404,464
199,6.15,336,410,461
200,6.18,334,414,464
201,6.21,336,410,462
202,6.24,334,411,463
203,6.28,336,410,463
204,6.31,334,411,463
205,6.34,334,410,464
206,6.37,334,411,463
207,6.40,334,410,467
208,6.43,334,411,462
209,6.46,335,411,467
210,6.49,334,411,462
211,6.52,334,411,466
212,6.56,334,410,462
213,6.59,334,411,468
214,6.62,334,410,462
215,6.65,334,411,467
216,6.68,333,410,462
217,6.71,334,411,466
218,6.74,333,411,462
219,6.77,334,410,467
220,6.80,333,411,462
221,6.84,334,409,465
222,6.87,333,411,462
223,6.90,334,410,462
224,6.93,333,411,462
225,6.96,334,410,462
226,6.99,333,411,462
227,7.02,339,410,461
228,7.05,333,412,462
229,7.09,339,410,461
230,7.12,333,412,462
231,7.15,338,410,461
232,7.18,333,412,462
233,7.21,337,410,461
234,7.24,333,411,462
235,7.27,339,410,461
236,7.30,333,411,462
237,7.34,334,409,463
238,7.37,333,411,462
239,7.40,334,410,467
240,7.43,333,410,461
241,7.46,333,414,466
242,7.49,335,410,461
243,7.52,333,400,463
244,7.55,333,410,460
245,7.59,333,412,462
246,7.62,339,410,461
247,7.65,332,411,462
248,7.68,333,409,463
249,7.71,332,411,461
250,7.74,333,410,467
251,7.77,332,410,461
252,7.80,333,413,456
253,7.84,333,410,461
254,7.87,333,408,463
255,7.90,336,410,460
256,7.93,333,414,462
257,7.96,335,409,460
258,7.99,332,411,461
259,8.02,333,409,462
260,8.05,332,411,461
261,8.09,333,410,466
262,8.12,332,410,461
263,8.15,332,412,453
264,8.18,333,410,460
265,8.21,332,415,464
266,8.24,335,410,460
267,8.27,332,411,462
268,8.30,332,410,460
269,8.33,332,412,462
270,8.37,339,410,460
271,8.40,332,411,461
272,8.43,332,409,463
273,8.46,331,410,461
274,8.49,332,410,466
275,8.52,331,410,460
276,8.55,332,413,456
277,8.58,333,410,460
278,8.61,332,414,463
279,8.65,335,410,460
280,8.68,332,414,462
281,8.71,329,410,459
282,8.74,331,412,461
283,8.77,335,409,460
284,8.80,331,411,461
285,8.83,332,409,464
286,8.86,331,410,460
287,8.90,332,411,460
288,8.93,331,410,460
289,8.96,331,415,463
290,8.99,334,410,459
291,9.02,331,415,461
292,9.05,322,409,459
293,9.08,331,411,461
294,9.11,332,409,462
295,9.15,331,410,460
296,9.18,331,410,465
297,9.21,331,410,460
298,9.24,331,414,464
299,9.27,333,410,459
300,9.30,331,402,461
301,9.33,332,410,459
302,9.36,331,415,461
303,9.40,326,409,459
304,9.43,330,411,460
305,9.46,335,409,460
306,9.49,330,410,460
307,9.52,331,409,461
308,9.55,330,410,460
309,9.58,331,409,465
310,9.61,330,410,460
311,9.65,331,411,459
312,9.68,330,410,459
313,9.71,331,413,457
314,9.74,331,410,459
315,9.77,330,415,463
316,9.80,332,410,459
317,9.83,330,412,462
318,9.86,333,410,459
319,9.89,330,408,461
320,9.93,333,410,458
321,9.96,330,415,461
322,9.99,324,410,458
323,10.02,330,409,458
324,10.05,330,409,459
325,10.08,330,409,459
326,10.12,330,409,460
327,10.15,330,409,461
328,10.18,330,409,464
329,10.21,330,410,464
330,10.25,329,410,463
331,10.28,329,412,453
332,10.31,329,414,463
333,10.34,330,413,462
334,10.37,331,412,461
335,10.41,332,402,461
336,10.44,333,415,460
337,10.47,332,412,460
338,10.50,330,411,460
339,10.53,324,411,460
340,10.57,334,411,459
341,10.60,333,410,459
342,10.63,331,410,459
343,10.66,330,410,459
344,10.70,329,410,459
345,10.73,330,410,459
346,10.76,330,410,458
347,10.79,329,410,458
348,10.82,329,410,458
349,10.86,329,409,458
350,10.89,329,409,458
351,10.92,329,409,458
352,10.95,329,409,458
353,10.99,329,409,459
354,11.02,329,409,461
355,11.05,329,409,463
356,11.08,329,410,464
357,11.11,328,410,464
358,11.15,328,411,460
359,11.18,328,412,452
360,11.21,328,413,461
361,11.24,329,414,462
362,11.28,329,415,462
363,11.31,329,411,461
364,11.34,330,402,460
365,11.37,331,400,460
366,11.41,331,409,459
367,11.44,331,414,459
368,11.47,328,411,459
369,11.50,324,411,459
370,11.53,320,410,459
371,11.57,335,410,459
372,11.60,331,410,459
373,11.63,329,410,458
374,11.66,328,410,458
375,11.70,328,410,458
376,11.73,328,410,458
377,11.76,328,410,458
378,11.79,328,410,457
379,11.82,328,410,458
380,11.86,328,410,457
381,11.89,328,409,457
382,11.92,328,409,457
383,11.95,328,409,457
384,11.98,328,409,457
385,12.02,328,409,457
386,12.05,328,409,457
387,12.08,328,409,458
388,12.11,327,409,458
389,12.15,327,409,458
390,12.18,327,409,460
391,12.21,327,409,462
392,12.24,327,409,463
393,12.28,327,409,464
394,12.31,327,410,461
395,12.34,327,411,452
396,12.37,327,412,449
397,12.40,327,413,452
398,12.44,327,414,462
399,12.47,328,414,461
400,12.50,327,414,461
401,12.53,328,414,460
402,12.57,329,408,460
403,12.60,329,400,459
404,12.63,330,400,459
405,12.66,330,409,458
406,12.69,330,413,458
407,12.73,324,411,458
408,12.76,320,410,458
409,12.79,328,410,458
410,12.82,329,410,458
411,12.86,328,410,457
412,12.89,327,410,457
413,12.92,327,410,457
414,12.95,327,410,457
415,12.98,327,410,457
416,13.02,327,410,456
417,13.05,327,409,457
418,13.08,327,409,456
419,13.11,327,409,456
420,13.15,326,409,456
421,13.18,326,409,457
422,13.21,326,409,458
423,13.24,326,409,459
424,13.28,326,409,461
425,13.31,326,410,462
