,time,A0,A1,A2
0,0.00,81,328,287
1,0.01,82,327,287
2,0.02,76,329,287
3,0.03,78,328,289
4,0.06,80,328,287
5,0.09,80,328,287
6,0.12,82,328,287
7,0.15,82,326,287
8,0.18,81,328,287
9,0.21,81,327,294
10,0.24,80,328,289
11,0.27,78,328,287
12,0.30,68,328,287
13,0.33,82,328,287
14,0.36,82,328,287
15,0.39,81,328,286
16,0.42,81,327,293
17,0.45,80,328,289
18,0.49,80,328,287
19,0.51,84,328,287
20,0.54,81,328,287
21,0.57,82,320,287
22,0.61,81,329,287
23,0.63,81,327,286
24,0.67,80,327,288
25,0.70,80,328,287
26,0.73,87,328,287
27,0.76,80,328,287
28,0.79,82,330,287
29,0.82,81,329,287
30,0.85,81,327,288
31,0.88,80,327,288
32,0.91,80,328,287
33,0.94,94,328,287
34,0.97,80,328,287
35,1.00,82,322,287
36,1.03,81,329,287
37,1.06,81,327,288
38,1.09,80,327,289
39,1.12,80,328,287
40,1.15,80,328,287
41,1.18,81,328,287
42,1.21,82,324,287
43,1.24,81,328,287
44,1.27,80,327,295
45,1.30,80,328,289
46,1.33,78,328,287
47,1.36,72,328,287
48,1.39,82,328,287
49,1.42,81,328,287
50,1.45,81,328,287
51,1.48,81,327,295
52,1.51,80,327,289
53,1.54,78,328,287
54,1.57,90,328,287
55,1.60,80,328,287
56,1.63,82,333,287
57,1.66,81,330,287
58,1.69,81,327,286
59,1.72,80,327,284
60,1.75,80,327,289
61,1.78,78,328,287
62,1.81,76,328,287
63,1.84,81,328,287
64,1.87,82,320,287
65,1.90,81,329,286
66,1.93,81,327,286
67,1.96,80,327,295
68,1.99,80,328,289
69,2.02,80,328,287
70,2.05,83,328,287
71,2.08,78,328,287
72,2.11,82,329,287
73,2.14,81,328,286
74,2.17,81,329,287
75,2.20,81,327,286
76,2.23,80,327,276
77,2.26,80,327,289
78,2.29,78,327,287
79,2.32,80,328,287
80,2.36,80,328,287
81,2.38,82,333,286
82,2.42,81,330,287
83,2.45,81,327,286
84,2.48,80,327,293
85,2.51,80,327,289
86,2.54,78,328,287
87,2.57,94,328,286
88,2.60,81,328,286
89,2.63,82,322,287
90,2.66,81,329,286
91,2.69,81,327,286
92,2.72,80,327,277
93,2.75,79,328,287
94,2.78,77,328,286
95,2.81,74,328,286
96,2.84,82,329,287
97,2.87,81,331,287
98,2.90,81,327,286
99,2.93,80,327,293
100,2.96,80,327,289
101,2.99,78,328,286
102,3.02,72,328,286
103,3.05,82,328,286
104,3.08,81,330,286
105,3.11,81,328,286
106,3.14,80,327,291
107,3.17,80,327,289
108,3.20,78,328,286
109,3.23,80,328,286
110,3.26,82,328,286
111,3.29,82,320,286
112,3.32,81,329,286
113,3.35,81,327,286
114,3.38,80,327,278
115,3.41,80,327,288
116,3.44,77,328,286
117,3.47,72,328,286
118,3.50,82,328,286
119,3.53,81,328,286
120,3.56,81,328,286
121,3.59,81,327,287
122,3.62,80,327,289
123,3.65,78,327,287
124,3.68,90,327,286
125,3.71,81,328,286
126,3.74,81,320,286
127,3.77,81,329,286
128,3.80,81,327,286
129,3.83,80,327,289
130,3.86,79,327,287
131,3.89,80,328,286
132,3.92,82,328,286
133,3.95,81,328,286
134,3.98,81,328,286
135,4.01,80,327,292
136,4.04,80,327,288
137,4.07,76,328,286
138,4.10,80,328,286
139,4.13,81,320,286
140,4.16,81,328,286
141,4.19,80,327,291
142,4.23,80,327,289
143,4.25,78,327,286
144,4.28,74,328,286
145,4.32,82,333,286
146,4.34,81,329,286
147,4.38,80,327,286
148,4.41,80,327,286
149,4.44,79,327,287
150,4.47,88,328,286
151,4.50,82,328,286
152,4.53,81,329,286
153,4.56,81,327,286
154,4.59,80,327,276
155,4.62,80,327,287
156,4.65,78,327,286
157,4.68,77,328,286
158,4.71,81,332,286
159,4.74,81,329,286
160,4.77,80,327,287
161,4.80,80,327,288
162,4.83,78,327,286
163,4.86,68,328,286
164,4.89,81,328,286
165,4.92,81,329,286
166,4.95,81,327,286
167,4.98,80,327,280
168,5.01,79,327,287
169,5.04,87,327,286
170,5.07,81,327,286
171,5.10,81,323,286
172,5.13,81,328,286
173,5.16,80,327,293
174,5.19,80,327,288
175,5.22,77,327,286
176,5.25,77,328,286
177,5.28,81,328,286
178,5.31,81,329,286
179,5.34,80,327,286
180,5.37,80,327,288
181,5.40,78,327,286
182,5.43,92,327,286
183,5.46,81,328,286
184,5.49,81,320,286
185,5.52,81,330,286
186,5.55,80,327,286
187,5.58,80,327,292
188,5.61,80,327,289
189,5.64,78,327,286
190,5.67,68,327,286
191,5.70,81,328,286
192,5.73,81,320,286
193,5.76,81,329,286
194,5.79,80,327,286
195,5.82,80,327,284
196,5.85,79,327,287
197,5.88,79,327,286
198,5.91,76,328,286
199,5.94,82,331,286
200,5.97,81,330,286
201,6.00,80,327,286
202,6.03,80,327,288
203,6.06,79,327,288
204,6.09,78,327,286
205,6.12,72,327,286
206,6.16,81,328,286
207,6.18,81,328,286
208,6.22,80,327,286
209,6.25,80,327,278
210,6.28,79,327,287
211,6.30,77,327,286
212,6.34,77,327,286
213,6.37,81,333,286
214,6.40,80,330,286
215,6.43,80,327,286
216,6.46,80,327,284
217,6.49,79,327,287
218,6.52,79,327,286
219,6.55,77,328,286
